[000:00:01;468] "FOX NEWS SUNDAY."
[000:16:08;133] OUT FLUORESCENT LIGHT.
[000:16:10;336] EVERYBODY IS OFF THE PLANE AND
[000:16:11;670] SAFE WE ARE TOLD.
[000:16:12;604] >>> A MEMORIAL SERVICE HELD
[000:16:14;106] TODAY FOR A 22-YEAR-OLD
[000:16:16;208] AUSTRALIAN MAN GUNNED DOWN
[000:16:17;242] JOGGING IN OKLAHOMA.
[000:16:18;110] FRIENDS, FAMILY, FORMER
[000:16:21;347] TEAMMATES OF CHRISTOPHER LANE
[000:16:22;648] GATHERED ON THE BASEBALL FIELD
[000:16:24;249] IN MELBOURNE WHERE HE USED TO
[000:16:27;052] PLAY.
[000:16:27;386] A WREATH, FLOWERS, BASEBALL CAPS
[000:16:29;655] PLACED ON THE DIAMOND.
[000:16:30;556] A MINUTE OF SILENCE BEFORE RED
[000:16:32;257] AND BLACK BALLOONS WERE RELEASED
[000:16:34;026] IN HIS MEMORY.
[000:16:35;060] >> TODAY IS PART OF THE GRIEVING
[000:16:38;097] PROCESS.
[000:16:38;530] IT IS IMPORTANT FOR OUR CLUBS TO
[000:16:39;832] BE AROUND EACH OTHER TO MAKE
[000:16:41;633] SURE THAT EVERYONE, INCLUDING
[000:16:42;701] THE FAMILY, FEELS THE SUPPORT
[000:16:44;370] AND MAKE SURE THAT THEY FEEL
[000:16:45;871] LIKE THEY'RE NOT ALONE.
[000:16:48;007] >> LANE WAS STUDYING IN THE
[000:16:49;775] UNITED STATES ON A BASEBALL
[000:16:51;477] SCHOLARSHIP.
[000:16:51;877] THREE TEENAGERS ARE ACCUSED OF
[000:16:53;245] HIS MURDER.
[000:16:54;046] AUTHORITIES SAY ONE OF THEM SAID
[000:16:55;614] THEY SHOT HIM BECAUSE THEY WERE
[000:16:57;883] BORED.
[000:16:58;183] NOW WE'RE LEARNING A LOT OF NEW
[000:17:00;085] REACTION TO THAT MURDER.
[000:17:02;988] PETER DOOCY IN WASHINGTON.
[000:17:06;191] >> Reporter: WHEN THEY CALLED
[000:17:07;059] JAMES EDWARDS INTO THE STATION
[000:17:08;761] TO BE CHARGED WITH MURDERING
[000:17:11;263] AUSTRALIAN BASEBALL PLAYER CHRIS
[000:17:12;631] LANE, EDWARDS DANCED AND DID
[000:17:15;100] TWIRLS AND TREATED THE ENTIRE
[000:17:16;702] PROCESS LIKE A JOKE.
[000:17:17;970] THIS IS THE SAME SUSPECT WHO
[000:17:19;605] TWEETED IN APRIL, QUOTE, 90% OF
[000:17:22;708] WHITE PEOPLE ARE NASTY,
[000:17:27;046] #HATETHEM.
[000:17:27;413] BUT STEVENS COUNTY DISTRICT
[000:17:28;647] ATTORNEY SAYS RIGHT NOW RACE IS
[000:17:30;682] NOT SEEN AS A MOTIVE.
[000:17:32;551] SO HE IS IS NOT INVESTIGATING A
[000:17:34;153] HATE CRIME.
[000:17:34;753] >> THERE'S NOTHING INSIDE THE
[000:17:36;955] FILES AND THE AUDIO AND REPORTS
[000:17:38;690] THAT WE'VE BEEN GIVEN THAT WOULD
[000:17:41;126] LEAD US TO BELIEVE THAT
[000:17:42;828] CHRISTOPHER LANE WAS KILLED
[000:17:44;730] SIMPLY BECAUSE OF HIS
[000:17:46;131] NATIONALITY OR BECAUSE OF HIS
[000:17:49;735] RACE.
[000:17:50;035] >> Reporter: PRESIDENT OBAMA HAS
[000:17:50;769] SO FAR BEEN QUIETER ABOUT CHRIS
[000:17:53;172] LANE'S MURDER THAN TEENAGER
[000:17:54;673] TRAYVON MARTIN'S DEATH.
[000:17:57;009] OKLAHOMA'S GOVERNOR MARY FALLON
[000:18:00;646] SAID IT WOULD BE NICE IF HE
[000:18:01;914] SPOKE UP.
[000:18:02;548] >> IT WOULD BE A NICE GESTURE TO
[000:18:05;250] DO SO, ESPECIALLY SINCE
[000:18:06;819] AUSTRALIA HAS EXPRESSED THEIR
[000:18:12;157] SENTIMENT AS TO THE MURDER
[000:18:14;326] ITSELF.
[000:18:14;660] >> THE D.A. SAYS EXPECT TO SEE
[000:18:15;861] THEM IN COURT IN OCTOBER.
[000:18:17;429] >> THANK YOU.
[000:18:17;863] >>> LAST NIGHT ON THE FOX
[000:18:19;098] REPORT, REMEMBER WE TOLD YOU
[000:18:20;699] SOME EMPLOYEES AT THE NSA USED
[000:18:23;569] THE GOVERNMENT SPY GEAR TO LOOK
[000:18:25;704] IN ON THEIR LOVE INTERESTS.
[000:18:27;039] NOW A NEW REPORT SAYS THE AGENCY
[000:18:29;708] ALLEGEDLY TARGETED THE UNITED
[000:18:31;743] NATIONS.
[000:18:32;177] >>> ALSO, TWO WOULD BE ROBBERS
[000:18:33;645] BURST INTO A RESTAURANT AND RUN
[000:18:35;581] RIGHT INTO A BIG SURPRISE, AN
[000:18:38;650] EMPLOYEE, ON A MISSION.
[000:18:38;650] ♪
[000:19:00;772] For a strong bag that
[000:19:00;772] grips the can...
[000:19:02;741] get Glad ForceFlex.
[000:19:04;293] Small change,
[000:19:05;144] big difference.
[000:19:10;382] ARE YOU KIDDING ME?
[000:19:10;382] NO, IT'S ONLY 15 CALORIES.
[000:19:12;351] [ Male Announcer ]
[000:19:12;351] WITH REDDI WIP,
[000:19:13;819] FRUIT NEVER SOUNDED
[000:19:13;819] MORE DELICIOUS.
[000:19:15;721] MMM.
[000:19:15;721] [ Male Announcer ]
[000:19:15;721] WITH 15 CALORIES PER SERVING
[000:19:15;721] AND REAL CREAM,
[000:19:18;824] THE SOUND OF REDDI WIP
[000:19:18;824] IS THE SOUND OF JOY.
[000:20:25;574] AND THEN ANOTHER. AND ANOTHER.
[000:20:28;076] AND IF YOU DO IT.
[000:20:28;076] AND YOUR FRIENDS DO IT.
[000:20:31;613] AND THEIR FRIENDS DO IT...
[000:20:33;415] SOON WE'LL BE WALKING
[000:20:33;415] OUR WAY TO AWARENESS, SUPPORT
[000:20:37;202] AND AN END TO
[000:20:37;202] ALZHEIMER'S DISEASE.
[000:20:40;005] AND THAT? THAT WOULD BE BIG.
[000:20:43;442] GRAB YO FRIENDS AND FAMILY
[000:20:43;442] AND START A TEAM TODAY.
[000:20:47;512] REGISTER AT ALZ.ORG
[000:22:07;993] >>> A NEW REPORT ABOUT THE
[000:22:10;495] NATIONAL SECURITY AGENCY SPYING,
[000:22:11;763] ONE THAT COULD STRAIN RELATIONS
[000:22:13;532] BETWEEN WASHINGTON AND OUR
[000:22:15;233] ALLIES.
[000:22:17;302] GERMANY'S WEEKLY MAGAZINE CLAIMS
[000:22:19;004] THE NSA HAS BUGGED THE U.N.
[000:22:21;273] HEADQUARTERS IN NEW YORK CITY.
[000:22:23;342] THE PUBLICATION CITES SECRET
[000:22:26;378] DOCUMENTS OBTAINED BY EDWARD
[000:22:27;612] SNOWDEN, FORMER NSA CONTRACTOR
[000:22:29;381] LIVING AS A U.S. FUGITIVE INSIDE
[000:22:32;150] RUSSIA.
[000:22:32;517] THEY REPORT THE SECRET FILES
[000:22:34;453] REVEAL HOW THE U.S. BUGGED SOME
[000:22:39;491] 80 EMBASSIES AND SPIED ON THE
[000:22:41;760] EUROPEAN UNION AND U.N. NUCLEAR
[000:22:44;663] WATCHDOG, INTERNATIONAL ATOMIC
[000:22:45;931] ENERGY AGENCY.
[000:22:47;733] THEY CLAIM THE SURVEILLANCE HAD
[000:22:48;467] LITTLE OR NOTHING TO DO WITH
[000:22:50;502] WARDING OFF TERROR.
[000:22:51;870] >>> FORMER EGYPTIAN PRESIDENT
[000:22:54;639] HOSNI MUBARAK WAS BACK IN A
[000:22:55;741] CAIRO COURTROOM EARLIER TODAY,
[000:22:56;942] HIS FIRST APPEARANCE BEFORE A
[000:22:58;443] JUDGE SINCE BEING RELEASED FROM
[000:23:00;412] PRISON LAST WEEK.
[000:23:01;246] THE EX-LEADER, 85 YEARS OLD,
[000:23:04;082] CURRENTLY LIVING IN A MILITARY
[000:23:05;350] HOSPITAL.
[000:23:05;717] MUBARAK IS FACING RETRIAL ON
[000:23:07;119] CHARGES OF FAILING TO STOP THE
[000:23:09;521] KILLINGS OF PROTESTERS DURING
[000:23:10;789] THE 2011 UPRISING THAT LED TO
[000:23:12;858] HIS DOWNFALL.
[000:23:13;892] SINCE THEN, AS YOU KNOW, WE HAVE
[000:23:15;293] BEEN REPORTING EGYPT HAS BEEN
[000:23:17;996] PLAGUED BY GROWING ACTS OF
[000:23:19;564] VIOLENCE WHERE MUSLIM
[000:23:20;132] BROTHERHOOD SUPPORTERS ARE
[000:23:21;366] TARGETING CHRISTIANS, HOLDING
[000:23:23;001] THEM PARTIALLY RESPONSIBLE FOR
[000:23:24;202] THE DEPARTURE OF THE MOST RECENT
[000:23:27;873] PRESIDENT, MOHAMED MORSI.
[000:23:28;607] BUT THOUSANDS OF MILES AWAY,
[000:23:31;510] EGYPTIANS OF BOTH FAITHS FOUND A
[000:23:32;911] PLACE TO PUT ASIDE RELIGIOUS
[000:23:35;113] DIFFERENCES AND CO-EXIST IN
[000:23:38;683] PEACE AND FRIENDSHIP.
[000:23:39;785] BRIAN YENNIS JOINS US FROM THE
[000:23:43;121] NEW YORK BUREAU.
[000:23:43;622] >> HEADLINES READ OF CHAOS,
[000:23:46;358] BLOODSHED, DEEP DIVISION.
[000:23:51;696] 6,000 MILES AWAY, THEY HOPE TO
[000:24:00;305] INSPIRE HOPE AND DEMOCRACY.
[000:24:01;706] >> WE LIVE TOGETHER IN PEACE, WE
[000:24:04;709] DON'T PRETEND, WE DON'T DO IT,
[000:24:07;913] IT COMES NATURALLY.
[000:24:09;915] >> Reporter: COPTIC CHRISTIAN
[000:24:11;116] HAS LIVED IN JERSEY CITY THE
[000:24:12;951] LAST 27 YEARS.
[000:24:15;320] >> YOU HAVE VERY FRIENDLY
[000:24:17;622] RELATIONSHIP WITH OUR BROTHERS,
[000:24:18;990] THE MUSLIMS, THEY COME INTO
[000:24:23;995] OUR --
[000:24:24;729] >> Reporter: ATTACKS ON MORE
[000:24:26;198] THAN 40 COPTIC CHRISTIAN
[000:24:27;632] CHURCHES AND DEATHS OF NEARLY A
[000:24:29;134] THOUSAND EGYPTIANS STRAIN THE
[000:24:30;535] COMMUNITY.
[000:24:30;936] >> THERE HAS BEEN A LOT OF AGONY
[000:24:34;105] AND PEOPLE VERY ALARMED WITH
[000:24:36;475] THIS, WHO ARE PRAYING.
[000:24:37;943] >> Reporter: PRAYING FOR PEOPLE
[000:24:42;180] LIKE COPTIC CHRISTIANS, TWO OF
[000:24:44;516] HIS COUSINS KILLED LAST WEEK.
[000:24:47;919] HE IS ANGRY, BUT OLD AND NEW
[000:24:49;754] TENSIONS THREATEN TO ERUPT, SOME
[000:24:53;091] WELL AND OTHER OPENINGS
[000:24:55;293] IMMIGRANTS REFUSE TO GIVE IN.
[000:24:58;697] >> WHAT WE NEED IS THE REAL
[000:25:03;902] JUSTICE TAKING PLACE, REAL
[000:25:05;604] DEMOCRACY TAKING PLACE, THE REAL
[000:25:10;642] FREEDOM TAKING PLACE.
[000:25:12;244] >> THE MUSLIMS ARE -- THE MUSLIM
[000:25:17;282] BROTHERHOOD, THEY COME AND TRY
[000:25:21;219] TO DEFEND THE CHURCH.
[000:25:22;187] >> Reporter: THIS MUSLIM LEADER
[000:25:23;989] HOPES JERSEY CITY CAN INSPIRE
[000:25:25;590] EGYPT TO KEEP RALLYING FOR
[000:25:30;462] DEMOCRACY.
[000:25:30;862] >> WE WANT TO GIVE EXAMPLE OF
[000:25:32;531] HOW THE EGYPTIAN COMMUNITY LIVE
[000:25:36;201] IN AMERICA AND HOW THEY
[000:25:37;502] UNDERSTAND EACH OTHER.
[000:25:38;703] >> A COMMUNITY STANDING STRONG
[000:25:40;539] AS THE WORLD WATCHES EGYPT ON
[000:25:41;840] THE BRINK.
[000:25:44;776] HARRIS?
[000:25:45;143] >> BRYAN, THANK YOU.
[000:25:47;145] >>> CRUISE MISSILES LIKE THE
[000:25:48;513] ONES I AM ABOUT TO SHOW YOU ARE
[000:25:51;349] ONE OF THE WEAPONS IN OUR
[000:25:52;584] ARSENAL.
[000:25:52;951] ONE LAWMAKER SAYS THE U.S.
[000:25:54;486] SHOULD BE PREPARED TO USE THEM
[000:25:55;987] AGAINST THE ASSAD REGIME IN THE
[000:25:57;722] WAKE OF CHEMICAL ATTACK AGAINST
[000:26:00;058] HIS OWN PEOPLE.
[000:26:01;293] BUT OUR NEXT GUEST SAYS THE
[000:26:03;028] GOVERNMENT MAY HAVE IT WRONG
[000:26:04;329] WHEN THEY SAY WHO SHOULD FEEL
[000:26:05;931] THE BRUNT OF AMERICAN MILITARY
[000:26:08;967] MIGHT.
[000:26:09;301] >>> MANY PEOPLE THINK THEY'RE
[000:26:10;001] COOL, SOME PEOPLE THINK THEY'RE
[000:26:12;804] INVASIVE.
[000:26:13;171] EITHER WAY, IT IS BEST IF A
[000:26:14;706] SMALL DRONE STAYS IN THE AIR
[000:26:16;241] WHEN HOVERING OVER A CROWD.
[000:26:17;676] THIS ONE DIDN'T STAY IN THE AIR,
[000:26:19;644] CAME DOWN VERY UNEXPECTEDLY.
[000:26:20;946] ♪
[000:26:23;615] [ CRASHING ]
[000:26:26;184] [ Male Announcer ] WHEN YOUR
[000:26:26;184] FAVORITE FOOD STARTS A FIGHT,
[000:26:28;837] FIGHT BACK FAST WITH TUMS.
[000:26:31;990] HEARTBURN RELIEF THAT
[000:26:31;990] NEUTRALIZES ACID ON CONTACT
[000:26:34;326] AND GOES TO WORK IN SECONDS.
[000:26:34;326] ♪ TUM, TUM TUM TUM TUMS!
[000:26:47;539] HEARTBURN RELIEF THAT
[000:26:47;539] NEUTRALIZES ACID ON CONTACT
[000:26:47;539] ♪
[000:26:57;515] ♪
[000:27:02;954] (VO) Purina Cat Chow.
[000:27:04;656] 50 years of feeding great
[000:27:04;656] relationship
[000:27:10;428] FIRST WAIT TILL SUMMER.
[000:27:11;946] THEN GET THE CARS READY.
[000:27:14;032] NOW ADD THE DODGE PART.
[000:27:17;002] ♪
[000:27:29;948] THE DODGE SUMMER
[000:27:29;948] CLEARANCE EVENT.
[000:27:31;883] RIGHT NOW GET 0% FINANCING FOR
[000:27:31;883] TO 72 MONTHS
[000:27:34;619] AND NO PAYMENTS FOR 90 DAYS ON
[000:27:34;619] ALL DODGE VEHICLES.
[000:27:41;426] Peace of mind is important when
[000:27:41;426] So we provide IT services you
[000:27:41;426] bucan rely on.
[000:27:44;629] With CenturyLink as your trusted
[000:27:44;629] IT partner,
[000:27:47;399] you'll experience reliable
[000:27:47;399] uptime for the network and
[000:27:47;399] services you depend on.
[000:27:51;836] Multi-layered security solutions
[000:27:51;836] keep your information safe, and
[000:27:51;836] secure.
[000:27:57;175] And responsive dedicated support
[000:27:57;175] meets your needs, and eases your
[000:27:57;175] mind.
[000:28:02;814] CenturyLink.
[000:28:02;814] Your link to what's next.
[000:28:10;455] PEOPLE WAIT FOR THIS PROMOTION
[000:28:10;455] ALL YEAR LONG.
[000:28:12;040] AND NOW THERE ARE ENDLESS WAYS
[000:28:12;040] TO LOVE IT...
[000:28:13;758] FROM CRISPY TO SPICY TO SAVORY.
[000:28:15;927] [ Man ]
[000:28:15;927] YOU CANNOT MAKE A BAD CHOICE.
[000:28:17;846] [ Male Announcer ]
[000:28:17;846] RED LOBSTER'S ENDLESS SHRIMP!
[000:28:19;330] AS CH AS YOU LIKE,
[000:28:19;330] Y WAY YOU LIKE!
[000:28:21;299] YOU CAN HAVE YOUR SHRIMP.
[000:28:21;299] AND YOU CAN EAT IT, TOO.
[000:28:23;068] [ Male Announcer ] TRY OUR NEW
[000:28:23;068] SOY WASABI GRILLED SHRIMP
[000:28:25;236] OR CLASSIC GARLIC
[000:28:25;236] SHMP SCAMPI.
[000:28:26;805] ALL JUST $15.99
[000:28:28;106] FOR A LIMITED TIME.
[000:28:28;106] IT'S GONNA BE A HIT THIS YEAR.
[000:28:30;575] [ Male Announcer ]
[000:28:30;575] RED LOBSTER'S ENDLESS
[000:28:30;575] SHRI IS NOW!
[000:28:32;544] WE WOULD NEVERISS
[000:28:32;544] ENDLESS SHRIMP.
[000:28:33;945] [ Male Announcer ]
[000:28:33;945] BUT IT WON'T LAST FOREVER.
[000:28:35;179] SO COME
[000:28:35;179] AND SEA FOOD DIFFERENTLY.
[000:28:39;818] SEE, I KNEW TESTOSTERONE
[000:28:39;818] COULD AFFECT SEX DRIVE,
[000:28:42;454] BUT NOT ENERGY
[000:28:42;454] OR EVEN MY MOOD.
[000:28:44;522] THAT'S WHEN I TALKED
[000:28:44;522] WITH MY DOCTOR.
[000:28:46;291] HE GAVE ME SOME BLOOD TESTS...
[000:28:46;291] SHOWED IT WAS LOW T.
[000:28:48;793] THAT'S IT. IT WAS A NUMBER.
[000:28:50;595] [ Male Announcer ]
[000:28:50;595] TODAY, MEN WITH LOW T
[000:28:51;963] HAVE ANDROGEL
[000:28:51;963] 1.62% TESTOSTERONE GEL.
[000:28:55;100] THE #1 PRESCRIBED
[000:28:56;367] TOPICAL TESTOSTERONE
[000:28:56;367] REPLACEMENT THERAPY
[000:28:58;570] INCREASES TESTOSTERONE
[000:28:58;570] WHEN USED DAILY.
[000:29:00;705] WOMEN AND CHILDREN SHOULD AVOID
[000:29:00;705] CONTACT WITH APPLICATION SITES.
[000:29:03;775] DISCONTINUANDROGEL
[000:29:03;775] AND CALL YOUR DOCTOR
[000:29:05;710] IF YOU SEE UNEXPECTED SIGNS
[000:29:05;710] OF EARLY PUBERTY IN A CHILD,
[000:29:08;613] OR SIGNS IN A WOMAN,
[000:29:09;848] WHICH MAY INCLUDE
[000:29:09;848] CHANGES IN BODY HAIR
[000:29:11;082] OR A LARGE INCREASE IN ACNE,
[000:29:13;051] POSSIBLY DUE
[000:29:13;051] TO ACCIDENTAL EXPOSURE.
[000:29:14;686] MEN WITH BREAST CANCER
[000:29:15;920] OR WHO HAVE OR MIGHT HAVE
[000:29:15;920] PROSTATE CANCER,
[000:29:17;455] AND WOMEN WHO ARE OR MAY BECOME
[000:29:17;455] PREGNANT OR ARE BREAST-FEEDING,
[000:29:20;558] SHOULD NOT USE ANDROGEL.
[000:29:22;026] SERIOUS SIDE EFFECTS INCLUDE
[000:29:23;128] WORSENING
[000:29:23;128] OF AN ENLARGED PROSTATE,
[000:29:24;395] POSSIBLE INCREASED RIS
[000:29:24;395] OF PROSTATE CANCER,
[000:29:26;564] LOWER SPERM COUNT, SWELLING
[000:29:26;564] OF ANKLES, FEET, OR BODY,
[000:29:29;434] ENLARGED OR PAINFUL BREASTS,
[000:29:30;802] PROBLEMS BREATHING
[000:29:30;802] DURING SLEEP,
[000:29:32;504] AND BLOOD CLOTS IN THE LEGS.
[000:29:34;072] TELL YOUR DOCTOR
[000:29:34;072] ABOUT YOUR MEDICAL CONDITION
[000:29:35;740] AND MEDICATIONS,
[000:29:35;740] ESPECIALLY IULIN,
[000:29:37;776] CORTICOSTEROIDS, OR MEDICINES
[000:29:37;776] TO DECREASE BLOOD CLOTTING.
[000:29:40;612] IN A CLINICAL STUDY, OVER 80%
[000:29:42;380] OF TREATED MEN HAD THEIR
[000:29:42;380] T LEVELS RESTORED TO NORMAL.
[000:29:45;049] TALK TO YOUR DOCTOR
[000:29:45;049] ABOUT ALL YOUR SYMPTOMS.
[000:29:47;152] GET THE BLOOD TESTS.
[000:29:47;152] CHANGE YOUR NUMBER. TURN IT UP.
[000:29:49;854] ANDROGEL 1.62%.
[000:29:58;396] >>> A REMARKABLE STORY FROM
[000:30:00;298] TEXAS ABOUT A REUNION INVOLVING
[000:30:01;699] A VIETNAM WAR VETERAN AND
[000:30:03;368] SOMETHING CLOSE TO HIS HEART.
[000:30:05;036] IN 1968, U.S. MARINE LAN EE
[000:30:08;072] MARTIN SON WAS SEVERELY INJURED
[000:30:09;340] IN A MINE FIELD IN VIETNAM.
[000:30:10;909] SIX FELLOW MARINES WERE KILLED.
[000:30:13;144] DURING HIS LONG ROAD TO
[000:30:15;313] RECOVERY, HIS DOG TAGS WERE
[000:30:17;549] SOMEHOW LOST.
[000:30:19;551] 43 YEARS LATER AN AUSTRALIAN
[000:30:21;252] SCHOOL TEACHER TREKKING THROUGH
[000:30:23;688] THE VIETNAM BRUSH STUMBLED UPON
[000:30:26;691] THE SAME DOG TAGS THAT MAN
[000:30:29;994] COULDN'T FIND.
[000:30:31;329] THANKS TO THE EFFORTS OF GOOD
[000:30:34;199] SAMARITANS, HIS LONG LOST DOG
[000:30:35;533] TAGS ARE BACK IN HIS POSSESSION.
[000:30:37;302] >> I THOUGHT MAYBE I COULD FIND
[000:30:39;337] HIM, POST IT BACK TO HIM IN THE
[000:30:41;439] MAIL TO AMERICA.
[000:30:42;674] I NEVER DREAMED THAT THIS WHOLE
[000:30:46;644] THING WOULD END UP LIKE THIS.
[000:30:48;880] >> IT WAS VERY OVERWHELMING.
[000:30:50;949] I STILL DON'T KNOW WHY.
[000:30:53;918] JUST A PIECE OF ALUMINUM, BUT I
[000:30:59;390] HAD TO HAVE IT A LONG TIME.
[000:31:01;326] >>> I AM HARRIS FAULKNER, THIS
[000:31:03;127] IS THE FOX REPORT.
[000:31:04;262] BOTTOM OF THE HOUR, TIME FOR THE
[000:31:05;697] TOP NEWS.
[000:31:06;598] A SENIOR U.S. OFFICIAL SAYS
[000:31:08;933] THERE'S LITTLE DOUBT CHEMICAL
[000:31:09;968] WEAPONS WERE USED BY THE SYRIAN
[000:31:12;303] REGIME AGAINST ITS OWN PEOPLE.
[000:31:13;972] HUNDREDS DIED IN LAST WEEK'S
[000:31:15;506] ATTACK.
[000:31:16;641] TODAY, THE SYRIAN GOVERNMENT
[000:31:18;142] CLAIMED THEY WILL ALLOW U.N.
[000:31:19;944] INSPECTORS TO LOOK AT THE SITE
[000:31:21;179] IT HAPPENED.
[000:31:22;013] U.S. OFFICIALS SAY AT THIS POINT
[000:31:22;914] IT IS PROBABLY TOO LATE.
[000:31:23;982] ALL OF THIS HAPPENING AS
[000:31:25;383] LAWMAKERS CALL FOR LIMITED
[000:31:26;618] MILITARY RESPONSE, AND OTHER
[000:31:28;519] WESTERN POWERS, INCLUDING
[000:31:30;088] BRITAIN AND FRANCE EXPRESS GRAVE
[000:31:33;191] CONCERN.
[000:31:33;825] AMBASSADOR JOHN BOLTON, FORMER
[000:31:37;095] AMBASSADOR TO THE U.N. AND FOX
[000:31:40;131] NEWS CONTRIBUTOR.
[000:31:42;400] DO YOU WAIT FOR THE INSPECTORS
[000:31:44;135] TO TELL US WHAT THEY FOUND THERE
[000:31:46;604] AT THE DEATH SITE OR IS THE
[000:31:48;339] WHITE HOUSE STALLING FOR TIME TO
[000:31:49;340] MAKE A DECISION?
[000:31:50;308] >> I DON'T THINK THE U.N.
[000:31:52;343] INSPECTORS WILL FIND MUCH OF
[000:31:53;811] ANYTHING.
[000:31:54;345] THE SYRIAN REGIME PROBABLY
[000:31:56;247] CLEANED UP THE SITES, MADE THEM
[000:31:59;083] MBIGUOUS THAT
[000:31:59;884] NOBODY CAN TELL WHO USE THE
[000:32:01;452] CHEMICAL WEAPONS.
[000:32:02;320] THEY MAY HAVE HAD RUSSIAN
[000:32:04;188] ASSISTANCE TO DO THAT.
[000:32:05;023] I THINK THE SYRIANS THOUGHT THEY
[000:32:06;925] WERE BUYING TIME AND MAY YET,
[000:32:08;927] BUT THE RHETORIC FROM THE WHITE
[000:32:11;462] HOUSE IS UNDOUBTEDLY STEPPED UP.
[000:32:13;097] OF COURSE, WE HAVE BEEN DOWN
[000:32:14;532] THAT ROAD BEFORE AS WELL.
[000:32:15;900] I THINK THE REAL PROBLEM FOR THE
[000:32:18;970] UNITED STATES IS THAT THE
[000:32:19;771] ADMINISTRATION IS REACTING MORE
[000:32:21;839] OUT OF POLITICAL CONCERN THAN
[000:32:23;274] FROM STRATEGIC THINKING.
[000:32:25;243] THE PRESIDENT LOOKED VERY
[000:32:27;045] FOOLISH, VERY WEAK SIX MONTHS
[000:32:29;347] AGO WHEN CHEMICAL WEAPONS WERE
[000:32:31;382] FIRST REPORTED USED ON A LARGE
[000:32:33;284] SCALE, CROSSING THE RED LINE
[000:32:35;620] THAT THE PRESIDENT HIMSELF DREW
[000:32:37;255] A YEAR AGO AND THE PRESIDENT DID
[000:32:39;324] NOTHING.
[000:32:39;657] NOW YOU HAVE AN EVEN MORE
[000:32:41;259] EGREGIOUS USE OF CHEMICAL
[000:32:42;894] WEAPONS AND HE THINKS HE NEEDS
[000:32:44;262] TO DO SOMETHING, BUT HE CLEARLY
[000:32:46;030] DOESN'T KNOW WHAT OR FOR WHAT
[000:32:47;732] PURPOSE.
[000:32:48;099] >> THE PROBLEM IS THE RED LINE
[000:32:49;968] IS THAT IT IS RED, FEW PEOPLE
[000:32:51;502] WILL EVER FORGET IT.
[000:32:53;771] TODAY, AMBASSADOR RAND ISSUED
[000:32:55;039] THE FIRST OF TWO THREATS WE
[000:32:56;441] HEARD, THE OTHER COMING FROM
[000:32:58;142] RUSSIA, GET TO THAT IN A MOMENT.
[000:33:00;945] IRAN SAID WE BETTER NOT TOUCH
[000:33:04;549] SYRIA, PARAPHRASING IT.
[000:33:06;284] SHOULD THAT BE DETERRENT FOR US?
[000:33:08;453] >> NO, THE SYRIANS THINK
[000:33:11;089] PRESIDENT OBAMA IS WEAK AND ARE
[000:33:12;056] TRYING TO BULLY HIM.
[000:33:13;491] IN THIS CONTEXT IT WILL HAVE THE
[000:33:15;660] OPPOSITE EFFECT AND CONVINCE HIM
[000:33:16;995] HE HAS TO DO SOMETHING, LOB A
[000:33:19;530] COUPLE CRUISE MISSILES OR MORE
[000:33:20;965] INTO SYRIA TO PROVE HE HAS,
[000:33:23;201] QUOTE, UNQUOTE, DONE SOMETHING.
[000:33:24;302] THE REAL ISSUE HERE IS WHAT TO
[000:33:26;571] DO ABOUT IRAN.
[000:33:27;672] LET'S FACE IT, THE ASSAD REGIME
[000:33:29;974] AFTER TWO YEARS OF CONFLICT
[000:33:31;142] WOULD NOT BE IN POWER IF IT WERE
[000:33:32;944] NOT FOR RUSSIA AND IRAN, AND
[000:33:35;713] PRIMARILY IRAN.
[000:33:37;415] LOOKING AT SYRIA IS LOOKING AS
[000:33:39;951] TRAGIC AS IT IS IS LOOKING IN A
[000:33:42;653] STRATEGIC SENSE AT A SECONDARY
[000:33:44;489] ISSUE.
[000:33:44;789] THE REAL PROBLEM IS THE REGIME
[000:33:46;124] IN IRAN.
[000:33:47;825] THAT'S WHERE WE OUGHT TO DIRECT
[000:33:49;660] OUR ATTENTION.
[000:33:50;228] >> LET'S TALK ON THE SUBJECT
[000:33:51;763] MATTER OF OTHER COUNTRIES
[000:33:53;197] ISSUING THREATS TO AMERICA,
[000:33:54;766] SHOULD IT GET INVOLVED OUTSIDE
[000:33:56;067] THE BOUNDS OF THE UNITED
[000:33:57;502] NATIONS.
[000:33:57;969] NO ONE SAID WE WOULD DO THAT.
[000:33:59;570] BUT RUSSIA TODAY ISSUING A
[000:34:03;141] WARNING THAT THERE WOULD BE
[000:34:03;808] GRAVE CONSEQUENCES IN THAT
[000:34:05;443] REGION TO THE SECURITY IN THE
[000:34:07;345] MIDDLE EAST, IF WE SHOULD
[000:34:10;748] SUDDENLY USE OUR MILITARY WITH
[000:34:11;816] REGARD TO SYRIA.
[000:34:12;683] IN FACT, WE HAVE A LITTLE BIT
[000:34:14;352] FROM A LAWMAKER, MIKE McCALL,
[000:34:16;521] REPUBLICAN OUT OF TEXAS, WHO
[000:34:18;723] TALKS ABOUT THAT TENUOUS
[000:34:19;857] RELATIONSHIP NOW WITH RUSSIA.
[000:34:21;659] LET'S WATCH THAT AND THEN WE'LL
[000:34:22;994] TALK MORE.
[000:34:23;628] >> THE RELATIONSHIP BETWEEN THE
[000:34:26;264] WHITE HOUSE AND THE PUTIN
