[000:00:05;17] [SOBBING]
[000:14:59;13] IT STILL COULD RISE BUT AT  
[000:15:01;04] LEAST WE BELIEVE NOW 24  
[000:15:03;14] ADDITIONAL CHILDREN DID NOT  
[000:15:04;28] DIE.  
[000:15:05;10] WE'RE ALSO LEARNING A  
[000:15:06;11] LITTLE MORE ABOUT WHAT  
[000:15:07;04] HAPPENED INSIDE THAT SCHOOL  
[000:15:08;03] IN BRIAR WOOD ELEMENTARY  
[000:15:09;17] FROM AN A.P. STORY THAT  
[000:15:10;25] CAME OUT JUST A LITTLE  
[000:15:11;22] WHILE AGO.  
[000:15:12;13] AS THE STORM WARNINGS WENT  
[000:15:14;08] OUT, THOSE TORNADO WARNINGS  
[000:15:15;14] ALL THE CHILDREN WERE TAKEN  
[000:15:16;08] OUT OF THEIR CLASSROOMS AT  
[000:15:17;07] PLAZA TOWER SENT TO THE  
[000:15:18;05] CALF FEAR I CAN'T TO WAIT  
[000:15:19;13] FOR THEIR PARENTS TO PICK  
[000:15:20;15] THEM UP.  
[000:15:21;10] BUT WHEN THE TORNADO SIRENS  
[000:15:22;23] WENT OFF SCHOOL OFFICIALS  
[000:15:24;12] SCRAMBLED TO GET THEM ALL  
[000:15:25;28] INTO THE HALLWAY AN AREA  
[000:15:27;21] THEY THOUGHT WOULD BE A  
[000:15:28;13] SAFE PLACE.  
[000:15:29;03] BUT ONE TEACHER AT PLAZA  
[000:15:31;25] TOWERS SAID THIS HALLWAY IS  
[000:15:33;04] NOT SAFE.  
[000:15:34;03] SHE GRABBED A BUNCH OF KIDS  
[000:15:35;03] AND TOOK THEM INTO THE  
[000:15:36;25] BATHROOM.  
[000:15:37;10] WHEN THE T. HIT THE  
[000:15:40;18] CHILDREN SURVIVED.  
[000:15:41;21] SIMILAR TORE THE CHILDREN  
[000:15:42;23] TOOK THEM INTO THE HALLWAY  
[000:15:43;22] IT'S NOT SAFE.  
[000:15:44;20] TOOK THEM A FEW OF THEM AND  
[000:15:46;05] WENT INTO THE CLOSET.  
[000:15:47;13] THAT'S ONE OF THE REASONS  
[000:15:48;06] WHY NONE OF THE CHILDREN AT  
[000:15:50;00] BRIAR WOOD PERISHED.  
[000:15:51;25] WE SHOULD POINT OUT SHEP,  
[000:15:54;00] NEITHER BRIAR WOOD NOR  
[000:15:56;05] PLAZA TOWERS HAD ANY KIND  
[000:15:57;10] OF SAFE ROOM OR HARDENED  
[000:15:59;12] TORNADO SHELTER.  
[000:16:00;16] THE STUDENTS SIMPLY HAD THE  
[000:16:01;29] STRUCTURE TO PROTECT THEM.  
[000:16:02;29] WE SAW HOW WELL THAT DID  
[000:16:04;08] DURING THIS TORNADO.  
[000:16:08;23] >> Shepard: BECAUSE OF ALL  
[000:16:09;17] OF THAT JOHN, IT'S MY  
[000:16:10;14] UNDERSTANDING YOU MET A MAN  
[000:16:11;29] WHOSE DAUGHTER REALLY  
[000:16:12;25] DIDN'T TRUST THAT THE  
[000:16:14;04] SCHOOLS COULD BE SAFE IN  
[000:16:15;12] THE STORM.  
[000:16:16;22] >> FELLOW WHO LIVES JUST  
[000:16:18;03] ACROSS THE STREET, HIS NAME  
[000:16:19;13] IS JIM GARNER.  
[000:16:20;12] HE SAID THAT YESTERDAY  
[000:16:21;14] AFTERNOON HIS DAUGHTER, WHO  
[000:16:23;20] HAS FOUR KIDS AT PLAZA  
[000:16:25;03] TOWERS ELEMENTARY GOT A  
[000:16:27;03] HINKY FEELING ABOUT  
[000:16:27;26] EVERYTHING THAT WAS GOING  
[000:16:28;19] TO HAPPEN.  
[000:16:29;04] HE PICKS UP THE TIME LINE  
[000:16:30;08] FROM THERE.  
[000:16:33;19] SHE KNEW THIS WAS COMING.  
[000:16:35;28] SHE HAD A BAD FEELING.  
[000:16:38;03] SO SHE WENT TO THE SCHOOL  
[000:16:39;14] AND PICKED MY GRAND KIDS UP  
[000:16:40;18] FROM SCHOOL.  
[000:16:41;05] >> WHAT TIME WAS THAT AT.  
[000:16:42;26] >> AROUND 2:00.  
[000:16:43;23] >>  
[000:16:45;17] 2:59?  
[000:16:46;00] >> YES SIR.  
[000:16:46;17] SHE MADE A GOOD DECISION.  
[000:16:47;11] SHE WENT AND GOT THEM OUT  
[000:16:48;11] OF SCHOOL AND BROUGHT THEM  
[000:16:49;19] HOME.  
[000:16:51;29] >>  
[000:16:52;10] >> BROUGHT THEM HOME AND  
[000:16:53;23] TOOK THEM IMMEDIATELY TO  
[000:16:55;15] THE UNDERGROUND TORNADO  
[000:16:56;13] SHELTER RIGHT BEHIND THEIR  
[000:16:57;13] HOUSE.  
[000:16:57;26] SHE ADDED SIX MORE  
[000:16:59;15] CHILDREN.  
[000:17:00;00] JIM GARNER, HIS DAUGHTER  
[000:17:02;09] AND 10 CHILDREN RODE OUT  
[000:17:03;26] THIS TORNADO IN UNDERGROUND  
[000:17:05;04] STORM SHELTER SHEP.  
[000:17:06;09] THEY ALL ESCAPED UNSCATHED.  
[000:17:08;20] THOUGH JIM TOLD ME HE HAD  
[000:17:09;22] TO HOLD ON TO THAT DOOR  
[000:17:10;29] BECAUSE IT FELT LIKE THE  
[000:17:12;00] TORNADO WAS TRYING TO SUCK  
[000:17:13;15] IT OPEN AND SUCK THEM OUT.  
[000:17:16;20] SHEP?  
[000:17:17;04] >> Shepard: MAN, JOHN  
[000:17:17;25] ROBERTS LIVE HERE IN MOORE  
[000:17:18;25] WITH US TONIGHT IN  
[000:17:19;26] OKLAHOMA.  
[000:17:20;11] LAWMAKERS FROM THIS AREA  
[000:17:21;05] SAY HELP IS REALLY ALREADY  
[000:17:22;26] POURING IN FROM ACROSS THE  
[000:17:24;08] COUNTRY AND FOR THAT MATTER  
[000:17:25;10] AROUND THE WORLD.  
[000:17:26;09] PRESIDENT OBAMA SAYS IS HE  
[000:17:27;26] TAKING STEPS TO SPEED  
[000:17:29;04] DISASTER RELIEF FROM  
[000:17:30;05] WASHINGTON.  
[000:17:30;15] HE WHITE HOUSE.  
[000:17:31;03] BUT, FIRST SHEAR LOOK AT  
[000:17:32;21] SOME OF WHAT I SAW EARLIER  
[000:17:33;27] TODAY JUST AFTER WE LANDED  
[000:17:35;06] IN MOORE OKLAHOMA.  
[000:17:37;21] >> 24 HOURS LATER AND YOU  
[000:17:38;28] COULD TAKE THIS CAMERA TO  
[000:17:40;08] ANY PLACE WITHIN MILES AWAY  
[000:17:46;18] AND FIND SOMETHING EXACTLY  
[000:17:48;04] LIKE THIS.  
[000:17:48;19] SEE THE SIDE OF THIS HOUSE  
[000:17:50;01] HERE?  
[000:17:50;14] COVERED IN MUD.  
[000:17:51;07] THE TORNADO THREW IT UP  
[000:17:52;11] AGAINST THE HOUSE.  
[000:17:53;10] BEAMS COMING DOWN, METAL IN  
[000:17:54;09] THE TREES.  
[000:17:55;03] ALL ALONG HERE, DEBRIS FROM  
[000:17:57;13] WE DON'T EVEN KNOW WHERE.  
[000:17:59;01] THESE ARE EITHER POWER  
[000:18:01;01] LINES AND SOMEBODY'S GAS  
[000:18:03;06] CAN.  
[000:18:03;18] AND OVER HERE YOU CAN SEE  
[000:18:04;28] THE REST THAT WAS DONE BY  
[000:18:06;17] THE STORM.  
[000:18:07;09] THAT'S A TREE THERE IN THE  
[000:18:08;24] THE CENTER THAT WAS A TREE.  
[000:18:12;03] AND NOW ROOF AFTER ROOF IS  
[000:18:14;00] GONE.  
[000:18:14;13] PEOPLE HAVE COME IN TO TRY  
[000:18:15;08] TO GET SOME OF THEIR THINGS  
[000:18:16;27] TODAY.  
[000:18:17;10] AND THIS IS RIGHT ON THE  
[000:18:18;20] CORNER NEAR THE BIG MEDICAL  
[000:18:20;20] CENTER THAT YOU HEARD ABOUT  
[000:18:21;14] YESTERDAY.  
[000:18:21;29] STAY RIGHT THERE SCOTT, SO  
[000:18:22;23] YOU YOU CAN SEE IT BACK  
[000:18:23;22] BEHIND YOU.  
[000:18:24;22] THIS IS THE MEDICAL CENTER  
[000:18:25;16] OVER HERE.  
[000:18:26;18] IT JUST WIPED OUT.  
[000:18:27;19] YOU CAN SEE THIS WAS THE  
[000:18:28;25] MAIN ENTRANCE.  
[000:18:29;26] THE WOMAN CENTER AND BACK  
[000:18:31;07] BEHIND JUST WHAT'S LEFT OF  
[000:18:32;08] THIS FACILITY.  
[000:18:33;10] AND AS SCOTT WALKS OVER TO  
[000:18:34;13] HIS LEFT, YOU WILL BE ABLE  
[000:18:35;25] TO SEE IN THE DISTANCE  
[000:18:38;10] THERE CAR AFTER CAR SCOTT  
[000:18:40;18] PAN TO THE RIGHT AND IT IS  
[000:18:42;26] AS IF THE TORNADO JUST  
[000:18:44;05] PICKED ALL OF THESE CARS UP  
[000:18:45;20] AND JUST PUSHED THEM INTO  
[000:18:47;02] THIS BUILDING.  
[000:18:47;22] YOU SEE THE X'S ON THE SIDE  
[000:18:49;18] OF THESE VEHICLES, RIGHT?  
[000:18:51;09] AN X MEANS THAT THEY HAVE  
[000:18:52;19] SEARCHED THE VEHICLE AND  
[000:18:54;03] THERE IS NOBODY INSIDE.  
[000:18:55;19] BY THE THOUSANDS PART-TIME  
[000:18:56;24] HAVE COME HERE.  
[000:18:57;27] TO TRY TO VOOL TIER.  
[000:19:00;04] AND OVER HERE, AN AMERICAN  
[000:19:01;16] FLAG IS UP.  
[000:19:03;01] IT'S OKLAHOMA.  
[000:19:03;28] IT'S THE HEARTLAND OF  
[000:19:05;25] AMERICA.  
[000:19:06;09] THEY HAVE BEEN THROUGH THIS  
[000:19:07;04] BEFORE.  
[000:19:07;18] A DEVASTATING STORM IN  
[000:19:11;00] 1999.  
[000:19:11;24] THE DEVASTATING ALFRED T.  
[000:19:14;09] MURROW FEDERAL BUILDING  
[000:19:15;23] BOMBING.  
[000:19:16;07] ANOTHER HORRIBLE STORM IN  
[000:19:17;12] 2003.  
[000:19:17;25] AND NOW THEY ARE AT IT  
[000:19:19;03] AGAIN.  
[000:19:19;16] AND EACH TIME THEY HAVE  
[000:19:20;26] BEEN AN INSPIRATION TO THE  
[000:19:23;00] NATION.  
[000:19:23;14] AS THEY COME IN WITH A  
[000:19:24;28] SHOPPING CART WITH WHAT  
[000:19:25;26] THEY HAVE BEEN ABLE TO  
[000:19:28;07] SALVAGE FROM THEIR HOME, A  
[000:19:30;05] REMINDER OF EACH SINGLE  
[000:19:32;21] INDIVIDUAL'S STRUGGLE AND  
[000:19:33;15] THE STRUGGLE THAT WILL GO  
[000:19:34;17] ON FOR MONTHS AND MONTHS TO  
[000:19:36;06] COME.  
[000:19:37;17] OKLAHOMA NEEDS YOUR PRAYERS  
[000:19:39;02] AND YOUR HELP.
[000:19:45;03] YEARS AGO, MY DOCTOR TOLD ME  TO TAKE
[000:19:45;29] A CENTRUM SILVER  MULTIVITAMIN EVERY
[000:19:46;20] DAY.  I TOLD HIM, SURE.  CAN'T HURT,
[000:19:50;02] RIGHT?  AND NOW TODAY,  I SEE THIS
[000:19:51;01] IN THE NEWS.  ONCE AGAIN, CENTRUM
[000:19:53;11] SILVER  WAS CHOSEN BY RESEARCHERS
[000:19:57;09] FOR ANOTHER LANDMARK STUDY.  THIS
[000:19:59;15] TIME LOOKING AT EYE HEALTH.  MY DOCTOR!
[000:20:04;05] HE KNOWS HIS STUFF.    [ Male Announcer
[000:20:05;25] ] CENTRUM.    THE MOST STUDIED.  
[000:20:07;23] THE MOST RECOMMENDED.    AND THE MOST
[000:20:08;23] PREFERRED    MULTIVITAMIN BRAND. 
[000:20:11;21] THE CHOICE IS CLEAR.
[000:20:15;02] ♪ ♪  ♪ WONDER IF I GAVE AN OREO ♪
[000:20:19;25] ♪ TO SOMEBODY OUT THERE  WHO I DIDN'T
[000:20:20;18] KNOW ♪  ♪ WOULD THEY LAUGH  AFTER
[000:20:24;14] I'D GONE? ♪  ♪ OR WOULD THEY PASS
[000:20:28;16] THAT WONDER ON? ♪  ♪ I WONDER HOW
[000:20:32;11] IT'D CHANGE  YOUR POINT OF VIEW ♪
[000:20:39;06] ♪ IF I GAVE ONE TO YOU? ♪  ♪ ♪
[000:20:45;01] I'M SORRY  FOR YOUR LOSS.  STL DOESN'T
[000:20:46;08] FEEL REAL.
[000:20:47;25] OUR TIME TOGETHER WAS...
[000:20:49;18] SO SHORT.
[000:20:50;17] WELL, SINCE YOU HAD
[000:20:51;09] PROGRESSIVE'S  TOTAL LOSS COVERAGE,
[000:20:52;20] WE WERE ABLE TO REPLACE  YOUR TOTALED
[000:20:53;12] BIKE
[000:20:54;22] WITH  A BRAND-NEW ONE.
[000:20:55;18] THE TANK  THE EXHAUST...
[000:20:58;03] WELL, SHE LOOKS  JUST LIKE ROXY!
[000:20:59;20] YOU KNOW, I'LL BET SHE'S IN  A BETTER
[000:21:00;14] PLACE NOW.
[000:21:03;16] I'M SURE SHE IS.
[000:21:05;00] [ ETHEREAL MUSIC PLAYS ]
[000:21:07;07] [ MOTORCYCLE REVVING ]
[000:21:10;16] GETTING YOU BACK    ON A BRAND-NEW
[000:21:11;09] BIKE.
[000:21:12;27] NOW,  THAT'S  PROGRESSIVE.
[000:21:15;06] HEY, LOOK!  A SHOOTING STAR!  MAKE
[000:21:17;23] A WISH!  I WISH WE COULD  LIE HERE
[000:21:19;02] FOREVER.  I WISH THIS TEST DRIVE WAS
[000:21:22;16] OVER  SO WE COULD HEAD BACK  TO THE
[000:21:25;02] DEALERSHIP.    [ Male Announcer ]
[000:21:27;20] IT'S PRACTICALLY YOURS.  TEST DRIVE!
[000:21:30;12] BUT WE STILL NEED    YOUR SIGNATURE.
[000:21:31;27] VOLKSWAGEN SIGN THEN DRIVE    IS BACK.
[000:21:33;19] AND IT'S NEVER BEEN EASIER    TO GET
[000:21:34;09] A JETTA.    THAT'S THE POWER    OF
[000:21:35;25] GERMAN ENGINEERING.    GET $0 DOWN,
[000:21:38;08] $0 DUE AT SIGNING,  DEPOSIT    AND
[000:21:39;23] $0 FIRST MONTH'S PAYMENT    ON ANY
[000:21:41;07] NEW VOLKSWAGEN.    VISIT VWDEALER.COM
[000:21:42;17] TODAY.    
[000:21:55;07] >> Shepard: PRESIDENT OBAMA  
[000:21:56;25] IS PRAISING THE HEROS HERE  
[000:21:57;19] IN THE HEARTLAND AND  
[000:21:58;10] PROMISING THAT THE FEDERAL  
[000:21:59;03] GOVERNMENT WILL DO  
[000:21:59;23] EVERYTHING IT CAN TO HELP.  
[000:22:00;17] HE SAYS HE HAS ALREADY  
[000:22:02;28] SIGNED A DISASTER  
[000:22:04;10] DECLARATION TO GET THINGS  
[000:22:05;09] MOVING RIGHT AWAY.  
[000:22:08;19] >> OUR PRAYERS ARE WITH THE  
[000:22:10;06] PEOPLE OF OKLAHOMA TODAY.  
[000:22:12;09] OUR GRATITUDE IS WITH THE  
[000:22:14;03] TEACHERS WHO GAVE THEIR ALL  
[000:22:15;20] TO SHIELD THEIR CHILDREN  
[000:22:17;22] WITH THE NEIGHBORS FIRST  
[000:22:19;25] RESPONDERS AND EMERGENCY  
[000:22:21;06] PERCH NELL TO HO RACED TO  
[000:22:23;18] HELP AS SOON AS THE TORNADO  
[000:22:24;23] PASSED.  
[000:22:25;07] AND WITH ALL OF THOSE WHO  
[000:22:26;25] AS DARKNESS FELL SEARCHED  
[000:22:28;21] FOR SURVIVORS THROUGH THE  
[000:22:33;25] NIGHT TENT THE FLAG ON  
[000:22:35;06] CAPITOL HILL IS STILL  
[000:22:36;03] FLYING AT HALF-STAFF IN  
[000:22:37;21] HONOR OF THE VICTIMS IN  
[000:22:39;03] OKLAHOMA.  
[000:22:39;18] ED HENRY LIVE AT THE WHITE  
[000:22:40;12] HOUSE TONIGHT.  
[000:22:41;17] ED?  
[000:22:42;02] >> SHEP IT'S INTERESTING  
[000:22:43;14] BEFORE THE PRESIDENT MADE  
[000:22:45;06] COMMENTS AT THE WHITE HOUSE  
[000:22:46;00] HE HAD A HIGH LEVEL  
[000:22:47;18] BRIEFING WITH SOME OF THE  
[000:22:48;27] ADVISORS INCLUDING JANET  
[000:22:50;03] NAPOLITANO.  
[000:22:50;19] YOU CAN SEE THE OFFICIAL  
[000:22:51;23] WHITE HOUSE PHOTO OF THAT,  
[000:22:53;03] LISA MONICA.  
[000:22:53;25] ONE OF THE OTHER ADVISORS  
[000:22:55;06] THERE.  
[000:22:55;19] YOU REMEMBER SHE WAS  
[000:22:57;16] PIVOTAL IN THE BOSTON  
[000:22:58;11] BOMBING INVESTIGATION AS  
[000:22:59;04] WELL IN TERMS OF KEEPING  
[000:22:59;27] THE PRESIDENT IN THE LOOP  
[000:23:00;21] ABOUT THE LATEST  
[000:23:02;08] DEVELOPMENT.  
[000:23:02;24] AND THE PRESIDENT MADE  
[000:23:03;25] CLEAR THAT THE FULL FORCE  
[000:23:05;12] OF THE FEDERAL GOVERNMENT  
[000:23:06;06] WILL BE ON HAND IN OKLAHOMA  
[000:23:07;12] TO DEAL WITH THIS TRAGEDY.  
[000:23:08;27] TAKE A LISTEN.  
[000:23:10;11] >> NEIGHBORHOODS WERE  
[000:23:12;24] DESTROYED.  
[000:23:13;10] DOZENS OF PEOPLE LOST THEIR  
[000:23:16;15] LIVES.  
[000:23:16;29] MANY MORE WERE INJURED.  
[000:23:19;06] AND AMONG THE VICTIMS WERE  
[000:23:22;28] YOUNG CHILDREN TRYING TO  
[000:23:24;15] TAKE SHELTER IN THE SAFEST  
[000:23:26;00] PLACE THEY KNEW, THEIR  
[000:23:29;14] SCHOOL.  
[000:23:29;28] >> INTERESTING AS WELL  
[000:23:31;20] BECAUSE CRAIG FUGATE WAS  
[000:23:32;22] NOT IN THIS BRIEFING WITH  
[000:23:33;23] THE PRESIDENT ONLY BECAUSE  
[000:23:34;22] HE WAS ALREADY ON HIS WAY  
[000:23:36;01] TO OKLAHOMA.  
[000:23:36;19] SO HIS DEPUTY WAS HERE TO  
[000:23:38;19] HELP BRIEF THE PRESIDENT  
[000:23:40;02] THE HOMELAND SECURITY  
[000:23:42;06] SECRETARY JANET NAPOLITANO  
[000:23:43;00] IS NOW ON HER WAY AS WELL.  
[000:23:43;29] SHE WILL BE IN OKLAHOMA  
[000:23:44;28] WHERE YOU ARE TOMORROW,  
[000:23:46;05] SHEP.  
[000:23:46;24] MEANWHILE, IN TERMS OF THE  
[000:23:47;24] PRESIDENT WE DON'T KNOW  
[000:23:48;18] YET WHEN HE WILL GO.  
[000:23:49;15] BUT WHITE HOUSE OFFICIALS  
[000:23:51;01] ARE SAYING PRIVATELY THAT  
[000:23:52;16] LIKELY GO AT SOME POINT BUT  
[000:23:53;18] RIGHT NOW PUBLICLY, THEY  
[000:23:55;02] ARE SAYING HE DOES NOT WANT  
[000:23:56;07] TO GET IN THE WAY OF ALL  
[000:23:57;12] THE FIRST RESPONDERS TRYING  
[000:23:58;26] TO YOU KNOW, BRING  
[000:24:00;04] EVERYONE TOGETHER, TRY IN  
[000:24:01;28] THAT RECOVERY MISSION TO  
[000:24:03;03] DEAL WITH EVERYONE ON THE  
[000:24:04;11] GROUND.  
[000:24:04;25] THE LAST THING YOU WANT TO  
[000:24:05;20] DO IS BRING THE PRESIDENT'S  
[000:24:07;02] SECURITY DETAIL IN AND  
[000:24:08;08] DISTRACT FROM ALL OF THAT,  
[000:24:09;18] SHEP.  
[000:24:10;01] WE WON'T SEE HIM FOR AT  
[000:24:10;23] LEAST A COUPLE DAYS.  
[000:24:12;21] >> Shepard: THEY COULDN'T  
[000:24:13;14] TAKE MUCH MORE TRAFFIC  
[000:24:14;26] CONGESTION HERE FOR SURE.  
[000:24:16;03] ED HENRY AT THE WHITE  
[000:24:16;29] HOUSE.  
[000:24:17;12] THERE HAVE BEEN MANY  
[000:24:18;04] STORIES OF FAMILIES WHO  
[000:24:19;08] RODE OUT THIS TORNADO IN  
[000:24:20;24] THEIR UNDERGROUND STORM  
[000:24:22;03] SHELTERS.  
[000:24:22;23] EARLIER TODAY OUR CASEY  
[000:24:23;29] STEGALL WENT OUT INTO ONE  
[000:24:24;23] OF THOSE SMALL SPACES AND  
[000:24:26;00] GOT A SENSE OF WHAT IT  
[000:24:27;17] MIGHT HAVE BEEN LIKE FOR  
[000:24:28;27] PEOPLE TO CLIMB BACK OUT  
[000:24:30;03] ONLY TO FIND HEIR HOMES  
[000:24:31;04] WERE I DON'T KNOW IF GONE.  
[000:24:32;24] >> IN OKLAHOMA, THESE ARE  
[000:24:34;08] COMMON IN THE HOMES.  
[000:24:35;16] THEY ARE JUST A LITTLE  
[000:24:36;08] SPACE AND YOU HAVE LUGGAGE  
[000:24:37;25] IN HERE.  
[000:24:38;19] SOME BOTTLED WATER.  
[000:24:39;25] MAYBE YOUR RADIO WEATHER  
[000:24:41;25] RADIO, A FLASH LIGHT.  
[000:24:42;26] LOOK AT THIS.  
[000:24:46;02] THIS IS THE GARAGE.  
[000:24:47;29] YOU CAN SEE THAT'S WHAT'S  
[000:24:51;06] LEFT OF THE HOME.  
[000:24:55;24] >> Shepard: PILES OF DEBRIS  
[000:24:56;20] ALL AROUND.  
[000:24:57;11] THE FEAR IS SOME HOMES MAY  
[000:24:58;24] HAVE COLLAPSED ON TOP OF  
[000:25:00;29] THOSE STORM SHELTERS AND  
[000:25:01;23] THE FEAR IS SOME PEOPLE  
[000:25:03;03] COULD STILL BE TRAPPED.  
[000:25:04;21] SO THEY ARE FEVERISHLY  
[000:25:07;01] SEARCHING.  
[000:25:07;16] COME COMING UP A LIVE  
[000:25:08;09] REPORT FROM THE DISASTER  
[000:25:09;03] SCENE AND WORD ON THE COST  
[000:25:11;03] OF THIS DEVASTATION.  
[000:25:12;02] FIRST, WE ARE TRACKING  
[000:25:13;07] THREATS OF MORE SEVERE  
[000:25:14;17] WEATHER RIGHT NOW.  
[000:25:15;12] OUR METEOROLOGIST JANICE  
[000:25:17;00] DEAN IN THE FOX EXTREME  
[000:25:18;06] WEATHER CENTER LIVE BACK IN  
[000:25:19;03] NEW YORK.  
[000:25:20;00] JANICE?  
[000:25:20;14] >> HI, SHEPARD YES.  
[000:25:21;16] WE STILL HAVE ARKANSAS,  
[000:25:24;04] LOUISIANA, MISSISSIPPI UP  
[000:25:25;10] TOWARDS TENNESSEE AND  
[000:25:27;17] KENTUCKY.  
[000:25:28;02] AND SEVERAL SEVERE  
[000:25:28;28] THUNDERSTORM WARNINGS JUST  
[000:25:29;23] EAST OF DALLAS.  
[000:25:30;21] NORTH AND EAST OF AUSTIN,  
[000:25:32;14] MOVING IN TOWARDS THE  
[000:25:34;08] CAROLINAS.  
[000:25:34;23] GEORGIA, TENNESSEE AND  
[000:25:36;00] KENTUCKY EACH THE  
[000:25:36;23] NORTHEAST WE ARE SEEING  
[000:25:37;29] MANY SEVERE THUNDERSTORM  
[000:25:39;01] WARNINGS.  
[000:25:39;16] SO SOMETHING WE ARE GOING  
[000:25:40;09] TO TRACK THROUGHOUT THE  
[000:25:41;11] EVENING.  
[000:25:41;25] THERE IS YOUR SEVERE RISK  
[000:25:43;19] IN THE YELLOW WITH THAT RED  
[000:25:45;26] SHADED AREA WHERE WE STILL  
[000:25:47;05] THINK WE COULD HAVE THE  
[000:25:48;13] POTENTIAL FOR HAIL  
[000:25:49;23] DAMAGING WINDS AND EVEN  
[000:25:51;06] TORNADOES.  
[000:25:51;21] THE GOOD NEWS IS STY SKIES  
[000:25:53;11] ARE CLEARING IN MOORE  
[000:25:54;21] OKLAHOMA.  
[000:25:55;06] MORE COVERAGE WITH SHEPARD  
[000:25:56;00] SMITH LIVE FROM MOORE  
[000:25:57;12] OKLAHOMA WHEN WE RETURN.
[000:26:02;28] KILLING THAT BACTERIA  YESTERDAY,
[000:26:03;16] JUST FLAUNTING IT?  AND DID YOU SEE
[000:26:05;19] THE MAGIC ERASER  CLEAN UP THAT CRAZY
[000:26:06;25] KITCHEN MESS?  IT WAS LIKE SUPER DIRTY,
[000:26:08;24] SUPER CLEAN. HOW?  WISH I HADN'T.
[000:26:11;26] [ sniffs ]  WHAT'S THAT AMAZING SMELL?
[000:26:13;00] IT'S MR. CLEAN WITH  THE AMAZING SCENT
[000:26:13;23] OF GAIN.  WOW!  YOU KNOW, IF I HAD
[000:26:18;01] A TEAM,  YOU'D BE ON IT.  [ gasps
[000:26:19;14] ] OUR MASCOT COULD BE  A CLEANOSARUS
[000:26:20;06] REX.  YOU'RE OFF THE TEAM.    [ Male
[000:26:22;22] Announcer ] DIRT    AND GRIME HAVE
[000:26:23;14] NOWHERE TO HIDE    WITH THE MR. CLEAN
[000:26:25;07] CLEAN TEAM    ON YOUR SIDE.
[000:26:30;10] The first time I saw a Sony 4k  TV,
[000:26:30;29] it was like opening my eyes.  It's
[000:26:34;17] four times the  detail of HD.
[000:26:37;13] Colors become richer.
[000:26:40;10] Details become clearer.
[000:26:44;16] Which for a filmmaker,  changes everything.
[000:26:47;25] Because now 
[000:26:48;03] there are no  more barriers between
[000:26:48;22] the  world that I see
[000:26:51;25] and the ones I can show you.
[000:26:53;21] The Sony 4k Ultra HD TV.
[000:27:58;23] WE REALLY WANTED TO TAKE  A RELAXING
[000:27:59;16] TRIP TO FLORIDA.  YOU KNOW?  JUST
[000:28:01;05] TO UNWIND.
[000:28:02;11] BUT WE CAN ONLY AFFORD  ONE TRIP THIS
[000:28:03;05] YEAR
[000:28:04;06] AND HIS HIGH SCHOOL REUNION  IS COMING
[000:28:05;01] UP IN SEATTLE.
[000:28:07;03] EVERYONE'S GOING.
[000:28:08;00] THEN WE HEARD  ABOUT HOTWIRE...
[000:28:09;10] AND REALIZED WE COULD ACTUALLY  AFFORD
[000:28:10;04] TO TAKE BOTH TRIPS.
[000:28:11;27] [WOMAN] SEE, WHEN REALLY NICE  HOTELS
[000:28:12;21] HAVE UNSOLD ROOMS
[000:28:14;26] THEY USE HOTWIRE TO FILL THEM.
[000:28:16;03] SO WE GOT OUR FOUR STAR HOTELS  FOR
[000:28:16;26] HALF PRICE.
[000:28:19;05] I SHOULD HAVE BEEN VOTED  "MOST LIKELY
[000:28:19;27] TO TRAVEL."
[000:28:22;08] ♪ H-O-T-W-I-R-E ♪
[000:28:23;18] ♪ HOTWIRE.COM ♪
[000:28:24;18] HOT RATE HOTELS NOW ON SALE.
[000:28:25;24] SAVE UP TO 70% ON    ANY WEEKEND STAY.
[000:29:36;01] >> Shepard: I'M SHEPARD  
[000:29:37;26] SMITH.  
[000:29:38;09] IT'S "THE FOX REPORT."  
[000:29:39;00] IT'S THE BOTTOM OF THE  
[000:29:39;21] HOUR, TIME FOR THE TOP OF  
[000:29:40;15] THE NEWS FROM MOORE  
[000:29:41;07] OKLAHOMA.  
[000:29:41;22] THE COMMUNITY HERE WILL  
[000:29:42;15] REBUILD.  
[000:29:42;29] IT WILL NEVER BE THE SAME.  
[000:29:45;03] THERE IS NOTHING LEFT TO  
[000:29:46;14] REPAIR.  
[000:29:46;28] NOTHING FOR FAMILIES TO  
[000:29:48;05] SALVAGE.  
[000:29:48;26] INSTEAD, THEY ARE HAVING TO  
[000:29:49;21] CLEAR EVERYTHING OUT AND  
[000:29:50;21] FRANKLY START FROM SCRATCH.  
[000:29:52;11] JUST WATCH HERE AS ONE  
[000:29:54;13] FAMILY CONFRONTED THE  
[000:29:56;02] BRUTAL REALTY THEY RECORDED  
[000:29:57;14] THE MOMENT THAT THEY  
[000:29:58;14] EMERGED FROM THEIR  
[000:29:59;25] UNDERGROUND STORM SHELTER  
[000:30:00;23] EVERYTHING THEY OWN IN A  
[000:30:02;21] PILE OF RUBBLE.  
[000:30:03;23] RIGHT WHERE THEIR HOME HAD  
[000:30:05;05] BEEN.  
[000:30:05;18] NOT A SINGLE STRUCTURE  
[000:30:06;27] STANDING AS FAR AS THE  
[000:30:08;10] CAMERA COULD SEE.  
[000:30:10;02] WE CANNOT MEASURE OF HUMAN  
