[000:00:00;734] >> THANK YOU.
[000:12:31;817] KIM JONG-UN HAS LONG
[000:12:33;419] DECRIED AS A
[000:12:35;020] PROVOCATION BUT WHAT
[000:12:36;088] WAS SEEN ON THIS SIDE
[000:12:37;156] AS A DETERRENT.
[000:12:38;724] STILL, THE STATUS QUO
[000:12:40;860] THAT HAS GINGERLY
[000:12:42;461] MAINTAINED PEACE IS
[000:12:43;529] THREATENED AS KIM JONG
[000:12:44;296] UN RUSHES TOWARDS A
[000:12:45;030] NUCLEAR WEAPON
[000:12:45;698] CAPABILITY.
[000:12:49;335] IT RAISES THE QUESTION
[000:12:50;402] WHAT ABOUT SEOUL AND
[000:12:51;470] IT'S SUSPECTED NORTH
[000:12:53;606] KOREA WOULD REIGN DOWN
[000:12:55;174] THOUSANDS OF ARTILLERY
[000:12:56;242] ROUNDS ON THIS
[000:12:56;909] SPRAWLING METROPOLIS,
[000:12:57;843] BUT WON'T GO
[000:12:58;911] UNPUNISHED.
[000:13:02;615] >> THIS IS A ROBUST
[000:13:04;216] RESPONSE NOT ONLY
[000:13:06;318] AMERICAN BUT SOUTH
[000:13:07;386] KOREAN TROOPS WORKING
[000:13:08;454] HAND-IN-HAND.
[000:13:09;522] >> Reporter: THE U.S.
[000:13:12;158] WAR PLAN IS TO QUICKLY
[000:13:13;759] OVERWHELM AND KNOCK
[000:13:15;361] OUT THE NORTH'S
[000:13:16;428] ARTILLERY THREAT.
[000:13:17;129] MOBILE RADAR UNITS
[000:13:17;863] LIKE THIS WILL TRACK
[000:13:19;064] THE INCOMING ROUNDS
[000:13:20;132] FROM THEIR SOURCE EVEN
[000:13:21;200] BEFORE THEY LAND.
[000:13:21;901] YOU CAN'T SHOOT WHAT
[000:13:22;668] YOU CAN'T SEE?
[000:13:23;302] >> EXACTLY.
[000:13:23;903] >> Reporter: THIS
[000:13:24;603] ALLOWS YOU TO SEE
[000:13:25;304] WHAT'S COMING DOWN AND
[000:13:26;071] COMING AT YOU?
[000:13:26;705] >> YES, SIR.
[000:13:27;306] >> Reporter: THE EYES
[000:13:28;073] OF A SOPHISTICATED
[000:13:28;808] RESPONSE.
[000:13:29;375] >> YOU CAN TRACK THE
[000:13:30;209] 50 INCOMING ROUNDS
[000:13:31;811] SIMULTANEOUSLY?
[000:13:32;878] >> YES, SIR.
[000:13:33;479] >> REPORTER:  THAT'S A
[000:13:34;246] LOT.
[000:13:34;713] >> YES, SIR.
[000:13:35;514] >> Reporter: THEY
[000:13:37;650] PASSED A CREW OF
[000:13:39;251] MOBILE ROCKET SYSTEM
[000:13:40;019] IS THE FANGS OF THE
[000:13:41;887] RESPONSE WHO QUICKLY
[000:13:46;158] AIM AND FIRE RIGHT
[000:13:46;892] BACK AT THE SOURCE.
[000:13:48;794] >> THIS IS A VERY
[000:13:50;396] IMPORTANT DRILL FOR US
[000:13:51;463] TO GO OVER AND
[000:13:53;032] REHEARSE AS MANY TIMES
[000:13:54;099] IN DIFFERENT SCENARIOS
[000:13:54;867] AS POSSIBLE.
[000:13:56;235] >> Reporter: THIS IS
[000:13:57;002] WHAT IT WOULD LOOK
[000:13:57;736] LIKE IN ACTION FOR
[000:13:58;470] REAL.
[000:13:58;971] THE FACT THAT TROOPS
[000:13:59;972] TRAIN WITHIN A FEW
[000:14:00;706] MILES WHERE THEY WOULD
[000:14:01;540] FIGHT IS NOT LOST ON
[000:14:02;608] THEM.
[000:14:05;244] >> Reporter: HOW HAS
[000:14:06;846] IT CHANGED THE
[000:14:08;447] SOLDIERS?
[000:14:10;583] >> THEY'VE DRIVEN OUT
[000:14:11;350] THERE, DONE
[000:14:12;151] COMMUNICATIONS CHECKS
[000:14:12;918] FROM THERE AND MADE
[000:14:13;652] SURE THEY HAVE ALL THE
[000:14:14;420] VISIBILITY THEY NEED
[000:14:15;187] AND GIVES US A SENSE
[000:14:15;955] OF PURPOSE.
[000:14:16;555] >> Reporter: LIKE THE
[000:14:17;323] AIRMEN AT THE AIR BASE
[000:14:18;090] AMERICAN SOLDIERS IN
[000:14:18;858] SOUTH KOREA ARE HOPING
[000:14:19;625] THEIR PREPARATION AND
[000:14:20;659] READINESS WILL GIVE
[000:14:21;727] NORTH KOREA PAUSE.
[000:14:22;761] >>> STILL HEAD, YOUR
[000:14:23;829] INTERNET BROWSING
[000:14:24;530] HISTORY, UP FOR SALE,
[000:14:25;431] THE REPEAL THAT MAKES
[000:14:27;032] IT LEGAL WITHOUT YOUR
[000:14:28;601] PERMISSION AND WHAT TO
[000:14:29;368] DO IF YOU FEAR FOR
[000:14:30;202] YOUR PRIVACY.
[000:17:04;189] >>> PRESIDENT TRUMP
[000:17:05;224] HAS SIGNED A NEW LAW
[000:17:06;291] THAT ROLLS BACK
[000:17:07;359] INTERNET PRIVACY RULES
[000:17:08;927] PASSED IN THE OBAMA
[000:17:09;995] ADMINISTRATION.
[000:17:11;597] NO LONGER WILL
[000:17:12;664] INTERNET PROVIDERS BE
[000:17:13;732] REQUIRED TO GET YOUR
[000:17:14;500] PERMISSION BEFORE
[000:17:15;300] SELLING YOUR INTERNET
[000:17:16;368] BROWSING HISTORY TO
[000:17:17;102] MARKETERS.
[000:17:18;504] WILL YOUR INTERNET
[000:17:19;571] SURFING REALLY BE FAIR
[000:17:20;339] GAME?
[000:17:24;877] >> Reporter: THE LAST
[000:17:25;911] TIME YOU SHOPPED
[000:17:26;979] ONLINE FOR A PAIR OF
[000:17:27;746] SHOES, DID THE ADS
[000:17:28;580] FOLLOW YOU FOR DAYS OR
[000:17:30;149] EVEN WEEKS?
[000:17:31;750] YOUR INTERNET PROVIDER
[000:17:32;818] KNOWS FAR MORE ABOUT
[000:17:33;886] YOUR BROWSING HABITS
[000:17:34;953] THAN GOOGLE, FACEBOOK
[000:17:35;721] OR AMAZON.
[000:17:37;589] NOW, THAT PROVIDER CAN
[000:17:38;357] LEGALLY SELL THAT
[000:17:39;191] INFORMATION WITHOUT
[000:17:39;925] YOUR PERMISSION.
[000:17:41;326] PRIVACY ADVOCATES ARE
[000:17:42;394] SO OUTRAGED, ADAM
[000:17:44;496] McELHANEY HAS RAISED
[000:17:45;564] OVER $200,000 ON A GO
[000:17:46;632] FUND ME PAGE FOR
[000:17:48;200] MEMBERS OF CONGRESS
[000:17:49;802] WHO PASSED THE LAW.
[000:17:51;403] >> IT SENDS A SIGNAL
[000:17:55;107] PEOPLE ARE VERY UPSET
[000:17:56;708] THEIR DATA IS NOT
[000:17:57;776] THEIRS ANYMORE.
[000:17:59;344] >> Reporter: IT'S
[000:18:00;946] UNLIKELY INTERNET
[000:18:01;647] COMPANIES WOULD SELL
[000:18:02;548] PERSONAL BROWSING
[000:18:03;615] HISTORIES BECAUSE
[000:18:04;683] THEY'RE STILL REQUIRED
[000:18:06;251] TO PROTECT CUSTOMER
[000:18:06;985] PRIVACY PRESUMABLY
[000:18:07;853] NAMES, ADDRESSES AND
[000:18:08;620] SOCIAL SECURITY
[000:18:09;455] NUMBERS.
[000:18:10;522] ONLY ANONYMOUS
[000:18:11;590] BROWSING INFORMATION
[000:18:12;658] COULD BE SOLD BUT
[000:18:13;692] PRIVACY EXPERTS WARN
[000:18:14;460] THAT MAY NOT BE
[000:18:15;127] ENOUGH.
[000:18:15;828] >> SOMEBODY WITH A
[000:18:16;895] SOPHISTICATED
[000:18:19;531] ALGORITHM PROGRAM
[000:18:20;232] COULD FIND OUT WHO YOU
[000:18:20;999] ARE BY THE BREADS
[000:18:22;201] CRUMBS ON THE
[000:18:22;835] INTERNET.
[000:18:25;370] >> Reporter: THEY SAY
[000:18:26;438] THEY'RE COMMITTED TO
[000:18:27;506] PROTECTING CUSTOMER
[000:18:28;574] PRIVACY BECAUSE WE
[000:18:29;608] VALUE YOUR TRUST.
[000:18:30;309] IF YOU'RE STILL
[000:18:32;277] CONCERNED, SECURITY
[000:18:34;913] EXPERTS SUGGEST LIMIT
[000:18:35;681] YOUR WEB BROWSING TO
[000:18:36;515] HTTPS SITES.
[000:18:37;583] THE "S" STANDS FOR
[000:18:40;786] SECURE.
[000:18:41;320] CALL YOUR INTERNET
[000:18:42;387] PROVIDER AND OPT OUT
[000:18:43;155] OF TARGETED MARKETING.
[000:18:43;956] IF YOU'RE REALLY
[000:18:45;557] CONCERNED, PAY FOR A
[000:18:46;325] VPN, VIRTUAL PRIVATE
[000:18:47;159] NETWORK THAT PUTS YOUR
[000:18:48;193] WEB SURFING IN A
[000:18:49;261] BUBBLE, BUT VPNs CAN
[000:18:50;863] ALSO DISABLE SOME
[000:18:52;464] SITES LIKE VIDEO
[000:18:53;532] STREAMING.
[000:18:54;566] THE BOTTOM LINE, FOR
[000:18:56;168] THE MOST PART, PEOPLE
[000:18:56;935] HAVE TO TRUST THE
[000:18:57;769] INTERNET PROVIDERS ARE
[000:18:58;537] KEEPING THEIR INTERNET
[000:18:59;371] PROMISES.
[000:19:04;143] >>> BACK IN A MOMENT
[000:19:05;177] WITH AN INTERNET MEGA
[000:19:06;245] MERGER.
[000:19:07;846] COULD IT MEAN HAVING
[000:19:08;914] TO CHANGE YOUR E-MAIL
[000:19:09;681] ADDRESS?
[000:22:13;131] >>> TWO BIG STORIES IN
[000:22:14;700] THE BUSINESS WORLD
[000:22:16;301] TELL YOU ABOUT.
[000:22:17;369] VERIZON HAS DECIDED TO
[000:22:18;437] COMBINE AOL AND YAHOO!
[000:22:19;504] UNDER ONE NEW COMPANY
[000:22:20;272] CALLED OATH.
[000:22:22;140] IF YOU HAVE AN AOL OR
[000:22:23;742] YAHOO! E-MAIL ACCOUNT
[000:22:24;810] THEY'RE NOT EXPECTED
[000:22:25;877] TO CHANGE.
[000:22:27;446] >>> PAYLESS SHOE
[000:22:28;513] SOURCE HAS FILED FOR
[000:22:30;649] BANKRUPTCY PROTECTION
[000:22:32;250] DECIDING TO CLOSE 400
[000:22:33;018] STORES AS IT STRUGGLES
[000:22:33;819] TO COMPETE WITH ONLINE
[000:22:34;886] STORES.
[000:22:38;056] >>> CELEBRATIONS
[000:22:38;757] TONIGHT IN THE
[000:22:39;424] CAROLINAS.
[000:22:39;991] THE NORTH CAROLINA TAR
[000:22:40;759] HEELS WON THEIR SIXTH
[000:22:41;793] NCAA CHAMPIONSHIP A
[000:22:43;929] THRILLER OVER GONZAGA,
[000:22:45;497] A DAY AFTER SOUTH
[000:22:47;099] CAROLINA WON THE
[000:22:48;166] WOMEN'S CHAMPIONSHIP
[000:22:48;934] OVER MISSISSIPPI
[000:22:49;768] STATE.
[000:22:51;903] >>> WHEN WE COME BACK,
[000:22:53;472] NORTH KOREA'S HIGHEST
[000:22:56;141] DEFECTOR IN DECADES
[000:22:57;743] LIVING LIFE ALWAYS
[000:22:58;477] LOOKING OVER HIS
[000:22:59;177] SHOULDER.
[000:22:59;177] NE. NAT=PL ..NBCAY EA SPOSTOEWL=
[000:25:51;316] >>> FINALLY, LAST
[000:25:52;350] NIGHT WE INTRODUCED
[000:25:53;084] YOU TO A HIGH RANKING
[000:25:54;486] NORTH KOREAN DEFECTOR,
[000:25:55;520] WHO COULD POTENTIALLY
[000:25:56;588] SHARE THE DEADLY FATE
[000:25:59;257] THAT HAS WE FALLEN
[000:25:59;991] OTHERS WHO DEFIED KIM
[000:26:00;759] JONG-UN.
[000:26:01;893] THAE YONG HO IS THE
[000:26:05;096] DEPUTY AMBASSADOR TO
[000:26:06;164] THE UK WHEN HE
[000:26:06;831] DEFECTED WITH HIS
[000:26:07;532] YOUNG WIFE AND SONS.
[000:26:08;300] WE MET ON THE CROWDED
[000:26:09;334] STREETS OF SEOUL
[000:26:10;402] FLANKED BY SECURITY
[000:26:11;136] AGENCIES WHOSE
[000:26:12;537] IDENTITIES WE AGREED
[000:26:13;572] TO MASK AND TALKED
[000:26:14;639] ABOUT THE AIRPORT
[000:26:16;775] ASSASSINATION OF KIM
[000:26:17;842] JONG-UN'S HALF-BROTHER
[000:26:19;945] AND EXPECTATION HE
[000:26:21;012] COULD BE NEXT.
[000:26:24;215] >> WE'RE OUT IN PUBLIC
[000:26:24;983] RIGHT NOW.
[000:26:25;550] ARE YOU AFRAID FOR
[000:26:26;284] YOUR SAFETY AT THIS
[000:26:27;018] MOMENT?
[000:26:28;420] >> AT THIS MOMENT I
[000:26:29;487] DON'T THINK SO
[000:26:30;555] BECAUSE, YOU KNOW,
[000:26:33;725] THERE ARE, YOU KNOW,
[000:26:35;860] MANY SECURITY INCH THE
[000:26:37;462] OFFICERS AROUND ME.
[000:26:39;064] BUT ANYTHING CAN
[000:26:43;835] HAPPEN, YOU KNOW.
[000:26:44;536] YOU SEE, EVEN THE
[000:26:50;208] HALF-BROTHER OF NORTH
[000:26:52;877] KOREAN BELIEVE KIM
[000:26:54;980] JONG-NAM WAS
[000:26:56;047] ASSASSINATED.
[000:26:57;115] A PUBLIC PLACE LIKE
[000:26:57;849] THE AIRPORT.
[000:26:58;717] >> HOW DID YOU REACT
[000:26:59;484] TO THAT?
[000:27:04;522] >> AT THE TIME I HEARD
[000:27:05;290] THE STORY I WAS NOT
[000:27:06;124] SURPRISED AT ALL.
[000:27:09;327] >> DO YOU THINK KIM
[000:27:10;395] JONG-UN ORDERED HIS
[000:27:11;129] DEATH?
[000:27:12;497] >> DEFINITELY, YES.
[000:27:14;099] >> DO YOU THINK HE
[000:27:15;166] WANTS YOUR DEATH?
[000:27:15;867] >> YES.
[000:27:16;735] >> YOU THINK HE WANTS
[000:27:17;502] TO KILL YOU?
[000:27:18;103] >> YES.
[000:27:18;870] KIM JONG-UN IS A MAN
[000:27:20;438] WITH THE CHARACTER
[000:27:25;243] THAT ANYTHING NO
[000:27:26;845] MATTER WHETHER IT IS A
[000:27:27;879] COUNTRY OR HUMAN
[000:27:28;580] BEING, YOU KNOW,
[000:27:29;481] SHOULD BE ELIMINATED
[000:27:31;082] IF A COUNTRY OR HUMAN
[000:27:32;684] BEING POSE A KIND OF
[000:27:34;285] THREAT TO HIM.
[000:27:40;625] >> IN THE UNITED
[000:27:41;326] STATES, WE WOULD SAY
[000:27:42;093] YOU'RE A MARKED MAN.
[000:27:42;827] >> I'M SURE I'M
[000:27:43;828] ALREADY A MARKED MAN.
[000:27:45;930] >> A SHORT WHILE
[000:27:46;998] LATER, AWAY FROM THE
[000:27:48;066] CROWDS, THAE TALKED
[000:27:49;668] ABOUT THE HORRIBLE
[000:27:50;702] PRICE OF HIS BETRAYAL.
[000:27:52;837] >> YOUR DECISION WOULD
[000:27:55;507] ALSO IMPACT PEOPLE YOU
[000:27:56;274] LOVE.
[000:27:57;609] YOU HAVE A BROTHER AND
[000:27:58;376] A SISTER STILL IN
[000:27:59;210] NORTH KOREA.
[000:28:01;346] WHAT IS YOUR
[000:28:02;414] EXPECTATION AS TO WHAT
[000:28:03;481] HAS HAPPENED TO THEM?
[000:28:06;117] >> I CANNOT DEFINITELY
[000:28:08;253] SAY TO WHICH PLACE MY
[000:28:09;854] FAMILY MEMBERS WERE
[000:28:11;423] SENT, BUT ONE THING I
[000:28:14;092] AM SURE IS THAT THEY
[000:28:15;160] MAY HAVE BEEN SENT TO
[000:28:17;796] EITHER TO REMOTE AREAS
[000:28:18;863] OR LABOR CAMPS OR TO
[000:28:20;999] SOME, WORST SCENARIO,
[000:28:24;169] THEY WERE SENT TO
[000:28:27;338] POLITICAL PRISON
[000:28:30;542] CAMPS.
[000:28:33;178] ALL THEIR HOUSES BY
[000:28:37;982] NOW WERE CONFISCATED
[000:28:41;686] BY THE REGIME.
[000:28:43;288] >> IS THAT HARD FOR
[000:28:44;322] YOU TO LIVE WITH?
[000:28:45;023] >> OH, YES, YOU KNOW.
[000:28:46;991] SO FAR I CANNOT GET
[000:28:48;059] RID OF THIS KIND OF
[000:28:49;627] NIGHTMARE EVERY NIGHT.
[000:28:52;297] >> THAE HAS CALLED IN
[000:28:54;432] HIS WORDS FOR THE
[000:28:55;500] ELIMINATION OF KIM
[000:28:56;568] JONG-UN AND HOLDS OUT
[000:28:57;635] HOPE SOME DAY BEING
[000:28:59;738] REUNITED WITH HIS
[000:29:01;339] FAMILY STILL INSIDE OF
[000:29:02;407] NORTH KOREA.
[000:29:03;975] >>> THAT WILL DO IT
[000:29:05;043] FOR US ON THIS TUESDAY
[000:29:06;111] NIGHT FROM THE AIR
[000:29:07;178] BASE IN SOUTH KOREA.
[000:29:08;246] I'M LESTER HOLT.
[000:29:09;280] I'LL SEE YOU BACK IN
[000:29:10;048] THE U.S. TOMORROW
[000:29:10;882] NIGHT.
[000:29:12;484] FOR ALL OF US, THANKS
[000:29:13;251] FOR WATCHING AND GOOD
[000:29:14;018] NIGHT.GUNRE  WI COTRYWHATNSTIT
[000:29:25;096] >>> [ BLEEP ].
[000:29:25;497] >> RIGHT NOW AT 6:00, GUNFIRE IN
[000:29:28;500] WINE COUNTRY, WHAT INVESTIGATORS
[000:29:30;235] SAY LED TO THIS DEADLY SHOOTOUT.
[000:29:34;606] THE NEWS AT 6:00 STARTS RIGHT
[000:29:37;342] NOW.
[000:29:37;675] GOOD EVENING.
[000:29:38;910] THANKS FOR JOINING US.
[000:29:41;179] I'M JESSICA AKBEERY.
[000:29:42;914] >> I'M RAJ MATHAI.
[000:29:45;316] WE'VE BEEN COVERING THIS.
[000:29:47;585] A CAR RIDDLED WITH BULLETS, A
[000:29:50;221] SCHOOL ON LOCKDOWN AND
[000:29:51;589] INVESTIGATORS LINING THE STREETS
[000:29:53;224] NEAR WEST PARK ELEMENTARY SCHOOL
[000:29:54;959] RIGHT OFF HIGHWAY 29.
[000:29:56;895] SEVERAL OFFICERS WERE INVOLVED
[000:29:58;296] IN THIS SHOOTING.
[000:30:01;733] NBC BAY AREA'S RICK BOON IS IN
[000:30:04;302] NAPA WITH A CELL PHONE AND THE
[000:30:05;970] NEW DETAILS.
[000:30:07;205] >> Reporter: YEAH, I JUST TALKED
[000:30:09;007] TO NEIGHBORS, AND THEY TELL ME
[000:30:10;542] THAT AS THEY HEARD THOSE SHOTS
[000:30:12;143] YOU JUST PLAYED THERE, THEY
[000:30:13;745] DUCKED FOR COVER.
[000:30:14;879] THAT'S WHAT A LOT OF PEOPLE ON
[000:30:18;583] THIS TRESTREET, WHEN THEY HEARD
[000:30:20;652] THOSE BULLETS.
[000:30:23;054] THIS ALL BEGAN JUST BEFORE 2
[000:30:30;361] CHE2:00 P.M.
[000:30:31;529] OFFICERS FIRED SEVERAL SHOTS AT
[000:30:36;034] A REEK AFT
[000:30:36;768] A VEHICLE AFTER THE CAR FIRST
[000:30:38;603] FIRED AT POLICE.
[000:30:39;938] NEIGHBORS CALLED POLICE AFTER
[000:30:41;172] HEARING SHOTS NEAR A HOME.
[000:30:42;740] POLICE RESPONDED.
[000:30:43;908] THAT'S WHEN THE ALTERCATION
[000:30:45;443] HAPPENED.
[000:30:45;710] IT PLAYED OUT DIRECTLY ACROSS
[000:30:47;378] THE STREET FROM WEST PARK
[000:30:48;947] ELEMENTARY.
[000:30:49;347] THE SCHOOL WAS PLACED ON HO
[000:30:53;384] LOCKDOWN, PARENTS SHOWED UP,
[000:30:55;620] WORRIED, BUT COULDN'T GET
[000:30:56;321] THROUGH BAUGH THE STREETS ARE
[000:30:58;189] SHUT
