[000:00:00;09] [ LAUGHTER ]  
[000:15:17;00] HIS CASE WITH THE SAME  
[000:15:19;23] THREE WORDS THE DEFENSE  
[000:15:25;12] RESTS.  
[000:15:25;25] HE OFFERED NO TESTIMONY IN  
[000:15:28;02] HIS TRIAL DETERMINING  
[000:15:28;23] WHETHER HE LIVES OR DIES  
[000:15:29;23] FOR THE CRIME KILLING FROM  
[000:15:31;29] HIS POST IN 2009.  
[000:15:33;14] JURORS HEARD FROM VICTIMS'  
[000:15:35;04] FAMILY MEMBERS TODAY.  
[000:15:36;19] ONE WOMAN WHO LOST HER  
[000:15:37;18] HUSBAND SAID SHE CANNOT  
[000:15:38;22] BRING HERSELF TO MOVE ANY  
[000:15:39;23] OF HIS BELONGINGS EVENING  
[000:15:41;12] TO THIS DAY.  
[000:15:42;11] HIS MOTORCYCLE STILL IN THE  
[000:15:44;15] GARAGE.  
[000:15:44;29] HIS CLOTHES STILL HANGING  
[000:15:45;22] IN THE CLOSET.  
[000:15:46;19] ANOTHER WIDOW DESCRIBED HER  
[000:15:47;20] RELIEF WHEN AN ARMY  
[000:15:49;01] OFFICIAL TOLD HER THAT ALL  
[000:15:50;12] THE VICTIMS' FAMILIES HAD  
[000:15:52;00] ALREADY BEEN NOTIFIED.  
[000:15:53;11] SHE TESTIFIED TODAY IN A  
[000:15:55;04] STRANGE SENSE OF IRONY THAT  
[000:15:56;18] SHE THOUGHT HER HUSBAND WAS  
[000:15:57;28] STILL UNACCOUNTED FOR AND  
[000:15:59;06] JOKED TO HERSELF I'M GOING  
[000:16:00;17] TO KILL HIM BUT THAT ARMY  
[000:16:03;22] OFFICIAL TURNED OUT TO BE  
[000:16:05;00] WRONG, HER HUSBAND WAS  
[000:16:06;00] ALREADY DEAD.  
[000:16:07;11] CASEY STEGALL HAS THE NEWS  
[000:16:08;17] LIVE AT FORT HOOD TONIGHT  
[000:16:09;21] WITH US.  
[000:16:11;29] CASEY?  
[000:16:12;12] >> YEAH, BILL.  
[000:16:12;29] >> AMONG THOSE WE HEARD  
[000:16:14;05] FROM TODAY THREE WIDOWS  
[000:16:15;21] AND THREE MOTHERS WHO TRIED  
[000:16:17;20] EXPLAINING WHAT LIFE HAS  
[000:16:18;18] BEEN LIKE SINCE THEIR  
[000:16:19;26] HUSBANDS OR THEIR CHILDREN  
[000:16:21;14] WERE KILLED.  
[000:16:22;14] EXTREMELY EMOTIONAL, MANY  
[000:16:23;07] OF THEM REACHING FOR  
[000:16:24;09] TISSUES WHILE ON THE STAND.  
[000:16:26;08] IT'S LIKE TINA, HER SON  
[000:16:28;26] PRIVATE FIRST CLASS AARON  
[000:16:30;18] WAS JUST 19 YEARS OLD WHEN  
[000:16:32;12] HASAN GUNNED HIM DOWN.  
[000:16:33;29] SHE TEARFULLY RECALLED THE  
[000:16:35;08] MOMENT OFFICERS ARRIVED AT  
[000:16:36;02] HER HOME TO MAKE THE  
[000:16:37;11] NOTIFICATION.  
[000:16:37;28] SHE SAID FROM THE STAND AND  
[000:16:38;22] I'M QUOTING HERE:  YOU JUST  
[000:16:40;23] FREEZE.  
[000:16:41;07] YOU CAN'T OPEN THAT DOOR.  
[000:16:43;03] YOU DON'T WANT THE NEWS  
[000:16:44;02] THAT YOU HAVE LOST YOUR  
[000:16:45;16] SON.  
[000:16:45;28] IT IS THE WORST NEWS YOU  
[000:16:47;14] COULD EVER HEAR.  
[000:16:48;17] NOW, FIRST THING TOMORROW  
[000:16:49;27] MORNING, THE PANEL WILL  
[000:16:51;05] BEGIN SENTENCING  
[000:16:52;19] INSTRUCTIONS.  
[000:16:53;06] THEN THE PROSECUTION WILL  
[000:16:54;06] GIVE CLOSING ARGUMENTS, AND  
[000:16:56;04] FINALLY MAJOR HASAN WILL  
[000:16:57;14] HAVE ONE MORE CHANCE TO  
[000:17:00;02] SPEAK.  
[000:17:00;15] THE PROSECUTION HAS A  
[000:17:01;06] CHANCE TO GIVE A REBUTTAL  
[000:17:02;18] AND THEN THE PANEL GETS  
[000:17:04;01] THIS CASE ONCE AGAIN,  
[000:17:06;13] DELIBERATIONS BEGIN.  
[000:17:07;13] ALL 13 OF THOSE SENIOR ARMY  
[000:17:10;01] OFFICERS MUST BE UNANIMOUS  
[000:17:11;05] IF THEY WANT' TO GIVE THE  
[000:17:13;17] 42-YEAR-OLD ARMY  
[000:17:14;08] PSYCHIATRIST THE DEATH  
[000:17:14;29] PENALTY, BILL.  
[000:17:16;05] >> Bill: WHAT A ROAD THIS  
[000:17:16;28] HAS BEEN FOR ALL OF THEM.  
[000:17:18;06] CASEY, THANK YOU.  
[000:17:18;29] CASEY STEGALL THERE.  
[000:17:19;24] EVEN IF MAKE HASAN GETS THE  
[000:17:21;12] DEATH PENALTY, IT WILL BE  
[000:17:22;08] FAR FROM A DONE DEAL IT  
[000:17:23;24] WOULD LIKELY MEAN YEARS OF  
[000:17:26;04] APPEALS.  
[000:17:26;18] IN THE PAST 30 YEARS  
[000:17:27;20] MILITARY APPEALS COURTS  
[000:17:29;17] HAVE OVERTURNED SOME TWO  
[000:17:30;15] THIRDS OF ALL DEATH  
[000:17:31;24] SENTENCES.  
[000:17:32;15] AND THE MILITARY HAS NOT  
[000:17:34;08] EXECUTED ANYONE IN MORE  
[000:17:35;20] THAN 50 YEARS.  
[000:17:38;02] THREE MILLION DOLLARS' BAIL  
[000:17:39;00] FOR A TEENAGER ACCUSED OF  
[000:17:40;14] KILLING AN AMERICAN WAR  
[000:17:42;05] HERO.  
[000:17:43;21] A JUDGE MADE IS THAT RULING  
[000:17:44;21] FOR THE 16-YEAR-OLD ACCUSED  
[000:17:46;11] KILLER DURING HIS FIRST  
[000:17:47;29] COURT APPEARANCE TODAY IN  
[000:17:48;22] THE STATE OF WASHINGTON.  
[000:17:49;27] ANOTHER 16-YEAR-OLD IS  
[000:17:51;01] BEHIND BARS ON $2 MILLION  
[000:17:53;03] BAIL.  
[000:17:53;16] PROSECUTORS WILL TRY BOTH  
[000:17:54;12] TEENS AS ADULTS FOR FIRST  
[000:17:55;24] DEGREE MURDER AND ROBBERY.  
[000:17:57;08] THEY SAY THE TEENS RANDOMLY  
[000:17:59;15] TARGETED THEN KILLED THIS  
[000:18:00;29] 88-YEAR-OLD VETERAN OF  
[000:18:02;02] WORLD WAR II.  
[000:18:03;02] THE VICTIM HAD SURVIVED A  
[000:18:04;18] SHOT TO THE LEG IN OKINAWA.  
[000:18:07;00] ONE OF THE BLOODIEST  
[000:18:09;06] BATTLES OF THE SECOND WORLD  
[000:18:10;25] WAR.  
[000:18:11;07] GEORGE ZIMMERMAN LOOKING  
[000:18:11;29] FOR HUNDREDS OF THOUSANDS  
[000:18:14;01] OF DOLLARS FROM THE STATE  
[000:18:15;18] OF FLORIDA TONIGHT.  
[000:18:16;19] AHEAD WHY THE MAN CLEARED  
[000:18:17;16] IN THE DEATH OF TRAYVON  
[000:18:18;23] MARTIN COULD BE GETTING A  
[000:18:19;28] BIG CHUNK OF CHANGE.  
[000:18:21;02] PLUS, THE LITTLE GIRL WHO  
[000:18:22;18] TWICE SURVIVED DOUBLE LUNG  
[000:18:24;28] TRANSPLANTS FINALLY GOES  
[000:18:26;07] HOME FROM THE HOSPITAL.  
[000:18:27;16] YOU WILL HEAR FROM YOUNG  
[000:18:29;09] SARAH HERSELF COMING UP  
[000:18:31;11] TONIGHT INSIDE "THE FOX  
[000:18:32;12] REPORT."
[000:18:39;07] [ Male Announcer ]    THESE DAYS,
[000:18:39;28] A SMALL BUSINESS    CAN SAVE BY SHARING.
[000:18:41;09] LIKE CARPOOLS...  POLLY WANTS TO KNOW
[000:18:42;09] IF WE CAN PICK HER UP.  YEAH  WE CAN
[000:18:43;28] MAKE ROOM.  YEAH.    [ Male Announcer
[000:18:45;14] ]    ...OFFICE SPACE.  YES, WE'RE
[000:18:46;15] LOVING THIS  COMMUNAL SEATING. IT'S
[000:18:47;06] GREAT.    [ Male Announcer ]    THE
[000:18:48;07] BEST THING TO SHARE?    A DATA PLAN.
[000:18:50;17] AT&T MOBILE SHARE FOR BUSINESS.  
[000:18:51;25] ONE BUCKET OF DATA    FOR EVERYONE
[000:18:52;17] ON THE PLAN    UNLIMITED TALK AND
[000:18:54;24] TEXT    ON SMART PHONES.    NOW, EVERYONE'S
[000:18:56;26] IN THE SPIRIT    OF SHARING.  HEY,
[000:18:58;17] CAN I BORROW YOUR BOAT  THIS WEEKEND?
[000:19:02;04] NO.    [ Male Announcer ]    SHARE
[000:19:03;08] MORE. SAVE MORE.    AT&T MOBILE SHARE
[000:19:05;01] FOR BUSINESS.  ♪ ♪
[000:19:09;13] [ Male Announcer ]    RUNNING OUT
[000:19:10;05] OF STEAM?  ♪ ♪    NOW YOU CAN GIVE
[000:19:12;10] YOURSELF    A KICK IN THE REAR!  
[000:19:15;09] V8 V-FUSION PLUS ENERGY.    NATURAL
[000:19:16;18] ENERGY FROM GREEN TEA    PLUS FRUITS
[000:19:17;09] AND VEGGIES.    NEED A LITTLE KICK?
[000:19:20;08] OOH!    COULD'VE HAD A V8.    IN THE
[000:19:21;21] JUICE AISLE.
[000:19:24;09] THE BOYS USED DOUBLE MILES FROM  THEIR
[000:19:25;02] CAPITAL ONE VENTURE CARD  TO FLY HOME
[000:19:26;20] FOR THE BIG FAMILY REUNION.  YOU MUST
[000:19:28;20] BE  GARTH'S FATHER?  HELLO.  MOTHER.
[000:19:31;03] MOTHER!  TRAVELING IS EASY  WITH THE
[000:19:32;03] VENTURE CARD  BECAUSE YOU CAN FLY
[000:19:33;17] ANY AIRLINE ANYTIME.  TWO WORDS. 
[000:19:37;18] DOUBLE MILES!  THIS GUY CAN ACT. 
[000:19:40;10] WANNA PLAY DODGE ROCK?  OH, YOU GUYS!
[000:19:43;10] AND WITH DOUBLE MILES  YOU CAN ACTUAY
[000:19:44;04] USE,  YOU NEVER MISS THE FUN.  BEARD
[000:19:47;11] GROWING CONTEST AND GO!  ♪ ♪   WIN!
[000:19:52;07] WHAT'S IN YOUR WALLET?
[000:20:25;18] Alert.  The beach on your TV is much
[000:20:26;17] closer than it appears.
[000:20:32;20] Dive into Labor Day with up  to 50%
[000:20:33;09] off hotels
[000:20:36;04] at Travelocity.
[000:21:34;09] >> Bill: QUICK NOTE HERE.  
[000:21:36;09] EARLIER WE SHOWED YOU  
[000:21:37;00] IMAGES OF AN AMERICAN  
[000:21:37;21] MISSIONARY HELD IN NORTH  
[000:21:38;13] KOREA, KENNETH BEA.  
[000:21:39;03] ONE OF THOSE IMAGES YOU SAW  
[000:21:40;14] WAS THE WRONG MAN.  
[000:21:41;22] THIS IS A CORRECT PHOTO OF  
[000:21:43;16] THE MISSIONARY KENNETH BAE.  
[000:21:45;24] NOW THEY ARE HOPEFULLY  
[000:21:46;22] COMING HOME SOON.  
[000:21:47;27] WE ALL DO.  
[000:21:48;26] TAXPAYERS COULD SOON BE ON  
[000:21:50;28] THE HOOK FOR A BIG CHUNK OF  
[000:21:53;02] GEORGE ZIMMERMAN'S COURT  
[000:21:54;15] BILLS.  
[000:21:54;28] ACCORDING TO THE OFFICE OF  
[000:21:56;12] MARK O'MARA IN FLORIDA THE  
[000:21:58;05] CLIENT PLANS TO ASK THE  
[000:21:59;08] STATE OF FLORIDA TO COVER  
[000:22:00;05] UP TO $300,000 IN LEGAL  
[000:22:02;04] BILLS.  
[000:22:02;17] THAT WOULD INCLUDE THE COST  
[000:22:04;00] OF EXPERT WITNESSES AND  
[000:22:05;05] TRAVEL AND A LOT MORE  
[000:22:05;27] DURING THAT CASE.  
[000:22:06;29] BUT THE ATTORNEY'S OFFICE  
[000:22:08;16] REPORTS ZIMMERMAN IS NOT  
[000:22:09;24] ASKING THE STATE TO PAY FOR  
[000:22:12;10] OWE MAYOR WRAPS SPECIFIC  
[000:22:13;22] FEES.  
[000:22:14;05] LAST MONTH A JURY CLEARED  
[000:22:15;13] ZIMMERMAN IN THE SHOOTING  
[000:22:16;23] DEATH OF TRAYVON MARTIN.  
[000:22:18;13] FLORIDA LOU ALLOWS A  
[000:22:19;18] DEFENDANT TO GET REIMBURSED  
[000:22:21;00] FOR CERTAIN LEGAL BILLS IN  
[000:22:22;00] THE EVENT OF AN ACQUITTAL  
[000:22:23;18] WHICH ZIMMERMAN WAS  
[000:22:24;23] GRANTED.  
[000:22:25;19] A YOUNG GIRL WHO DOCTORS  
[000:22:27;09] SAID WOULD DIE IN A  
[000:22:28;13] HOSPITAL IS FINALLY BACK  
[000:22:30;10] HOME TONIGHT.  
[000:22:31;22] BALLOONS AND BANNERS  
[000:22:33;24] GREETING 10-YEAR-OLD SARA  
[000:22:35;18] MURNAGHAN HAS SHE ARRIVED  
[000:22:36;19] HOME FOR THE FIRST TIME IN  
[000:22:37;24] SINGS MONTHS.  
[000:22:38;14] SHE SURVIVED NOT ONE BUT  
[000:22:40;25] TWO DOUBLE LUNG  
[000:22:42;09] TRANSPLANTS.  
[000:22:43;01] OPERATIONS THAT SPARKED A  
[000:22:44;02] NATIONAL DEBATE ON HOW  
[000:22:45;25] TRANSPLANTS ARE  
[000:22:47;08] PRIORITIZED.  
[000:22:47;24] DOCTORS SAYING THAT SARA  
[000:22:49;12] HAD NO CHANCE WITHOUT NEW  
[000:22:50;27] LUNGS.  
[000:22:51;10] SHE WAS NOT OLD ENOUGH TO  
[000:22:52;17] GET ON THE ADULT DONOR  
[000:22:54;06] WAITING LIST WHERE THERE  
[000:22:55;18] ARE FAR MORE DONATED LUNGS  
[000:22:58;05] THAN ON THE PEED AT TRICK  
[000:23:02;11] WAITING LIST.  
[000:23:03;19] THE PARENTS SUED.  
[000:23:05;00] THE FIRST TRANSPLANT  
[000:23:06;18] FAILED.  
[000:23:07;02] THE SECOND ONE SEEMS TO  
[000:23:07;24] HAVE WORKED SO FAR.  
[000:23:09;00] TODAY SARAH'S PARENTS  
[000:23:10;17] UPDATED REPORTERS OUT OF  
[000:23:11;13] THEIR HOME IN PENNSYLVANIA.  
[000:23:12;29] >> SARAH IS LOOKING FORWARD  
[000:23:13;27] TO BEING A REGULAR LITTLE  
[000:23:16;07] KID.  
[000:23:16;20] TO GOING OUTSIDE AND  
[000:23:17;20] PLAYING WITH HER FRIENDS.  
[000:23:18;24] SHE WOULD LIKE TO BE ON THE  
[000:23:20;07] SOCCER TEAM.  
[000:23:21;13] SHE USED TO HORSEBACK RIDE  
[000:23:22;26] AND ICE SKATE.  
[000:23:23;29] SHE IS LOOKING FORWARD TO  
[000:23:25;18] DOING THOSE THINGS AGAIN.  
[000:23:26;13] >> SO DEWE.  
[000:23:28;09] SARAH STILL NEEDS A MACHINE  
[000:23:29;10] TO HELP HER NEW LUNGS  
[000:23:31;03] BREATHE.  
[000:23:31;17] SARAH HAS STARTED WALKING  
[000:23:32;27] AGAIN WITH THE HELP OF A  
[000:23:34;02] WALKER.  
[000:23:34;16] AT ONE POINT EVEN VENTURING  
[000:23:35;29] OUTSIDE TO FEEL THE WARM  
[000:23:36;26] AIR IN AUGUST.  
[000:23:37;27] TRACE GALLAGHER IS LIVE  
[000:23:38;21] WITH AN UPDATE NOW.  
[000:23:40;05] WHAT AN AMAZING COME BACK  
[000:23:41;23] STORY THIS HAS BEEN FOR  
[000:23:42;24] HER, TRACE.  
[000:23:43;12] GOOD EVENING.  
[000:23:43;29] >> YOU SAID IT BILL.  
[000:23:44;24] GOOD EVENING TO YOU.  
[000:23:45;21] ESPECIALLY WHEN YOU  
[000:23:46;11] CONSIDER THAT HER PARENTS  
[000:23:47;09] WERE ACTUALLY GOING TO  
[000:23:48;10] COURT FIGHTING TO GET HER  
[000:23:49;11] ON THE ADULT TRANSPLANT  
[000:23:50;28] LIST, I MEAN SARAH WAS  
[000:23:52;04] VERY CLOSE TO DEATH.  
[000:23:52;28] SHE WAS ON A BREATHING  
[000:23:54;11] TUBE.  
[000:23:54;24] SHE WAS HEAVILY SEDATED.  
[000:23:56;16] LUNG TRANSPLANT PATIENTS  
[000:23:58;21] ARE GRADED BY THIS LUNG  
[000:24:01;01] ALLOCATION SCORE GOES FROM  
[000:24:02;14] 0 TO 100.  
[000:24:03;24] ANYTHING ABOVE 50 IS  
[000:24:05;20] CONSIDERED DIRE.  
[000:24:06;14] AT THE TIME SARAH'S SCORE  
[000:24:08;21] 91.  
[000:24:09;03] AND NOW SHE IS ANSWERING  
[000:24:10;08] QUESTIONS.  
[000:24:10;23] LISTEN.  
[000:24:12;09] >> HOW DOES IT FEEL TO BE  
[000:24:14;09] HOME?  
[000:24:14;22] >> GREAT.  
[000:24:15;07] >> YEAH?  
[000:24:15;28] >> YEAH.  
[000:24:16;12] >> WHAT WAS THE RIDE IN THE  
[000:24:17;26] AMBULANCE LIKE?  
[000:24:21;10] >> PRETTY FUN.  
[000:24:22;10] >> PRETTY FUN?  
[000:24:23;04] WERE YOU NERVOUS AT FIRST?  
[000:24:24;12] >> YEAH.  
[000:24:24;26] >> AND THEN IT GOT KIND OF  
[000:24:27;08] COOL?  
[000:24:27;21] >> YEAH.  
[000:24:29;20] >> YOU CAN SEE SHE IS ON  
[000:24:31;03] THE TRACHEOTOMY, STILL VERY  
[000:24:32;28] WEAK LUNGS.  
[000:24:33;16] THE FIRST THING SHE ASKED  
[000:24:34;22] HER SISTER FOR, BILL WAS A  
[000:24:36;21] DOLL SO THAT HE SHOOKD  
[000:24:37;19] START PLAYING AGAIN.  
[000:24:40;07] >> Bill: AMAZE SHE GO  
[000:24:40;28] SLEEPING AT HOME TONIGHT.  
[000:24:41;21] SHE STILL HAS A LONG WAY TO  
[000:24:43;02] GO THOUGH, RIGHT TRACE?  
[000:24:44;08] >> YEAH YEARS OF REHAB.  
[000:24:46;05] SHE WILL BE IN DOCTORS'  
[000:24:48;16] CHECKUP EVERY WEEK FOR THE  
[000:24:49;26] FORESEEABLE FUTURE.  
[000:24:50;16] SHE WILL BE ON MEDICATION  
[000:24:51;16] FOR THE REST OF HER LIFE TO  
[000:24:54;20] MAKE SURE HER BODY DOES NOT  
[000:24:56;07] REJECT THE LUNGS.  
[000:24:57;05] YOU HEARD HER MOM EARLIER  
[000:24:59;20] SAY SHE USED TO HORSEBACK  
[000:25:01;05] RIDE AND ICE SKATE.  
[000:25:02;12] NOW SHE IS USING A WAKE.  
[000:25:04;01] SHE CLEAR SOLID A FIGHTER.  
[000:25:05;12] NEXT WEEK SHE STARTS HOME  
[000:25:06;27] SCHOOL AND HER FAMILY IS NO  
[000:25:08;14] LONGER THINKING ABOUT HER  
[000:25:10;03] DAY-TO-DAY.  
[000:25:10;19] LISTEN.  
[000:25:11;06] >> WE'RE LOOKING FORWARD TO  
[000:25:12;21] SARAH HAVING A NICE LONG  
[000:25:15;02] LIFE GOING TO COLLEGE,  
[000:25:15;24] GETTING MARRIED, HAVING A  
[000:25:16;27] FAMILY AND DOING EVERYTHING  
[000:25:18;09] THAT WE DREAM FOR OUR OTHER  
[000:25:20;00] KIDS.  
[000:25:21;06] >> AND BY THE WAY THE  
[000:25:22;13] PARENTS SAY THEY WILL  
[000:25:23;05] CONTINUE TO FIGHT TO GET  
[000:25:24;25] OTHER KIDS PLACED ON THAT  
[000:25:27;09] ADULT LUNG TRANSPLANT LIST.  
[000:25:29;00] >> THEY HAVE A LOT OF CALLS  
[000:25:29;29] FOR THAT.  
[000:25:30;19] TRACE GALLAGHER, THANK YOU.  
[000:25:32;15] TRACE GALLAGHER IN THE WEST  
[000:25:33;26] COAST BUREAU THERE AS A  
[000:25:34;26] RESULT OF TEMPORARY RULE  
[000:25:36;06] CHANGE THAT GAVE SARAH NEW  
[000:25:38;02] LUNGS THE FAMILIES OF SIX  
[000:25:39;00] OTHER CHILDREN HAVE APPLIED  
[000:25:40;18] FOR ADULT LUNG TRANSPLANTS  
[000:25:42;11] AS OF NOW.  
[000:25:43;03] THE WHITE HOUSE CLAIMS THE  
[000:25:44;16] U.S. WILL RESPOND TO THAT  
[000:25:46;01] DEADLY CHEMICAL WEAPONS  
[000:25:46;26] ATTACK IN SYRIA.  
[000:25:48;16] BUT, SOME REPUBLICAN  
[000:25:49;06] LEADERS ARE WEIGHING IN ON  
[000:25:50;15] WHAT TYPE OF RESPONSE THAT  
[000:25:51;21] SHOULD BE.  
[000:25:53;02] PLUS THAT ENORMOUS  
[000:25:54;20] WILDFIRE BURNING IN AROUND  
[000:25:57;05] YOSEMITE NATIONAL PARK IT  
[000:25:58;00] IS STILL GOING AGAIN  
[000:25:59;07] TONIGHT.  
[000:25:59;21] WAIT UNTIL YOU HEAR HOW  
[000:26:00;13] LONG IT MAY TAKE TO FINALLY  
[000:26:01;18] PUT THIS ONE OUT.  
[000:26:02;24] IN A DRAMATIC COURTROOM  
[000:26:04;23] OUTBURST CAUGHT ON CAMERA.  
[000:26:06;01] DID YOU SEE THIS?  
[000:26:07;07] WHY A MAN APPARENTLY TRIED  
[000:26:08;09] TO GET HIS OWN HANDS ON AN  
[000:26:10;12] ACCUSED KILLER.  
[000:26:11;11] YOU WILL HEAR HIS STORY  
[000:26:12;08] COMING UP.  
[000:26:15;07] INSIDE "THE FOX REPORT" AT  
[000:26:16;00] THE BOTTOM OF THE HOUR.
[000:26:20;26] D TO DESCRIBE,  BECAUSE YOU HAVE A
[000:26:21;16] NUMBNESS,  BUT YET YOU HAVE THE PAIN
[000:26:25;19] LIKE THOUSANDS OF NEEDLES  STICKING
[000:26:26;10] IN YOUR FOOT.  IT WAS PROGRESSIVELY
[000:26:29;01] GETTING WORSE,  AND AT THAT POINT
[000:26:30;02] I KNEW I HAD TO DO SOMETHING.  ONCE
[000:26:32;05] I STARTED TAKING THE LYRICA  THE PAIN
[000:26:34;13] STARTED SUBSIDING.    [ Male Announcer
[000:26:35;15] ] IT'S KNOWN    THAT DIABETES DAMAGES
[000:26:36;08] NERVES.    LYRICA IS FDA APPROVED
[000:26:38;09] TO TREAT DIABETIC NERVE PAIN.    LYRICA
[000:26:41;13] IS NOT FOR EVERYONE.    IT MAY CAUSE
[000:26:42;21] SERIOUS ALLERGIC REACTIONS    OR SUICIDAL
[000:26:44;18] THOUGHTS    OR ACTIONS.    TELL YOUR
[000:26:45;29] DOCTOR RIGHT AWAY    IF YOU HAVE THESE,
[000:26:48;07] NEW OR WORSENING DEPRESSION,    OR
[000:26:49;05] UNUSUAL CHANGES    IN MOOD OR BEHAVIOR.
[000:26:51;05] OR SWELLING, TROUBLE BREATHING,  
[000:26:51;27] RASH, HIVES, BLISTERS,    CHANGES
[000:26:54;17] IN EYESIGHT    INCLUDING BLURRY VISION,
[000:26:56;20] MUSCLE PAIN WITH FEVER,    TIRED FEELING,
[000:26:58;28] OR SKIN SORES FROM DIABETES.    COMMON
[000:27:00;01] SIDE EFFECTS ARE    DIZZINESS, SLEEPINESS,
[000:27:01;28] WEIGHT GAIN AND SWELLING    OF HANDS,
[000:27:02;19] LEGS AND FEET.    DON'DRINK ALCOHOL
[000:27:04;22] WHILE TAKING LYRICA.    DON'T DRIVE
[000:27:06;22] OR USE MACHINERY    UNTIL YOU KNOW
[000:27:07;27] HOW LYRICA AFFECTS YOU.    THOSE WHO
[000:27:09;12] HAVE HAD A DRUG    OR ALCOHOL PROBLEM
[000:27:11;09] MAY BE MORE LIKELY    TO MISUSE LYRICA.
[000:27:12;29] ASK YOUR DOCTOR    ABOUT LYRICA TODAY.
[000:27:15;04] IT'S SPECIFIC TREATMENT    FOR DIABETIC
[000:27:15;26] NERVE PAIN.
[000:27:18;20] Peace of mind is important when  you're
[000:27:19;13] running a successful  business.  So
[000:27:20;10] we provide IT services you  can rely
[000:27:21;02] on.  With CenturyLink as your trusted
[000:27:23;08] IT partner  you'll experience reliable
[000:27:26;13] uptime for the network and  services
[000:27:27;02] you depend on.  Multi-layered security
[000:27:28;28] solutions  keep your information safe,
[000:27:29;19] and  secure.  And responsive dedicated
[000:27:34;07] support  meets your needs, and eases
[000:27:34;27] your  mind.  CenturyLink.  Your link
[000:27:40;17] to what's next.
[000:28:19;10] ♪  (Announcer) Bring the adventure
[000:28:39;19] to their bowl with a
[000:28:43;05] whole world of exciting  flavs.
[000:28:44;26] Friskies. Feed the senses.
[000:28:48;29] HEY, IT'S ME  PROGRESSIVE INSURANCE.
[000:28:50;08] YOU KNOW, FROM OUR 4,000  TELEVISION
[000:28:50;29] COMMERCIALS.
[000:28:53;27] YEP, THERE I AM WITH FLO.
[000:28:56;09] HOO-HOO! WATCH IT!
[000:28:57;01] [Chuckles] ANYHOO, 3 MILLION  PEOPLE
[000:28:57;22] SWITCHED TO ME LAST YEAR,
[000:29:00;14] SAVING AN AVERAGE  OF $475.
[000:29:03;22] [Sigh] IT FEELS GOOD  TO HELP PEOPLE
[000:29:04;15] SAVE...
[000:29:06;05] WITH GREAT DISCOUNTS LIKE  SAFE DRIVER,
[000:29:07;00] MULTICAR,
[000:29:09;26] AND MULTIPOLICY.
[000:29:11;10] SO CALL ME TODAY.  YOU'LL BE GLAD
[000:29:12;03] YOU DID.
[000:29:14;21] CANNONBOX!
[000:29:15;22] [SPLASH!]
[000:29:18;28] A HOT SMELLY CAR VERSUS    A FEBREZE
[000:29:19;19] CAR VENT CLIP.
[000:29:25;06] WHICH COMES OUT ON TOP?    WE BROUGHT
[000:29:26;18] REAL PEOPLE TO    THE TEXAS DESERT
[000:29:27;10] TO FIND OUT.  IT'S JUST NICE.  VERY
[000:29:31;19] CRISP.  COOL AND FRESH.  THAT'S WHAT
[000:29:33;28] I WAS THINKING!  FRESH.  THAT'S EXACTLY
[000:29:35;16] WHAT I WAS THINKING. YEAH.  FRESH.
[000:29:37;13] FRESH.  LIKE I COULD DEFINITELY  WRAP
[000:29:38;14] MYSELF IN IT.    ODORS ARE NO MATCH
[000:29:41;23] FOR THE FEBREZE CAR VENT CLIP.   
[000:29:44;13] ANOTHER WAY FEBREZE    HELPS YOU BREATHE
[000:29:45;06] HAPPY.
[000:29:55;23] POLICE ARRESTED THE BROTHER  
[000:29:57;22] OF A MURDER VICTIM AFTER HE  
[000:29:58;16] TRIED TO BULL RUSSIA  
[000:29:59;06] SUSPECTED KILLER INSIDE OF  
[000:29:59;29] A COURTROOM.  
[000:30:00;17] WATCH HERE.  
[000:30:03;04] [SHOUTING]  
[000:30:05;16] >> Bill: THAT GUY RAN  
[000:30:06;07] TOWARD THE PRISONER BOXES  
[000:30:08;02] AS PROSECUTORS READ OUT THE  
[000:30:09;07] DETAILS OF THE APPARENT  
[000:30:11;03] HOMICIDE NEAR BOSTON.  
[000:30:11;24] THE SUSPECT ON SATURDAY  
[000:30:12;23] STABBED THE VICTIM ALMOST  
[000:30:14;12] 70 TIMES AT A TRAILER PARK.  
[000:30:16;13] AUTHORITIES FOUND THE  
[000:30:17;13] SUSPECT' AT A NEARBY TRAIN  
[000:30:19;04] STATION WITH BLOODY CLOTHES  
[000:30:20;07] AND A CUT ON HIS HAND.  
[000:30:21;20] SOON AFTER THEY DISCOVERED  
[000:30:23;09] THE VICTIM INSIDE OF A  
[000:30:24;07] BLOOD SPATTERED MOBILE  
[000:30:26;06] HOME.  
[000:30:26;19] HIS BROTHER FACES CHARGES  
[000:30:27;13] OF DISRUPTING COURT  
[000:30:29;00] PROCEEDINGS AND RESISTING  
[000:30:30;08] ARREST.  
[000:30:34;09] I'M BILL HEMMER IN TONIGHT  
[000:30:35;20] FOR SHEPARD SMITH.  
[000:30:36;20] THIS IS "THE FOX REPORT."  
[000:30:38;26] THE WHITE HOUSE SAYS IT'S  
[000:30:40;29] PREPOSTEROUS TO SUGGEST  
[000:30:41;21] THAT SYRIA WAS NOT BEHIND  
[000:30:42;25] LAST WEEK'S CHEMICAL  
[000:30:44;01] WEAPONS ATTACK.  
[000:30:45;03] THAT REPORTEDLY KILLED  
[000:30:46;06] HUNDREDS THERE.  
