[000:00:03;420] FOR WATCHING TONIGHT.
[000:15:15;297] >>> NOW TONIGHT AN EPIDEMIC NOT
[000:15:16;065] A LOT OF PEOPLE DISCUSS.
[000:15:17;633] THERE ARE MILLIONS AND MILLIONS
[000:15:19;234] OF AMERICAN COUPLES WHO SAY THEY
[000:15:21;370] CANNOT GET ENOUGH SLEEP IF THEIR
[000:15:22;438] PARTNER IS IN THE SAME BED.
[000:15:25;608] OUR OWN MEDICAL CONTRIBUTOR DR.
[000:15:27;209] JENNIFER ASHTON AND HER HUSBAND
[000:15:29;345] DECIDED TO BRING US A REALITY
[000:15:30;980] CHECK, AGREEING TO TAKE US
[000:15:33;082] INSIDE THEIR OWN SLEEP WARS AT
[000:15:34;650] HOME.
[000:15:39;455] >> Reporter: A QUARTER OF
[000:15:41;023] MARRIED COUPLES SAY THEY SLEEP
[000:15:42;591] IN SEPARATE BEDS JUST TO GET A
[000:15:43;659] GOOD NIGHT'S SLEEP.
[000:15:44;293] >> I CAN'T DEAL WITH THIS
[000:15:44;994] ANYMORE.
[000:15:45;461] I CAN'T SLEEP.
[000:15:50;766] >> IT USUALLY TURNS OUT TO BE
[000:15:55;237] SOMEONE STOMPING OFF TO THE
[000:15:56;105] COUCH.
[000:15:58;007] >> I'M EMBARRASSED TO ADMIT I
[000:15:58;707] OFTEN MOVE TO A DIFFERENT ROOM.
[000:15:59;475] >> SHE SAYS I DISRUPT HER SLEEP.
[000:16:00;242] I SNORE.
[000:16:01;710] >> IT CAUSES ME TO WAKE UP FROM
[000:16:02;444] MY SLEEP THREE OR FOUR TIMES A
[000:16:03;212] NIGHT.
[000:16:03;812] >> EVEN THOUGH WE'RE BOTH
[000:16:05;414] DOCTORS, WE HAVE LONG LAUGHED
[000:16:06;181] AND DEBATED WHAT'S REALLY GOING
[000:16:07;583] ON, SO WE CALLED IN PROFESSIONAL
[000:16:09;184] HELP --
[000:16:09;718] >> THANK GOODNESS YOU'RE HERE.
[000:16:13;489] >> SLEEP RESEARCHER,
[000:16:14;657] DR. WENDY TROXEL.
[000:16:15;224] >> WHAT'S YOUR GOAL HERE?
[000:16:16;191] >> I WOULD LIKE TO SLEEP NEXT TO
[000:16:16;992] MY HUSBAND EVERY SINGLE NIGHT.
[000:16:20;996] >> SHE PUT US TO THE TEST,
[000:16:22;464] MEASURING OUR BRAIN ACTIVITY
[000:16:23;165] WHILE WE SLEPT.
[000:16:24;566] THE SLEEP STUDY WILL CONFIRM
[000:16:26;201] SCIENTIFICALLY THAT ROB'S
[000:16:28;303] SNORING DISRUPTS MY SLEEP.
[000:16:29;905] >> Reporter: THE FIRST NIGHT
[000:16:30;606] SIDE BY SIDE.
[000:16:34;677] >> SNORING WOKE ME UP.
[000:16:37;312] WITH ROB, I HAD 173 AWAKENINGS,
[000:16:39;481] WHICH IS SLEEP SCIENCE LINGO FOR
[000:16:41;050] COMING OUT OF DEEP SLEEP.
[000:16:42;685] THE NEXT NIGHT COULDN'T COME
[000:16:43;385] SOON ENOUGH.
[000:16:45;854] I GET TO SLEEP BY MYSELF.
[000:16:48;490] BUT TO MY GREAT SURPRISE, ALONE
[000:16:51;160] I HAD 135 AWAKENINGS, NEARLY AS
[000:16:52;795] MANY AS WHEN I SLEPT WITH ROB.
[000:16:55;464] >> THERE WAS A LINK BETWEEN
[000:16:57;032] ROB'S SNORING AND YOU HAVING
[000:16:58;600] THESE LITTLE AWAKENINGS FROM
[000:16:59;334] SLEEP.
[000:17:00;769] BUT IT WASN'T ALL ROB'S FAULT.
[000:17:03;372] YOU CONTINUED TO HAVE AWAKENINGS
[000:17:05;007] THROUGHOUT THE NIGHT, EVEN WHEN
[000:17:06;542] ROB HAD STOPPED SNORING.
[000:17:08;177] >> Reporter: THAT'S BECAUSE
[000:17:09;745] SCIENCE CONFIRMS WOMEN ARE
[000:17:10;446] LIGHTER SLEEPERS THAN MEN.
[000:17:12;915] BIOLOGICALLY, OUR BRAINS ARE
[000:17:17;619] CONDITIONED TO JUST WAKE UP.
[000:17:19;288] BUT THE GOOD NEWS IS WOMEN ARE
[000:17:20;022] BETTER SLEEPERS THAN MEN AND
[000:17:20;856] QUICKLY FALL BACK ASLEEP AGAIN.
[000:17:21;924] BUT DR. TROXEL SAYS THE BAD NEWS
[000:17:23;525] FOR WOMEN IS WE OFTEN THINK WE
[000:17:24;593] SLEEP WORSE THAN WE REALLY DO.
[000:17:25;360] I WAS PROOF.
[000:17:28;330] THE STUDY ACTUALLY SHOWED MY
[000:17:29;364] OVERALL SLEEP QUALITY WAS
[000:17:32;601] ACTUALLY EXCELLENT BOTH NIGHTS.
[000:17:34;269] >> YOUR SLEEP WHEN YOU WERE
[000:17:35;904] SLEEPING WITH ROB COMPARED TO
[000:17:36;939] THE NIGHT YOU WERE SLEEPING
[000:17:38;540] ALONE WAS VIRTUALLY IDENTICAL.
[000:17:40;642] >> Reporter: BUT FOR ROB, A
[000:17:41;376] BIGGER IMPACT.
[000:17:43;312] HE GOT AN EXTRA 20 MINUTES OF
[000:17:44;880] DEEP SLEEP WITH ME BY HIS SIDE.
[000:17:47;015] >> SO, I AM TELLING YOU THERE IS
[000:17:48;650] ACTUALLY HEALTH BENEFITS, AT
[000:17:49;351] LEAST FOR ROB, TO SLEEPING WITH
[000:17:50;119] YOU.
[000:17:54;123] >> NOW I FEEL REALLY GUILTY.
[000:17:57;893] >> BECAUSE RESEARCH SHOWS THAT
[000:17:58;660] MEN
[000:17:59;061] SLEEP BETTER WITH A PARTNER THAN
[000:17:59;828] ALONE, AND PROTECTING SLEEP FOR
[000:18:00;662] BOTH OF US MEANS PROTECTING OUR
[000:18:01;663] MARRIAGE.
[000:18:04;867] >> REMEMBER IT IS IMPORTANT TO
[000:18:07;536] EXCLUDE MEDICAL CAUSES SUCH AS
[000:18:09;638] SLEEP APNEA WHICH CAN BE
[000:18:10;305] DANGEROUS.
[000:18:11;774] >> WE KNOW APNEA IS VERY SERIOUS
[000:18:16;712] BUT IS THE REST OF IT ANNOYING?
[000:18:20;649] WHAT'S THE MOOD IN WHICH WE
[000:18:21;350] APPROACH THIS?
[000:18:23;418] >> TAKE IT SERIOUSLY BUT DON'T
[000:18:25;053] BECOME TOO ANXIOUS OVER A SLEEP
[000:18:25;788] ISSUE.
[000:18:26;221] SOMETIMES THAT CAN BE WORSE THAN
[000:18:27;156] THE POSSIBLE ITSELF.
[000:18:28;724] >> THANK YOU, DR. ASHTON AND DR.
[000:18:29;758] ASHTON.
[000:18:33;729] THE TWO DOCTORS, THANK YOU SO
[000:18:34;463] MUCH.
[000:18:34;930] >>> COMING UP NEXT, TAKE A CLOSE
[000:18:35;931] LOOK AT THIS PICTURE.
[000:18:37;533] DOES IT LOOK LIKE A UFO TO YOU?
[000:18:39;635] WE TAKE YOU CLOSER TO A NEW
[000:18:41;236] MYSTERY TONIGHT.
[000:18:41;837] OUR "INSTANT INDEX."
[000:18:43;238] ♪
[000:20:01;516] [ slap! ]
[000:20:03;452] [ slap! slap! slap! slap! ]
[000:20:03;452] OW! OW!
[000:20:05;487] [ Male Announcer ] YOUR
[000:20:05;487] FAVORITE FOODS FIGHTING YOU?
[000:20:07;322] FIGHT BACK FAST WITH TUMS.
[000:20:09;191] CALCIUM-RICH TUMS
[000:20:09;191] STARTS WORKING SO FAST
[000:20:11;226] YOU'LL FORGET
[000:20:11;226] YOU HAD HEARTBURN.
[000:20:12;160] ♪ TUM TUM TUM TUM TUMS
[000:20:16;098] YOU'LL FORGET
[000:20:16;098] YOU HAD HEARTBURN.
[000:20:16;098] ALWAYS GO THE EXTRA MILE.
[000:20:17;566] TO TREAT MY LOW TESTOSTERONE,
[000:20:17;566] I DID MY RESEARCH.
[000:20:20;402] MY DOCTOR AND I
[000:20:20;402] WENT WITH AXIRON,
[000:20:22;271] THE ONLY UNDERARM
[000:20:22;271] LOW T TREATMENT.
[000:20:24;239] AXIRON CAN RESTORE
[000:20:24;239] T LEVELS TO NORMAL
[000:20:26;708] IN ABOUT 2 WEEKS IN MOST MEN.
[000:20:28;610] AXIRON IS NOT FOR USE IN WOMEN
[000:20:28;610] OR ANYONE YOUNGER THAN 18
[000:20:31;880] OR MEN WITH PROSTATE
[000:20:31;880] OR BREAST CANCER.
[000:20:34;249] WOMEN, ESPECIALLY THOSE WHO
[000:20:34;249] ARE OR WHO MAY BECOME PREGNANT
[000:20:37;085] AND CHILDREN SHOULD AVOID
[000:20:37;085] CONTACT WHERE AXIRON IS APPLIED
[000:20:40;389] AS UNEXPECTED SIGNS OF
[000:20:40;389] PUBERTY IN CHILDREN
[000:20:42;624] OR CHANGES IN BODY HAIR
[000:20:43;959] OR INCREASED ACNE
[000:20:43;959] IN WOMEN MAY OCCUR.
[000:20:45;694] REPORT THESE SYMPTOMS
[000:20:45;694] TO YOUR DOCTOR.
[000:20:47;396] TELL YOUR DOCTOR ABOUT ALL
[000:20:48;363] MEDICAL CONDITIONS
[000:20:48;363] AND MEDICATIONS.
[000:20:50;198] SERIOUS SIDE EFFECTS COULD
[000:20:50;198] INCLUDE INCREASED RISK
[000:20:52;401] OF PROSTATE CANCER;
[000:20:52;401] WORSENING PROSTATE SYMPTOMS;
[000:20:54;903] DECREASED SPERM COUNT;
[000:20:54;903] ANKLE, FEET OR BODY SWELLING;
[000:20:57;606] ENLARGED OR PAINFUL BREASTS;
[000:20:59;207] PROBLEMS BREATHING
[000:20:59;207] WHILE SLEEPING;
[000:21:00;776] AND BLOOD CLOTS IN THE LEGS.
[000:21:02;444] COMMON SIDE EFFECTS INCLUDE
[000:21:03;545] SKIN REDNESS OR
[000:21:03;545] IRRITATION WHERE APPLIED,
[000:21:05;647] INCREASED RED BLOOD CELL COUNT,
[000:21:07;015] HEADACHE, DIARRHEA, VOMITING,
[000:21:07;015] AND INCREASE IN PSA.
[000:21:09;885] ASK YOUR DOCTOR ABOUT
[000:21:09;885] THE ONLY UNDERARM
[000:21:09;885] LOW T TREATMENT,
[000:21:13;655] AXIRON.
[000:21:22;064] >>> OUR "INSTANT INDEX" TONIGHT
[000:21:23;231] BEGINS WITH A REMINDER.
[000:21:24;032] HUMANS AREN'T THE ONLY ONES TO
[000:21:24;967] SUCCUMB TO TEMPTATION.
[000:21:29;071] POLICE IN FLORIDA CAME TO THE
[000:21:31;340] RESCUE OF THIS LITTLE FAWN, HER
[000:21:33;041] HEAD STUCK IN A BAG OF DORITOS.
[000:21:37;245] SHE WANDERED OVER TO THE POLICE
[000:21:38;313] CAR AND LET THE POLICE REMOVE
[000:21:39;381] THE BAG AND SCAMPERED BACK INTO
[000:21:40;349] THE WOODS.
[000:21:41;049] ONE OFFICER SAID SHE MUST HAVE
[000:21:42;584] REALLY WANTED THAT LAST CHIP IN
[000:21:43;518] THE BOTTOM OF THE BAG.
[000:21:45;787] >>> A TIP OF THE HAT TO CYNDI
[000:21:46;655] LAUPER.
[000:21:49;524] OUR PERSON OF THE WEEK,
[000:21:51;226] SHE TOOK HOME THE TONY FOR KINKY
[000:21:52;160] BOOTS.
[000:21:54;896] SHE TWEETED OUT THIS PICTURE.
[000:21:55;998] LAUPER THE FIRST WOMAN TO WIN
[000:21:59;701] THE SOLO AWARD FOR BEST SCORE.
[000:22:00;936] >>> STRAIGHT FROM THE X FILES, A
[000:22:03;071] MOTHER AND DAUGHTER THINK THEY
[000:22:04;706] STUMBLED ON A UFO WHILE ON
[000:22:05;741] VACATION.
[000:22:08;944] SNAPSHOTS FROM THEIR TRIP TO THE
[000:22:10;012] NETHERLANDS AND THE FIRST
[000:22:12;147] PICTURES, A CLEAR SKY OVER THE
[000:22:14;249] CASTLE BUT THEN, LOOK, A STRANGE
[000:22:16;885] OBJECT, SMALL FINS IN THE SKY.
[000:22:20;088] HERE IT IS AGAIN COLOR DRAINED
[000:22:21;690] TO HIGHLIGHT THE MYSTERIOUS
[000:22:22;524] OBJECT.
[000:22:28;530] BELIEVERS SAY THOSE PHOTOS PROVE
[000:22:30;632] IT WAS MOVING AT SUPER SONIC
[000:22:31;666] SPEED.
[000:22:32;734] CRITICS SAY IT'S A BUG ON THE
[000:22:33;835] LENS.
[000:22:35;437] >>> COMING UP NEXT, TO THE
[000:22:36;505] RESCUE, THE RACE TO SAVE
[000:22:41;743] CHEETAHS, CRANES, PANDAS, AND
[000:22:46;882] LEOPARDS FROM THE BRINK OF
[000:22:47;749] EXTINCTION.
[000:22:49;785] SOME ARE CALLING IT A MODERN DAY
[000:22:50;685] NOAH'S ARC.
[000:22:51;486] I stepped on the machine, and it
[000:22:51;486] showed me the pressure points on
[000:23:19;748] my feet and exactly where I
[000:23:19;748] needed more support.
[000:23:21;850] I had tired, achy feet.
[000:23:23;185] Until I got my number.
[000:23:24;419] My Dr. Scholl's Custom Fit
[000:23:24;419] Orthotics Number.
[000:23:27;189] Now I'm a believer.
[000:23:28;290] You'll be a believer, too.
[000:23:29;391] Learn where to find your number
[000:23:29;391] at DrScholls.com.
[000:23:34;496] OF MILD TO MODERATE
[000:23:34;496] ALZHEIMER'S DISEASE
[000:23:36;865] IS EXELON PATCH.
[000:23:37;933] NOW WITH
[000:23:37;933] MORE TREATMENT OPTIONS,
[000:23:39;601] EXELON PATCH MAY IMPROVE
[000:23:39;601] OVERALL FUNCTION AND COGNITION.
[000:23:43;605] YOUR LOVED ONE CAN GET
[000:23:43;605] A FREE 30-DAY TRIAL.
[000:23:46;675] AND YOU CAN HAVE
[000:23:46;675] ACCESS TO NURSES.
[000:23:48;610] IT DOES NOT CHANGE
[000:23:48;610] HOW THE DISEASE PROGRESSES.
[000:23:50;879] HOSPITALIZATION,
[000:23:50;879] AND RARELY DEATH,
[000:23:52;747] HAVE BEEN REPORTED FROM WEARING
[000:23:52;747] MORE THAN ONE PATCH AT A TIME.
[000:23:55;851] THE MOST COMMON SIDE EFFECTS
[000:23:55;851] ARE NAUSEA, VOMITING, DIARRHEA,
[000:23:58;453] FALL, LOSS OF APPETITE
[000:23:58;453] OR WEIGHT,
[000:24:01;289] APPLICATION SITE REDNESS,
[000:24:01;289] AND URINARY TRACT INFECTION.
[000:24:04;126] THE LIKELIHOOD AND SEVERITY
[000:24:04;126] OF THESE SIDE EFFECTS
[000:24:06;428] MAY INCREASE
[000:24:06;428] AS THE DOSE INCREASES
[000:24:08;263] OR IF PATIENTS
[000:24:08;263] WEIGH LESS THAN 110 POUNDS.
[000:24:10;799] PEOPLE AT RISK
[000:24:10;799] FOR STOMACH ULCERS
[000:24:12;300] WHO TAKE
[000:24:12;300] CERTAIN OTHER MEDICINES
[000:24:14;136] SHOULD TALK TO THEIR DOCTOR
[000:24:15;804] AS SERIOUS STOMACH PROBLEMS
[000:24:15;804] SUCH AS BLEEDING MAY WORSEN.
[000:24:18;140] PATIENTS MAY EXPERIENCE
[000:24:18;140] SLOW HEART RATE.
[000:24:20;008] FREE TRIAL OFFER FOR THEM.
[000:24:22;110] NURSES TO TALK TO FOR YOU.
[000:24:24;346] VISIT EXELONPATCHOFFER.COM.
[000:24:27;549] ♪
[000:24:34;089] ♪
[000:24:35;524] NOW YOU CAN GIVE YOURSELF
[000:24:35;524] A KICK IN THE REAR!
[000:24:38;226] V8 V-FUSION PLUS ENERGY.
[000:24:40;028] NATURAL ENERGY FROM GREEN TEA
[000:24:40;028] PLUS FRUITS AND VEGGIES.
[000:24:42;864] NEED A LITTLE KICK?
[000:24:42;864] OOH!
[000:24:44;432] COULD'VE HAD A V8.
[000:24:44;432] IN THE JUICE AISLE.
[000:24:49;171] ACCOMPLISHING EVEN LITTLE THINGS
[000:24:50;906] CAN BECOME MAJOR VICTORIES.
[000:24:52;474] I'M PHIL MICKELSON, PRO GOLFER.
[000:24:55;076] WHEN I WAS DIAGNOSED
[000:24:55;076] WITH PSORIATIC ARTHRITIS,
[000:24:57;379] MY RHEUMATOLOGIST
[000:24:57;379] PRESCRIBED ENBREL
[000:24:59;214] FOR MY PAIN AND STIFFNESS,
[000:24:59;214] AND TO HELP STOP JOINT DAMAGE.
[000:25:02;083] [ Male Announcer ]
[000:25:02;083] ENBREL MAY LOWER YOUR ABILITY
[000:25:02;083] TO FIGHT INFECTIONS.
[000:25:04;719] SERIOUS, SOMETIMES FATAL EVENTS
[000:25:07;055] INCLUDING INFECTIONS,
[000:25:07;055] TUBERCULOSIS,
[000:25:08;857] LYMPHOMA, OTHER CANCERS,
[000:25:10;492] NERVOUS SYSTEM
[000:25:10;492] AND BLOOD DISORDERS,
[000:25:12;427] AND ALLERGIC REACTIONS
[000:25:12;427] HAVE OCCURRED.
[000:25:14;462] BEFORE STARTINEN
[000:25:15;797] YOUR DOCTOR SHOULD TEST YOU
[000:25:15;797] FOR TUBERCULOSIS
[000:25:17;766] AND DISCUSS WHETHER
[000:25:17;766] YOU'VE BEEN TO A REGION
[000:25:19;434] WHERE CERTAIN FUNGAL INFECTIONS
[000:25:19;434] ARE COMMON.
[000:25:21;069] YOU SHOULD NOT START ENBREL
[000:25:22;337] IF YOU HAVE AN INFECTION
[000:25:22;337] LIKE THE FLU.
[000:25:23;638] TELL YOUR DOCTOR
[000:25:23;638] IF YOU'RE PRONE TO INFECTIONS,
[000:25:25;907] HAVE CUTS OR SORES,
[000:25:25;907] HAVE HAD HEPATITIS B,
[000:25:28;410] HAVE BEEN TREATED
[000:25:28;410] FOR HEART FAILURE,
[000:25:30;245] OR IF YOU HAVE SYMPTOMS
[000:25:30;245] SUCH AS PERSISTENT FEVER,
[000:25:32;480] BRUISING, BLEEDING,
[000:25:32;480] OR PALENESS.
[000:25:34;482] SINCE ENBREL HELPED RELIEVE
[000:25:34;482] MY JOINT PAIN,
[000:25:36;585] IT'S THE LITTLE THINGS
[000:25:36;585] THAT MEAN THE MOST.
[000:25:39;354] ASK YOUR RHEUMATOLOGIST
[000:25:39;354] IF ENBREL IS RIGHT FOR YOU.
[000:25:42;624] [ Doctor ] ENBREL,
[000:25:42;624] THE NUMBER ONE BIOLOGIC MEDICINE
[000:25:44;459] PRESCRIBED BY RHEUMATOLOGISTS.
[000:26:06;881] >>> FINALLY TONIGHT WE'RE GOING
[000:26:07;849] TO TAKE YOU TO A MYSTERIOUS
[000:26:09;150] PLACE DESIGNED TO CREATE MORE
[000:26:11;319] LIFE FOR SOME OF THE MOST
[000:26:12;854] BEAUTIFUL CREATURES ON EARTH.
[000:26:15;557] COME WITH US, BELIEVE IT OR NOT,
[000:26:17;125] TO THE HILLS OF VIRGINIA AND
[000:26:19;227] INSIDE A PASSIONATE RACE AGAINST
[000:26:21;363] TIME WITH ABC'S RON CLAIBORNE.
[000:26:27;535] >> Reporter: NOBODY WANTS THIS
[000:26:28;470] TO DISAPPEAR.
[000:26:30;138] A 3-MONTH-OLD CLOUDED LEOPARD IS
[000:26:33;308] ONE OF THE LAST OF A VANISHING
[000:26:34;242] BREED.
[000:26:34;743] THIS THREE-MONTH-OLD CUB'S
[000:26:35;577] DAZZLING LIQUID BLUE WILL DARKEN
[000:26:36;478] SOON.
[000:26:37;012] THAT'S ONE OF THE SECRETS OF
[000:26:37;912] THESE MYSTERIOUS CATS -- NATIVE
[000:26:38;780] TO INDONESIA -- THAT ARE BEING
[000:26:39;714] UNLOCKED BY RESEARCHERS AT A
[000:26:40;782] LITTLE-KNOWN ANIMAL CONSERVATION
[000:26:45;120] FACILITY.
[000:26:48;690] >> THESE CLOUDED LEOPARD CUBS
[000:26:50;425] ARE JUST 100 DAYS OLD.
[000:26:53;161] BROTHER AND SISTER.
[000:26:53;928] VERY SOFT AND VERY FRIENDLY.
[000:26:55;297] >> Reporter: THEY SEEM TO THINK
[000:26:56;264] I'M ANOTHER LEOPARD.
[000:26:59;034] THE POPULATION OF CLOUDED
[000:27:00;635] LEOPARDS IN THE WILD HAS BEEN
[000:27:01;536] DECIMATED BY HUNTERS AND
[000:27:05;040] POACHERS.
[000:27:06;174] BUT HERE, SCIENTISTS ARE
[000:27:07;275] STUDYING THESE ANIMALS TO TRY TO
[000:27:08;143] SAVE THEM.
[000:27:08;843] ONE THING THEY'VE LEARNT --
[000:27:09;878] THE HIGHER THE TREES THEY'VE GOT
[000:27:10;945] TO CLIMB, THE LOWER THE CATS'
[000:27:11;846] STRESS LEVELS.
[000:27:14;115] AND THAT HELPS THEM BREED.
[000:27:14;983] SO FAR, THEY'VE SUCCESSFULLY
[000:27:15;850] RAISED 80 OF THESE MAGNIFICENT
[000:27:16;718] CATS.
[000:27:17;886] MANY OF THESE EXOTIC ANIMALS
[000:27:19;454] WILL EVENTUALLY BE RETURNED TO
[000:27:20;388] NATURE.
[000:27:22;157] LIKE THESE MONTH-OLD BABY
[000:27:23;692] BLACK-FOOTED FERRETS.
[000:27:25;794] ONCE ALL BUT WIPED OUT, THE
[000:27:26;861] INSTITUTE HAS BRED AND RELEASED
[000:27:27;796] THOUSANDS OF THEM.
[000:27:29;564] >> THEY CAN END UP IN ARIZONA,
[000:27:32;167] KANSAS.
[000:27:32;767] >> BUT THEY'LL BE IN THE WILD?
[000:27:35;370] >> THEY'LL BE IN THE WILD.
[000:27:38;573] >> Reporter: OVER 3,000 ACRES OF
[000:27:39;507] OPEN SPACE.
[000:27:45;380] THERE ARE PANDAS, CRANES.
[000:27:50;785] >> WHEN IT COMES TO ALL THESE
[000:27:51;653] ANIMALS, THE ONE COMMON
[000:27:52;487] DENOMINATOR IS LOSS OF HABITAT.
[000:27:53;321] >> Reporter: IT'S A RACE AGAINST
[000:27:54;255] TIME.
[000:27:54;756] RON CLAIBORNE, ABC NEWS.
[000:27:56;624] >>> IT'S GREAT TO BEGIN THE WEEK
[000:27:57;525] WITH YOU.
[000:27:58;727] WE'RE ALWAYS THERE AT ABC
[000:28:00;328] NEWS.COM, "NIGHTLINE" LATER AND
[000:28:01;396] I'LL SEE YOU BACK HERE TOMORROW
[000:28:02;964] NIGHT.
[000:28:03;531] GOOD NIGHT.
[000:28:03;531] NIGHTLINE" LATER AND
[000:28:06;801] I'LL SEE YOU BACK HERE TOMORROW
[000:28:09;237] NIGHT.
[000:28:09;671] GOOD NIGHT.
[000:28:46;007] >>> APPLE PLEDGED TO COMBAT
[000:28:48;443] APPLE PICKING AN UPGRADE THAT
[000:28:50;712] WILL GIVE YOUR iPHONE A NEW
[000:28:55;550] LOOK.
[000:28:55;850] >> THE VICTIM OF THE LIMOUSINE
[000:28:58;620] FIRE, WERE THERE TOO MANY
[000:28:59;988] PEOPLE ON BOARD?
[000:29:01;189] TONIGHT A SURPRISE DECISION
[000:29:02;724] FROM SFPD RANK AND FILE.
[000:29:08;596] >>> A FOLLOW UP FROM THE I
[000:29:10;198] TEAM.
[000:29:10;698] THE RIGHTS HAVE YOU WHEN THE
[000:29:12;500] COUNTY CUTS YOU OFF FROM YOUR
[000:29:13;501] FRIENDS AND FAMILY.
[000:29:26;514] >> APPLE GIVES iPHONE A NEW
[000:29:29;083] LOOK GIVING YOU A NEW SENSE OF
[000:29:31;252] SECURITY IF THE PHONE IS EVER
[000:29:33;221] STOLEN.
[000:29:33;555] GOOD EVENING.
[000:29:34;255] I'M CHERYL JENNINGS.
[000:29:35;490] >> APPLE TODAY UNVEILED A NEW
[000:29:37;325] WAY TO MAKE iPHONES USELESS IN
[000:29:40;295] THE WRONG HANDS THAT IS GET
[000:29:42;931] BEING PRAISE FROM LAW
[000:29:43;832] ENFORCEMENT.
[000:29:44;499] THE ANNOUNCEMENT CAME FROM THE
[000:29:47;735] DEVELOPER'S CONFERENCE IN SAN
[000:29:48;436] FRANCISCO.
[000:29:50;805] DAVID?
[000:29:53;141] >> THERE IS NO QUESTION THE
[000:29:55;643] THEFT OF MOBILE PHONES HAS
[000:29:57;612] BECOME A NATIONAL EPIDEMIC
[000:30:00;915] FROM COAST TO COAST.
[000:30:01;883] THE DISTRICT ATTORNEY IS
[000:30:03;384] PLANNING ON MEETING WITH
[000:30:06;187] OWNERS OR MAKERS.
[000:30:13;428] AND A NEW ANTITHEFT FEATURE
[000:30:16;664] CALLED ON THE PHONES.
[000:30:18;166] IT WILL BE PART OF IOS 7.
[000:30:25;240] >> IF A THIEF TRIES TO TURN
[000:30:27;275] OFF FIND MY iPHONE OR IF THEY
[000:30:31;446] WIPE THE DEVICE ENTIRELY
[000:30:32;647] THEY'LL NOT BE TIBL REACTIVATE
[000:30:34;582] IT BECAUSE THEY DON'T KNOW
[000:30:36;718] YOUR iPOD USER NAME.
[000:30:41;122] >> IO 7 SCREEN FOTORS WILL
[000:30:47;929] APPEAR THREE DIMENSIONAL.
[000:30:50;131] THE IK YONZ WILL BE FLATTER
[000:30:51;933] AND TEXT, SHARPER.
