[000:00:00;600] SUNDAY.
[000:17:18;771] TERRORIST OR A MURDERER OR
[000:17:20;639] RAPIST BUT DON'T TROLL
[000:17:22;074] THROUGH A BILLION PHONE
[000:17:25;811] RECORDS EVERY DAY.
[000:17:26;578] IT INVADES OUR PRIVACY.
[000:17:28;614] >> TERRORISM REMAINS A REAL
[000:17:30;149] THREAT BUT I THINK WE HAVE
[000:17:31;617] THE BILL OF RIGHTS.
[000:17:34;186] FOURTH AMENDMENT PREVENTS
[000:17:36;288] UNLAWFUL SEARCH AND
[000:17:37;489] SEIZURES OUGHT TO BE
[000:17:38;824] IMPORTANT TO US AND THERE
[000:17:40;292] HAS TO BE A BALANCE HERE.
[000:17:42;694] >> Reporter: SUPPORTERS OF
[000:17:44;196] THE PROGRAMS BELIEVE
[000:17:45;731] TERRORIST ATTACKS HAVE BEEN
[000:17:46;732] PREVENTED BY THE
[000:17:47;332] SURVEILLANCE AND THAT THE
[000:17:48;333] GOVERNMENT HAS NOT
[000:17:49;968] OVERSTEPPED ITS BOUNDS.
[000:17:51;336] THEY INCLUDE LAWMAKERS FROM
[000:17:52;604] BOTH SIDES OF THE AISLE.
[000:17:54;973] >> WE FACE A VERY REAL
[000:17:59;078] ASYMMETRIC THREAT IN
[000:18:00;446] INTERNATIONAL TERRORISM AND
[000:18:01;480] GREATEST LINE AGAINST THAT
[000:18:02;648] IS INTELLIGENCE GATHERING
[000:18:04;283] CAPABILITIES.
[000:18:04;716] SO WE HAVE TO MAINTAIN
[000:18:06;351] THAT.
[000:18:06;652] IT'S A VERY DELICATE
[000:18:08;754] BALANCE.
[000:18:09;088] >> THESE PROGRAMS ARE
[000:18:09;855] WITHIN THE LAW.
[000:18:11;657] THE BUSINESS RECORDS
[000:18:12;925] SECTION IS REVIEWED BY A
[000:18:14;960] FEDERAL JUDGE EVERY 90
[000:18:19;031] DAYS.
[000:18:19;331] >> Reporter: ENTIRE HOUSE
[000:18:19;965] OF REPRESENTATIVES WILL BE
[000:18:21;867] OFFERED A BRIEFING ON
[000:18:24;136] SURVEILLANCE ON TUESDAY.
[000:18:25;270] >> Harris: STEVE, THANK YOU
[000:18:26;438] VERY MUCH.
[000:18:28;740] AND MENTIONING CONGRESSMAN
[000:18:31;310] PETER KING, HE'LL JOINING
[000:18:33;245] US LIVE AT THE BOTTOM OF
[000:18:34;446] THE HOUR.
[000:18:34;980] FIRST AN UPDATE ON THE
[000:18:36;315] TEN-YEAR-OLD GIRL WHO NEEDS
[000:18:37;182] A LUNG TRANSPLANT IN ORDER
[000:18:38;851] TO LIVE.
[000:18:39;818] HER STORY ONE THAT WE ARE
[000:18:41;854] FOLLOWING CLOSELY.
[000:18:43;989] DOCTORS GIVING HER A
[000:18:46;625] BREATHING TUBE.
[000:18:47;326] UPDATE FROM SARA'S MOTHER
[000:18:50;295] IN HOW SHE IS DOING.
[000:19:38;043] BEFORE TORI WAS TAKING HER KIDS
[000:19:39;661] TO LUNCH IN HER NEW
[000:19:39;661] VOLKSWAG...
[000:19:42;047] BEFORE HER PASSAT HAD PASSED
[000:19:44;449] OVER 30 DIFFERENT
[000:19:44;449] INSPECTION TESTS...
[000:19:46;518] AND BEFORE SEVERAL THOUSAND
[000:19:46;518] TENNESSEANS
[000:19:48;820] DISCOVERED NEW JOBS
[000:19:48;820] ON VOLKSWAGEN DRIVE,
[000:19:51;723] A CFO AND A BANKER
[000:19:51;723] MET FOR LUNCH.
[000:19:53;859] TOGETHER, WE WORKED WITH A TEAM
[000:19:53;859] THAT HELPED FINANCE
[000:19:56;061] CONSTRUCTION
[000:19:56;061] OF THE WORLD'S FIRST
[000:19:58;564] LEED PLATINUM
[000:19:58;564] AUTO MANUFACTURING PLANT.
[000:20:01;567] THAT'S THE IMPACT
[000:20:01;567] OF GLOBAL CONNECTIONS.
[000:20:03;735] THAT'S BANK OF AMERICA.
[000:20:08;273] I'M VERY EXCITED ABOUT MAKING
[000:20:09;608] THE SHRIMP AND LOBSTER POT PIE.
[000:20:10;759] WE'VE NEVER COOKED
[000:20:10;759] ANYTHING LIKE THIS BEFORE.
[000:20:12;344] [ Male Announcer ]
[000:20:12;344] INTRODUCING RED LOBSTER'S
[000:20:14;129] SEASIDE MIMATCH.
[000:20:15;347] COMBINE ANY 2
[000:20:15;347] OF 7 EXCITING CHOICES
[000:20:17;582] ON ONE PLATE FOR JUST $12.99!
[000:20:19;268] LIKE NEW CHEDDAR BAY
[000:20:19;268] SHRIMP LOBSTER POT PIE,
[000:20:21;553] AND NEW PARMESAN CRUNCH SHRIMP.
[000:20:23;222] PLUS SALAD AND UNLIMITED
[000:20:23;222] CHEDDABAY BISCUITS.
[000:20:25;290] COMBINE ANY 2 FOR JUST $12.99.
[000:20:27;609] [ Stewart ]
[000:20:27;609] FOR THE SEASIDE MIX & MATCH,
[000:20:29;361] WE'RE REALLY MIXING IT UP.
[000:20:30;646] THERE'S JUST SO MANY
[000:20:30;646] COMBINATIONS TO TRY.
[000:20:32;064] I'M STEWART HARRINGTON,
[000:20:32;064] RED LOBSTER LINE COOK,
[000:20:33;932] AND I SEA FOOD DIFFERENTLY.
[000:22:14;433] ♪
[000:22:16;134] >> Harris: A TEN-YEAR-OLD
[000:22:17;803] GIRL WHO NEEDS A LUNG
[000:22:19;204] TRANSPLANT TO LIVE IS
[000:22:20;939] SEDATED, NO LONGER
[000:22:22;741] BREATHING ON HER OWN.
[000:22:24;609] VENTILATOR DOING THE WOKE
[000:22:25;544] FOR HER.
[000:22:26;144] WE HAVE BEEN FOLLOWING
[000:22:28;280] SARA'S STORY, SHE IS IN THE
[000:22:30;148] END STAGES OF CYSTIC
[000:22:32;284] FIBROSIS.
[000:22:33;785] HER FAMILY FOUGHT TO GET
[000:22:36;188] HER ON THE ADULT ORGAN
[000:22:39;658] DONOR LIST.
[000:22:40;525] A JUDGE ISSUED A TEMPORARY
[000:22:41;860] ORDER TO SUSPEND THE AGE
[000:22:44;262] RESTRICTION AND THAT MEANT
[000:22:46;198] SHE COULD GET ADULT SET OF
[000:22:48;266] LUNGS IF DOCTORS CAN FIND A
[000:22:50;068] DONOR.
[000:22:50;902] NOW SHE IS WAITING.
[000:22:52;070] HER FAMILY SAYS SHE IS
[000:22:53;338] RESTING.
[000:22:54;239] ALL THIS AS MAJOR MEETING
[000:22:55;374] IS SET TOMORROW OVER OUR
[000:22:57;976] NATION'S TRANSPLANT POLICY.
[000:23:00;112] LAURA, HOW IS SHE DOING
[000:23:03;715] TONIGHT?
[000:23:04;082] >> AS YOU MENTIONED SHE IS
[000:23:06;184] SEDATING.
[000:23:06;718] WE HAVE BEEN FOLLOWING
[000:23:08;687] UPDATES AND THE MOTHER IS
[000:23:11;623] KEEPING SUPPORTERS UP TO
[000:23:13;325] DATE ON FACEBOOK PAGE.
[000:23:14;726] LATEST ONE SAYING WHILE HER
[000:23:16;461] DAUGHTER IS UNDER HEAVY
[000:23:18;563] SEDATION, HER NUMBERS ARE
[000:23:21;700] TRENDING IN THE RIGHT
[000:23:22;501] DIRECTION.
[000:23:22;968] SHE EXPRESSED HER AGONY AS
[000:23:26;071] SHE WAS INTUBATED.
[000:23:28;039] LAST NIGHT WAS HORRIBLE AND
[000:23:30;075] TERRIFYING.
[000:23:30;675] IN SOME RESPECTS SARA'S
[000:23:33;645] BODY A HAS IMPROVED BUT
[000:23:36;114] OTHER ASPECTS IT'S BEEN A
[000:23:38;683] DISASTER.
[000:23:39;117] WE ARE PRAYING FOR GREATER
[000:23:41;153] STABILITY.
[000:23:42;320] PETER JOHNSON, JR. SPENT
[000:23:44;222] TIME WITH THE FAMILY AND
[000:23:45;590] HOW THEY ARE ABLE TO STAY
[000:23:53;165] STRONG.
[000:23:53;498] >> AS PARENT YOU DO IT.
[000:23:55;834] YOU ADAPT.
[000:23:56;768] YOU BECOME WHATEVER YOU
[000:23:58;470] NEED TO BECOME FOR YOUR
[000:23:59;805] CHILDREN.
[000:24:00;172] >> LOOKING FORWARD, THE DAD
[000:24:02;407] SAYS IF SHE GETS THE
[000:24:05;043] TRANSPLANT HE HOPES THEY
[000:24:07;846] WILL HAVE IN NORMALCY.
[000:24:09;948] >> Harris: WHAT ABOUT THE
[000:24:11;082] MEETING TOMORROW?
[000:24:11;583] >> THE BIG MEETING TOMORROW,
[000:24:13;618] EXECUTIVE COMMITTEE OF
[000:24:15;787] ORGAN PROCUREMENT
[000:24:18;323] TRANSPLANT MEETING IN
[000:24:19;324] RESPONSE TO KATHLEEN
[000:24:20;592] SEBELIUS'S REQUEST.
[000:24:22;861] THEY REVIEW CURRENT
[000:24:24;796] GUIDELINES ON PEDIATRIC
[000:24:25;864] LUNG TRANSPLANTS INCLUDING
[000:24:27;299] WAITING TIME, ORGAN IS ON
[000:24:29;701] OFFERS AND INFANT
[000:24:31;937] MORTALITY.
[000:24:32;771] IF CHANGES NEED TO BE MADE
[000:24:34;272] THE COMMITTEE WOULD BE ABLE
[000:24:36;241] TO APROVE AN INTERIM POLICY
[000:24:39;578] AND CHANGE PLANS FOR
[000:24:42;714] IMPLEMENTATION.
[000:24:43;548] >> Harris: WE'VE ALREADY
[000:24:45;350] SEEN ONE OTHER CHILD'S
[000:24:46;718] FAMILY PUT THEIR SON WHO IS
[000:24:47;953] UNDER THE AGE OF 12 ON THE
[000:24:50;522] LIST FOR ADULT DONOR, AS
[000:24:52;691] WELL.
[000:24:53;592] >> WILL THERE ARE MANY
[000:24:55;494] PEOPLE WAITING.
[000:24:56;228] >> Harris: LAURA, GOOD TO
[000:24:59;064] SEE YOU TONIGHT.
[000:25:00;499] >>> NEWS IS BREAKING ON
[000:25:02;000] NATIONAL SECURITY LEAKS.
[000:25:03;468] THIS MAN CLAIMS TO BE THE
[000:25:04;503] SOURCE FOR THE "WASHINGTON
[000:25:05;604] POST" AND THIS IS ACCORDING
[000:25:06;571] TO THE GUARDIAN NEWSPAPER
[000:25:08;373] IN BRITAIN REPORTING.
[000:25:09;574] HE WAS A CONTRACTOR WORKING
[000:25:10;909] FOR THE NSA.
[000:25:12;377] HE IS SPEAKING OUT.
[000:25:14;279] NOW SO ARE LAWMAKERS ON
[000:25:16;014] CAPITOL HILL.
[000:25:17;382] NEXT, LIVE, WE'LL TALK WITH
[000:25:20;151] PETER KING OF NEW YORK WHAT
[000:25:23;288] HE THINKS SHOULD HAPPEN TO
[000:25:25;423] THE MAN EDWARD SNOWDEN.
[000:25:27;959] >> WHILE THEY MAY BE
[000:25:30;595] INTENDING SOMEBODY FOREIGN
[000:25:32;464] GOVERNMENT OR SOMEONE THEY
[000:25:34;266] SUSPECT OF TERRORISM THEY
[000:25:35;133] ARE COLLECTING YOUR
[000:25:37;002] COMMUNICATIONS TO DO SO.
[000:25:38;403] CKAGE PP
[000:25:39;971] FROM THE UNITED STATES
[000:25:39;971] POSTAL SERVICE
[000:25:41;373] A SMALL DESIGN FIRM CAN SHIP
[000:25:41;373] LIKE A BIG BUSINESS.
[000:25:43;575] JUST GO ONLINE TO PAY, PRINT
[000:25:46;177] AND HAVE YOUR PACKAGES
[000:25:46;177] PICKED UP FOR FREE.
[000:25:48;246] WE'LL DO THE REST.
[000:25:49;581] ♪
[000:25:54;586] I DON'WITHOUT GOINGCISIONS
[000:25:54;586] TO ANGIE'S LIST FIRST.
[000:25:56;521] YOU'LL FIND REVIEWS
[000:25:56;521] ON HOME REPAIR TO HEALTHCARE
[000:25:58;707] WRITTEN BY PEOPLE
[000:25:58;707] JUST LIKE YOU.
[000:26:00;558] WITH ANGIE'S LIST,
[000:26:00;558] I KNOW WHO TO CALL,
[000:26:02;560] AND I KNOW THE RESULTS
[000:26:02;560] WILL BE FANTASTIC.
[000:26:04;663] ANGIE'S LIST --
[000:26:04;663] REVIEWS YOU CAN TRUST.
[000:27:10;128] WHEN HE SAID "EVERYONE
[000:27:10;128] GETS HEALTH INSURANCE"?
[000:27:12;097] BUT NOW CONGRESS SAYS
[000:27:12;097] 7 MILLION AMERICANS
[000:27:15;133] WILL LOSE
[000:27:15;133] THEIR HEALTH INSURANCE
[000:27:17;435] AND YOUR INSURANCE RATES
[000:27:17;435] COULD INCREASE BY 200%.
[000:27:20;972] SOME HEALTH PLANS
[000:27:20;972] EVEN GET HIT WITH A 40% TAX
[000:27:24;542] AND OVER $700 BILLION
[000:27:24;542] IN MEDICARE CUTS.
[000:27:27;545] SO NOW WE'RE REALLY SAD.
[000:27:30;915] BUT YOU CAN BE HAPPY AGAIN
[000:27:32;517] BY GETTING
[000:27:32;517] THE OBAMACARE SURVIVAL GUIDE.
[000:27:35;053] IT'S ALREADY
[000:27:35;053] A #1 NEW YORK TIMES BESTSELLER
[000:27:38;456] AND OVER 500,000 AMERICANS
[000:27:38;456] HAVE GOTTEN A COPY.
[000:27:41;292] NEWSMAX SAYS IT'S "THE BEST
[000:27:41;292] GUIDE" TO THE NEW LAW.
[000:27:44;396] YOU CAN GET YOUR COPY
[000:27:44;396] AT OBAMACARE911.COM.
[000:27:48;566] IT GIVES YOU THE TIPS,
[000:27:48;566] STRATEGIES AND LOOPHOLES
[000:27:51;169] YOU NEED TO KNOW.
[000:27:52;671] GET YOUR COPY OF
[000:27:52;671] THE OBAMACARE SURVIVAL GUIDE
[000:27:55;373] AT STORES EVERYWHERE
[000:27:56;341] FOR $19.95.
[000:27:57;842] OR GET THE INTERNET ONLY OFFER
[000:27:59;210] OF JUST $4.95 AND SAVE $15.
[000:28:02;313] GO TO OBAMACARE911.COM
[000:28:04;749] TO CLAIM YOUR COPY NOW.
[000:29:12;784] >>.
[000:29:13;051] >> Harris: THIS THE FOX
[000:29:13;985] REPORT.
[000:29:15;587] BOTTOM OF THE HOUR TIME FOR
[000:29:16;855] TOP OF THE NEWS CAN
[000:29:17;655] BREAKING NEWS TONIGHT AS
[000:29:19;090] BRITAIN'S GUARDIAN
[000:29:20;091] NEWSPAPER NAMES THEIR
[000:29:21;292] SOURCE FOR REVEALING
[000:29:22;660] DETAILS ON MULTIPLE TOP
[000:29:24;462] SECRET SURVEILLANCE
[000:29:25;463] PROGRAMS THAT SNOOPED ON
[000:29:27;532] AMERICAN CITIZENS' PHONE
[000:29:28;733] RECORDS AND EVEN INTERNET
[000:29:30;335] TRAFFIC.
[000:29:31;503] ADMITTED LEAKER A
[000:29:32;971] 29-YEAR-OLD FORMER C.I.A.
[000:29:34;038] EMPLOYEE AND CONTRACT
[000:29:37;642] WORKER.
[000:29:38;309] WE'RE TOLD HE IS IN HONG
[000:29:39;944] KONG RIGHT NOW AND HOPES TO
[000:29:41;579] SEEK ASYLUM.
[000:29:45;917] EDWARD SNOWDEN OPENED WHY
[000:29:48;153] HE LEAKED SUCH SENSITIVE
[000:29:49;988] INFORMATION ABOUT OUR
[000:29:51;156] GOVERNMENT.
[000:29:51;556] >> I'M JUST ANOTHER GUY WHO
[000:29:53;725] SITS DAY TO DAY IN THE
[000:29:56;661] OFFICE AND GOES -- THIS IS
[000:29:58;897] SOMETHING THAT IS NOT OUR
[000:30:00;231] PLACE TO DECIDE.
[000:30:02;200] THE PUBLIC NEEDS TO DECIDE
[000:30:04;369] WHETHER THE POLICIES ARE
[000:30:05;770] RIGHT OR WRONG.
[000:30:07;505] >> Harris: PETER KING SAYS
[000:30:09;340] IF HE DID LEAK THE NSA DATA
[000:30:12;043] AS HE CLAIMS, THE U.S.
[000:30:14;212] GOVERNMENT MUST PROSECUTE
[000:30:15;513] HIM TO THE FULL EXTENT OF
[000:30:16;948] THE LAW.
[000:30:18;383] CONGRESSMAN KING JOINS US
[000:30:19;717] BY PHONE?
[000:30:20;518] >> HOW ARE YOU?
[000:30:21;786] >> Harris: I'M WELL.
[000:30:23;621] WHY MUST THE GOVERNMENT
[000:30:25;690] PROSECUTE SNOWDEN?
[000:30:26;691] >> THIS IS AN APPALLING
[000:30:28;026] CRIME.
[000:30:28;459] HE IS PUTTING AMERICAN
[000:30:29;661] LIVES AT RISK.
[000:30:31;229] HE IS JEOPARDIZING AMERICAN
[000:30:34;966] INTELLIGENCE, HE HAS
[000:30:36;367] SOURCES AND METHODS TO BE
[000:30:39;304] KNOWN TO THE ENEMY.
[000:30:41;372] THIS IS TREMENDOUS BOOST TO
[000:30:43;575] AL-QAEDA.
[000:30:44;309] IT WILL BE MORE DIFFICULT
[000:30:45;910] TO GET PRIVATE COMPANIES TO
[000:30:47;378] WORK WITH US.
[000:30:49;647] HE TIPPED OFF AL-QAEDA A
[000:30:52;383] WHAT WE'RE DOING.
[000:30:53;818] NO INDIVIDUAL CAN DO THIS.
[000:30:56;354] HE HAS VIOLATED HIS OATH.
[000:30:59;123] HE HAS DISCLOSED TOP SECRET
[000:31:01;359] CLASSIFIED INFORMATION.
[000:31:02;827] WE CANNOT ALLOW TO GO
[000:31:06;464] UNPUNISHED.
[000:31:07;165] >> Harris: WHEN YOU HEAR
[000:31:10;335] PEOPLE THAT IS SOMEWHAT OF
[000:31:12;337] HERO, MAYBE ACCUSING THE
[000:31:15;540] GOVERNMENT OF OVERREACH.
[000:31:17;242] WHAT DO YOU SAY TO THOSE
[000:31:18;409] PEOPLE?
[000:31:19;344] >> I WOULD SAY, THEY ARE
[000:31:21;913] TOTALLY MISGUIDED.
[000:31:23;348] IT'S NOT UP HIMHAM WHAT IS
[000:31:27;151] MORAL OR WHAT IS NOT.
[000:31:30;989] IF HE WAS AWARE OF ANY
[000:31:34;392] ILLEGALITY.
[000:31:34;993] GO TO THE CONGRESS OR
[000:31:36;461] JUSTICE DEPARTMENT.
[000:31:38;062] GO TO INSPECTOR GENUINE THE
[000:31:41;866] C.I.A. OR NSA.
[000:31:44;235] FOR HIM TO DECIDE ON HIS
[000:31:46;237] OWN TO COME FORWARD THIS IS
[000:31:48;139] ABSOLUTE DISGRACE.
[000:31:49;340] PEOPLE THAT TRY TO MAKE HIM
[000:31:51;142] HERO IT'S BEYOND ME.
[000:31:52;944] DO THEY REALIZE THE
[000:31:54;178] CONSEQUENCES OF WHAT THEY
[000:31:54;979] ARE DOING HERE?
[000:31:56;080] IF THIS PROGRAM HAD NOT
[000:31:57;715] BEEN IN PLACE BACK IN 2009,
[000:32:02;220] THEY WOULD HAVE KILLED
[000:32:03;221] HUNDREDS AND HUNDREDS OF
[000:32:04;322] PEOPLE IN NEW YORK IN A
[000:32:06;624] SUBWAY SYSTEM THE PLAN HE
[000:32:10;028] HAD TO SET OFF EXPLOSIVES
[000:32:11;129] IN THE SUBWAY SYSTEM.
[000:32:12;463] IF I WANT TO COMPARE THE
[000:32:14;632] HERO A PERSON WHO STOPPED
[000:32:16;534] THAT ATTACK AS HE WAS
[000:32:18;836] TRYING TO CARRY OUT THE
[000:32:20;338] UNITED STATES.
[000:32:26;110] ESPECIALLY THERE IS NO
[000:32:26;978] EVIDENCE OF ILLEGALITY.
[000:32:28;546] THIS IS CLEARLY IN
[000:32:30;348] COMPLIANCE WITH THE LAW.
[000:32:31;549] IF THERE ARE SPECIFIC
[000:32:33;251] OBJECTIONS, THERE IS A FISA
[000:32:35;453] COURT THAT MONITORS THIS ON
[000:32:36;487] A REGULAR BASIS.
[000:32:38;756] THERE IS JUSTICE DEPARTMENT
[000:32:40;892] AND ESPECIALLY THE FISA
[000:32:41;926] COURT.
[000:32:42;327] THIS IS UNDER COURT
[000:32:44;595] SUPERVISION.
[000:32:44;996] >> Harris: ONE OF THE
[000:32:46;097] THINGS YOU WILL SEE WHEN
[000:32:47;498] YOU WATCH THE TAPE, HE SAYS
[000:32:50;001] HE KNEW THE RISKS BUT HE
[000:32:52;136] FELT THE ABUSES HE WAS
[000:32:54;806] WITNESSING AND POSSIBLY
[000:32:56;307] TAKING A PART IN IN TERMS
[000:32:57;875] OF MONITORING PHONE RECORDS
[000:33:00;511] AND SNOOPING, HE THOUGHT
[000:33:03;281] THOSE WERE SO EGREGIOUS AND
[000:33:06;884] PEOPLE MIGHT NOT LISTEN?
[000:33:08;586] >> WHO IS HE TO DECIDE TO
[000:33:10;688] PUT AMERICAN LIVES AT RISK?
[000:33:12;223] IF HE FELT THAT STRONGLY
[000:33:13;992] ABOUT IT, GO TO THE
[000:33:15;293] INSPECTOR GENERAL.
[000:33:15;860] GO TO THE JUSTICE
[000:33:17;595] DEPARTMENT.
[000:33:17;996] THE FACT IS YOU CANNOT HAVE
[000:33:20;565] EVERY EMPLOYEE IN THE
[000:33:21;299] FEDERAL GOVERNMENT DECIDING
[000:33:22;333] WHAT LAW THEY ARE GOING TO
[000:33:23;334] FOLLOW AND WHAT LAW THEY
[000:33:24;535] ARE NOT GOING TO FOLLOW.
[000:33:26;971] AND WHY IS HE IN HONG KONG?
[000:33:29;507] TO BE IN CHINA IS THE
[000:33:33;811] LEADING COUNTRY IN THE
[000:33:35;246] WORLD AS FAR AS HACKING
[000:33:36;714] INTO US AND TRYING TO STEAL
[000:33:38;216] OUR SECRETS.
[000:33:39;083] IN MANY WAYS, INTELLIGENCE
[000:33:40;651] WISE IS AN ENEMY COUNTRY.
[000:33:43;621] WHY IS HE THERE SUBJECTING
[000:33:45;656] HIMSELF TO CHINESE
[000:33:47;358] INTELLIGENCE RAISES
[000:33:48;526] QUESTIONS ABOUT HIM.
[000:33:53;231] HE HAS DISCLOSED AN
[000:33:57;735] INCREDIBLE ASSISTANCE TO
[000:33:58;569] AL-QAEDA.
[000:33:59;670] AL-QAEDA IS TRYING TO KILL
[000:34:00;772] AMERICANS.
[000:34:01;139] THAT IS THE MESSAGE WE HAVE
[000:34:02;607] TO KEEP IN MIND.
[000:34:03;608] HIS ACTIONS AND VERY LIKELY
[000:34:05;309] COULD RESULT IN THE DEATHS
[000:34:07;078] OF INNOCENT AMERICAN LIVES.
[000:34:08;980] >> Harris: YOU MENTION WHY
[000:34:12;083] DID HE GO TO HONG KONG.
[000:34:14;085] WE KNOW HE WAS WITH A
[000:34:17;188] JOURNALIST WITH THE
[000:34:18;089] GUARDIAN.
[000:34:18;456] WE DON'T KNOW IF THERE WAS
[000:34:20;425] AN AGREEMENT TO GO WITH
[000:34:21;559] THAT JOURNALIST.
[000:34:22;627] WE DO KNOW THIS IS A
[000:34:24;762] SPECIAL ADMINISTRATIVE
[000:34:27;098] TERRITORY OF CHINA AND
[000:34:27;999] THERE IS EXTRADITION
[000:34:29;534] BETWEEN HONG KONG AND THE
[000:34:30;501] UNITED STATES.
[000:34:31;569] WE WILL SEE WHAT HAPPENS
[000:34:33;204] GOING FORTH.
[000:34:34;872] QUICKLY, FORECASTING INTO
[000:34:36;240] TOMORROW, WHAT DO YOU
[000:34:38;042] PERCEIVE WILL BE THE NEXT
[000:34:39;110] FEW STEPS?
[000:34:39;644] >> I WOULD HOPE THE JUSTICE
[000:34:43;381] DEPARTMENT BEGIN
[000:34:44;415] PROSECUTION AS SOON AS
[000:34:45;016] POSSIBLE.
[000:34:45;583] I HOPE OUR GOVERNMENT WILL
[000:34:47;652] REACH OUT CHINA.
[000:34:49;187] WE HAVE A TREATY WITH HONG
[000:34:51;255] KONG BUT CHINA IS CALLING
[000:34:52;290] THE SHOTS HERE.
[000:34:56;127] HE HAS PUT US THE THE MERCY
[000:34:59;130] OF CHINA WE HAVE TO USE ALL
[000:35:01;232] THE LEVERAGE AND POWER WE
[000:35:04;035] HAVE AND GET HIM BACK TO
[000:35:06;170] THE UNITED STATES AS
[000:35:07;572] QUICKLY AS POSSIBLE.
[000:35:08;806] >> Harris: THE LEADER OF
[000:35:11;209] CHINA WAS VISITING WITH OUR
[000:35:12;643] PRESIDENT.
[000:35:13;211] WE'LL SEE IF THAT PLAYS A
[000:35:14;612] ROLE.
[000:35:15;613] PETER KING, THANK YOU FOR
[000:35:17;715] JOINING US.
[000:35:18;749] >>> JOINING ME NOW
[000:35:21;219] LIEUTENANT COLONEL TONY
[000:35:23;754] SCHAFFER THE AUTHOR "THE
[000:35:26;557] LAST LINE."
[000:35:27;425] GOOD TO SEE YOU, COLONEL
[000:35:29;227] THANKS FOR BEING HERE.
[000:35:31;262] WHEN YOU AND I WERE GETTING
[000:35:33;831] THIS ISSUE EARLIER THE NEWS
[000:35:36;868] HADN'T BROKEN.
[000:35:39;437] SNOWDEN SAYS HE COULD
[000:35:41;305] MONITOR ANYBODY.
[000:35:42;006] LET'S WATCH.
[000:35:42;974] >> I SITTING AT MY DESK HAD
[000:35:45;143] THE AUTHORITY TO WIRETAP
[000:35:48;546] ANYONE, FROM YOU TO YOUR
[000:35:51;516] ACCOUNTANT TO EVEN THE
[000:35:55;319] PRESIDENT.
[000:35:55;686] >> Harris: I WANT TO GET
[000:35:57;088] YOUR RESPONSE THAT HE
[000:35:59;157] LEAKED CLASSIFIED
[000:36:00;358] INFORMATION ABOUT THE
[000:36:01;425] FEDERAL GOVERNMENT'S
[000:36:02;326] PROGRAM?
[000:36:03;194] >> HE DID.
[000:36:04;595] I AGREE WITH REPRESENTATIVE
[000:36:06;430] KING THAT THIS IS TRAGIC.
[000:36:07;999] THERE IS NO WAY THIS GUY
[000:36:10;434] SHOULD GO ABOUT HIS
[000:36:13;437] BUSINESS WITHOUT
[000:36:13;938] CONSEQUENCES.
[000:36:14;372] I DON'T AGREE WITH PETER
[000:36:17;842] KING THAT JAMES
[000:36:20;578] SENSENBRENNER THAT WROTE
[000:36:23;047] THE PATRIOT ACT I DIDN'T
[000:36:26;284] WANT IT TO BE USED THAT
[000:36:27;418] WAY.
[000:36:27;919] I WOULD PUT THEM ON TRACK
[000:36:31;088] FOR THE JUDICIAL WATCH TO
[000:36:33;357] HELP WHISTLEBLOWERS AND
[000:36:34;592] KING SAID HE SHOULD BE
[000:36:36;227] DISCLOSING THIS TO CERTAIN
[000:36:37;495] MEMBERS OF CAPITOL HILL.
[000:36:38;196] I HAD TO WHISTLE BLOW ON
[000:36:40;831] ABLE DANGER REGARDING DATA
[000:36:44;068] MINING PRE-9/11 SPEAKER OF
[000:36:49;106] THE HOUSE DENNIS HASTERT
[000:36:51;943] ASKED ME TO TESTIFY.
[000:36:53;144] WE HAD OPEN AND CLOSED
[000:36:55;179] HEARINGS.
[000:36:55;546] THAT IS THE PROPER WAY TO
[000:36:56;280] DO IT.
[000:36:57;248] UNFORTUNATELY FOR MR. SNOWDEN
[000:37:00;885] HAS CAUSED FAR MORE
[000:37:03;087] PROBLEMS FOR HIMSELF AND HE
[000:37:04;121] HAS DEFECTED.
[000:37:04;889] HE IS IN ENEMY TERRITORY
[000:37:06;591] RIGHT NOW.
[000:37:07;425] CHINA IS NOT AN ADVERSARY
[000:37:09;727] OF OURS BUT THERE IS
[000:37:11;929] HACKING GOING ON.
[000:37:12;663] WHATEVER INFORMATION IS IN
[000:37:13;864] HIS HEAD IS NOW WITH
[000:37:15;800] CHINESE IN SOME FORM.
[000:37:18;336] >> Harris: WOW!
[000:37:19;770] I HAD NOT HEARD ANYBODY PUT
[000:37:22;106] IT EXACTLY LIKE THAT.
[000:37:23;407] YOU HEARD CONGRESSMAN KING
[000:37:26;110] TALKING A LITTLE BIT BUT
[000:37:27;745] YOU DUG IN DEEPER.
[000:37:30;281] THAT HAS A LOT OF IMPACT?
[000:37:31;716] >> IT DOES.
[000:37:33;150] HE HAS GIVEN THE CHINESE A
[000:37:35;720] HUGE THING IN THE GAME.
[000:37:36;654] HE IS A FORMER C.I.A.
[000:37:38;456] OPERATIVE.
[000:37:39;123] I'M TELLING YOU WITH HIS
[000:37:40;324] ATTITUDE AND WAY HE HAS
[000:37:41;826] TALKED ABOUT AND HE IS
[000:37:43;628] DISGRUNTLED AND I SUSPECT
[000:37:46;163] HE HAS INFORMATION FROM
[000:37:47;198] C.I.A.
[000:37:48;032] RIGHT NOW, NSA IS PANICKING
[000:37:50;368] BECAUSE EVERYTHING HE TOOK
[000:37:51;802] THEY KNOW.
[000:37:52;303] ALL THE STUFF DOWNLOADED
