[000:00:17;19] >>> FOX URGENT.  
[000:13:37;12] THAT THEY HAVE OUT THERE  
[000:13:38;18] GATHERING VIDEO.  
[000:13:39;14] WE HAD OUR VERY OWN TASTE OF  
[000:13:41;02] THAT WITH EMILY EARLIER.  
[000:13:43;02] SHE WAS WITH US ON FOX REPORT  
[000:13:46;13] FROM EDMOND, OKLAHOMA, SHARING  
[000:13:48;03] PICTURES AND STORIES TONIGHT.  
[000:13:49;09] A FANTASTIC WAY TO GET AN EYE  
[000:13:50;13] INTO THE STORM AND GENERALLY WE  
[000:13:52;06] LEAN ON THEM A LITTLE BIT BUT  
[000:13:54;04] HOPING EVERYBODY STAYS SAFE.  
[000:13:55;22] MAKE YOU AWARE OF A COUPLE OF  
[000:13:57;02] DEVELOPMENTS BEFORE WE TAKE A  
[000:13:58;18] QUICK COMMERCIAL BREAK.  
[000:14:01;21] WICHITA, KANSAS AND A SUBURB  
[000:14:02;25] THERE HAVE BEEN KIT PRETTY  
[000:14:03;29] HARD.  
[000:14:04;16] WE WILL TALK WITH THE MAYOR OF  
[000:14:05;15] WICHITA RIGHT AFTER THIS.  
[000:14:06;28] STAY CLOSE.
[000:14:09;20] [ Male Announcer ]    RUNNING OUT
[000:14:10;12] OF STEAM?  ♪ ♪    NOW YOU CAN GIVE
[000:14:12;16] YOURSELF    A KICK IN THE REAR!  
[000:14:15;15] V8 V-FUSION PLUS ENERGY.    NATURAL
[000:14:16;24] ENERGY FROM GREEN TEA    PLUS FRUITS
[000:14:17;15] AND VEGGIES.    NEED A LITTLE KICK?
[000:14:20;14] OOH!    COULD'VE HAD A V8.    IN THE
[000:14:21;27] JUICE AISLE.
[000:14:24;19] [ Giada ] WHY DID I SWITCH  TO NATURAL
[000:14:25;11] INSTINCTS?  IT'S HEALTHIER, AMMONIA-FREE.
[000:14:28;11] AND WITH ALOE, VITAMIN E  AND COCONUT
[000:14:29;02] OIL,  MY HAIR LOOKS HEALTHIER  THAN
[000:14:31;24] BEFORE I COLORED.  I SWITCHED.  YOU
[000:14:35;20] SHOULD TOO,  TO NATURAL INSTINCTS.
[000:15:09;15] [ man ]  ON DECEMBER 17, 1903  THE
[000:15:11;19] WRIGHT BROTHERS BECAME  THE FIRST
[000:15:12;09] IN FLIGHT.  [ Goodall ] I THINK  THE
[000:15:13;28] MOST AMAZING THING  IS HOW LIKE US
[000:15:16;07] THESE CHIMPANZEES ARE.  [ LAUGHING
[000:15:18;05] ]  [ woman ]  CAN YOU HEAR ME?  AND
[000:15:20;12] YOU HEAR YOUR VOICE?  OH, IT'S EXCITING!
[000:15:22;26] [ man ] TOUCHDOWN CONFIRMED.  WE'RE
[000:15:23;17] SAFE ON MARS.  [ CHEERS AND APPLAUSE
[000:15:25;29] ]  ♪ ♪  HI.  [ BABY FUSSING ]  ♪ ♪
[000:15:44;05] Why are twice as many people  choosing
[000:15:44;25] Verizon  over any other carrier?
[000:15:48;09] Many choose us because we have  the
[000:15:49;00] largest 4GLTE network.
[000:15:53;09] Others, because of our  reputation
[000:15:53;29] for reliability.
[000:15:56;29] Or maybe it's because  we've received
[000:15:57;21] JD Power
[000:15:58;23] and Associates' customer service 
[000:15:59;13] award 4X in a row.
[000:16:02;22] In the end  there are countless reasons.
[000:16:05;15] But one choi.
[000:16:09;13] SHE'S STILL  THE ONE FOR YOU -  YOU
[000:16:10;12] KNOW IT EVEN  AFTER ALL THESE YEARS.
[000:16:12;08] BUT YOUR ERECTILE  DYSFUNCTION -
[000:16:13;08] YOU KNOW,THAT COULD BE A  QUESTION
[000:16:13;26] OF BLOOD FLOW.
[000:16:15;15] CIALIS TADALAFIL  FOR DAILY USE
[000:16:16;26] HELPS YOU BE READY ANYTIME  THE MOMENT'S
[000:16:17;22] RIGHT.
[000:16:18;28] YOU CAN BE MORE CONFIDENT IN  YOUR
[000:16:19;18] ABILITY TO BE READY.
[000:16:21;13] AND THE SAME CIALIS IS THE  ONLY DAILY
[000:16:22;05] ED TABLET
[000:16:23;24] APPROVED TO TREAT ED  AND SYMPTOMS
[000:16:24;14] OF BPH,
[000:16:26;13] LIKE NEEDINGO GO  FREQUENTLY OR URGENTLY.
[000:16:29;01] TELL YOUR DOCTOR ABOUT ALL
[000:16:29;24] YOUR MEDICAL CONDITIONS  AND MEDICATIONS,
[000:16:31;06] AND ASK IF YOUR HEART IS HEALTHY 
[000:16:31;24] ENOUGH FOR SEXUAL ACTIVITY.
[000:16:34;01] DO NOT TAKE CIALIS IF YOU  TAKE NITRATES
[000:16:34;25] FOR CHEST PAIN
[000:16:36;23] AS THIS MAY CAUSE AN UNSAFE DROP 
[000:16:37;11] IN BLOOD PRESSURE.
[000:16:39;02] DO NOT DRINK ALCOHOL  IN EXCESS WITH
[000:16:39;23] CIALIS.
[000:16:41;10] SIDE EFFECTS MAY INCLUDE  HEADACHE,
[000:16:42;00] UPSET STOMACH,
[000:16:43;27] DELAYED BACKACHE OR MUSCLE ACHE.
[000:16:44;27] TO AVOID LONG-TERM INJURY,  SEEK IMMEDIATE
[000:16:45;21] MEDICAL HELP
[000:16:47;17] FOR AN ERECTION LASTING  MORE THAN
[000:16:48;06] FOUR HOURS.
[000:16:49;17] IF YOU HAVE ANY SUDDEN DECREASE  OR
[000:16:50;06] LOSS IN HEARING OR VISION
[000:16:52;13] OR IF YOU HAVE ANY  ALLERGIC REACTIONS
[000:16:54;01] SUCH AS RASH, HIVES,  SWELLING OF
[000:16:54;21] THE LIPS
[000:16:56;09] TONGUE OR THROAT
[000:16:56;28] OR DIFFICULTY BREATHING  OR SWALLOWING,
[000:16:58;07] STOP TAKING CIALIS AND GET  MEDICAL
[000:16:58;26] HELP RIGHT AWAY.
[000:17:02;17] ASK YOUR DOCTOR ABOUT CIALIS  FOR
[000:17:03;07] DAILY USE
[000:17:05;01] AND A 30-TABLET FREE TRIAL.
[000:17:16;09] >>> JOINING US KARL BREWER, THE  
[000:17:17;05] MAYOR OF WICHITA KANSAS.  
[000:17:17;28] AND WHILE HE TALKS WITH US WE  
[000:17:18;24] ARE LOOKING AT BRAND NEW YOU  
[000:17:20;03] VIDEO IN OF THIS MONSTER  
[000:17:25;10] TWISTER SYSTEM THAT IS MOVING  
[000:17:26;19] ACROSS THE MID SECTION OF OUR  
[000:17:27;14] COUNTRY.  
[000:17:27;28] IT IS CONTINUING COVERAGE OF  
[000:17:28;23] THE BREAKING NEWS.  
[000:17:29;14] OKLAHOMA AND KANSAS HIT VERY  
[000:17:31;28] HARD OF FUNNEL  
[000:17:34;10] CLOUDS, HARSH HAIL THE SIZE OF  
[000:17:35;24] GRAPEFRUITS, HIGH WINDS DAMAGE  
[000:17:37;06] TO HOMES AND VEHICLES.  
[000:17:38;12] MAYOR BREW ARE ARE YOU WITH  
[000:17:39;29] US?  
[000:17:40;11] >> YES, I AM.  
[000:17:41;00] >> I KNEE WICHITA TOOK A PUNCH  
[000:17:43;18] TODAY.  
[000:17:44;03] TELL ME HOW THINGS ARE GOING IN  
[000:17:45;28] YOUR CITY.  
[000:17:46;20] >> AS IT STANDS RIGHT NOW  
[000:17:48;02] EVERYONE IS TRYING TO RECOVER.  
[000:17:50;25] WE HAD SOME SIGHTINGS.  
[000:17:52;05] WE HAD TWO OR THREE SIGHTINGS  
[000:17:53;27] OF TORNADOES BUT SO FAR WE ARE  
[000:17:55;27] NOT SEEING THAT WE SEE ANYTHING  
[000:17:57;27] OF ANY REAL TORNADO DAMAGE.  
[000:17:59;12] IT WAS JUST THE HIGH WINDS THE  
[000:18:01;09] LARGE SIZED GOLF BALL SIZED  
[000:18:05;07] HAIL AND THAT ALONE AND THE  
[000:18:13;07] RAIN REALLY DID A NUMBER ON THE  
[000:18:15;15] CITY, YOU WOULD THINK THAT A  
[000:18:17;06] TORNADO GAME THROUGH.  
[000:18:18;20] THE HAIL CAME AT SUCH A  
[000:18:21;06] VELOCITY, RIPPED HOLES THROUGH  
[000:18:22;15] THE HOUSES AND TORE UP SIDING  
[000:18:24;05] AND BROKEN WINDOWS AND THINGS  
[000:18:25;24] OF THAT NATURE.  
[000:18:27;01] EVEN I HAD BROKEN WINDOWS AND  
[000:18:28;19] ALL OF MY VEHICLES THAT WERE  
[000:18:30;13] SITTING OUT THEY ALL ENDED UP  
[000:18:32;01] BEING DAMAGED AND SO TREES THAT  
[000:18:34;08] HAVE FELL ON TOP OF HOMES AND  
[000:18:36;29] JUST IT JUST THE LIST GOES ON  
[000:18:39;13] AND A ON AND ON.  
[000:18:40;16] >> I DON'T KNOW IF YOU HAVE  
[000:18:41;25] GOTTEN OUT A CHANCE TO LOOK AT  
[000:18:44;19] BEYOND DAMAGE THAT YOU ARE  
[000:18:45;26] SUFFERING BUT I'M CURIOUS TO  
[000:18:48;22] KNOW WITH US PEOPLE   BECAUSE PEOPLE
[000:18:51;14] WATCH WILLING  
[000:18:52;08] SAY WICHITA IS A BIG CITY AND  
[000:18:53;21] IT IS FAIRLY RARE FOR POPULATED  
[000:18:55;18] AREAS TO GET HIT LIKE THIS.  
[000:18:56;29] WE FORECAST THAT WICHITA AND  
[000:18:58;15] KANSAS CITY MIGHT BE TOUCHED BY  
[000:19:00;09] THIS AND IN FACT THAT HAS  
[000:19:02;14] HAPPENED TODAY WITH YOUR CITY.  
[000:19:03;29] TALK TO ME ABOUT THE EMERGENCY  
[000:19:06;04] MANAGEMENT PREPARATION THAT YOU  
[000:19:07;02] TOOK AND WHAT PEOPLE WERE  
[000:19:08;10] PLANNING TO DO TODAY.  
[000:19:11;28] TODAY.  
[000:19:12;14] >> OUR EMERGENCY LEVEL WAS  
[000:19:13;07] ELEVATED TO A LEVEL TWO IN  
[000:19:14;13] PREPARATION FOR THE STORM TO  
[000:19:15;21] COME THROUGH.  
[000:19:16;27] AND WE HAVE CONTINUED TO  
[000:19:18;19] MAINTAIN THAT.  
[000:19:19;13] WE HAVE ALL OF OUR CREWS AND  
[000:19:20;25] EVERYONE HAS BEEN DISPATCHED  
[000:19:22;25] AND THEY WERE AT THE EMERGENCY  
[000:19:25;17] SERVICE CENTER IN PREPARATION.  
[000:19:27;17] YOU KNOW, WE DID HAVE SOME  
[000:19:30;09] ELECTRICAL LINES BLOWN DOWN  
[000:19:31;24] BECAUSE OF THE WIND BUT FOR THE  
[000:19:34;01] MOST PART EVERYONE WAS  
[000:19:35;19] FOREWARNED.  
[000:19:36;10] WE HAD LOTS OF WARNING AND  
[000:19:38;16] PREPARATION TO PREPARE  
[000:19:39;19] OURSELVES.  
[000:19:40;12] A LOT OF ADVANCE NOTICE TO GO  
[000:19:41;12] TO YOUR SHELTERS AND YOU COULD  
[000:19:43;08] ALMOST TRACK IT FOR MILES AND  
[000:19:44;29] MILES JUST BY LISTENING TO OUR  
[000:19:47;16] MEDIA.  
[000:19:48;01] THEY DID A FANTASTIC JOB THIS  
[000:19:49;20] LETTING EVERYBODY KNOW EXACTLY  
[000:19:50;28] WHERE EVERYTHING WAS AT AND  
[000:19:52;24] WHERE IT WAS APPROACHING THE  
[000:19:54;03] COMMUNITYS.  
[000:19:54;26] >> WE HE HAVE BEEN DIPPING IN  
[000:19:55;29] TO FOX 25 IN OKLAHOMA CITY.  
[000:19:57;05] I WANT TO MAKE EVERYBODY AWARE  
[000:19:58;22] THEY ARE SEEING A COUPLE OF  
[000:20:00;20] DIFF'RENT THINGS ON THE SCREEN.  
[000:20:01;28] TO THE RIGHT IS THE SYSTEM ON  
[000:20:02;29] THE MAP.  
[000:20:03;27] ING TOLING BETWEEN OKLAHOMA  
[000:20:05;25] CITY VIDEO AND NOW LOOKING TEN  
[000:20:07;29] MILES OUTSIDE WICHITA KANSAS.  
[000:20:10;15] I DON'T KNOW IF YOU CAN SEE  
[000:20:11;24] THIS MAYOR BREWER.  
[000:20:12;19] THIS IS A MONSTER SYSTEM THAT  
[000:20:14;26] HAS TOUCHED DOWN A FEW MILES  
[000:20:16;13] WEST OF WICHITA.  
[000:20:17;15] ARE YOU HEARING ANY REPORTS OF  
[000:20:19;03] ANYTHING DAMAGED IN THAT AREA?  
[000:20:20;20] >> NO, I HAVE NOT HEARD OF ANY  
[000:20:22;24] REPORTS OF ANYTHING DAMAGED IN  
[000:20:24;04] THAT AREA AND MY FIRE CHIEF AND  
[000:20:27;02] POLICE CHIEF AND THE PEOPLE  
[000:20:28;08] THAT WE HAVE IN OUR EMERGENCY  
[000:20:30;11] CENTER HAVE NOT REPORTED  
[000:20:32;07] ANYTHING.  
[000:20:32;24] CURRENTLY I'M OUTSIDE KIND OF  
[000:20:35;15] LOOKING AT THE DAMAGES.  
[000:20:37;00] >> I CAN HEAR THE WIND!  
[000:20:38;00] I CAN HEAR IT.  
[000:20:39;00] >> LOOKING AT THE DAMAGE IN THE  
[000:20:40;10] NEIGHBORHOOD AND THE NEIGHBORS  
[000:20:41;18] ARE WALKING BACK AND FORTH DOWN  
[000:20:43;06] THE STREET TRYING TO SEE HOW  
[000:20:44;25] MUCH DAMAGE WAS DONE TO VARIOUS  
[000:20:47;11] DIFFERENT HOMES.  
[000:20:47;29] IT IS JUST WE ARE NOT HEARING  
[000:20:49;05] THAT THERE HAS BEEN ANY DAMAGE  
[000:20:50;18] WITH THE EXCEPTION OF WE HAD  
[000:20:52;00] SOME STRUCTURE TREES THAT FELL  
[000:20:54;03] ON HOMES AND POWER LINES THAT  
[000:20:56;00] ARE DOWN.  
[000:20:56;22] I THINK I HEARD OVER THE  
[000:20:58;20] SCANNER THAT ONE POWER LINE HAD  
[000:21:00;03] FELL ON TOP OF A CAR WITH A  
[000:21:02;15] FAMILY INSIDE OF IT BUT THE  
[000:21:04;02] FAMILY IS SAFE.  
[000:21:05;18] >> MAYOR BREWER, WE ARE ABOUT  
[000:21:06;26] TO RUN INTO A COMMERCIAL BREAK.  
[000:21:08;14] STAY TIGHT.  
[000:21:09;08] WE'LL BE HE RIGHT BACK.  
[000:21:10;00] THANK YOU.
[000:21:25;15] [ Male Announcer ]    THIS IS BETSY.
[000:21:26;15] HER LONG DAY OF PICK UPS    AND DROP
[000:21:27;07] OFFS    BEGINS WITH ARTHRITIS PAIN...
[000:21:30;01] AND A CHOICE.    TAKE UP TO 6 TYLENOL
[000:21:31;17] IN A DAY    OR JUST 2 Aleve    FOR
[000:21:33;00] ALL DAY RELIEF.    ALL ABOARD.  ♪
[000:21:37;10] ♪
[000:22:10;18] MINE WAS EARNED        IN DJIBOUTI
[000:22:11;11] AFRICA. 2004.  VIETNAM IN 1972.
[000:22:15;16] [ All ]            FORT BENNING, GEORGIA
[000:22:16;12] IN 1999.
[000:22:18;19] [ Male Announcer ]      USAA AUTO
[000:22:19;11] INSURANCE     IS OFTEN HANDED DOWN
[000:22:21;19] FROM GENERATION TO GENERATION.
[000:22:22;29] BECAUSE IT OFFERS           A SUPERIOR
[000:22:23;25] LEVEL OF PROTECTION
[000:22:25;20] AND BECAUSE USAA'S COMMITMENT    
[000:22:26;13] TO SERVE MILITARY MEMBERS,  
[000:22:29;08] VETERANS, AND THEIR FAMILIES     
[000:22:30;03] IS WITHOUT EQUAL.      
[000:22:32;21] BEGIN YOUR LEGACY,         GET AN
[000:22:33;13] AUTO INSURANCE QUOTE.
[000:22:36;01] USAA. WE KNOW         WHAT IT MEANS
[000:22:36;22] TO SERVE.
[000:22:40;07] WITH MY FRIENDS,  WE'LL DO ALMOST
[000:22:40;25] ANYTHING.  OUT FOR DRINKS, EATS.
[000:22:42;18] I HAVE  VERY WELL FITTING DENTURES.
[000:22:44;08] I LIKE TO EAT A LOT OF FRUITS.  LOVE
[000:22:44;29] THEM ALL.
[000:22:46;19] THE SEAL I GET  WITH THE SUPER POLIGRIP
[000:22:47;12] FREE
[000:22:49;05] KEEPS THE SEEDS  FROM GETTING UP UNDERNEATH.
[000:22:51;09] EVEN WELL-FITTING DENTURES  LET IN
[000:22:51;29] FOOD PARTICLES.
[000:22:53;27] SUPER POLIGRIP IS ZINC FREE.
[000:22:55;20] WITH JUST A FEW DABS
[000:22:56;16] IT'S CLINICALLY PROVEN  TO SEAL OUT
[000:22:57;07] MORE FOOD PARTICLES
[000:22:58;27] SO YOU'RE MORE COMFORTABLE  AND CONFIDENT
[000:22:59;21] WHILE YOU EAT.
[000:23:01;26] A LOT OF THINGS  GOING ON IN MY LIFE
[000:23:03;23] AND THE LAST THING  I WANT TO BE THINKING
[000:23:04;17] ABOUT
[000:23:06;03] IS MY DENTURES.
[000:23:06;26] [ Charlie ]  TRY ZINC FREE SUPER POLIGRIP.
[000:23:25;00] >>> FOX URGENT CONTINUING LIVE  
[000:23:26;03] COVERAGE OF WHAT YOU SEE IN THE  
[000:23:27;07] THE MIDDLE OF YOUR SCREEN THERE  
[000:23:28;09] IN OKLAHOMA TONIGHT.  
[000:23:29;08] IT HAS JUST BEEN A VICIOUS  
[000:23:31;20] THUNDERSTORM SYSTEM MOVING  
[000:23:33;05] ACROSS THERE DROPPING TWISTERS  
[000:23:34;12] FROM THE SKY AND THIS IS LIVE  
[000:23:35;22] SO EVERY NOW AND THEN YOU MAY  
[000:23:37;17] SEE THE SATELLITE PHOTO DROP  
[000:23:39;13] OUT AS WE TRY TO CAPTURE THIS.  
[000:23:41;01] BUT ALSO EVERY NOW AND THEN AS  
[000:23:42;14] I PUT MY EYES TO THE IS CENTER  
[000:23:43;26] OF THE SCREEN NOW YOU WILL SEE  
[000:23:45;01] A FUNNEL CLOUD COME OUT OF THE  
[000:23:47;02] SKY.  
[000:23:47;15] WE HAVE SEEN THAT MORE THAN A  
[000:23:48;25] FEW TIMES THIS AFTERNOON AND  
[000:23:50;06] NOW MOVING INTO THE EVENING  
[000:23:51;16] HOURS.  
[000:23:52;00] THAT IS A WALL CLOUD OKLAHOMA  
[000:23:53;07] IS VERY ACTIVE.  
[000:23:54;23] THERE IS RED ALL OVER THE MAP  
[000:23:58;11] AND THAT MEAN THERE'S IS  
[000:23:59;27] DANGER.  
[000:24:00;21] METEOROLOGIST JANICE DEAN IS IN  
[000:24:01;28] THE FOX EXTREME WEATHER CENTER  
[000:24:03;09] WHERE IT IS EXTREME RIGHT NOW  
[000:24:06;07] JANICE.  
[000:24:06;23] >> OKLAHOMA IS THE AREA I WANT  
[000:24:07;22] TO FOCUS IN WITH THE VISUALS OF  
[000:24:09;25] THE FUNNEL CLOUDS DROPPING FROM  
[000:24:12;19] THE SKY.  
[000:24:13;16] TORNADO WARNINGS SEVERAL IN AND  
[000:24:15;12] AROUND OKLAHOMA CITY.  
[000:24:16;15] TORNADO WATCHES EXTENDING UP  
[000:24:17;22] TOWARDS THE MIDWEST.  
[000:24:19;23] SO TORNADOES ARE CONDUCIVE HERE  
[000:24:22;02] ACROSS THE CENTRAL U.S. UP  
[000:24:24;00] TOWARDS THE MIDWEST.  
[000:24:25;14] THROUGHOUT THE EVENING AND INTO  
[000:24:26;17] THE OVERNIGHT HOURS.  
[000:24:27;21] HERE IS OKLAHOMA.  
[000:24:28;19] THERE IS OKLAHOMA CITY SOUTH  
[000:24:29;22] AND EAST OF THE AREA.  
[000:24:30;26] WE HAVE A CONFIRMED TORNADO ON  
[000:24:33;14] THE GROUND SPOTTED BY FOLKS ON  
[000:24:35;16] THE GROUND AND TRAINED WEATHER  
[000:24:36;28] SPOTTERS AND WE ARE SEEING  
[000:24:38;09] DEBRIS IN THE AREA.  
[000:24:39;17] SOUTH AND EAST OF OKLAHOMA CITY  
[000:24:42;02] THIS IS MOVING TOWARDS PINK,  
[000:24:45;01] OKLAHOMA.  
[000:24:45;23] THEN NORTH AND EAST OF OKLAHOMA  
[000:24:47;02] A CITY NORTH OF CHANDLER  
[000:24:48;23] ANOTHER SUPERCELL DEVELOPING  
[000:24:50;11] AND WITH THAT PERHAPS THE  
[000:24:51;20] POTENTIAL FOR ARE A TORNADO AND  
[000:24:54;00] THEN NORTH AND EAST OF THAT  
[000:24:55;08] SOUTH OF CLEVELAND WEST OF  
[000:24:58;11] TULSA, ANOTHER TORNADO WARNED  
[000:24:59;25] STORM.  
[000:25:00;09] OKLAHOMA REALLY RIGHT NOW FOR  
[000:25:03;01] TORNADO ACTIVITY THIS AREA NO  
[000:25:04;22] STRANGE TO TORNADOES BUT THEY  
[000:25:06;05] KNOW WHAT TO DO WHEN THE SIREN  
[000:25:08;05] COMBOSS   GO UP.  
[000:25:11;01] TOWARDS THE NORTH AND EAST IN  
[000:25:13;02] IOWA A TORNADO WARNING.  
[000:25:14;07] NOT ONLY CONFINED TO OKLAHOMA  
[000:25:16;23] AND KANSAS BUT STEP UP TOWARDS  
[000:25:17;28] THE UPPER MIDWEST THROUGH THE  
[000:25:18;26] EVENING HOURS.  
[000:25:19;27] RIGHT NOW LOOKS LIKE WE HAVE A  
[000:25:21;14] TORNADO OUTBREAK UNDERWAY IN  
[000:25:23;00] AND AROUND THE OKLAHOMA CITY  
[000:25:25;05] AREA.  
[000:25:25;25] WORD IS THERE IS DEBRIS, THERE  
[000:25:27;12] IS DAMAGE ON THE GROUND.  
[000:25:29;03] UNFORTUNATELY, AS THIS STORM  
[000:25:30;12] MOVES EASTWARD AND ONE OF THE  
[000:25:32;08] INGREDIENTS THAT WE NEED IT THE  
[000:25:33;21] VERY WARM UNSTABLE AIR MASS.  
[000:25:35;26] LOOKING AT OKLAHOMA, 77.  
[000:25:37;16] BUT SOUTH OF THAT WE ARE IN THE  
[000:25:39;01] 90s.  
[000:25:39;16] EAST OF THAT WE ARE INTO THE  
[000:25:40;20] 80s AND BEHIND THAT WE HAVE  
[000:25:42;02] THE COLDER DRYER AIR.  
[000:25:43;15] HARRIS IT IS THE PERFECT  
[000:25:45;12] TEXTBOOK SETUP FOR TORNADOES.  
[000:25:47;02] THE GOOD NEWS IS THIS AREA OF  
[000:25:48;13] THE COUNTRY THEY ARE USED TO IT  
[000:25:49;25] AND HOPEFULLY THEY ARE HEEDING  
[000:25:51;13] THE WARNINGS AS WE BRING THEM  
[000:25:53;10] TO THEM.  
[000:25:54;04] BACK TO YOU.  
[000:25:54;27] >> I WANT TO ASK WHY IS IT JUST  
[000:25:56;10] IN THE LAST LITTLE WHILE THIS  
[000:25:57;23] HAS GOTTEN WORSE.  
[000:25:59;03] EARLIER TODAY IT WAS COOKING  
[000:26:00;11] AND THEN IN JUST THE LAST 15-20  
[000:26:02;08] MINUTES WE ARE SEEING  
[000:26:04;09] TOUCHDOWNS.  
[000:26:05;00] I'M WATCHING THE ASSOCIATED  
[000:26:05;28] PRESS WIRES AND LOOKING WE HAVE  
[000:26:07;28] ON A BIG SCREEN FOX 25 IN  
[000:26:09;21] OKLAHOMA CITY.  
[000:26:10;18] I AM KEEPING MY EYES ON THAT  
[000:26:12;00] AND ALL OF A SUDDEN THIS IS  
[000:26:13;07] POPPING.  
[000:26:13;27] WE ARE ARE PUTING THAT UP NOW.  
[000:26:15;02] WHY IS THAT, JANICE?  
[000:26:16;10] >> IT IS THE DAY TIME HEATING.  
[000:26:18;22] THE DYERNAL HEATING.  
[000:26:23;03] EARLIER ON TODAY THE  
[000:26:24;05] THUNDERSTORMS CLEARED AND THEN  
[000:26:25;07] THE SUN COMES OUT AND HEATS UP  
[000:26:27;24] THE ATMOSPHERE AGAIN.  
[000:26:29;00] THEN WE HAVE ALL OF THAT  
[000:26:29;26] MOISTURE I MEAN THE DEW POINTS  
[000:26:31;12] IN THE AREA, THE MOISTURE  
[000:26:33;08] CONTENT IN OKLAHOMA AND TEXAS  
[000:26:36;18] IS OPPRESSIVE.  
[000:26:37;12] SO YOU HAVE GOT THE VERY WARM  
[000:26:40;09] HUMID AIR MASS AND WARM  
[000:26:41;18] MOISTURE COMING IN FROM THE  
[000:26:42;25] GULF OF MEXICO.  
[000:26:43;13] THE DAY TIME HEATING SETTING IN  
[000:26:45;18] AND THEN THESE STORMS START TO  
[000:26:48;00] FIRE WITH THAT FRONT AS IT  
[000:26:49;12] APPROACHES WITH THE COOLER  
[000:26:51;07] DRYER AIR BEHIND IT.  
[000:26:53;01] >> ALL RIGHT.  
[000:26:53;29] JANICE STAY WITH ME FOR JUST A  
[000:26:56;00] SECOND.  
[000:26:56;18] RIGHT NOW, FOX 25 IS TALKING TO  
[000:26:58;06] THE GUY DRIVING THIS CAR THE  
[000:26:59;20] STORM SPOTTER.  
[000:27:00;21] LET'S LISTEN.  
[000:27:01;23] >> THERE IS A TORNADO AND SHAWN  
[000:27:04;12] IS COMING ON I-40 UP IN HERE.  
[000:27:06;17] HE IS IN THE RAIN AND HAIL UP  
[000:27:08;26] HERE NOT TOO FAR FROM GAIL  
[000:27:10;28] OKAY.  
[000:27:11;14] IF YOU ARE STILL ON, LISTEN TO  
[000:27:13;05] US.  
[000:27:13;18] THE TORNADO IS ACTUALLY TO THE  
[000:27:14;21] SOUTHWEST.  
[000:27:15;15] I DIDN'T KNOW YOU WERE ON I-40.  
[000:27:16;19] I THOUGHT YOU WERE ON ANOTHER  
[000:27:18;26] ROAD COMING INTO SHAWNEE.  
[000:27:24;26] WE ARE GETTING THE DEBRIS  
[000:27:27;13] SIGNATURE ON RADAR.  
[000:27:29;22] THE RADAR IS PICKING UP DEBRIS  
[000:27:31;13] FLYING AROUND THE RADAR.  
[000:27:32;24] WE ARE PICKING THAT UP ON THE  
[000:27:34;06] RADAR AND SHOWS UP AS BIG HOLES  
[000:27:36;26] AND STUFF LIKE THAT BECAUSE YOU  
[000:27:38;18] HAVE TREE HES OR DEBRIS FLYING  
[000:27:41;20] AROUND.  
[000:27:42;09] BE CAREFUL THERE, SHAWN BECAUSE  
[000:27:43;14] YOU HAVE A SERIOUS SITUATION  
[000:27:45;01] WHEN YOU TRY TO DRIVE SOUTH THE  
[000:27:46;15] TORNADO IS GOING TO COME RIGHT  
[000:27:47;24] UP ON YOU THERE.  
[000:27:49;19] IT IS JUST WEST OF BETHEL ACRES  
[000:27:52;06] AND IT IS JUST A COUPLE OF  
[000:27:54;00] MILES SOUTH OF THE INTERSTATE.  
[000:28:04;05] >> APPRECIATE IT.  
[000:28:05;02] I'LL SEE IF I CAN GET YOU  
[000:28:07;21] ANOTHER VIEW OF IT.  
[000:28:08;19] >> MIGHT WANT TO HEAD BACK  
[000:28:10;13] TOWARDS SHAWNEE AND HEAD SOUTH.  
[000:28:13;02] >> DID YOU HEAR WHAT HE JUST  
[000:28:14;15] SAID JANICE?  
[000:28:15;15] HE TOLD THAT GUY DRIVING THIS  
[000:28:18;01] CAR.  
[000:28:18;14] SAID YOU GOT TO BE CAREFUL THAT  
[000:28:19;27] DEBRIS IS GOING TO COME IN YOUR  
[000:28:21;17] DIRECTION.  
[000:28:22;12] WHICH WAY ARE YOU DRIVING YOU  
[000:28:23;19] GOT TO GO THE OTHER WAY.  
[000:28:25;13] WE HAVE VIDEO FROM EARLIER  
[000:28:26;20] WHERE THE DEBRIS FIELD WAS  
[000:28:28;12] SPINNING AROUND AND POPPED UP  
[000:28:29;29] ON THE SCREEN.  
[000:28:30;26] A LOT O THE GROUND OF STUFF CAN  
[000:28:32;19] HIT THE SKY.  
[000:28:34;06] >> IT IS INCREDIBLE VIDEO.  
[000:28:36;13] YOU CAN SEE THE ROTATION SO  
[000:28:38;02] CLEARLY ON THE SCREEN AND THE  
[000:28:39;26] DEBRIS FIELD COMING UP.  
[000:28:41;12] AND THE SKY IS SO CLOSE.  
[000:28:42;29] I MEAN HARRIS, OBVIOUSLY WE ARE  
[000:28:45;03] THIS THIS WORLD OF CELL PHONES  
[000:28:47;21] AND WANNABE STORM CHASERS AND  
[000:28:50;15] THIS IS WHAT REALLY SCARES ME  
[000:28:52;25] IS THIS IS WHERE WE WILL SEE  
[000:28:54;06] THE DEATHS UNFORTUNATELY.  
[000:28:56;05] EVEN THOUGH WE NEED THE VIDEO  
[000:28:58;09] TO SHOW YOU HOW DANGEROUS IT IS  
