[000:00:00;867] IT'S UNHABITABLE.
[000:14:11;784] AS CALIFORNIA PREPARES NOW FOR A
[000:14:12;518] WORST-CASE SCENARIO THAT MAY
[000:14:13;219] COME WITH NO WARNING AT ALL.
[000:14:13;886] JO LING KENT, NBC NEWS, LOS
[000:14:14;553] ANGELES.
[000:14:14;920] >>> THERE'S STILL MORE AHEAD ON
[000:14:15;654] THIS DEADLY DISASTER.
[000:14:16;255] THE URGENT RESCUE MISSION WITH
[000:14:17;389] VOLUNTEERS COMING FROM FAR AND
[000:14:18;557] WIDE TO HELP SAVE LIVES.
[000:14:21;393] >>> ALSO THE DAY'S OTHER
[000:14:22;828] HEADLINES INCLUDING WHY ONE
[000:14:24;530] LATE-NIGHT HOST IS ACCUSING A
[000:14:25;664] SENATOR OF LYING TO HIS FACE.
[000:14:27;066] HOPE YOU CAN STAY WITH US.
[000:17:04;123] >>> WE'RE BACK WITH A NEW BATTLE
[000:17:04;857] HEATING UP IN THE HEALTHCARE
[000:17:05;557] WARS.
[000:17:09;495] THE LATEST ATTEMPT BY
[000:17:11;230] REPUBLICANS TO REPEAL OBAMACARE.
[000:17:12;631] THEY PLAN TO PUT THEIR NEW BILL
[000:17:14;333] TO A VOTE NEXT WEEK AND ALREADY
[000:17:16;602] IT IS HIGHLY CONTROVERSIAL.
[000:17:18;037] NBC'S KASIE HUNT TONIGHT ON WHAT
[000:17:19;738] THE BILL WOULD DO AND A
[000:17:21;740] CELEBRITY RIGHT IN THE MIDDLE OF
[000:17:26;045] THE FIGHT.
[000:17:27;413] >> HE GOT TO THE HOSPITAL --
[000:17:28;113] >> Reporter: FOR LATE-NIGHT
[000:17:31;116] COMIC JIMMY KIMMEL, THE NEW PUSH
[000:17:33;986] TO REPEAL OBAMACARE IS DEEPLY
[000:17:35;988] PERSONAL.
[000:17:37;122] >> BILLY WAS BORN WITH A HEART
[000:17:38;824] DISEASE.
[000:17:40;793] >> Reporter: IN MAY, KIMMEL TOLD
[000:17:42;261] THE WORLD HIS SON WAS BORN WITH
[000:17:44;797] A PRE-EXISTING CONDITION.
[000:17:46;198] SENATOR BILL CASSIDY HEARD THE
[000:17:47;633] STORY AND MADE IT HIS LITMUS
[000:17:49;034] TEST.
[000:17:50;736] >> I WANT IT TO PASS THE JIMMY
[000:17:56;442] KIMMEL TEST.
[000:17:57;876] >> WELL, I DO, TOO.
[000:17:59;611] I THINK THAT'S A GOOD THING.
[000:18:01;280] >> Reporter: AFTER REPUBLICANS
[000:18:05;818] FAILED TO REPEAL OBAMACARE IN
[000:18:06;952] JULY, THEY'RE NOW UNDER INTENSE
[000:18:07;686] PRESSURE FROM MAJOR DONORS TO
[000:18:08;387] SHOW THEY'RE ACTUALLY DOING
[000:18:09;054] SOMETHING.
[000:18:09;421] AND CASSIDY IS SPEARHEADING THE
[000:18:10;155] EFFORT.
[000:18:10;489] LAST NIGHT JIMMY KIMMEL SAID
[000:18:11;190] HE'S HAD ENOUGH.
[000:18:11;690] >> THIS GUY, BILL CASSIDY, JUST
[000:18:12;424] LIED RIGHT TO MY FACE.
[000:18:13;826] >> Reporter: DO YOU THINK THIS
[000:18:15;227] LEGISLATION PASSES THE JIMMY
[000:18:17;229] KIMMEL TEST?
[000:18:18;931] >> ABSOLUTELY.
[000:18:20;632] THERE WILL BE PEOPLE IN STATES
[000:18:22;034] LIKE --
[000:18:23;469] >> Reporter: HE CALLED YOU A
[000:18:24;169] LIAR LAST NIGHT.
[000:18:24;903] >> IT WAS A PERSONAL ATTACK.
[000:18:25;604] AND I CAN'T HELP THAT.
[000:18:26;205] >> Reporter: CASSIDY'S BILL WITH
[000:18:26;939] LINDSEY GRAHAM WOULD ELIMINATE
[000:18:27;673] THE INDIVIDUAL MANDATE TO BUY
[000:18:29;741] INSURANCE, REDISTRIBUTE MEDICAID
[000:18:31;143] EXPANSION AND OBAMACARE SUBSIDY
[000:18:33;178] MONEY TO INDIVIDUAL STATES TO
[000:18:35;981] LET THEM IMPLEMENT THEIR OWN
[000:18:37;983] PLANS, BUT STATES COULD OPT OUT
[000:18:39;118] OF COVERING PRE-EXISTING
[000:18:40;819] CONDITIONS, THOUGH THEY WOULD
[000:18:42;521] HAVE TO EXPLAIN HOW THEY INTEND
[000:18:44;523] TO KEEP THOSE PEOPLE COVERED.
[000:18:45;924] BUT EXPERTS WARN --
[000:18:47;359] >> THAT IS THE ONLY BILL WE'VE
[000:18:49;061] SEEN SO FAR THAT EFFECTIVELY
[000:18:50;762] LETS STATE JUST DUMP THAT
[000:18:52;197] PRE-EXISTING CONDITION
[000:18:53;632] REQUIREMENT.
[000:18:55;033] IT ALLOWS INSURERS TO
[000:18:56;768] DISCRIMINATE AGAINST YOU IF
[000:18:57;603] YOU'RE SICK.
[000:18:58;170] >> Reporter: FORMER PRESIDENT
[000:19:00;739] OBAMA TODAY DEFENDING HIS
[000:19:01;373] SIGNATURE LEGISLATION.
[000:19:01;940] >> IT'S CERTAINLY FRUSTRATING TO
[000:19:02;674] HAVE TO MOBILIZE EVERY COUPLE OF
[000:19:03;408] MONTHS TO KEEP OUR LEADERS FROM
[000:19:04;143] INFLICTING REAL HUMAN SUFFERING
[000:19:04;877] ON OUR CONSTITUENTS.
[000:19:05;410] >> Reporter: LATE TODAY THE
[000:19:06;078] PRESIDENT WEIGHING IN.
[000:19:06;678] >> I THINK IT'S MUCH BETTER THAN
[000:19:07;412] THE PREVIOUS SHOT.
[000:19:07;946] >> Reporter:
[000:19:08;380] REPUBLICANS HAVE UNTIL SEPTEMBER
[000:19:09;114] 30th TO FIND 50 VOTES, AND ALL
[000:19:09;848] EYES WILL BE ON SENATORS LISA
[000:19:10;549] MURKOWSKI AND JOHN McCAIN WHEN
[000:19:11;283] THE BILL COMES TO THE FLOOR NEXT
[000:19:12;017] WEEK.
[000:19:12;317] KASIE HUNT, NBC NEWS, THE
[000:19:12;951] CAPITOL.
[000:19:13;318] >>> WE'LL TAKE A SHORT BREAK AND
[000:19:14;052] BE BACK IN A MOMENT WHAT
[000:19:14;686] AIRLINES ARE CHARGING YOU FOR AT
[000:19:15;420] A RECORD BREAKING RATE.
[000:21:47;639] ♪
[000:21:54;613] ♪
[000:22:01;620] ♪
[000:22:08;627] ♪
[000:22:15;634] ♪
[000:22:20;739] >>> PRESIDENT TRUMP SAYS HE'S
[000:22:22;441] MADE UP HIS MIND ABOUT THE IRAN
[000:22:23;542] NUCLEAR DEAL, BUT HE'S NOT
[000:22:24;209] SAYING IF THE U.S.
[000:22:26;111] WILL STAY IN THE AGREEMENT.
[000:22:28;113] NBC NEWS HAS LEARNED FROM FOUR
[000:22:30;082] SOURCES FAMILIAR WITH THE
[000:22:31;516] DISCUSSIONS THAT THE PRESIDENT
[000:22:33;218] IS LEANING AGAINST RECERTIFYING
[000:22:34;920] IRAN'S COMPLIANCE WITH THE DEAL.
[000:22:36;355] THAT WOULD MOVE IT TO CONGRESS
[000:22:38;056] AND LIKELY BEGIN THE DIFFICULT
[000:22:39;758] TASK OF TRYING TO CONVINCE
[000:22:41;460] AMERICA'S ALLIES AND IRAN TO
[000:22:42;894] RENEGOTIATE.
[000:22:44;896] THE ALLIES STRONGLY OPPOSE A
[000:22:46;865] U.S. EXIT AND THE SOURCES WARN
[000:22:48;600] THAT NO DECISION IS FINAL.
[000:22:53;138] >>> HE WAS A BOXING LEGEND WHO
[000:22:55;707] INSPIRED A CLASSIC AMERICAN
[000:22:57;709] MOVIE.
[000:22:59;411] TODAY WE LEARNED THAT JAKE
[000:23:01;680] LaMOTTA HAS DIED AFTER BATTLING
[000:23:04;249] PNEUMONIA.
[000:23:06;218] LaMOTTA WAS A FORMER
[000:23:08;787] MIDDLEWEIGHT CHAMPION WHOSE
[000:23:11;056] TURBULENT LIFE IN AND OUT OF THE
[000:23:12;758] RING WAS CAPTURED IN THE 1980
[000:23:13;458] FILM "RAGING BULL."
[000:23:13;992] ROBERT DE NIRO, WHO WON A BEST
[000:23:14;726] ACTING OSCAR FOR PORTRAYING
[000:23:15;394] LaMOTTA, SAID TODAY REST IN
[000:23:16;061] PEACE, CHAMP.
[000:23:16;495] JAKE LaMOTTA WAS 95.
[000:23:19;765] >> AND AIRLINE TRAVELERS THOSE
[000:23:21;299] EXTRA FEES YOU ARE PAYING ARE
[000:23:22;701] ADDING UP TO A RECORD AMOUNT.
[000:23:27;005] PASSENGERS PAID $7 BILLION LAST
[000:23:27;773] YEAR ALONE
[000:23:29;107] TO CHECK BAGS AND CHANGE FLIGHTS
[000:23:29;841] SAYS A NEW REPORT.
[000:23:30;342] THE AIRLINES, OF COURSE, HAVE
[000:23:31;042] ALL KINDS OF OTHER FEES, BUT
[000:23:31;743] THOSE ARE THE ONLY TWO TYPES
[000:23:32;444] THEY'RE REQUIRED TO REPORT TO
[000:23:33;145] THE GOVERNMENT.
[000:23:33;945] >>> UP NEXT HERE TONIGHT,
[000:23:35;080] DISASTER STRUCK AND THEY'RE
[000:23:36;214] ANSWERING THE CALL.
[000:23:37;649] LIFE-SAVING HELP FROM ALL OVER
[000:23:38;784] THE WORLD IN THE AFTERMATH OF
[000:23:40;218] MEXICO'S DEADLY EARTHQUAKE.
[000:23:40;218] COLLAPSES DURING THE
[000:26:29;187] EARTHQUAKE... AND CREWS
[000:26:30;155] DESPERATELY SEARCH THROUGH THE
[000:26:31;089] RUBBLE. ===JESS VO===
[000:26:32;023] NBC BAY AREA )S DAMIAN TRUJILLO
[000:26:32;824] IS LIVE IN MEXICO CITY -- WITH
[000:26:33;558] THE
[000:26:33;825] RESCUE EFFORT AND WHY THERE )S
[000:26:34;759] HOPE THAT SOMEBODY IS STILL
[000:26:37;095] ALIVE IN THERE.
[000:26:37;596] ===NEXT CLOSE===
[000:26:38;330] NEXT AT 6
[000:27:01;052] >>> FINALLY TONIGHT WE HAVE BEEN
[000:27:01;786] WATCHING A REMARKABLE EFFORT
[000:27:02;487] UNFOLD IN MEXICO CITY TODAY
[000:27:03;154] AFTER THE EARTHQUAKE.
[000:27:04;723] THE RESCUE MISSION IS NOT JUST
[000:27:07;626] ONE MISSION BUT HUNDREDS,
[000:27:10;428] THOUSANDS OF PEOPLE JOINING THE
[000:27:13;264] EFFORT TO SAVE PEOPLE.
[000:27:15;000] TEAMS ARE ALSO ON THEIR WAY
[000:27:16;668] TONIGHT FROM OTHER COUNTRIES
[000:27:19;237] INCLUDING THE UNITED STATES.
[000:27:20;939] NBC'S RON MOTT TONIGHT FROM
[000:27:21;606] MEXICO CITY.
[000:27:22;007] >> Reporter: TONIGHT ACROSS THE
[000:27:22;741] EARTHQUAKE ZONE, THE FIRST
[000:27:23;408] RESPONDERS WERE OFTEN THOSE WHO
[000:27:24;142] JUST SHOWED UP FIRST.
[000:27:26;077] SO MANY EVERYDAY CITIZENS
[000:27:28;647] RUNNING IN TO HELP.
[000:27:32;617] A SEA OF HANDS IN MOTION MOVING
[000:27:34;052] WATER WHERE IT'S NEEDED.
[000:27:36;021] THIS IS QUITE AN ORGANIZATIONAL
[000:27:37;155] FEAT HERE.
[000:27:40;291] >> I WAS 5 YEARS OLD WHEN THE
[000:27:42;861] LAST EARTHQUAKE HAPPENED, THE
[000:27:45;430] BIG ONE.
[000:27:47;399] AND WE HAVE BEEN TAUGHT AND WE
[000:27:49;968] HAVE BEEN DRILLING FOR THIS.
[000:27:51;970] >> Reporter: MEXICO CITY WAS
[000:27:53;371] ROCKED BY A DEADLY QUAKE IN
[000:27:55;940] 1985.
[000:27:57;342] YESTERDAY MORNING THEY HELD A
[000:27:58;043] ROUTINE EARTHQUAKE DRILL TO
[000:27:58;710] PREPARE FOR THE NEXT DISASTER.
[000:27:59;411] THE DRILL FINISHING JUST HOURS
[000:28:00;145] BEFORE THE REAL NIGHTMARE BEGAN.
[000:28:01;046] ANOTHER QUAKE HITTING ON THE
[000:28:03;615] SAME DAY 32 YEARS LATER.
[000:28:05;316] AND NOW WAVES OF VOLUNTEERS
[000:28:08;753] MOBILIZING, COMING FAR AND WIDE,
[000:28:11;289] INCLUDING AN URBAN SEARCH AND
[000:28:14;726] RESCUE TEAM DEPLOYING FROM L.A.
[000:28:16;428] ISRAEL SENDING 25 ENGINEERS.
[000:28:18;430] A NUMBER OF BUILDINGS HAVE
[000:28:19;097] COLLAPSED IN THIS NEIGHBORHOOD.
[000:28:19;831] AND WHAT FOLKS ARE DOING NOW IS
[000:28:22;100] FERRYING LITERALLY WATER BY
[000:28:23;835] HAND, BY HUMAN HAND.
[000:28:25;236] A HUMAN CHAIN.
[000:28:27;238] A LONG CHAIN OF HUMANITY HERE
[000:28:31;209] TAKING WATER SEVERAL BLOCKS THIS
[000:28:33;778] WAY TO A HIGH SCHOOL WHERE
[000:28:34;913] THEY'RE GOING TO BE GIVING OUT
[000:28:36;614] THAT WATER.
[000:28:39;184] PEOPLE KNOW THESE ARE THE
[000:28:40;585] CRITICAL HOURS TO FIND
[000:28:43;154] SURVIVORS.
[000:28:45;423] SO MANY ARE NOW ANSWERING THE
[000:28:46;124] CALL.
[000:28:46;424] >> THIS IS MEXICO CITY AT ITS
[000:28:47;992] BEST.
[000:28:48;293] >> Reporter: WHILE THE TOLL IS
[000:28:49;027] HEAVY, ALONG WITH HEARTS, A
[000:28:49;694] SENSE OF PURPOSE REIGNS SUPREME.
[000:28:50;462] OUT OF ONE DISASTER, MANY AT THE
[000:28:51;196] READY DOING WHATEVER IT TAKES.
[000:28:51;896] RON MOTT, NBC NEWS, MEXICO CITY.
[000:28:52;630] >>> WE'RE GOING TO CONTINUE TO
[000:28:53;364] FOLLOW THE DEVELOPMENTS IN
[000:28:54;032] MEXICO AND THE DISASTROUS
[000:28:54;666] HURRICANE IN PUERTO RICO.
[000:28:55;300] YOU CAN SEE MORE ON THE "TODAY"
[000:28:56;034] SHOW TOMORROW MORNING.
[000:28:56;601] THAT IS "NIGHTLY NEWS" FOR THIS
[000:28:57;335] WEDNESDAY NIGHT.
[000:28:57;802] I'M LESTER HOLT.
[000:28:58;269] AND FOR ALL OF US AT NBC NEWS,
[000:28:59;003] THANK YOU FOR WATCHING AND GOOD
[000:28:59;738] NIGHT.
[000:28:59;738] RESCUES AND RECOVERY.
[000:29:22;393] WE )RE LIVE IN MEXICO CITY AS IT
[000:29:23;161] REELS FROM THE POWERFUL
[000:29:24;863] EARTHQUAKE.
[000:29:26;798] ==RAJ/2-SHOT==
[000:29:27;932] THE NEWS AT 6 STARTS NOW.
[000:29:28;666] GOOD EVENING AND THANKS FOR
[000:29:29;667] JOINING US.
[000:29:31;870] I )M RAJ MATHAI.
[000:29:32;403] ==JESS/2-SHOT==
[000:29:32;871] AND I )M JESSICA AGUIRRE.
[000:29:34;339] JESS/VO
[000:29:35;306] ONE DAY AFTER THE 7-POINT-1
[000:29:35;974] EARTHQUAKE SHOOK MEXICO TO
[000:29:36;641] ITS CORE... THE SEARCH
[000:29:37;308] >>> GOOD EVENING.
[000:29:37;942] THANKS FOR BEING WITH US.
[000:29:39;010] >> ONE DAY AFTER THE 7.1
[000:29:42;614] EARTHQUAKE SHOOK MEXICO TO ITS
[000:29:44;115] CORE THE SEARCH FOR SURVIVORS
[000:29:47;652] HAS INTENSIFIED.
[000:29:48;019] MORE THAN 50 PEOPLE HAVE BEEN
[000:29:53;057] PULLED FROM THE DEBRIS ALIVE.
[000:29:53;825] WE LEARNED THAT 230 PEOPLE ARE
[000:29:55;860] NOW CONFIRMED DEAD.
[000:29:57;395] ONE OF THE MORE GUT WRENCHING
[000:30:00;398] DEVELOPMENTS IS THAT 21 CHILDREN
[000:30:01;666] AND FOUR ADULTS WERE KILLED AT
[000:30:05;470] AN ELEMENTARY SCHOOL IN MEXICO
[000:30:09;274] CITY.
[000:30:09;507] DESPERATE RESCUE WORKERS
[000:30:10;775] CONTINUED TO SIFT THROUGH THE
[000:30:11;543] RUBBLE LOOKING FOR SURVIVORS.
[000:30:14;245] THE PARENTS THERE ARE CLINGING
[000:30:15;880] TO HOPE THAT THEIR CHILDREN WILL
[000:30:17;115] BE FOUND ALIVE.
[000:30:19;150] THAT'S BECAUSE RESCUE CREWS SAY
[000:30:21;452] A TEACHER AND TWO STUDENTS DID
[000:30:23;254] SEND A TEXT MESSAGE TO EACH
[000:30:24;956] OTHER FROM WITHIN THE RUBBLE.
[000:30:25;990] >> WE BEGIN OUR TEAM COVERAGE
[000:30:28;526] WITH NBC BAY AREA DAMON WHO
[000:30:32;330] JOINS US ON THE PHONE NOW.
[000:30:35;600] TELL US WHAT YOU'RE SEEING NOT
[000:30:37;001] JUST AT THE SCHOOL BUT AROUND
[000:30:38;203] TOWN AS YOU DROVE THROUGH.
[000:30:41;840] >> Reporter: I'M ABOUT A BLOCK
[000:30:42;941] AWAY AND IT'S VERY HECTIC HERE.
[000:30:45;810] THE VOLUNTEERS WILL RAISE THEIR
[000:30:47;946] RIGHT HAND, SOMETIMES BOTH HANDS
[000:30:52;617] AND FORM A FIST.
[000:30:52;984] THAT MEANS THEY NEED EVERYBODY
[000:30:55;453] TO BE KWHOOQU
