[000:00:01;167] AND ALSO, THURSDAY.
[000:13:54;433] HELD IN THE NEXT 90 DAYS TO NAME
[000:13:55;167] SAN DIEGO'S NEXT MAYOR.
[000:13:55;768] LESTER?
[000:13:57;937] >> JOE FRYER FROM SAN DIEGO,
[000:13:59;405] LATE WORD, THANKS.
[000:14:00;206] >>> THE STING IS STILL AHEAD.
[000:14:01;140] AUTHORITIES INFILTRATE AN
[000:14:02;208] ALLEGED PLOT TO KIDNAP AND
[000:14:03;642] EXECUTE POLICE OFFICERS.
[000:14:12;451] TONIGHT WE'VE GOT A CLOSER LOOK
[000:14:13;185] AT WHAT THE FBI CALLS A GROWING
[000:14:13;919] DOMESTIC TERROR THREAT TO LAW
[000:14:14;620] ENFORCEMENT.
[000:14:15;054] >>> AND LATER, THE BACKLASH OVER
[000:14:15;788] BATMAN.
[000:14:16;121] THE BIG ANNOUNCEMENT THAT SET
[000:14:16;822] OFF A FIRESTORM.
[000:16:26;652] >>> A STING OPERATION IN LAS
[000:16:27;353] VEGAS IS GETTING ATTENTION
[000:16:28;120] BECAUSE OF AN ALLEGED PLOT TO
[000:16:29;421] KILL POLICE OFFICERS IS PART OF
[000:16:30;889] A NATIONWIDE MOVEMENT THAT MANY
[000:16:31;957] PEOPLE MAY NOT KNOW ABOUT.
[000:16:33;892] IT'S CALLED THE SOVEREIGN
[000:16:39;264] CITIZEN MOVEMENT, AND THE
[000:16:41;200] AMERICANS WHO ARE PART OF IT
[000:16:43;635] REJECT THE AUTHORITY AND THE
[000:16:44;336] COURTS THAT WILL TRY THEM.
[000:16:44;970] MORE TONIGHT FROM OUR JUSTICE
[000:16:45;671] CORRESPONDENT PETE WILLIAMS.
[000:16:46;338] >> Reporter: LAS VEGAS OFFICIALS
[000:16:47;072] SAY THE PLAN TO DETAIN AND KILL
[000:16:48;874] POLICE OFFICERS WAS HATCHED BY
[000:16:50;676] TWO PEOPLE WHO CLAIM POLICE LACK
[000:16:52;077] THE POWER TO MAKE ARRESTS.
[000:16:53;746] AUTHORITIES CHARGED DAVID ALLEN
[000:17:01;520] BRUTSCHE, AGE 42 AND DEVON
[000:17:02;187] CAMPBELL NEWMAN WITH ATTEMPTED
[000:17:02;921] MURDER.
[000:17:03;255] >> THESE TWO INDIVIDUALS WERE
[000:17:03;956] EXTREMISTS IN THEIR BELIEVES AND
[000:17:05;224] WERE ACTIVELY PLOTTING TO KIDNAP
[000:17:06;959] AND KILL AT LEAST ONE SOUTHERN
[000:17:08;660] NEVADA POLICE OFFICER.
[000:17:10;029] >> Reporter: INVESTIGATORS SAY
[000:17:10;996] THE TWO PLANNED TO FOLLOW POLICE
[000:17:11;764] ON PATROL WHEN AN OFFICER MADE A
[000:17:14;266] TRAFFIC STOP, THE TWO WOULD TAKE
[000:17:17;603] THE POLICEMAN AWAY TO A LAS
[000:17:18;270] VEGAS HOUSE WHERE THE OFFICER
[000:17:20;672] WOULD BE TIED UP AND ULTIMATELY
[000:17:21;407] KILLED.
[000:17:21;740] NEWMAN TOLD REPORTER CHRISTINE
[000:17:25;744] KIM OF NBC AFFILIATE KSNV THAT
[000:17:26;478] SHE IS NOT VIOLENT.
[000:17:27;012] >> I NEVER INTENDED TO HARM OR
[000:17:27;746] KIDNAP ANYONE.
[000:17:28;213] >> Reporter: THOUGH SHE SAID THE
[000:17:29;181] POLICE OFTEN ACT WITHOUT
[000:17:29;815] AUTHORITY.
[000:17:32;484] >> I FEEL THAT THEY ARE GOING
[000:17:34;286] FAR BEYOND WHAT THE CONSTITUTION
[000:17:35;087] ALLOWS.
[000:17:35;888] >> Reporter: POLICE SAY THE TWO
[000:17:37;423] WERE MEMBERS OF AN EXTREMIST
[000:17:38;991] MOVEMENT CALLED SOVEREIGN
[000:17:40;092] CITIZENS.
[000:17:42;661] IT HAS ABOUT 100,000 FOLLOWERS
[000:17:46;265] NATIONWIDE WHO BELIEVE THAT MOST
[000:17:46;999] OF THE GOVERNMENT DOES IS
[000:17:47;633] ILLEGITIMATE.
[000:17:52;071] A ROUTINE TRAFFIC STOP OF A
[000:17:52;738] MINIVAN THREE YEARS AGO THE
[000:17:53;405] TURNED VIOLENT WHEN A FOLLOWER
[000:17:55;474] OF SOVEREIGN CITIZENS
[000:18:00;546] JUMPED OUT AND BEGAN SHOOTING.
[000:18:02;581] WHEN IT WAS OVER, TWO OFFICERS
[000:18:03;315] WERE KILLED.
[000:18:05;784] >> THE SOVEREIGN BELIEVERS ARE
[000:18:06;718] SO LOOPY THAT A SMALL PERCENTAGE
[000:18:07;519] CANNOT CONTROL THEMSELVES AND
[000:18:08;220] RESORT TO VIOLENCE AGAINST THE
[000:18:08;954] POLICE OR LOCAL AUTHORITIES.
[000:18:10;022] >> Reporter: THE FBI SAYS MOST
[000:18:14;426] SOVEREIGN CITIZENS ARE
[000:18:15;027] NONVIOLENT, MANY CHARGED WITH
[000:18:15;727] TAX EVASION LIKE JAMES TURNER OF
[000:18:19;098] ALABAMA SENTENCED LAST MONTH TO
[000:18:19;832] 18 YEARS IN PRISON.
[000:18:20;365] >> YOU CAN BE A U.S. CITIZEN OR
[000:18:21;967] YOU CAN BE
[000:18:24;136] AN AMERICAN BUT
[000:18:25;637] YOU CANNOT BE BOTH.
[000:18:26;572] IT IS IMPOSSIBLE.
[000:18:27;072] >> Reporter: THE TWO IN LAS
[000:18:27;739] VEGAS APPEARED BRIEFLY IN COURT
[000:18:28;474] TODAY CHALLENGING ITS AUTHORITY.
[000:18:29;208] >> I OBJECT TO THE ENTIRE
[000:18:29;842] PROCEEDINGS OF THIS COURT.
[000:18:31;376] >> Reporter: BOTH REMAIN IN JAIL
[000:18:32;444] UNTIL A COURT HEARING IN TWO
[000:18:33;145] WEEKS.
[000:18:34;279] PETE WILLIAMS, NBC NEWS,
[000:18:34;913] WASHINGTON.
[000:18:36;748] >>> WE'RE BACK IN A MOMENT WITH
[000:18:38;750] AN AMERICAN LEGEND.
[000:18:39;718] A PART OF SO MANY MEMORABLE
[000:18:40;886] MOMENTS COMING BACK FOR ANOTHER
[000:18:41;620] SEASON.
[000:21:48;106] ♪ AND WE DANCE ALL NIGHT AND
[000:21:50;475] WE'RE ALL TOGETHER ♪
[000:21:52;210] >>> THEY PERFORMED THEIR SMASH
[000:21:52;944] HIT "BEST SONG EVER" IN FRONT OF
[000:21:53;945] THE BIGGEST CROWD EVER TO PACK
[000:21:57;783] THE PLAZA FOR A "TODAY" SHOW
[000:21:58;483] CONCERT THIS MORNING.
[000:21:59;284] 18,000 SCREAMING FANS, MANY
[000:22:03;221] OF THEM CAMPING
[000:22:05;457] OUT FOR DAYS TO ROCK OUT WITH
[000:22:06;158] ONE DIRECTION, INCLUDING A MOM
[000:22:06;892] AND HER TWO DAUGHTERS WHO WAITED
[000:22:07;626] IN LINE SINCE LAST FRIDAY.
[000:22:09;628] >>> THE NEW BATMAN HAS BEEN
[000:22:13;298] UNMASKED, AND THE BACKLASH OVER
[000:22:14;032] THE CHOICE OF BEN AFFLECK TO
[000:22:14;733] REPLACE CHRISTIAN BALE AS THE
[000:22:15;734] CAPED CRUSADER HAS BEGUN.
[000:22:17;753] HE WILL JOIN A LONG LIST OF
[000:22:25;310] BATMEN, SOME OF THEM LOVED,
[000:22:26;945] SOME OF THEM LOATHED, FROM
[000:22:29;181] MICHAEL KEATON TO
[000:22:30;716] ADAM WEST TO GEORGE CLOONEY, WHO
[000:22:31;450] WORE WHAT CRITICS SAID WAS THE
[000:22:32;818] TOO ANATOMICALLY CORRECT BAT
[000:22:36;088] SUIT AND LET' JUST SAY THE
[000:22:38;190] INTERNET IS DIVIDED OVER
[000:22:41;860] AFFLECK'S STARRING ROLE IN THE
[000:22:42;694] HIGHLY ANTICIPATED "BATMAN VS.
[000:22:43;762] SUPERMAN" BLOCKBUSTER AND A
[000:22:44;429] PETITION URGING THE FILMMAKERS
[000:22:45;163] TO RECONSIDER.
[000:22:45;597] APPARENTLY BAT FANS ARE
[000:22:46;565] PASSIONATE ABOUT WHO GETS TO
[000:22:50;936] PLAY THE DARK KNIGHT JUST LIKE
[000:22:51;670] THERE IS ALWAYS CONTROVERSY
[000:22:52;337] WHENEVER THERE IS A NEW JAMES
[000:22:53;038] BOND.
[000:22:54;773] >>> HE IS MORE THAN LEGENDARY.
[000:22:57;109] HE IS PERHAPS THE FINEST
[000:22:58;110] BROADCASTER IN BASEBALL.
[000:23:00;645] >> HIGH FLY BALL INTO RIGHT
[000:23:01;413] FIELD.
[000:23:04;750] SHE IS GONE.
[000:23:09;354] >> Reporter: YOU KNOW HIM,
[000:23:12;557] THAT'S THE VOICE OF VIN SCULLY,
[000:23:14;693] THE PLAY-BY-PLAY MAN FOR THE
[000:23:16;261] L.A. DODGERS AND IT WAS
[000:23:16;862] ANNOUNCED HE WILL BE BACK FOR A
[000:23:17;596] RECORD 65th SEASON IN 2014.
[000:23:18;263] WHEN SCULLY, NOW 85, MADE HIS
[000:23:18;964] DEBUT WITH THE BROOKLYN DODGERS
[000:23:20;632] BACK IN 1950, NO ONE ON HIS
[000:23:22;534] BLOCK EVEN HAD A TELEVISION.
[000:23:27;439] >>> WHEN WE COME BACK HERE
[000:23:28;106] TONIGHT, TIME OFF, A LOT OF IT,
[000:23:28;840] WITH PAY.
[000:23:29;274] WHAT WOULD YOU DO IF YOUR BOSS
[000:23:30;008] GAVE YOU THAT GIFT?
[000:26:21;746] >>> FINALLY TONIGHT, WHILE MOST
[000:26:23;114] OF US HERE HAVE SPENT THE SUMMER
[000:26:28;820] WORKING, SAY FOR MAYBE A WEEK OR
[000:26:29;554] TWO OF VACATION, A GROUP OF
[000:26:30;221] CO-WORKERS IN MINNEAPOLIS HAVE
[000:26:30;956] SPENT THEIR SUMMER AWAY FROM THE
[000:26:31;690] OFFICE DOING WHAT THEY LOVE.
[000:26:34;125] AND HERE'S THE CLINCHER, AT FULL
[000:26:35;060] PAY.
[000:26:37;696] BOYD HOOVER, A
[000:26:39;598] REPORTER AT OUR NBC AFFILIATE IN
[000:26:42;667] MINNEAPOLIS, KARE-TV
[000:26:44;803] HAS MORE ON A PRECIOUS GIFT,
[000:26:45;503] TIME OFF.
[000:26:45;870] >> Reporter: ANOTHER SUMMER
[000:26:46;538] RACING BY.
[000:26:46;905] SO MANY PLANS, SO LITTLE TIME.
[000:26:49;774] >> THIS IS CREEPING TIME.
[000:26:56;715] >> Reporter: BUT FOR JANIE
[000:26:57;382] WALDREN, THIS SUMMER IS
[000:26:57;983] DIFFERENT.
[000:27:01;953] >> BLOWN AWAY, MY NEIGHBOR GOES,
[000:27:02;687] DID YOU WIN THE LOTTERY OR
[000:27:03;355] SOMETHING AND I'M LIKE KIND OF.
[000:27:04;089] I SORT OF DID.
[000:27:04;522] I WON THE TIME LOTTERY.
[000:27:05;590] >> I THINK PEOPLE WERE STUNNED
[000:27:06;324] MORE THAN ANYTHING ELSE.
[000:27:14;165] >> Reporter: STEWART D' ROZARIO
[000:27:14;899] IS JANIE'S BOSS AT BARRY
[000:27:15;533] D'ROZARIO MURPHY.
[000:27:18;536] AFTER A LULL,
[000:27:18;970] THE AGENCY GATHERED WORKERS AND
[000:27:19;704] GAVE THEM TIME.
[000:27:20;639] >> YOU HAVE 500 HOURS OF YOUR
[000:27:21;339] LIFE BACK.
[000:27:24;275] AND FIGURE OUT WHAT YOU ARE
[000:27:25;043] PASSIONATE ABOUT AND GO AND DO
[000:27:25;777] IT.
[000:27:27;445] >> COME ON, JAKE.
[000:27:27;946] >> Reporter: KIM SCHMIDT GREW UP
[000:27:28;913] WANTING A HORSE SHE NEVER GOT.
[000:27:31;850] SHE SPENT HER 500 PAID HOURS
[000:27:33;151] VOLUNTEERING AT A HORSE SHELTER.
[000:27:35;854] >> HI, HOW ARE YOU?
[000:27:39;190] SO WHY NOW?
[000:27:39;591] IT'S BECAUSE I HAD THE
[000:27:40;592] OPPORTUNITY AND BECAUSE I WAS --
[000:27:42;394] IT WAS -- THE
[000:27:42;994] THE OPPORTUNITY WAS PUSHED ON
[000:27:44;629] ME.
[000:27:49;734] >> Reporter: PUSHED ON ALL 18 OF
[000:27:53;738] THEIR EMPLOYEES WHO SPENT THE
[000:27:54;939] SUMMER TRAVELING, MAKING MUSIC
[000:27:55;674] AND PUTTING PAINT TO CANVAS.
[000:27:56;341] STEVE COMMUTES FROM MINNESOTA TO
[000:27:57;075] SEATTLE.
[000:27:57;409] >> I'M ON MY DECK.
[000:27:57;909] >> Reporter: INSTEAD STAYED HOME
[000:28:00;211] FOR THE SUMMER RECORDING MOMENTS
[000:28:00;945] WITH HIS CHILDREN.
[000:28:01;746] >> MY PROJECT IS BASICALLY
[000:28:08;453] REPLACING "I WISH I HAD" WITH "I
[000:28:10;321] DID."
[000:28:10;622] >> IT'S A DREAM.
[000:28:15;493] >> Reporter: WHILE TALIA MOLDED
[000:28:17;228] HER DAUGHTERS INTO HER FIRST
[000:28:17;962] SCULPTURE.
[000:28:18;396] >> THE TRUST PEOPLE TO DO
[000:28:19;030] SOMETHING WITH THIS TIME.
[000:28:19;664] >> Reporter: A FEW DAYS BACK
[000:28:20;365] THEIR 500 HOURS ENDED.
[000:28:21;633] THE RACE OF COMMERCE BACK ON.
[000:28:24;703] >> A GROWING PERIOD.
[000:28:25;503] >> Reporter: BUT SCATTERED
[000:28:27;572] THROUGHOUT THE OFFICE ARE SUBTLE
[000:28:28;306] REMINDERS.
[000:28:30;442] >> GOT A LITTLE BLISTER.
[000:28:31;076] >> Reporter: OF A SUMMER
[000:28:35;480] LANDSCAPING A YARD.
[000:28:37;115] >> VERY ROUGH RIGHT THERE.
[000:28:38;416] >> Reporter: TENDING HORSES.
[000:28:40;318] >> THAT IS UNDERWATER.
[000:28:40;885] >> Reporter: AND MAKING MEMORIES
[000:28:41;619] WITH KIDS.
[000:28:42;187] >> MY HOPE IS NOW THEY WILL
[000:28:42;854] BACK, PEOPLE WILL REALIZE THE
[000:28:43;555] THINGS YOU WANTED TO DO YOU
[000:28:44;222] COULD ALWAYS BE DOING AND FIND A
[000:28:44;956] PLACE FOR IN YOUR LIFE.
[000:28:45;557] >> Reporter: DAY AFTER DAY WE
[000:28:46;491] LET THE SUN GO DOWN ON OUR
[000:28:47;459] DREAMS BECAUSE WE CAN'T TAKE
[000:28:48;359] TIME.
[000:28:50;662] MAYBE IT'S TIME TO START GIVING.
[000:28:54;933] BOYD HOOVER FOR
[000:28:55;400] NBC NEWS, MINNEAPOLIS.
[000:28:59;104] >> AND OUR THANKS TO BOYD AND
[000:29:02;707] OUR FRIENDS AT KARE-TV
[000:29:04;442] FOR BRINGING US THAT REPORT.
[000:29:05;110] THAT'S OUR BROADCAST FOR THIS
[000:29:05;810] FRIDAY NIGHT.
[000:29:06;244] THANK YOU FOR BEING WITH US.
[000:29:06;911] I'M LESTER HOLT IN FOR BRIAN.
[000:29:07;612] I'LL SEE YOU LATER ON
[000:29:08;546] "DATELINE," BUT FOR NOW, GOOD
[000:29:09;247] NIGHT AND HAVE A GREAT WEEKEND.
[000:29:25;063] >>> NBC BAY AREA NEWS STARTS
[000:29:28;967] NOW.
[000:29:29;234] >>> THANKS FOR JOINING US.
[000:29:31;836] I'M TERRY McSWEENEY.
[000:29:33;605] >> WE BEGIN WITH THE DEVELOPING
[000:29:35;640] STORY, THE ASSAULT FROM THE AIR
[000:29:37;041] TO CONTROL A MASSIVE FIRE THAT
[000:29:39;210] HAS NOW ENCROACHED INTO YOSEMITE
[000:29:41;713] NATIONAL PARK.
[000:29:42;213] WANT TO SHOW YOU THE VIEW OF THE
[000:29:45;150] RIM FIRE NOW BURNING FOR SIX
[000:29:46;785] DAYS, CHARRING MORE THAN 165
[000:29:49;554] SQUARE MILES.
[000:29:50;288] THIS IS THE VIEW FROM THE GROUND
[000:29:52;056] NOW WHERE THE INFERNO IS
[000:29:54;192] INTENSE.
[000:29:54;459] THE FLAMES HAVE NOW PUSHED INTO
[000:29:56;828] THE PARK.
[000:29:57;328] AND WHILE THE PARK IS SAFE FOR
[000:29:59;297] NOW, CLOSE TO 5,000 HOMES ARE IN
[000:30:01;299] THE LINE OF FIRE.
[000:30:03;434] NBC JODI HERNANDEZ IS LIVE FROM
[000:30:05;937] GROVE LAND.
[000:30:06;938] SHE JOINS US NOW.
[000:30:10;842] >> Reporter: JESSICA, THAT FIRE
[000:30:12;076] IS A MONSTER.
[000:30:13;278] NUMEROUS FIREFIGHTERS SAY THEY
[000:30:15;380] HAVE NEVER SEEN ANYTHING QUITE
[000:30:16;314] LIKE THIS.
[000:30:16;848] AS YOU LOOK OVER THIS RING YOU
[000:30:18;550] CAN SEE ALL THIS SMOKE COMING
[000:30:20;084] UP.
[000:30:20;385] THAT IS WHERE THE FIRE IS
[000:30:21;653] BURNING HOT AND HEAVY TONIGHT.
[000:30:23;288] WE ARE TOLD IT IS WALL TO WALL
[000:30:25;890] FLAMES OUT THERE. AND AS OF
[000:30:27;659] RIGHT NOW, THIS FIRE IS EXPECTED
[000:30:29;594] TO JUST KEEP ON GROWING.
[000:30:33;565] >> THIS FIRE IS VERY DYNAMIC,
[000:30:35;967] AND THIS FIRE DOES HAVE A MIND
[000:30:37;802] OF ITS OWN.
[000:30:38;770] THE RESOURCES HERE HAVE DOUBLED.
[000:30:40;638] AND RIGHT NOW, WE'RE AT 105,000
[000:30:44;542] ACRES, PLUS.
[000:30:45;109] AND WE'VE GOT OVER 2,000
[000:30:47;145] PERSONNEL HERE FIGHTING THE
[000:30:48;279] FIRE.
[000:30:48;646] >> Reporter: IT'S BEEN BURNING
[000:30:51;182] FOR SIX DAYS NOW, BUT THE RIM
[000:30:52;317] FIRE'S NOT SHOWING ANY SIGN OF
[000:30:54;118] SLOWING DOWN.
[000:30:54;853] >> YOU'VE GOT TERRAIN.
[000:30:57;388] YOU'VE GOT THE HEAT, THE TRY
[000:30:59;457] CONDITIONS.
[000:30:59;790] IT
