[000:00:00;567] OLD LOCATION.
[000:15:48;948] WHEN THOSE LETTERS POSSIBLY
[000:15:50;649] CONTAINING LETHAL POISONS WERE
[000:15:51;517] INTERCEPTED.
[000:15:53;652] ONE ADDRESSED TO A SENATOR.
[000:15:54;320] ANOTHER TO THE PRESIDENT OF THE
[000:15:55;054] UNITED STATES.
[000:15:57;222] FOR AN HOUR AND A HALF THIS
[000:15:57;890] MORNING ALERTS WERE SOUNDED ON
[000:15:58;624] CAPITOL HILL.
[000:16:00;492] >> CLOSE THE OTHER SIDE OF THE
[000:16:01;226] STREET.
[000:16:01;627] WE ARE CLOSING OFF THE SIDEWALK.
[000:16:02;795] >> Reporter: SOME SENATE OFFICES
[000:16:04;196] WERE CLEARED.
[000:16:05;731] STAFF IN OTHERS WERE TOLD TO
[000:16:06;432] STAY INSIDE.
[000:16:07;599] AFTER TWO LETTERS -- ONE TO
[000:16:08;734] MISSISSIPPI REPUBLICAN SENATOR
[000:16:10;602] ROGER WICKER, THE SECOND TO
[000:16:17;977] PRESIDENT OBAMA -- TESTED
[000:16:18;610] PRELIMINARILY FOR RICIN.
[000:16:19;244] BOTH WERE QUARANTINED AT A
[000:16:24;049] POST OFFICE SCREENING FACILITY
[000:16:25;384] MILES AWAY IN MARYLAND.
[000:16:26;518] BUILT AFTER THE ANTHRAX ATTACKS
[000:16:27;252] THAT KILLED FIVE AND INJURED 17
[000:16:27;987] ACROSS THE NATION IN 2001.
[000:16:28;654] >> THE PRESIDENT -- I'M SURE YOU
[000:16:29;621] WILL ASK THIS.
[000:16:30;089] THE PRESIDENT HAS, OF COURSE,
[000:16:31;490] BEEN BRIEFED ON THESE LETTERS.
[000:16:32;758] HE WAS BRIEFED LAST NIGHT AND
[000:16:35;294] AGAIN THIS MORNING.
[000:16:36;195] >> Reporter: THE FBI SAID BOTH
[000:16:36;929] WERE POSTMARKED MEMPHIS,
[000:16:37;563] TENNESSEE, ON APRIL 8.
[000:16:38;597] THEY USED THE SAME LANGUAGE.
[000:16:40;032] QUOTE, TO SEE A WRONG AND NOT
[000:16:43;869] EXPOSE IT IS TO BECOME A SILENT
[000:16:45;571] PARTNER TO ITS CONTINUANCE.
[000:16:46;705] A PHRASE OFTEN USED BY RADICAL
[000:16:48;173] GROUPS.
[000:16:52;244] BOTH LETTERS ARE SIGNED, I AM KC
[000:16:53;946] AND I APPROVE THIS MESSAGE.
[000:16:55;247] A THIRD LETTER WENT TO
[000:16:55;948] DEMOCRATIC SENATOR CARL LEVIN'S
[000:16:56;682] OFFICE IN SAGINAW, MICHIGAN.
[000:16:57;516] A STAFFER WHO OPENED THE LETTER
[000:16:58;650] THERE HAS BEEN HOSPITALIZED
[000:17:00;386] PROTECTIVELY UNTIL TESTS ARE
[000:17:01;620] DONE.
[000:17:04;490] HAZ-MAT TEAMS SEARCHED JEFF
[000:17:05;758] FLAKE'S OFFICE IN PHOENIX BUT
[000:17:09;595] FOUND NOTHING SUSPICIOUS.
[000:17:12;598] >> WE HAVE HAD SITUATIONS WHERE
[000:17:16;702] THERE HAVE BEEN RICIN SCARES.
[000:17:18;303] UNTIL THIS DATE THERE'S NEVER
[000:17:20;539] BEEN ANY PROVED TO HAVE GONE
[000:17:22;107] THROUGH THE SYSTEM.
[000:17:23;409] >> Reporter: RICIN, THE POISON
[000:17:25;978] MADE FROM CASTOR BEANS WAS USED
[000:17:28;380] BY THE SOVIETS IN 1978 TO
[000:17:29;248] ASSASSINATE A BULGARIAN
[000:17:29;848] DISSIDENT IN LONDON BY PUTTING
[000:17:30;582] IT ON THE TIP OF AN UMBRELLA AND
[000:17:31;316] STABBING HIM IN THE LEG.
[000:17:38;457] ONLY A DROP CAN KILL IN 36 TO 48
[000:17:40;325] HOURS.
[000:17:40;893] >> IF YOU PURIFY IT, IT CAN
[000:17:41;627] BECOME MUCH MORE LETHAL.
[000:17:42;227] IN FACT, DEADLY IN VERY MINUTE
[000:17:42;961] QUANTITIES.
[000:17:43;595] >> Reporter: TONIGHT FEDERAL
[000:17:44;329] OFFICIALS SAY A SUSPECT NAMED
[000:17:46;665] PAUL KEVIN CURTIS HAS BEEN
[000:17:50;536] ARRESTED IN MISSISSIPPI AND WILL
[000:17:52;438] BE CHARGED WITH SENDING THE
[000:17:53;338] LETTERERS.
[000:17:55;974] THE FBI SEES NO RELATIONSHIP
[000:17:56;675] WITH THE BOMBINGS IN BOSTON.
[000:17:57;342] STILL THERE IS AN EERIE
[000:17:57;943] COINCIDENCE WITH THE ANTHRAX
[000:17:58;644] ATTACKS AFTER 9/11.
[000:17:59;178] ALSO UNRELATED BUT FRIGHTENING
[000:17:59;912] NONETHELESS.
[000:18:00;312] BRIAN?
[000:18:01;080] >> ANDREA MITCHELL IN
[000:18:01;814] WASHINGTON.
[000:18:02;214] ANDREA, THANKS.
[000:18:03;215] >>> WE'RE BACK IN A MOMENT WITH
[000:18:04;917] A BIG APOLOGY FROM AN AIRLINE
[000:18:07;619] CEO AFTER A BIG NIGHTMARE DAY
[000:18:08;454] FOR TRAVELLERS.
[000:21:20;779] >>> THE UNITED KINGDOM SAID
[000:21:21;446] GOOD-BYE TO MARGARET THATCHER
[000:21:22;147] TODAY.
[000:21:22;881] THE FUNERAL AT ST. PAUL'S
[000:21:24;583] CATHEDRAL ATTENDED BY THE QUEEN,
[000:21:26;318] DIGNITARIES FROM 170 COUNTRIES
[000:21:28;153] AROUND THE WORLD, AND ALL FOUR
[000:21:30;289] OF MAGGIE THATCHER'S SUCCESSORS
[000:21:32;858] INCLUDING THE CURRENT PRIME
[000:21:34;326] MINISTER, DAVID CAMERON.
[000:21:35;560] THATCHER'S 19-YEAR-OLD
[000:21:36;828] AMERICAN-BORN GRANDDAUGHTER
[000:21:37;696] AMANDA GAVE A READING FROM THE
[000:21:38;430] BIBLE.
[000:21:46;605] THOUSANDS OF LONDONERS LINED THE
[000:21:49;574] ROUTE TO SHOW RESPECT AND SOME
[000:21:51;310] PROTESTED AMID HEAVY SECURITY.
[000:21:52;477] MARGARET THATCHER, THE SO-CALLED
[000:21:53;211] IRON LADY, DIED LAST WEEK AT 87.
[000:21:53;945] WE HAVE POSTED A FULL REPORT ON
[000:21:55;314] THE DAY IN LONDON BY KIER
[000:21:55;947] SIMMONS ON OUR WEBSITE TONIGHT.
[000:21:57;449] >>> THE ASSASSINATIONS OF TWO
[000:21:58;884] PROMINENT PUBLIC OFFICIALS HAVE
[000:22:01;153] BEEN IN THE NEWS.
[000:22:01;653] FOR A TIME THEY HAD
[000:22:02;187] INVESTIGATORS BAFFLED.
[000:22:05;691] THEY LEFT THE ENTIRE STATE OF
[000:22:08;427] TEXAS ON EDGE.
[000:22:10;729] TONIGHT WE CAN REPORT POLICE SAY
[000:22:14;933] THE WIFE OF A FORMER TEXAS
[000:22:15;967] JUSTICE OF THE PEACE HAS
[000:22:16;968] CONFESSED SHE WAS INVOLVED IN
[000:22:17;669] THE SHOOTING DEATHS OF A
[000:22:18;303] DISTRICT ATTORNEY, HIS WIFE AND
[000:22:19;037] A COUNTY PROSECUTOR.
[000:22:20;772] ACCORDING TO AN AFFIDAVIT SHE
[000:22:21;473] SAYS HER HUSBAND ERIC WILLIAMS
[000:22:25;043] PULLED THE TRIGGER.
[000:22:26;912] HE HAS NOT YET BEEN CHARGED.
[000:22:30;449] THE TWO MEN WHO WERE KILLED IN
[000:22:31;750] THESE CASES HAD PROSECUTED ERIC
[000:22:32;584] WILLIAMS LAST YEAR FOR THEFT.
[000:22:34;286] HE WAS CONVICTED AND FIRED FROM
[000:22:35;020] HIS JOB AND SENTENCED TO
[000:22:40;959] PROBATION AS A RESULT.
[000:22:43;528] >>> BECAUSE AMERICAN AIRLINES
[000:22:44;229] HAD A VERY BAD DAY YESTERDAY
[000:22:44;930] WHEN ITS COMPUTER SYSTEM WENT
[000:22:45;630] DOWN AND THE ENTIRE FLEET WAS
[000:22:46;331] GROUNDED FOR A TIME, TODAY THEY
[000:22:47;065] SAY MOST OF THE SYSTEM IS BACK
[000:22:47;799] TO NORMAL.
[000:22:49;668] THERE ARE STILL SOME AIRCRAFTS
[000:22:50;635] THAT HAD TO PUT DOWN IN SOME
[000:22:52;270] UNINTENDED LOCATIONS.
[000:22:53;472] WELL, BECAUSE OF ALL OF IT THEIR
[000:22:55;240] CEO TOM HORTON POSTED AN APOLOGY
[000:22:57;909] VIDEO ON YOUTUBE.
[000:22:59;044] HE BLAMED IT ON A SOFTWARE
[000:22:59;745] PROBLEM.
[000:23:01;613] ABOUT A THOUSAND FLIGHTS WERE
[000:23:02;314] CANCELLED.
[000:23:04;583] ABOUT 1,200 WERE DELAYED.
[000:23:06;852] >>> BASEBALL FANS AND ESPECIALLY
[000:23:09;721] RED SOX FANS KNOW THE NEIL
[000:23:11;289] DIAMOND MODERN-DAY CLASSIC
[000:23:12;691] "SWEET CAROLINE" IS THE ANTHEM
[000:23:16;395] OF FENWAY PARK.
[000:23:20;932] OVER THE PAST 24 HOURS AS A SHOW
[000:23:21;666] OF RESPECT AND SUPPORT FOR
[000:23:22;667] BOSTON, THE SONG HAS BEEN PLAYED
[000:23:24;069] AT BASEBALL GAMES ACROSS THE
[000:23:24;770] COUNTRY.
[000:23:27;672] NOWHERE WAS IT MORE IMPACTFUL
[000:23:28;373] THAN WHEN THEY PLAYED IT AT
[000:23:30;308] YANKEE STADIUM.
[000:23:30;776] JUST CALLING THE HOUSE THAT RUTH
[000:23:32;878] BUILT NORMALLY ANGERS SOX FANS.
[000:23:33;612] LAST NIGHT THE YANKS WERE
[000:23:37;315] PLAYING THEIR SONG.
[000:23:39;885] >>> WHEN WE COME BACK, MAKING A
[000:23:43;288] DIFFERENCE WITH SOME VERY GOOD
[000:23:44;022] DOGS PROVIDING MUCH-NEEDED
[000:23:44;689] COMFORT TO THE PEOPLE OF BOSTON.
[000:26:36;761] >>> THIS IS THE CORNER OF
[000:26:38;463] BOYLSTON AND BERKELEY STREETS IN
[000:26:40;065] BOSTON WHERE A MEMORIAL HAS
[000:26:42;634] SPROUTED UP ABOUT A BLOCK FROM
[000:26:43;435] WHERE THE BOMBINGS TOOK PLACE.
[000:26:44;169] IT WAS STARTED BY A MAN FROM
[000:26:44;869] CAPE COD WANTING TO EXPRESS HIS
[000:26:48;406] SADNESS.
[000:26:50;842] FOLKS SAW IT.
[000:26:51;409] THEY HAVE BEEN STOPPING BY ALL
[000:26:52;978] DAY DROPPING OFF FLOWERS AND
[000:26:54;412] CARDS.
[000:26:55;246] A LOT OF THE SIGNS WE HAVE SEEN
[000:26:55;981] FEATURE THE SLOGAN OF THE MOMENT
[000:26:56;715] IN THAT CITY -- BOSTON STRONG.
[000:27:03;655] >>> FINALLY TONIGHT OUR MAKING A
[000:27:04;489] DIFFERENCE REPORT.
[000:27:04;990] WE HAVE SEEN IT ALL TOO MANY
[000:27:05;690] TIMES LATELY.
[000:27:06;658] THEY ARE A WELCOME SIGN WHEN
[000:27:08;793] THEY ARRIVE ON THE SCENE -- THE
[000:27:09;628] THERAPY DOGS WHO SHOW UP TO
[000:27:10;295] COMFORT THE HUMANS WHO HAVE BEEN
[000:27:11;029] THROUGH A TRAUMA.
[000:27:12;497] WELL, THEY ARE ON THE JOB
[000:27:14;733] TONIGHT IN BOSTON.
[000:27:15;634] WE GET THE STORY TONIGHT FROM
[000:27:16;334] NBC'S KERRY SANDERS.
[000:27:17;902] >> Reporter: FOR TWO DAYS ALL
[000:27:20;138] 15-YEAR-OLD DAVID YEPEZ HAS
[000:27:23;141] HEARD AND THOUGHT ABOUT ARE HIS
[000:27:24;409] INJURIES FROM THE SECOND
[000:27:25;710] EXPLOSION.
[000:27:29;447] >> THIS IS RUTHIE.
[000:27:31;516] >> Reporter: BUT TODAY, DAVID
[000:27:32;217] SMILED.
[000:27:35;487] >> WE HAVE A DOG AT HOME.
[000:27:36;121] HE'S A SMALL YORKIE TERRIER.
[000:27:37;922] >> Reporter: FOR JUST A MOMENT
[000:27:38;657] LUTHER AND RUTHIE MADE THE
[000:27:39;357] SHRAPNEL THAT TORE THROUGH HIS
[000:27:41;092] LEFT LEG AND THE PAINFUL
[000:27:41;926] SECOND-DEGREE BURNS ALMOST AN
[000:27:42;627] AFTERTHOUGHT.
[000:27:43;461] >> IT'S RELAXING.
[000:27:44;596] TAKES MY MIND AWAY FROM
[000:27:48;299] EVERYTHING GOING ON.
[000:27:49;167] >> Reporter: TODAY LUTHERAN
[000:27:51;436] CHURCH CHARITIES DEPLOYED THE
[000:27:52;570] COMFORT BRIGADE AT TUFTS MEDICAL
[000:27:54;172] CENTER.
[000:27:54;973] DOGS THAT HAVE BEEN WORKING WITH
[000:27:56;274] OTHER RECOVERING CHILDREN IN
[000:27:56;975] NEWTOWN, CONNECTICUT.
[000:27:59;110] >> COME ON, PUPPY.
[000:28:01;546] >> Reporter: QUIET PEACEFUL
[000:28:03;815] VISITORS WHO LEEANN SAYS SET HER
[000:28:05;083] NERVES AT EASE HOURS BEFORE THE
[000:28:06;351] SURGERY ON HER WOUNDED LEG.
[000:28:13;191] >> ANIMALS, YOU KNOW, THEY JUST
[000:28:15;326] HAVE A DIFFERENT SENSE, YOU
[000:28:16;461] KNOW.
[000:28:16;895] THEY DON'T TALK BACK TO YOU.
[000:28:17;595] >> OH, MY GOODNESS!
[000:28:23;001] HI!
[000:28:25;303] >> Reporter: THE COMFORT DOGS
[000:28:27;706] ARE LIKE FURRY THERAPISTS AND IT
[000:28:28;573] IS NOT JUST THOSE WHO WERE
[000:28:29;274] INJURED THAT NEED RELIEF.
[000:28:30;408] HOW NICE IS IT FOR YOU TO HAVE
[000:28:32;544] JUST A DIFFERENT MOMENT WITH A
[000:28:34;245] DOG?
[000:28:34;679] >> MY STRESS LEVEL HAS GONE WAY
[000:28:35;413] DOWN.
[000:28:35;947] >> THEY SENSE LOVE.
[000:28:37;015] THEY SENSE THAT SOMEBODY IS
[000:28:40;218] CARING.
[000:28:40;552] AND THEY SENSE THAT IN THE MIDST
[000:28:41;920] OF DARKNESS THERE IS LIGHT.
[000:28:42;587] >> THIS IS LUTHER.
[000:28:43;354] >> Reporter: COMPANIONSHIP,
[000:28:44;789] COMPASSION, AND COMFORT, WHEN IT
[000:28:46;591] IS NEEDED THE MOST.
[000:28:49;194] >> YOU ARE A BIG PUPPY FOR 2.
[000:28:50;895] >> Reporter: KERRY SANDERS, NBC
[000:28:51;629] NEWS, BOSTON.
[000:28:54;432] >> THANK GOODNESS FOR GOOD DOGS.
[000:28:55;567] THAT'S OUR BROADCAST ON A
[000:28:56;835] WEDNESDAY NIGHT.
[000:28:57;836] THANK YOU FOR BEING HERE WITH
[000:28:58;536] US.
[000:28:59;137] I'M BRIAN WILLIAMS.
[000:29:00;138] WE HOPE TO SEE YOU RIGHT BACK
[000:29:00;839] HERE TOMORROW EVENING.
[000:29:01;272] WE HOPE TO SEE YOU RIGHT BACK
[000:29:01;272] HERE TOMORROW EVENING.
[000:29:01;272] GOOD NIGHT.
[000:29:06;411] -- Captions by VITAC --
[000:29:06;411] www.vitac.com
[000:29:29;267] NOW.
[000:29:29;501] >>> GOOD EVENING.
[000:29:31;803] I'M JESSICA AGUIRRE.
[000:29:32;270] >> AND I'M RAJ MATHAI.
[000:29:33;404] IT HAS BEEN A FRANTIC DAY OF
[000:29:35;740] DEVELOPMENT, DISCOVERIES AND
[000:29:37;208] FAMILY STORIES AND CONTINUES
[000:29:38;943] INTO THE NIGHT BOTH IN BOSTON
[000:29:40;411] AND HERE IN THE BAY AREA.
[000:29:41;379] WE HAVE A SERIES OF REPORTS
[000:29:44;249] TONIGHT.
[000:29:44;582] TERRY McSWEENEY IS IN BOSTON
[000:29:46;050] WHERE FRIENDS AND FAMILY MEMBERS
[000:29:47;886] ARE COPING WITH THE TERROR.
[000:29:49;420] WE BEGIN WITH JODI HERNANDEZ IN
[000:29:57;262] FREMONT WITH THE LOCAL
[000:29:57;762] CONNECTION TO THE BOMB MATERIAL.
[000:29:59;397] >> UNSETTLING DEVELOPMENT FOR
[000:30:01;699] THIS FREMONT BATTERY
[000:30:05;336] DEVELOPMENT.
[000:30:05;837] THE FOLKS AT TENERGY ARE VERY
[000:30:09;107] UPSET TO HEAR THAT THEIR BATTERY
[000:30:14;212] MAY HAVE BEEN USED FOR THE BOMB.
[000:30:19;250] A FAR CRY FROM WHAT THE
[000:30:21;386] BATTERIES ARE DESIGNED TO BE
[000:30:23;321] USED FOR.
[000:30:24;289] TENERGY SAYS IT IS WIDELY USED
[000:30:26;591] FOR HOBBIESTS MAINLY REMOTE
[000:30:28;760] CONTROL CARS AND TRUCKS AND SOLD
[000:30:30;695] AT HUNDREDS OF MOM AND POP HOBBY
[000:30:35;133] SHOPS AND SOLD ONLINE.
[000:30:38;670] THE COMPANY'S VICE PRESIDENT OF
[000:30:41;940] TECHNOLOGY SAYS THEY ARE
[000:30:42;473] HORRIFIED TO FIND OUT THEIR
[000:30:46;144] BATTERIES CAN BE USED IN SUCH AN
[000:30:48;613] ACT.
[000:30:49;647] >> HORRIFIED, APPALLED, SHOCKED.
[000:30:53;017] BATTERIES USED FOR TOYS, RC CARS
[000:30:55;587] AND TRUCKS AND TO SEE IT USED IN
[000:30:57;789] SUCH A WAY IS
