[000:00:00;650] TRUMP.
[000:16:33;208] THE PHONE.
[000:16:34;410] RAN IN TO HELP WHEN THE SCOPE
[000:16:36;645] BECAME CLEAR.
[000:16:37;346] THE PRESIDENT WANTED TO TAKE
[000:16:38;480] TIME TO RECOGNIZE ALL OF THOSE
[000:16:40;749] PEOPLE.
[000:16:41;216] HE SAYS THAT THEY HAVE DONE AN
[000:16:42;918] INCREDIBLE SERVICE FOR THEIR
[000:16:44;420] COMMUNITY.
[000:16:44;787] IT'S SOMETHING THAT HE WANTS TO
[000:16:46;789] HOLD UP AS AN EXAMPLE NOT ONLY
[000:16:52;027] TO THE REST OF THE COUNTRY BUT
[000:16:52;828] THE WORLD AS WELL TO SAY THIS IS
[000:16:53;595] HOW WE RESPOND TO TRAGEDY IN
[000:16:54;363] AMERICA AND HOPEFULLY TAKE STEPS
[000:16:55;631] TO MAKE SURE SOMETHING LIKE THIS
[000:16:56;765] NEVER HAPPENS AGAIN.
[000:16:57;766] THAT'S WHERE YOU'RE GOING TO GET
[000:16:59;301] INTO A REAL TUSSLE OF A DEBATE
[000:17:01;336] IN CAPITOL HILL.
[000:17:02;471] THERE'S GOING TO BE PEOPLE ON
[000:17:03;906] ONE SAID THAT SAY WE NEED MORE
[000:17:05;174] GUN CONTROL MEASURES, PEOPLE ON
[000:17:07;376] THE OTHER SIDE THAT SAYS THERE'S
[000:17:09;078] SOME THINGS THAT WE CAN DO ABOUT
[000:17:12;314] THESE SO-CALLED PUMP STOCKS OR
[000:17:15;284] SLIDE STOCKS THAT ALLOW
[000:17:16;852] SEMIAUTOMATIC WEAPONS TO BE
[000:17:18;387] FIRED AT A HIGH RATE OR OTHER
[000:17:24;326] MEASURES TO BE TAKEN TO STOP
[000:17:25;127] PEOPLE FROM CONVERTING THESE WE
[000:17:25;894] POPS INTO A HIGH RATE OF FIRE.
[000:17:26;695] WE DON'T NEED TO GO FURTHER THAN
[000:17:28;263] THAT.
[000:17:29;865] WE NEED TO ENFORCE EXISTING
[000:17:33;702] LAWS.
[000:17:34;803] EVERYTHING THAT THIS FELLOW
[000:17:35;671] SEEMED TO DO SHORT OF WHAT HE
[000:17:37;706] DID SUNDAY NIGHT WAS WITHIN THE
[000:17:39;675] LETTER OF THE LAW.
[000:17:40;876] IT'S A DILEMMA HOW THAT DEBATE
[000:17:42;945] WILL GO FORWARD AS TO WHAT LAW
[000:17:46;181] COULD BE CRAFTED TO STOP WHAT
[000:17:47;816] HAPPENED SUNDAY NIGHT.
[000:17:48;717] ALL OF THIS STUFF IS
[000:17:50;519] RETROSPECTIVE AS OPPOSED TO
[000:17:52;921] PROSPECTIVE.
[000:17:57;326] YOU'RE ALWAYS REACTING TO THE
[000:17:58;093] LAST INCIDENT.
[000:17:58;560] IT'S DIFFICULT AND A HEATED
[000:17:59;261] DEBATE GOING FORWARD, SHEP.
[000:18:00;796] >> Shepard: THANKS, JOHN.
[000:18:06;468] LET'S GO TO A.B. STODDARD.
[000:18:08;871] GOOD TO SEE YOU.
[000:18:10;005] >> GOOD TO SEE YOU, SHEP.
[000:18:11;406] >> Shepard: THIS DEBATE WILL
[000:18:12;474] COME, THOSE ON THE GUN CONTROL
[000:18:15;511] SIDE, ARE PUSHING FOR IT TODAY.
[000:18:19;548] THEIR ARGUMENT IS THERE'S NO
[000:18:20;549] TIME LIKE ON THE HEELS OF A
[000:18:22;584] TRAGEDY TO KEEP ANOTHER TRAGEDY
[000:18:23;952] FROM HAPPENING.
[000:18:24;520] THAT'S THEIR POSITION.
[000:18:25;554] >> THEY'RE MAKING AN ARGUMENT
[000:18:30;626] THAT IS REASONABLE THAT THE TIME
[000:18:31;426] TO TALK ABOUT THESE THINGS IS
[000:18:32;127] WHEN THEY HAPPEN AND VICTIMS
[000:18:32;828] FAMILIES ARE GRIEVING AND WANT
[000:18:34;296] SOMETHING DONE ABOUT IT.
[000:18:35;631] IF THIS IS A TERRORIST ATTACK,
[000:18:37;432] WE TALK ABOUT WAYS TO KEEP THE
[000:18:40;636] HOMELAND SAFE FROM TERRORISTS.
[000:18:42;104] SO GUN CONTROL ADVOCATES TALK
[000:18:44;606] ABOUT THE NEED TO CLOSE THE GUN
[000:18:46;241] SHOW LOOP HOLE AND LOOK AT THE
[000:18:49;344] ACCESSORIES LIKE THE BUMP STOP
[000:18:52;781] MECHANISM TO MAKE A
[000:18:55;250] SEMIAUTOMATIC TO AN AUTOMATIC
[000:19:06;428] WEAPON.
[000:19:06;762] I THINK IT'S INTERESTING IN THIS
[000:19:07;563] INCREDIBLY POLARIZED TIME, SHEP,
[000:19:08;330] WITH THIS DEBATE THAT NEVER GOES
[000:19:09;064] ANYWHERE, THAT THERE'S SOME
[000:19:09;731] REPUBLICANS WILLING TO LOOK
[000:19:10;432] AT -- YOU PLAYED CLIPS FROM TOM
[000:19:13;135] COLE, THE REPUBLICAN, REPORTS
[000:19:15;037] THAT SENATOR JOHN CORNYN, THE
[000:19:16;538] NUMBER 2 IN LEADERSHIP ON THE
[000:19:18;173] SENATE SIDE IS INTERESTED.
[000:19:20;709] I READ THAT CONGRESSMAN BILL
[000:19:22;144] FLORES FROM TEXAS IS INTERESTED
[000:19:24;012] IN IT.
[000:19:24;746] SO THERE MIGHT BE SOME
[000:19:27;349] INCREMENTAL PATH FORWARD TO SOME
[000:19:29;985] KIND OF DISCUSSION ABOUT HAVING
[000:19:32;254] TO DO THIS KIND OF WEAPONRY
[000:19:34;523] WHERE 800 ROUNDS CAN GO OFF IN A
[000:19:37;092] MINUTE AND KILL SO MANY
[000:19:38;527] PEOPLING.
[000:19:39;061] GENERALLY SPEAKING, I'LL BE
[000:19:40;829] SURPRISED IF IT DOES BECAUSE
[000:19:41;797] THEY BREAK DOWN SO QUICKLY IN
[000:19:44;199] ALL OF THIS POLARIZING AND ALL
[000:19:45;901] OF THE DIFFERENCES AND IF DEBATE
[000:19:47;536] GOES NOWHERE BECAUSE OF THE
[000:19:48;770] VOTES AND THE WAY THEY'RE SET UP
[000:19:51;807] IN CONGRESS NOW.
[000:19:53;508] >> Shepard: ALL RIGHT, A.B.
[000:19:55;177] STODDARD LIVE FROM WASHINGTON.
[000:19:56;745] GREAT TO SEE YOU.
[000:19:57;679] WE'RE WATCHING ANOTHER LIVE
[000:19:58;714] EVENT AS WELL.
[000:19:59;581] THE PRESIDENT ABOUT TO COME INTO
[000:20:00;949] THIS ROOM WE'RE TOLD TO MEET
[000:20:02;885] WITH ANOTHER SET OF FIRST
[000:20:04;686] RESPONDERS.
[000:20:10;459] THIS IS THE THIRD SET WE'VE SEEN
[000:20:11;226] ON CAMERA.
[000:20:11;593] FOLKS SITTING AROUND, WAITING TO
[000:20:12;327] MEET THE PRESIDENT,
[000:20:12;861] COMMANDER-IN-CHIEF AS HE MAKES
[000:20:14;529] THE ROUNDS THERE IN LAS VEGAS.
[000:20:15;264] WE'LL HAVE COVERAGE OF THAT ON
[000:20:15;998] FOX NEWS CHANNEL.
[000:20:16;498] THOSE OF YOU WATCHING ON FOX
[000:20:17;699] TELEVISION STATIONS ACROSS THE
[000:20:18;533] NATION, MUCH MORE ON THIS A
[000:20:19;735] LITTLE LATER ON YOUR LOCAL NEWS.
[000:20:21;870] IT CONTINUES NOW ON FOX NEWS
[000:20:23;739] CHANNEL ON SATELLITE AND CABLE.
[000:20:25;173] I'M SHEPARD SMITH.
[000:20:26;708] FOX NEWS, NEW YORK.
[000:20:29;244] AS WE CONTINUE HERE ON FOX NEWS
[000:20:30;846] CHANNEL, WE'RE WAITING FOR THESE
[000:20:32;014] FIRST RESPONDERS TO MEET WITH
[000:20:33;448] THE PRESIDENT AND WE'LL HAVE
[000:20:34;516] THAT LIVE FOR YOU IN JUST A
[000:20:35;851] MOMENT.
[000:20:36;184] TO MEET THE HEROS OF LAS VEGAS
[000:20:41;323] THIS HELPED SAVE LIVES DURING
[000:20:42;057] THE SHOOTING.
[000:20:42;491] FIRST, THE LATEST FROM THE
[000:20:43;358] INVESTIGATORS ON SCENE AND THE
[000:20:45;327] PICTURES NOW THAT SHOW THE
[000:20:47;663] INSIDE OF THE MURDER'S SWEET.
[000:20:52;868] THAT'S COMING UP ON THE FOX NEWS
[000:20:53;869] DECK THIS AFTERNOON.
[000:20:58;373] I was always
[000:20:58;373] "the girl with psoriasis."
[000:21:01;610] People don't stare anymore.
[000:21:03;145] I never joined in.
[000:21:05;247] That wasn't fair to any of us.
[000:21:07;316] I was covered.
[000:21:08;517] I tried lots of things
[000:21:08;517] over the years.
[000:21:10;786] But I didn't give up.
[000:21:12;120] I kept on fighting.
[000:21:13;722] I found something that worked.
[000:21:15;424] That still works.
[000:21:16;892] Now?
[000:21:17;759] SEE ME.
[000:21:18;593] SEE ME.
[000:21:19;795] I found clear skin that lasts.
[000:21:21;530] See if COSENTYX could make a
[000:21:21;530] difference for you-
[000:21:23;932] COSENTYX is proven to help
[000:21:23;932] people with moderate
[000:21:26;068] to severe plaque psoriasis...
[000:21:27;502] ...find clear skin that
[000:21:27;502] can last.
[000:21:29;805] Don't use if you're allergic
[000:21:29;805] to COSENTYX.
[000:21:31;673] Before starting COSENTYX,
[000:21:32;808] you should be checked
[000:21:32;808] for tuberculosis.
[000:21:34;576] An increased risk of infections
[000:21:34;576] and lowered ability
[000:21:36;678] to fight them may occur.
[000:21:37;913] Tell your doctor if you have an
[000:21:37;913] infection or symptoms.
[000:21:40;248] Or if you have received a
[000:21:40;248] vaccine or plan to.
[000:21:42;284] If you have inflammatory
[000:21:42;284] bowel disease,
[000:21:43;952] tell your doctor if symptoms
[000:21:43;952] develop or worsen.
[000:21:46;088] Serious allergic reactions
[000:21:46;088] may occur.
[000:21:48;023] SEE ME
[000:21:48;023] to know...
[000:21:49;257] ...clear skin can last.
[000:21:51;393] Don't hold back...
[000:21:52;694] ...ask your dermatologist if
[000:21:52;694] COSENTYX can help you
[000:21:54;930] find clear skin that lasts.
[000:21:58;967] [He has a new business teaching
[000:21:58;967] lessons.
[000:22:00;902] Rodney wanted to know how his
[000:22:00;902] business was doing...
[000:22:03;071] ...so he got QuickBooks.
[000:22:04;439] It organizes all his accounts,
[000:22:04;439] so he can see his bottom line.
[000:22:07;576] Ahhh...that's a profit.
[000:22:09;077] Know where you stand instantly.
[000:22:10;412] Visit QuickBooks-dot-com.
[000:24:09;231] >> Shepard: PRESIDENT TRUMP AND
[000:24:11;266] THE FIRST LADY MELANIA TRUMP IN
[000:24:13;568] LAS VEGAS MEETING WITH THE HEROS
[000:24:14;870] OF THE MASSACRE AND FIRST
[000:24:16;471] RESPONDERS AND ORDINARY PEOPLE
[000:24:18;106] THAT HELPED AFTER THE SHOOTING
[000:24:20;008] STARTED.
[000:24:20;542] EARLIER, THE PRESIDENT AND THE
[000:24:21;843] FIRST LADY MET VICTIMS AND MED
[000:24:23;512] CAT WORKERS AT A HOSPITAL IN
[000:24:26;114] LAS VEGAS.
[000:24:26;648] LET'S LISTEN.
[000:24:27;682] WE'LL HAVE -- WELL, I THOUGHT WE
[000:24:29;584] WOULD LISTEN TO SOUND FROM THAT
[000:24:31;086] TIME.
[000:24:31;520] APPARENTLY NOT.
[000:24:32;087] WHEN THIS BEGINS, WE'LL TAKE YOU
[000:24:35;357] THERE.
[000:24:35;690] THE LAS VEGAS GUNMAN ENCOURAGED
[000:24:38;160] HIS GIRLFRIEND, MARILOU DANLEY,
[000:24:39;494] TO LEAVE THE COUNTRY FOR THE
[000:24:41;196] MASSACRE.
[000:24:41;563] THAT'S WHAT DANLEY'S SISTER TOLD
[000:24:43;298] A TV SISTER IN AUSTRALIA.
[000:24:45;600] HE SENT HER AWAY AT ONE POINT.
[000:24:47;702] THEY SAY THE MURDERER BROUGHT
[000:24:49;638] DANLEY A PLANE TICKET TO THE
[000:24:51;740] PHILIPPINES SO SHE WOULDN'T GET
[000:24:52;674] IN THE WAY OF HIS PLANS.
[000:24:54;776] WE'RE NOT SURE HOW THEY KNOW
[000:24:56;344] THAT.
[000:24:56;645] THAT'S WHAT THEY TELL US.
[000:24:58;046] IN THE INTERVIEW, THEIR FACES
[000:24:59;514] ARE BLURRED TO PROTECT THEIR
[000:25:04;953] IDENTITIES.
[000:25:05;353] HERE, LOOK.
[000:25:05;787] >> I KNOW THAT SHE DOESN'T KNOW
[000:25:07;155] ANYTHING AS WELL LIKE US.
[000:25:08;924] SHE WAS SENT AWAY.
[000:25:11;593] SHE WAS SENT AWAY SO THAT SHE
[000:25:16;665] WOULD NOT BE THERE.
[000:25:18;066] >> Shepard: WE DON'T KNOW IF
[000:25:19;267] THEY KNOW THAT OR IF SHE'S
[000:25:21;036] SPECULATING ON THAT MATTER.
[000:25:23;171] INVESTIGATORS QUESTIONING DANLEY
[000:25:24;606] RIGHT NOW WE'RE TOLD THE FBI
[000:25:27;576] HEADQUARTERS IN LOS ANGELES SAY
[000:25:28;677] THEY HOPE SHE CAN GIVE THEM ANY
[000:25:30;612] CLUES ABOUT WHAT DROVE PADDOCK
[000:25:32;681] TO COMMIT MASS MURDER.
[000:25:36;318] TRACE GALLAGHER ON THE CASE IN
[000:25:37;052] LAS VEGAS.
[000:25:37;419] LEARNING MORE ABOUT THE
[000:25:38;086] SHOOTER'S ARSENAL TODAY, TRACE.
[000:25:40;155] >> THEY RECOVERED SOME 47
[000:25:41;690] WEAPONS FROM THREE LOCATIONS.
[000:25:42;824] ONE FROM THE MANDALAY BAY BEHIND
[000:25:43;959] ME AND HIS TWO HOMES, ONE IN
[000:25:46;161] MESQUITE, NEVADA AND THE OTHER
[000:25:47;329] ONE IN RENO, NEVADA.
[000:25:52;601] THOSE GUNS WORTH BETWEEN
[000:25:55;370] $100,000 AND $110,000.
[000:25:57;439] THE SEMIAUTOMATICS ARE WORTH
[000:26:01;576] BETWEEN $1,500 AND $3,000.
[000:26:03;912] THESE PICTURES ARE FROM THE
[000:26:05;447] DAILY MAIL.
[000:26:06;248] THEY WERE PUT ON THE FLOOR OF
[000:26:11;019] THE HOTEL SWEEP IN MANDALAY BAY.
[000:26:11;820] WE SHOULD KNOW THAT STEPHEN
[000:26:13;922] PADDOCK HAS BEEN COLLECTING GUNS
[000:26:15;090] FOR YEARS.
[000:26:15;690] BUT IN THE PAST YEAR ALONE, HE
[000:26:18;727] HAS AMASSED SOME 30-PLUS
[000:26:21;863] WEAPONS, A GUN SHOP OWNER IN
[000:26:23;231] MESQUITE WHERE HE HAD A HOME
[000:26:24;733] SAID THAT ON SEPTEMBER 28th,
[000:26:28;336] PADDOCK BOUGHT A WEAPON AND THAT
[000:26:29;971] IS THE SAME DAY THAT HE CHECKED
[000:26:33;008] IN TO THE MANDALAY BAY HOTEL.
[000:26:34;709] LISTEN TO THE GUN SHOP OWNER.
[000:26:37;679] >> I WAS ILL.
[000:26:38;680] MADE ME ILL TO THINK THAT WE HAD
[000:26:43;752] INTERACTED WITH HIM AND HE
[000:26:44;586] COMMITTED A TRAGEDY.
[000:26:45;453] >> HE WENT ON THE SAY THAT HE
[000:26:48;290] DID NOT SELL STEPHEN PADDOCK ANY
[000:26:49;824] AMMUNITION OR ANY OF THOSE BUMP
[000:26:51;960] STOCKS WE'VE TALKED ABOUT ALL
[000:26:52;894] DAY LONG.
[000:26:54;629] THAT'S WHAT KIND OF MAKES THE
[000:26:56;931] TRIGGER TURN INTO AUTOMATICALLY
[000:26:58;300] ENGAGED WEAPON, SHEP.
[000:26:59;934] HE ALSO POINTS OUT AND WE SHOULD
[000:27:02;671] POINT THIS OUT, THE REASON THE
[000:27:06;274] BUMP STOPS ARE LEGAL IN NEVADA
[000:27:09;077] IS BECAUSE THEY DON'T PHYSICALLY
[000:27:10;645] ALTER THE WEAPON.
[000:27:11;613] IT'S TAKEN ON AND TAKEN OFF.
[000:27:17;452] SO IT'S LEGAL NOW.
[000:27:17;986] >> Shepard: WHAT ELSE ARE WE
[000:27:18;687] LEARNING FROM INVESTIGATORS
[000:27:19;387] ABOUT THE GIRLFRIEND?
[000:27:19;988] >> WE KNOW THAT MARILOU DANLEY
[000:27:22;223] IS IN HER THIRD HOUR OF
[000:27:24;059] QUESTIONING IN LOS ANGELES.
[000:27:24;893] SHE FLEW IN TO LOS ANGELES FROM
[000:27:27;028] THE PHILIPPINES LAST NIGHT.
[000:27:30;231] THEY CLEARLY WANT INFORMATION
[000:27:31;499] ABOUT STEPHEN PADDOCK'S MENTAL
[000:27:32;934] STATE, HIS RELIGIOUS BELIEFS,
[000:27:34;469] HIS POLITICAL AFFILIATIONS AND
[000:27:36;204] ANYTHING THAT COULD LEAD THEM TO
[000:27:37;972] A POSSIBLE MOTIVE.
[000:27:38;940] THE BIG TICKET ITEM FOR A LOT OF
[000:27:41;409] INVESTIGATORS WHAT SHE KNEW
[000:27:42;277] ABOUT THIS ARSENAL OF WEAPONS
[000:27:44;479] AND HIS INTENT.
[000:27:49;517] REMEMBER, THEY FOUND DOZENS AND
[000:27:50;318] DOZENS OF WEAPONS INSIDE THE
[000:27:51;019] HOMES THAT SHE LIVED IN WITH HIM
[000:27:51;853] ALONG WITH EXPLOSIVES AND
[000:27:53;755] SUITCASES OF AMMUNITION.
[000:27:55;190] THEY WOULD LIKE TO FIND OUT WHAT
[000:27:56;591] SHE KNEW ABOUT THAT.
[000:27:58;560] HER FAMILY SAYS THAT THE REASON
[000:28:00;161] HE SENT HER TO THE PHILIPPINES
[000:28:01;796] IS BECAUSE HE WAS AFRAID THAT
[000:28:03;431] SHE WOULD STOP HIM FROM COMMITS
[000:28:04;899] THIS CRIME.
[000:28:07;102] LISTEN TO THE FAMILY AGAIN.
[000:28:11;940] >> NOBODY CAN PUT IT TOGETHER
[000:28:15;243] EXCEPT MARILOU.
[000:28:17;545] ONLY MARILOU CAN MAYBE HELP.
[000:28:21;583] >> INVESTIGATORS ARE INTERESTED
[000:28:23;051] IN THE $100,000 THAT STEPHEN
[000:28:25;286] PADDOCK SENT TO PHILIPPINES IN
[000:28:27;122] RECENT WEEKS.
[000:28:27;655] THE SPIC YOULATION IS THAT HE
[000:28:28;957] SENT IT TO HER BECAUSE HE KNEW
[000:28:30;592] AS SOON AS HE COMMITTED THE
[000:28:31;926] CRIME THAT ALL OF HIS ASSETS
[000:28:33;728] WOULD BE LOCKED DOWN POSSIBLY
[000:28:35;230] FOREVER AND SHE WOULDN'T GET ANY
[000:28:36;331] KIND OF MONEY OUT OF THAT AT
[000:28:38;633] ALL.
[000:28:38;900] WE SHOULD KNOW THIS FBI
[000:28:40;468] INTERVIEW IN LOS ANGELES COULD
[000:28:41;736] GO FOR SEVERAL MORE HOURS.
[000:28:43;104] THERE'S A NEWS CONFERENCE COMING
[000:28:44;773] UP.
[000:28:45;039] WE HOPE TO GET MORE INFORMATION
[000:28:46;174] ABOUT WHAT THEY'RE GLEANING FROM
[000:28:47;442] THE INTERVIEW IN THE NEXT HOUR
[000:28:48;743] OR SO.
[000:28:49;310] >> Shepard: WE'LL CHECK IN FOR
[000:28:50;378] YOU ON THAT.
[000:28:55;183] TRACE, THANKS VERY MUCH.
[000:28:55;884] COMING UP HERE, ANDREW
[000:28:56;484] NAPOLITANO, THE JUDGE, ON WHERE
[000:28:57;285] THE INVESTIGATION GOES FROM HERE
[000:28:58;086] AND WHAT HAPPENS IN THE
[000:28:59;187] SHOOTER'S GIRLFRIEND STOPS
[000:29:00;789] COOPERATING WITH INVESTIGATORS?
[000:29:01;956] THAT AND WE'RE WAITING FOR
[000:29:03;224] PRESIDENT TRUMP TO COME IN AND
[000:29:04;259] MEET WITH FIRST RESPONDERS,
[000:29:06;327] POLICE OFFICERS AND FIREFIGHTERS
[000:29:07;095] THAT WILL MEET WITH HIM SHORTLY.
[000:29:08;630] WE'LL BE THERE LIVE FOR THAT AS
[000:29:11;499] THE NEWS ROLLS ON ON THIS
[000:29:12;167] WEDNESDAY AFTERNOON.
[000:29:12;867] RLY... OR T.
[000:29:17;539] RLY... OR T.
[000:29:17;539] OR MAKE ME FEEL LIKE
[000:29:17;539] I'M NOT REALLY "THERE."
[000:29:20;475] TALK TO
[000:29:20;475] YOUR DOCTOR,
[000:29:21;876] AND CALL
[000:29:21;876] 844-234-2424.
[000:30:56;971] It's OK
[000:30:58;006] that everybody
[000:30:58;006] ignores me
[000:30:58;006] when I drive.
[000:30:59;474] It's fine, 'cause I get
[000:30:59;474] a Safe Driving Bonus Check
[000:31:01;409] every six months
[000:31:01;409] I'm accident-free.
[000:31:02;911] And I don't share it
[000:31:02;911] with Mom. Right, Mom?
[000:31:05;346] Right.
[000:31:06;381] Safe Driving Bonus Checks,
[000:31:07;749] only from Allstate.
[000:31:08;917] Switching to Allstate
[000:31:08;917] is worth it.
[000:31:16;824] >> I'M LEA GABRIELLE WITH A FOX
[000:31:18;259] REPORT.
[000:31:18;593] MORE OF TODAY'S HEADLINES.
[000:31:20;194] IN SPAIN, LAWMAKERS IN THE
[000:31:23;932] NORTHEASTERN REGION OF CATALONIA
[000:31:26;134] ARE THREATENING TO BREAKAWAY
[000:31:27;502] FROM THE COUNTRY NEXT WEEK.
[000:31:29;304] THOUSANDS FILL THE STREETS IN
[000:31:31;172] BARCELONA TO PRO TEST A RECENT
[000:31:33;708] POLICE CRACKDOWN THAT INJURED
[000:31:35;610] HUNDREDS.
[000:31:40;014] TWO WEEKS AFTER A MASSIVE
[000:31:40;748] EARTHQUAKE IN MEXICO, SEARCH
[000:31:41;482] TEAMS HAVE RECOVERED THE LAST
[000:31:42;283] KNOWN BODY.
[000:31:42;717] THAT'S THE WORD FROM THE MAYOR
[000:31:43;484] OF MEXICO CITY AS RESEARCHERS
[000:31:45;086] DUG THROUGH A COLLAPSED OFFICE
[000:31:47;522] BUILDING.
[000:31:48;022] OFFICIALS SAY 369 PEOPLE HAVE
[000:31:51;426] DIED AFTER THE 7.1 MAGNITUDE
[000:31:55;029] QUAKE.
[000:31:55;330] AND E. COLI AND BACTERIA HAVE
[000:31:58;199] BEEN FOUND AT A SWIMMING VENUE
[000:32:00;501] FOR THE SUMMER OLYMPICS IN
[000:32:05;907] TOKYO.
[000:32:08;109] ORGANIZERS SAY WATER TESTING
[000:32:09;611] SHOWED E. COLI LEVELS 20 TIMES
[000:32:11;346] HIGHER THAN THE LIMITS.
[000:32:13;715] ORGANIZERS HAVE PROMISED TO
[000:32:14;582] IMPROVE THE WATER QUALITY.
[000:32:16;217] THE NEWSES CONTINUES WITH
[000:32:17;318] SHEPARD SMITH AFTER THIS.
[000:32:18;152] >> Shepard: ACTUALLY, A LITTLE
[000:32:19;654] BREAKING NEWS HERE.
[000:32:20;722] WE MENTIONED THE PRESIDENT WAS
[000:32:22;156] MEETING WITH FIRST RESPONDERS IN
[000:32:23;424] LAS VEGAS.
[000:32:23;825] WE'RE WAITING FOR HIM TO WALK IN
[000:32:25;593] THE ROOM.
[000:32:26;661] HE'S DONE SO.
[000:32:27;462] NOTICE WE'RE USING AN INTERNET
[000:32:29;297] CONNECTION HERE, THE WHITE HOUSE
[000:32:30;565] POOL IS, BECAUSE OF WHERE IT IS.
[000:32:32;967] IT'S A LITTLE GLITCHY.
[000:32:34;535] IT TENDS TO CLEAR UP.
[000:32:36;070] WE WANT YOU TO HEAR WHAT THE
[000:32:37;839] PRESIDENT HAS TO SAY.
[000:32:38;973] LET'S LISTEN.
[000:32:39;941] >> THIS IS WHERE WE DO ALL THE
[000:32:45;747] OPERATIONAL DECISIONS IN THE
[000:32:47;482] AREA.
[000:32:48;716] ALL INVESTIGATIVE LEADS,
[000:32:50;752] EVERYTHING THAT YOU CAN IMAGINE
[000:32:52;854] FUNNELS THROUGH HERE.
[000:32:53;688] THIS IS WHERE -- ACTUALLY,
[000:32:55;923] JOINING FORCES.
[000:32:57;225] ALL OF THE DEPARTMENT OF PUBLIC
[000:32:59;127] SAFETY REPRESENTATION HERE ALONG
[000:33:02;063] WITH EMERGENCY MANAGERS AND
[000:33:04;265] HOSPITAL SYSTEMS, THE FIRST
[000:33:05;900] RESPONDER MEDICAL SYSTEMS AND
[000:33:09;137] EVERYTHING THAT YOU CAN IMAGINE.
[000:33:11;372] SO WE CAN SPEAK WITH ONE VOICE.
[000:33:13;675] THAT'S THE IMPORTANT PIECE.
[000:33:15;343] SO A LOT OF THESE FOLKS ARE NOT
[000:33:20;515] SUPPOSED TO BE IN HERE BUT
[000:33:22;216] YOU'RE HERE.
[000:33:22;717] SO THESE ARE ALL THE PEOPLE THAT
[000:33:24;419] ARE INSTRUMENTAL IN THE SUCCESS
[000:33:27;488] OF OUR CRITICAL JOB.
[000:33:30;124] THEY'RE ALL PART OF THE SUCCESS
[000:33:32;460] FOR THE CONTINUANCE OF THE
[000:33:34;462] INVESTIGATION.
[000:33:34;896] IT'S IMPORTANT FOR YOU TO SEE
[000:33:36;264] WHAT YOUR LEADERSHIP IS
[000:33:38;599] PROVIDING YOU.
[000:33:39;100] >> I CAN TELL YOU ON BEHALF OF
[000:33:41;002] OUR COUNTRY, OUR GREAT, GREAT
[000:33:43;371] COUNTRY, WE WANT TO THANK YOU.
[000:33:44;806] YOU HAVE BEEN A REAL
[000:33:51;012] INSPIRATION.
[000:33:51;412] THIS IS A ROUGH TIME, BUT IF YOU
[000:33:52;213] DIDN'T GET UP THERE SO QUICKLY,
[000:33:53;014] COULD HAVE BEEN WORSE A LOT
[000:33:54;649] WORSE.
[000:33:54;949] WE JUST WANT TO THANK YOU.
[000:33:56;417] THE WHOLE WORLD IS WATCHING.
[000:33:58;186] THEY'VE SEEN PROFESSIONALISM
[000:33:59;754] LIKE YOU RARELY SEE.
[000:34:00;655] I WANT TO THANK YOU VERY MUCH.
[000:34:02;523] I APPRECIATE IT VERY MUCH.
[000:34:03;624] THANK YOU.
[000:34:03;991] [APPLAUSE]
[000:34:41;829] >> Shepard: THIS IS A POOL
[000:34:42;563] CAMERA.
[000:34:42;897] THE WHITE HOUSE POOL WHICH
[000:34:43;564] FOLLOWS THE PRESIDENT EVERYWHERE
[000:34:44;332] HE GOES.
[000:34:44;665] EACH OF THE NETWORKS AND THE
[000:34:45;366] WHITE HOUSE POOL TAKES A DAY AND
[000:34:46;100] TODAY THE POOL IS ONE OF THE SIX
[000:34:46;834] OR SEVEN NETWORKS, SIX NETWORKS
[000:34:47;568] THAT WERE PART OF THE WHITE
[000:34:48;236] HOUSE POOL.
[000:34:48;636] THEY'RE JUST FOLLOWING.
[000:34:49;237] OH, LET'S LISTEN AS LONG AS HE'S
[000:34:49;971] SAYING HELLO.
[000:34:50;404] WE'LL GET THE WHITE HOUSE POOL
[000:34:51;139] OUT OF THE ROOM ON THE
[000:34:51;739] INSTRUCTIONS OF THE PRESS
[000:34:52;373] SECRETARY.
[000:34:52;740] JOHN ROBERTS FAMILIAR WITH THIS.
[000:34:53;474] IN A COUPLE MOMENTS, HE'S GOING
[000:34:54;208] TO A BIT MORE FORMAL SETTINGS
[000:34:59;080] WHERE HE WILL MEET WITH POLICE
[000:35:00;782] CHIEFS AND OTHERS.
[000:35:02;450] >> YES, HE WILL BE MAKING BRIEF
[000:35:06;287] REMARKS.
[000:35:06;788] IT'S A FIVE NETWORK POOL.
[000:35:10;291] IT'S UNDERSTAND, CNN, ABC AND
[000:35:13;528] CBS AND US.
[000:35:14;829] WE WERE HOPING HE WOULD COME
[000:35:16;731] BACK IN TO TALK WITH US, GIVE US
[000:35:20;001] THOUGHTS ABOUT TODAY AND MAYBE
[000:35:21;536] TALK ABOUT OTHER NEWS OF THE DAY
[000:35:23;104] AND THE ISSUES SWIRLING AROUND
[000:35:24;972] THIS INCREASINGLY LOUD VOICES ON
[000:35:29;844] CAPITOL HILL.
[000:35:30;311] BUT HE HAD A LOT OF COMPANY WITH
[000:35:31;112] HIM ON BOARD AIR FORCE ONE.
[000:35:32;713] KEVIN McCARTHY WAS WITH HIM,
