[000:00:00;800] THIS WEEKEND.
[000:15:41;240] AND DOCTORS SAY THERE'S A VERY
[000:15:42;474] GOOD REASON FOR WHY.
[000:15:43;676] WE GET OUR REPORT TONIGHT FROM
[000:15:45;244] OUR CHIEF MEDICAL EDITOR DR.
[000:15:45;945] NANCY SNYDERMAN.
[000:15:49;248] [ SIREN ]
[000:15:51;750] >> Reporter: FROM THE SOUNDS WE
[000:15:52;718] CAN'T CONTROL, TO THE NOISE WE
[000:15:54;420] ADJUST OURSELVES, THE WORLD IS
[000:15:55;621] GETTING A LOT LOUDER AND IT'S
[000:15:56;855] CATCHING UP WITH THE GENERATION
[000:15:58;891] THAT SPENT ITS YOUTH BLASTING
[000:16:00;726] CAR STEREOS AND ROCKING OUT AT
[000:16:01;460] CONCERTS.
[000:16:02;795] ♪
[000:16:05;297] >> THERE ARE OVER 30 MILLION
[000:16:06;765] AMERICANS THAT HAVE A HEARING
[000:16:07;733] LOSS.
[000:16:09;802] AND OF THOSE 30 MILLION, 65% OF
[000:16:11;136] THEM ARE UNDER THE AGE OF 65.
[000:16:14;640] >> NOISE INDUCED HEARING LOSS
[000:16:16;108] HAPPENS WHEN WE ARE EXPOSED TO
[000:16:18;277] SOUNDS THAT ARE TOO LOUD FOR TOO
[000:16:19;011] LONG.
[000:16:20;346] THE SOUND TRAVELS THROUGH THE
[000:16:21;413] DELICATE STRUCTURE OF THE EAR
[000:16:22;781] AND DAMAGES THE SMALL CELLS
[000:16:24;950] DESIGNED TO TRANSMIT THE SOUND
[000:16:26;151] SIGNAL TO THE BRAIN.
[000:16:27;853] ONCE DAMAGED, THESE CELLS CAN'T
[000:16:28;954] GROW BACK.
[000:16:30;756] >> HERE'S A HIGH SCHOOL PICTURE
[000:16:31;490] OF ME.
[000:16:32;558] >> Reporter: THAT'S WHAT
[000:16:33;292] HAPPENED TO THIS 52-YEAR-OLD
[000:16:34;626] BUSINESSMAN MARK TURKOVICH.
[000:16:38;964] >> WHAT HE WOULD DO IS SAY HUH A
[000:16:42;735] LOT, AND I'M NOT VERY PATIENT.
[000:16:44;470] AND THAT USED TO DRIVE ME NUTS,
[000:16:46;638] THAT HE WOULD CONTINUE TO SAY
[000:16:48;173] HUH, HUH?
[000:16:50;275] >> Reporter: HE BLAMES YEARS OF
[000:16:51;477] TARGET SHOOTING, A LAWN MOWING
[000:16:55;214] BUSINESS, AND TURNING UP THE
[000:16:56;315] VOLUME ON HIS CAR STEREO.
[000:16:58;517] BUT HE RESISTED GETTING HEARING
[000:16:59;251] AIDS.
[000:17:00;552] >> I DON'T WANT THAT BIG FLESH
[000:17:02;721] COLOR PLUG IN MY EARS.
[000:17:06;492] I'M TOO YOUNG TO HAVE THAT LOOK.
[000:17:10;362] THEN HE WENT TO AN AUDIOLOGIST
[000:17:13;899] KRISTEN WELLS IN PHOENIX, WHERE
[000:17:15;567] HE WAS RECENTLY FITTED WITH THE
[000:17:16;668] NEWEST TECHNOLOGY IN HEARING
[000:17:17;369] AIDS.
[000:17:17;770] >> HEARING AIDS REALLY LOOK LIKE
[000:17:18;504] THIS NOWADAYS.
[000:17:19;204] >> Reporter: THEY'RE DIGITAL,
[000:17:20;272] DISCRETE, BARELY BIGGER THAN A
[000:17:21;874] DIME, AND COMPATIBLE WITH
[000:17:23;175] BLUETOOTH TECHNOLOGY.
[000:17:25;477] INSURANCE COVERS THE COST FOR
[000:17:26;178] MOST PEOPLE.
[000:17:27;780] BUT MARK HAD TO PAY OUT OF
[000:17:29;848] POCKET ABOUT $4,600 FOR THE
[000:17:30;682] PAIR.
[000:17:32;518] >> THIS IS THE BEST MONEY WE'VE
[000:17:33;252] SPENT.
[000:17:33;852] IT'S BEEN SO NICE TO HAVE HIS
[000:17:35;654] QUALITY OF LIFE BACK.
[000:17:37;956] >> I DON'T FEEL LIKE AN ELDERLY
[000:17:40;125] MAN ANY MORE.
[000:17:43;062] >> A SIMPLE THING TO DO IS TO GO
[000:17:45;130] OUT AND GET A BOX OF REAL FOAM
[000:17:45;964] EARPLUGS LIKE THIS.
[000:17:47;299] YOU CAN GET THEM FOR ABOUT $2.
[000:17:48;767] IT WILL LAST YOU FOR A MONTH OR
[000:17:49;501] TWO.
[000:17:51;270] BUT EVEN MORE IMPORTANT, AVOID
[000:17:52;004] THAT NOISE.
[000:17:53;572] AND FOR MOST OF US, THAT MEANS
[000:17:58;444] THOSE HEADPHONES, THOSE EAR BUDS
[000:18:00;312] THAT USED TO BE NOT VERY GOOD.
[000:18:01;480] THE TECHNOLOGY IS SO GREAT YOU
[000:18:05;017] CAN'T HEAR THE MUSIC FROM THE
[000:18:05;851] PERSON SITTING NEXT TO YOU.
[000:18:07;286] THAT MEANS IT'S GOING RIGHT INTO
[000:18:08;020] YOU.
[000:18:11;723] >> TURN THEM DOWN.
[000:18:12;424] >> I THINK IF YOU LIKE WHERE
[000:18:13;559] YOUR MUSIC, FINE, THEN TURN IT
[000:18:14;293] DOWN EVEN MORE.
[000:18:14;960] >> GOOD ADVICE.
[000:18:15;427] NANCY, THANKS.
[000:18:17;129] >> YOU BET.
[000:18:17;863] >>> WE'RE BACK IN A MOMENT WITH
[000:18:18;597] A BIG ADMISSION FROM A LOT OF
[000:18:19;565] MOMS AND DADS ABOUT THEIR KIDS.
[000:18:22;968] For our families...
[000:21:00;993] our neighbors...
[000:21:02;427] and our communities...
[000:21:04;062] America's beverage companies
[000:21:04;062] have created...
[000:21:06;298] a wide range of new choices.
[000:21:08;267] Developing smaller portion sizes
[000:21:08;267] and more..
[000:21:11;236] low and no-calorie
[000:21:11;236] beverages...
[000:21:13;105] adding clear calorie labels so
[000:21:13;105] you know...
[000:21:15;073] exactly what you're choosing...
[000:21:16;675] and in schools, replacing
[000:21:16;675] full-calorie soft drinks...
[000:21:19;411] with lower-calorie options.
[000:21:21;346] With more choices and fewer
[000:21:21;346] calories...
[000:21:23;849] America's Beverage Companies are
[000:21:23;849] delivering.
[000:21:31;390] >>> THIS IS THE 50th ANNIVERSARY
[000:21:33;425] OF A PIVOTAL DAY IN THE HISTORY
[000:21:34;293] OF CIVIL RIGHTS IN THIS COUNTRY.
[000:21:38;847] STARTING IN ALABAMA, THE DEFIANT
[000:21:39;731] GEORGE WALLACE, ALABAMA
[000:21:40;565] GOVERNOR, BLOCKING TWO
[000:21:41;300] AFRICAN-AMERICAN STUDENTS FROM
[000:21:42;134] ATTENDING THE UNIVERSITY OF
[000:21:42;801] ALABAMA.
[000:21:43;602] THAT AFTERNOON PRESIDENT KENNEDY
[000:21:45;304] FEDERALIZED THE ALABAMA NATIONAL
[000:21:46;605] GUARD TO REMOVE THE GOVERNOR.
[000:21:48;907] THE STUDENTS WALKED IN AND MADE
[000:21:49;641] HISTORY.
[000:21:51;343] THAT SAME NIGHT, KENNEDY TOOK A
[000:21:52;811] STAND OF HIS OWN, IN A SPEECH TO
[000:21:54;146] THE NATION, HE PROMISED TO
[000:21:55;480] INTRODUCE COMPREHENSIVE CIVIL
[000:21:56;181] RIGHTS LEGISLATION.
[000:21:58;850] BUT WITHIN HOURS, AT HALF PAST
[000:22:00;319] MIDNIGHT, ANOTHER SIGN OF HOW
[000:22:01;787] STRONG THE OPPOSITION WAS.
[000:22:04;089] THE CIVIL RIGHTS ACTIVIST MEDGAR
[000:22:06;258] EVERS WAS SHOT IN THE BACK AND
[000:22:07;559] KILLED IN THE DRIVEWAY OF HIS
[000:22:08;677] HOME IN JACKSON, MISSISSIPPI.
[000:22:10;362] HE WAS BURIED AT ARLINGTON
[000:22:11;830] NATIONAL CEMETERY WITH FULL
[000:22:12;798] MILITARY HONORS.
[000:22:18;570] >>> TONIGHT WORK IS FINALLY
[000:22:20;605] UNDER WAY TO REPAIR A DAMAGED
[000:22:21;340] AMERICAN ICON.
[000:22:23;975] THE WASHINGTON MONUMENT HAS BEEN
[000:22:27;012] CLOSED SINCE A 5.2 MAGNITUDE
[000:22:28;880] EARTHQUAKE SHOOK THE NATION'S
[000:22:29;581] CAPITOL IN AUGUST 2011, SHIFTING
[000:22:32;851] STONES IN THE MONUMENT AND
[000:22:34;786] LEAVING DEEP CRACKS, ESPECIALLY
[000:22:36;188] NEAR THE TOP.
[000:22:38;056] WITH THE SCAFFOLDING AROUND IT
[000:22:38;790] NOW COMPLETE, WORKERS ARE
[000:22:39;624] BEGINNING THE TASK OF REPLACING
[000:22:40;459] THE STONES WHILE HANGING MORE
[000:22:41;326] THAN 500 FEET ABOVE THE GROUND.
[000:22:42;060] >>> IN CHICAGO, IT WASN'T THE
[000:22:43;495] TYPICAL WEATHER PROBLEM AT THE
[000:22:44;229] BASEBALL GAMES IN THAT CITY LAST
[000:22:44;963] NIGHT.
[000:22:45;564] EVEN A LITTLE RAIN MAY HAVE BEEN
[000:22:46;298] BETTER THAN THIS.
[000:22:47;399] THE CUBS AND REDS HAD TO PLAY IN
[000:22:49;067] AN UNUSUAL FOG THAT SETTLED IN
[000:22:50;669] ON WRIGLEY FIELD.
[000:22:52;471] THE CUBS LOST.
[000:22:55;240] AND IT WAS THE SAME STORY ON THE
[000:22:56;842] SOUTH SIDE AT THE WHITE SOX/BLUE
[000:22:57;576] JAYS GAME.
[000:22:58;510] THE SOX WERE ABLE TO GET THROUGH
[000:22:59;244] IT A BIT BETTER.
[000:23:00;479] THEY ENDED UP WINNING THAT
[000:23:01;146] CONTEST.
[000:23:06;885] >>> NOW PARENTS WILL ALMOST
[000:23:08;253] NEVER ADMIT, TO ANYONE ELSE, AT
[000:23:09;521] LEAST, THAT THEY HAVE A FAVORITE
[000:23:10;255] CHILD.
[000:23:10;822] IT'S JUST NOT DONE.
[000:23:11;656] BUT WHEN A BRITISH WEBSITE FOR
[000:23:12;624] PARENTS PUT THE QUESTION TO MORE
[000:23:13;959] THAN 2000 MOMS AND DADS IN A
[000:23:15;060] SURVEY, IT GOT SOME SHOCKING
[000:23:15;761] RESULTS.
[000:23:17;596] MORE THAN A THIRD OF THE MOTHERS
[000:23:19;197] ADMITTED TO HAVING A FAVORITE
[000:23:19;898] CHILD.
[000:23:21;466] NOT QUITE SO MANY OF THE DADS
[000:23:22;801] WERE WILLING TO GO THAT FAR.
[000:23:24;469] JUST OVER A QUARTER OF THE
[000:23:25;337] FATHERS SAID THEY HAD A
[000:23:26;571] FAVORITE.
[000:23:28;240] >>> WHEN WE COME BACK, WHY WE'RE
[000:23:29;341] CELEBRATING AN OLD FASHIONED
[000:23:31;042] GOOD TIME FOR THE WHOLE FAMILY,
[000:23:32;844] AND AN INEXPENSIVE NIGHT OUT.
[000:24:28;666] A
[000:26:26;017] >>> FINALLY TONIGHT, IT WAS THIS
[000:26:27;485] MONTH BACK IN 1933, WHEN A
[000:26:28;820] CONVOY OF EAGER MOTORISTS DROVE
[000:26:30;021] INTO A LOT.
[000:26:31;690] THEY PUT THEIR CARS IN PARK AND
[000:26:32;824] SAT BACK AND ENJOYED THE SHOW.
[000:26:34;859] IT WAS THE OPENING OF THE FIRST
[000:26:36;461] DRIVE-IN CINEMA.
[000:26:38;163] AND OVER THE YEARS THERE WOULD
[000:26:38;897] BE THOUSANDS OF THEM.
[000:26:40;298] THESE DAYS NOT MANY REMAIN, BUT
[000:26:42;000] OF THOSE THAT DO, MEMORIES ARE
[000:26:42;834] STILL BEING MADE.
[000:26:44;803] HERE'S NBC'S KEVIN TIBBLES.
[000:26:48;673] >> Reporter: AS DUSK APPROACHES,
[000:26:50;375] THE CARS LINE UP JUST LIKE
[000:26:51;810] THEY'VE DONE FOR THE LAST HALF
[000:26:52;544] CENTURY.
[000:26:53;645] >> GOOD TO HAVE YOU BACK.
[000:26:55;714] >> Reporter: THE CASCADE WEST OF
[000:26:57;515] CHICAGO, IS ONE OF ONLY 400
[000:26:59;217] DRIVE-IN MOVIE THEATERS LEFT IN
[000:27:00;051] THE COUNTRY.
[000:27:02;253] BUT ON A WARM CLEAR NIGHT,
[000:27:04;422] FAMILIES COME EXTRA EARLY TO
[000:27:05;256] GRAB A GOOD SPOT.
[000:27:07;325] >> WE ENJOY THE OUTDOOR
[000:27:08;393] ATMOSPHERE OF BEING AT A
[000:27:09;027] DRIVE-IN.
[000:27:10;462] >> IT'S A GREAT FAMILY THING.
[000:27:11;329] IT'S GREAT FOR FAMILIES.
[000:27:12;530] >> Reporter: WHERE ELSE CAN YOU
[000:27:14;099] SEE TWO FEATURES FOR UNDER $10.
[000:27:17;002] AND WHEN KIDS UNDER 5 GET IN
[000:27:18;103] FREE, WHO NEEDS A SITTER?
[000:27:20;038] BRING A PICNIC OR GRAB A CORN
[000:27:23;041] DOG AND PULL UP TO ONE OF THOSE
[000:27:23;775] OLD FASHIONED SPEAKERS.
[000:27:26;111] FOR CO-OWNER JEFF KOHLBERG,
[000:27:27;412] THERE'S NOTHING LIKE IT.
[000:27:30;448] >> I'VE BEEN DOING THIS SINCE I
[000:27:31;650] WAS SEVEN OR EIGHT YEARS OLD
[000:27:32;350] WITH MY FATHER.
[000:27:34;919] I KNOW, IT'S IN MY BLOOD.
[000:27:35;787] >> THANK YOU, ENJOY THE SHOW.
[000:27:36;988] >> Reporter: AND, YES, THAT IS
[000:27:38;923] JEFF'S SISTER POPPY OVER IN THE
[000:27:39;658] TICKET BOOTH.
[000:27:41;226] >> WE HAVE CUSTOMERS THAT COME
[000:27:42;927] IN HERE NOW AND SAY, OH, WE WERE
[000:27:45;697] DATING, THESE ARE MY CHILDREN.
[000:27:47;165] AND THEY REMEMBER ME.
[000:27:48;133] THEY DO.
[000:27:50;201] >> Reporter: THE FIRST DRIVE IN
[000:27:51;903] OPENED IN CAMDEN, NEW JERSEY 80
[000:27:52;637] YEARS AGO.
[000:27:54;172] AFTER THE SECOND WORLD WAR WHEN
[000:27:54;906] THE CAR WAS KING.
[000:27:57;208] THERE WERE 4,000 OF THEM.
[000:27:59;144] THE MOVIES MAY HAVE GONE FROM
[000:28:00;612] BLACK AND WHITE TO DIGITAL, BUT
[000:28:02;313] SITTING OUT UNDER THE STARS IN
[000:28:03;882] YOUR FAVORITE CAR WITH A BAG OF
[000:28:05;316] POPCORN IS NEVER GOING TO
[000:28:06;284] CHANGE.
[000:28:08;586] OF COURSE, THE ADVENT OF THE
[000:28:09;921] COLOR TELEVISION CAME AS A BODY
[000:28:11;022] BLOW.
[000:28:13;091] AND SO-CALLED PROGRESS NOW MEANS
[000:28:14;526] FOLKS WATCH MOVIES ON TINY
[000:28:15;493] SCREENS.
[000:28:17;295] SOMETHING POPPY WILL NEVER
[000:28:17;962] FIGURE OUT.
[000:28:19;597] >> WHEN YOU CAN COME OUT HERE
[000:28:20;932] AND SIT IN YOUR CAR AND LOOK AT
[000:28:22;634] THAT GIANT SCREEN --
[000:28:24;069] >> WHY LOOK AT THAT?
[000:28:24;936] >> I KNOW.
[000:28:26;271] >> Reporter: STILL, THE PERFECT
[000:28:27;472] COMBINATION OF GOOD WEATHER AND
[000:28:28;440] A GOOD MOVIE WILL ALWAYS KEEP
[000:28:29;174] THEM COMING.
[000:28:31;476] JUST REMEMBER, NO HIDING UNDER
[000:28:38;983] BLANKETS OR IN THE TRUNK TO
[000:28:39;651] SNEAK IN.
[000:28:40;485] DO YOU BUST THEM?
[000:28:40;985] >> YES.
[000:28:41;453] YES, WE DO.
[000:28:42;053] >> Reporter: EVEN IF IT IS PART
[000:28:42;787] OF THE EXPERIENCE.
[000:28:43;621] KEVIN TIBBLES, NBC NEWS, WEST
[000:28:44;355] CHICAGO ILLINOIS.
[000:28:47;859] >>> THAT'S OUR BROADCAST FOR
[000:28:49;060] THIS TUESDAY NIGHT.
[000:28:50;295] THANK YOU FOR BEING WITH US.
[000:28:51;963] I'M LESTER HOLT IN FOR BRIAN.
[000:28:53;431] WE HOPE TO SEE YOU RIGHT BACK
[000:28:54;399] HERE TOMORROW EVENING.
[000:28:55;133] GOOD NIGHT.
[000:29:28;233] >>> GOOD EVENING, EVERYONE.
[000:29:30;869] >> A 16 YEAR OLD GIRL WAS
[000:29:32;937] KIDNAPPED IN THE EAST BAY.
[000:29:34;239] BUT THIS STORY HAS A HAPPY
[000:29:37;075] ENDING, BECAUSE POLICE SAY SHE
[000:29:38;109] DID EVERYTHING RIGHT.
[000:29:38;977] A MAN WAS HIDING IN THE BACK
[000:29:40;645] SEAT OF HER CAR WHILE SHE
[000:29:42;180] STOPPED AT A LUCKY'S STORE IN
[000:29:47;519] NORTH FREMONT.
[000:29:49;287] HE FORCED HER TO DRIVE TO A
[000:29:55;293] DESERTED PLACE.
[000:29:56;761] THE GIRL FINALLY MANAGED TO GET
[000:29:58;897] AWAY.
[000:29:59;130] >> Reporter: THIS IS WHERE THE
[000:30:00;465] GIRL'S TERRIFYING ORDEAL ENDED
[000:30:02;433] UP, RIGHT HERE IN THIS FREMONTé
[000:30:06;671] NEIGHBORHOOD.
[000:30:07;005] POLICE SAY SHE MANAGED TO ESCAPE
[000:30:08;473] HER ALLEGED KIDNAPPER AND RUN
[000:30:10;341] DOWN THIS STREET HERE.
[000:30:11;342] WE'RE GOING TO SHOW YOU SOME
[000:30:12;911] HOME VIDEO THAT SHOWS THE GIRL
[000:30:14;746] AS SHE RAN FOR HER LIFE.
[000:30:16;514] A NEIGHBOR'S SURVEILLANCE CAMERA
[000:30:18;716] CAPTURED THIS VIDEO OF THE 16
[000:30:20;652] YEAR OLD GIRL SEEN AT THE TOP OF
[000:30:23;888] YOUR SCREEN AS SHE RAN DOWN THE
[000:30:25;323] STREET IN HER FLIP-FLOPS,
[000:30:28;793] SCREAMING, HE HAS A KNIFE.
[000:30:29;928] SHE RAN TO A HOME WHERE SHE SAW
[000:30:32;163] A WOMAN WHO HAD JUST GOTTEN HOME
[000:30:34;098] FROM STARBUCKS.
[000:30:36;167] THAT WOMAN BROUGHT HER TO
[000:30:38;303] SAFETY.
[000:30:38;570] THE TEEN AGER HAD STOPPED AT THE
[000:30:41;039] LUCKIES TO PICK UP A FEW THINGS.
[000:30:44;075] THE MAN GOT INTO HER CAR AND HID
[000:30:47;779] IN THE BACK SEAT.
[000:30:48;780] WHEN SHE RETURNED TO THE CAR, HE
[000:30:54;786] DEMANDED HER TO DRIVE TO A
[000:30:57;689] REMOTE LOCATION.
[000:30:58;523] HE ORDERED HER
