[000:00:08;708] >> WELCOME TO
[000:14:54;460] >>> STILL MUCH MORE AHEAD THIS
[000:14:56;095] SATURDAY.
[000:14:56;362] A MASSIVE EXPLOSION AND FIRE
[000:14:59;431] FLATTEN A HOME.
[000:15:00;232] WE'LL TELL YOU WHERE THIS HAPPEN
[000:15:01;333] AND WHAT INVESTIGATORS ARE NOW
[000:15:01;967] SAYING.
[000:15:03;502] PLUS WITH THE TAX DEADLINE
[000:15:05;337] LOOMING A NEW PROBLEM TO WORRY
[000:15:06;972] ABOUT.
[000:15:07;239] WHY IT MIGHT BE HARDER TO TELL
[000:15:09;208] THE DIFFERENCE BETWEEN THE IRS
[000:15:10;276] AND SWAMMERS.
[000:15:11;143] THE INFORMATION YOU NEED TO
[000:15:12;378] KNOW.
[000:15:12;945] AND WOULD YOU JUMP OUT OF AN
[000:15:16;415] AIRPLANE TO ASK SOMEONE OUT ON A
[000:15:17;650] DATE?
[000:15:17;850] THIS TEENAGER DID.
[000:15:19;118] DID HIS PROM STRATEGY WORK?
[000:15:20;019] THAT'S COMING UP.
[000:15:22;988] My hygienist told me to try...
[000:15:58;257] ...a mouthwash.
[000:15:58;257] So I tried Crest.
[000:15:59;758] It does so much more than
[000:15:59;758] give me fresh breath.
[000:16:01;961] Crest Pro-Health mouthwash
[000:16:01;961] provides all...
[000:16:04;163] ...of these benefits to help you
[000:16:04;163] get better dental check-ups.
[000:16:07;199] Go Pro with Crest mouthwash.
[000:16:10;102] Checkup? Nailed it
[000:16:27;453] This
[000:16:28;320] This
[000:16:28;988] This is my body of proof.
[000:16:31;056] Proof of less joint pain
[000:16:33;826] and clearer skin.
[000:16:35;427] This is my body of proof that I
[000:16:35;427] can take on psoriatic
[000:16:38;464] arthritis with HUMIRA.
[000:16:41;000] HUMIRA works by targeting and
[000:16:41;000] helping to block a specific
[000:16:44;136] source of inflammation that
[000:16:44;136] contributes to both joint and
[000:16:46;839] skin symptoms.
[000:16:48;140] It's proven to help relieve
[000:16:48;140] pain, stop further joint damage,
[000:16:51;243] and clear skin in many adults.
[000:16:52;845] HUMIRA is the #1
[000:16:52;845] prescribed biologic
[000:16:54;980] for psoriatic arthritis.
[000:16:56;949] HUMIRA can lower your ability to
[000:16:56;949] fight infections,
[000:16:59;118] including tuberculosis.
[000:17:00;219] Serious, sometimes fatal
[000:17:00;219] infections and cancers,
[000:17:02;855] including lymphoma, have
[000:17:02;855] happened; as have blood, liver,
[000:17:05;057] and nervous system problems,
[000:17:05;057] serious allergic reactions,
[000:17:07;059] and new or worsening heart
[000:17:07;059] failure.
[000:17:09;094] Before treatment, get tested for
[000:17:09;094] TB.
[000:17:10;863] Tell your doctor if you've been
[000:17:10;863] to areas where certain
[000:17:12;965] fungal infections are common,
[000:17:14;266] and if you've had TB,
[000:17:14;266] hepatitis B,
[000:17:16;835] are prone to infections, or have
[000:17:16;835] flu-like symptoms or sores.
[000:17:19;405] Don't start HUMIRA if you have
[000:17:19;405] an infection.
[000:17:20;773] Want more proof? Ask your
[000:17:20;773] rheumatologist about HUMIRA.
[000:17:24;410] What's your body of proof?
[000:17:29;615] >>> BACK NOW WITH A NEW IRS
[000:17:31;150] PROGRAM THAT COULD CONFUSE
[000:17:31;717] TAXPAYERS.
[000:17:37;089] ABC'S STEPHANIE RAMOS WITH WHAT
[000:17:38;690] YOU NEED TO KNOW TO PROTECT YOUR
[000:17:39;458] MONEY.
[000:17:41;193] >> Reporter: SCAMMERS POSING AS
[000:17:41;827] IRS AGENTS HAVE BEEN THREATENING
[000:17:42;761] FOR YEARS LIKE THIS.
[000:17:43;796] >> BEFORE THERE IS AN ARREST
[000:17:46;932] WARRANT ISSUED, I WANT YOU OR
[000:17:47;533] YOUR ATTORNEY TO GIVE US A CALL
[000:17:48;467] BACK.
[000:17:51;136] >> Reporter: THE IRS FORCED TO
[000:17:51;770] RELEASE THESE WARNINGS TO
[000:17:52;304] TAXPAYERS.
[000:17:56;375] >> ANGRY HARASSING CALLS LIKE
[000:18:00;746] THESE ARE NOT HOW WE DO
[000:18:01;246] BUSINESS.
[000:18:03;849] >> Reporter: THEY HAVE HIRED
[000:18:05;417] FOUR COMPANIES TO CHASE DOWN AND
[000:18:06;452] CALL PEOPLE WITH LONG OVERDUE
[000:18:07;052] TAXES THAT THEY CAN'T GET TO.
[000:18:09;688] THIS WEEK THE IRS COMMISSIONER
[000:18:11;123] WENT TO CAPITOL HILL TO DEFEND
[000:18:15;127] HIRING OUTSIDE
[000:18:15;461] COMPANIES THAT MAKE CALLS THAT
[000:18:16;228] SOME SAY CAN CAUSE CONFUSION.
[000:18:20;532] AND HELP SCAMMERS.
[000:18:23;135] >> I'M PROTECTING TAXPAYERS.
[000:18:23;702] WE HAVE HAD GOOD SESSIONS WITH
[000:18:24;336] THE PRIVATE DEBT COLLECTORS.
[000:18:24;903] PEOPLE UNDERSTAND THEY HAVE
[000:18:25;471] TO --
[000:18:25;671] >> WHAT'S THE CONSEQUENCES IF
[000:18:26;271] THEY DON'T FOLLOW YOUR
[000:18:26;772] DIRECTION?
[000:18:27;339] >> WE CAN TERMINATE THE
[000:18:27;840] CONTRACT.
[000:18:28;907] >> Reporter: HERE'S WHAT THE IRS
[000:18:30;509] SAYS, TO REMEMBER IF YOU GET A
[000:18:32;010] CALL, THE IRS WILL CONTACT YOU
[000:18:34;079] MULTIPLE TIMES IN WRITING BEFORE
[000:18:36;181] YOU'RE CALLED BY CONTRACTORS OF
[000:18:38;250] THE IRS AND YOU WON'T HEAR FROM
[000:18:39;818] A PRIVATE COLLECTOR UNLESS YOU
[000:18:41;386] HAVE MULTIPLE YEARS OF OVERDUE
[000:18:42;020] TAXES.
[000:18:43;956] THE IRS SAYS THESE PRIVATE
[000:18:45;591] COLLECTORS WILL NEVER THREATEN
[000:18:47;126] YOU WITH LAW ENFORCEMENT OR ASK
[000:18:49;161] FOR YOUR CREDIT CARD.
[000:18:51;130] ALL PAYMENTS WOULD GO ONLY TO
[000:18:51;730] THE IRS.
[000:18:53;332] TOM.
[000:18:53;499] >> STEPHANIE RAMOS WITH
[000:18:54;366] IMPORTANT TIPS.
[000:18:54;900] THANK YOU.
[000:18:56;468] STILL AHEAD, A FATHER SPEAKS
[000:18:57;069] OUT.
[000:18:59;571] STARTLING COMMENTS FROM THE
[000:19:00;606] FATHER OF THE GIRL WHO RAN OFF
[000:19:02;174] WITH THE TEACHER.
[000:19:03;742] WAS SHE COERCED INTO GOING WITH
[000:19:04;376] HIM?
[000:19:07;112] AN INCREDIBLE SCENE, A GREAT
[000:19:07;980] WHITE SHARK STUCK ON A REEF.
[000:19:09;982] WHY IT'S RESISTING TO GET IT
[000:19:11;016] BACK IN THE WATER.
[000:19:13;519] STAY WITH US.
[000:19:15;087] A
[000:19:15;087] SPONTANEOUS MOMENT?
[000:19:16;555] CIALIS FOR DAILY USE TREATS ED
[000:19:16;555] AND THE URINARY SYMPTOMS OF BPH.
[000:19:20;292] TELL YOUR DOCTOR
[000:19:20;292] ABOUT YOUR MEDICINES,
[000:19:21;760] AND ASK IF YOUR HEART IS
[000:19:21;760] HEALTHY ENOUGH FOR SEX.
[000:19:23;762] DO NOT TAKE CIALIS IF YOU
[000:19:23;762] TAKE NITRATES FOR CHEST PAIN,
[000:19:26;298] OR ADEMPAS® FOR
[000:19:26;298] PULMONARY HYPERTENSION,
[000:19:28;033] AS THIS MAY CAUSE AN UNSAFE
[000:19:28;033] DROP IN BLOOD PRESSURE.
[000:19:30;369] DO NOT DRINK ALCOHOL IN EXCESS.
[000:19:32;037] TO AVOID LONG-TERM INJURY,
[000:19:32;037] GET MEDICAL HELP RIGHT AWAY
[000:19:34;439] FOR AN ERECTION LASTING
[000:19:34;439] MORE THAN FOUR HOURS.
[000:19:36;441] IF YOU HAVE A SUDDEN DECREASE
[000:19:36;441] OR LOSS OF HEARING OR VISION,
[000:19:38;844] OR AN ALLERGIC REACTION,
[000:19:38;844] STOP TAKING CIALIS
[000:19:40;879] AND GET MEDICAL HELP RIGHT AWAY.
[000:19:42;414] ASK YOUR DOCTOR ABOUT CIALIS.
[000:19:47;386] Working on my feet all
[000:19:47;386] day gave me pain here.
[000:19:47;386] In my knees.
[000:19:48;587] So I stepped on this
[000:19:48;587] machine and got my number,
[000:19:51;089] which matched my Dr. Scholl's
[000:19:51;089] Custom Fit Orthotic Inserts.
[000:19:54;259] So I get immediate relief
[000:19:54;259] from my foot pain.
[000:19:56;461] My knee pain.
[000:19:57;462] Find a machine at DrScholls.com.
[000:20:19;551] ♪
[000:20:26;892] That's life.
[000:20:28;060] You diet. You exercise.
[000:20:29;394] And if you still need help
[000:20:29;394] lowering your blood sugar...
[000:20:31;597] ...this is JARDIANCE.
[000:20:33;031] Along with diet and exercise...
[000:20:34;499] JARDIANCE lowers blood sugar
[000:20:34;499] and A1C
[000:20:37;469] in adults with type 2 diabetes.
[000:20:39;738] JARDIANCE is also the only type
[000:20:39;738] 2 diabetes treatment with heart-
[000:20:43;242] proven to reduce the risk
[000:20:43;242] of cardiovascular death
[000:20:46;078] in adults with type 2 diabetes
[000:20:46;078] and cardiovascular disease.
[000:20:50;048] JARDIANCE can cause serious side
[000:20:50;048] effects, including dehydration.
[000:20:53;418] This may cause you to feel
[000:20:53;418] dizzy, faint, or lightheaded,
[000:20:56;088] or weak upon standing.
[000:20:57;589] Ketoacidosis is a serious side
[000:20:57;589] effect that may be fatal.
[000:21:00;759] Symptoms include nausea,
[000:21:00;759] vomiting, stomach pain,
[000:21:03;262] tiredness, and
[000:21:03;262] trouble breathing.
[000:21:04;930] Stop taking JARDIANCE and call
[000:21:04;930] your doctor right away
[000:21:07;099] if you have symptoms
[000:21:07;099] of ketoacidosis
[000:21:08;934] or an allergic reaction.
[000:21:10;435] Symptoms of an allergic
[000:21:10;435] reaction include rash,
[000:21:12;771] swelling, and difficulty
[000:21:12;771] breathing or swallowing.
[000:21:15;107] Do not take JARDIANCE
[000:21:15;107] if you are on dialysis
[000:21:17;442] or have severe kidney problems.
[000:21:18;944] Other side effects are sudden
[000:21:18;944] kidney problems,
[000:21:21;113] genital yeast infections,
[000:21:22;614] increased bad cholesterol,
[000:21:23;949] and urinary tract infections,
[000:21:23;949] which may be serious.
[000:21:26;451] Taking JARDIANCE with
[000:21:26;451] a sulfonylurea or insulin
[000:21:28;787] may cause low blood sugar.
[000:21:30;289] Tell your doctor about all
[000:21:30;289] the medicines you take
[000:21:32;457] and if you have any
[000:21:32;457] medical conditions.
[000:21:34;626] So talk to your doctor
[000:21:34;626] about JARDIANCE-
[000:21:36;561] the one and only type 2 diabetes
[000:21:36;561] treatment with heart.
[000:21:39;298] Visit JARDIANCE.com for a free
[000:21:39;298] consultation with
[000:21:41;967] a Certified Diabetes Educator
[000:21:41;967] if you qualify.
[000:21:44;803] ♪
[000:21:46;071] Predictable.
[000:21:47;339] The comfort in knowing where
[000:21:47;339] things are headed.
[000:21:50;442] Because as we live longer...
[000:21:52;678] And markets continue to
[000:21:52;678] rise and fall...
[000:21:55;547] Predictable is one thing you
[000:21:55;547] need in retirement
[000:21:58;383] to help protect what you've
[000:21:58;383] earned and ensure it lasts.
[000:22:01;953] Introducing
[000:22:01;953] Brighthouse Financial.
[000:22:04;456] A new company established
[000:22:04;456] by MetLife
[000:22:06;425] to specialize in annuities
[000:22:06;425] & life insurance.
[000:22:09;594] Talk to your advisor about a
[000:22:09;594] brighter financial future.
[000:22:36;988] >>> BACK NOW WITH OUR "INDEX".
[000:22:39;024] A MASSIVE EXPLOSION LEVELS A
[000:22:40;625] HOME IN MISSISSIPPI TO THE
[000:22:41;460] GROUND.
[000:22:42;227] SMOKE AND FLAMES POURING FROM
[000:22:45;263] THE HOUSE FOLLOWING THE
[000:22:45;764] EXPLOSION YESTERDAY.
[000:22:47;132] IT WAS EMPTY AT THE TIME.
[000:22:48;400] INVESTIGATORS DO NOT KNOW YET
[000:22:50;469] WHAT CAUSED THE BLAST BUT SO FAR
[000:22:51;570] THEY SAY IT DOES NOT LOOK
[000:22:53;472] SUSPICIOUS.
[000:22:53;772] >>> NEW DEVELOPMENTS IN THE
[000:22:55;707] SEARCH FOR A TEEN AND A TEACHER.
[000:22:59;111] THE FATHER OF ELISABETH TOMS
[000:23:02;414] SAYING IN COURT PAPERS HIS
[000:23:03;915] DAUGHTER FEARED THE TEACHER AND
[000:23:05;484] HE USED THREATS TO GET HER TO
[000:23:06;518] RUN AWAY WITH HER.
[000:23:10;822] TEACHER TAD CUMMINS IS ACCUSED
[000:23:11;456] OF ABDUCTING THE 15-YEAR-OLD
[000:23:12;057] THREE WEEKS AGO.
[000:23:12;424] >>> TO RESCUE A SHARK ON A
[000:23:12;991] CALIFORNIA REEF.
[000:23:15;127] THE INJURED GREAT WHITE WASHING
[000:23:17;596] UP ON THE ROCKS IN SANTA CRUZ.
[000:23:21;466] ANIMAL RESCUE WORKERS WERE ABLE
[000:23:23;135] TO GET THE SHARK
[000:23:23;502] INTO THE WATER BUT IT TURNED
[000:23:24;102] BACK.
[000:23:25;604] SCIENTISTS SAY THEY'RE NOT SURE
[000:23:26;638] IF IT STRANDED ITSELF OR IS
[000:23:27;205] SICK.
[000:23:30;776] >>> ACROSS THE POND A WORLD
[000:23:31;343] RECORD.
[000:23:32;377] 85 HOT AIR BALLOONS TAKING OFF
[000:23:35;147] FOR A FLIGHT ACROSS THE ENGLISH
[000:23:36;515] CHANNEL LANDING IN FRANCE THREE
[000:23:37;149] HOURS LATER.
[000:23:39;117] THE PREVIOUS RECORD WAS 49.
[000:23:43;121] ORGANIZERS DID NOT FILE THE
[000:23:45;924] PROPER FORMS WITH GUINNESS SO
[000:23:46;925] THE NEW RECORD IS UNOFFICIAL BUT
[000:23:47;559] THEY DID MAKE "WORLD NEWS
[000:23:48;093] TONIGHT."
[000:23:50;929] SO IT'S NOT THAT BAD.
[000:23:53;598] UP NEXT, TAKING THE PROM-POSAL
[000:23:54;232] TO NEW HEIGHTS.
[000:23:55;133] THIS KID JUMPING OUT OF A PLANE
[000:23:57;235] TO WIN HIS DATE'S HEART.
[000:23:58;270] DID SHE SAY YES?
[000:24:02;707] I HOPE SO.
[000:24:02;974] THAT'S COMING UP.
[000:24:05;377] Hi, I'm Frank.
[000:24:06;711] I take MOVANTIK for OIC,
[000:24:07;946] opioid-induced constipation.
[000:24:11;817] Had a bad back injury,
[000:24:13;218] my doctor prescribed opioids
[000:24:14;786] which helped with the chronic
[000:24:14;786] pain,
[000:24:16;588] but backed me up big-time.
[000:24:19;524] Tried prunes, laxatives, still
[000:24:19;524] constipated...
[000:24:23;528] had to talk to my doctor.
[000:24:24;896] She said, "How long you been
[000:24:24;896] holding this in?" (laughs)
[000:24:28;834] That was my MOVANTIK MOMENT.
[000:24:31;269] My doctor told me that MOVANTIK
[000:24:31;269] is specifically designed
[000:24:33;338] for OIC and can help you go more
[000:24:33;338] often.
[000:24:35;574] Don't take MOVANTIK if you have
[000:24:35;574] a bowel blockage
[000:24:38;076] or a history of them.
[000:24:39;044] MOVANTIK may cause serious side
[000:24:39;044] effects,
[000:24:41;112] including symptoms of opioid
[000:24:41;112] withdrawal,
[000:24:42;981] severe stomach pain and/or
[000:24:42;981] diarrhea,
[000:24:45;317] and tears in the stomach or
[000:24:45;317] intestine.
[000:24:47;719] Tell your doctor about any side
[000:24:47;719] effects
[000:24:49;287] and about medicines you take.
[000:24:50;755] MOVANTIK may interact with them
[000:24:50;755] causing side effects.
[000:24:53;525] Why hold it in? Have your
[000:24:53;525] MOVANTIK moment.
[000:24:56;261] Talk to your doctor about
[000:24:56;261] opioid-induced constipation.
[000:24:59;464] If you can't afford your
[000:24:59;464] medication,
[000:25:01;132] AstraZeneca may be able to help.
[000:25:21;286] ♪ She'll unease you
[000:25:23;622] ♪ All the better just
[000:25:23;622] to please you ♪
[000:25:27;959] ♪ She's precocious,
[000:25:27;959] and she knows just ♪
[000:25:32;030] ♪ What it takes to
[000:25:32;030] make a pro blush ♪
[000:25:38;503] ♪ All the boys
[000:25:38;503] think she's a spy, ♪
[000:25:41;540] ♪ She's got Bette Davis eyes
[000:25:53;285] Bounty is more absorbent,Mom"
[000:25:53;285] per roll
[000:25:53;285] ♪
[000:25:54;953] so the roll can last 50% longer
[000:25:54;953] than the leading ordinary brand.
[000:25:58;623] So you get more "Life" per roll.
[000:26:01;126] Bounty, the Quicker Picker Upper
[000:26:04;930] with CHANTIX.and
[000:26:04;930] I quit smoking
[000:26:05;764] I finally broke out
[000:26:05;764] of my man shell,
[000:26:08;667] went to the doctor,
[000:26:09;768] tell him
[000:26:09;768] "I need help quitting smoking."
[000:26:11;770] He prescribed CHANTIX
[000:26:11;770] and it worked.
[000:26:14;973] Along with support,
[000:26:16;241] CHANTIX (varenicline) is proven
[000:26:16;241] to help people quit smoking.
[000:26:18;643] CHANTIX really
[000:26:18;643] reduced my urge to smoke.
[000:26:21;413] Some people had changes
[000:26:21;413] in behavior, thinking or mood,
[000:26:23;715] hostility, agitation, depressed
[000:26:23;715] mood and suicidal thoughts
[000:26:26;551] or actions while taking or
[000:26:26;551] after stopping CHANTIX.
[000:26:29;120] Some reported seizures or
[000:26:29;120] sleepwalking with CHANTIX.
[000:26:31;489] If you have any of these,
[000:26:32;557] stop CHANTIX and call your
[000:26:32;557] doctor right away.
[000:26:34;593] Tell your doctor about any
[000:26:35;493] history of
[000:26:35;493] mental health problems,
[000:26:36;995] which could get worse
[000:26:36;995] or of seizures.
[000:26:38;730] Don't take CHANTIX
[000:26:38;730] if you've had a serious
[000:26:40;365] allergic or skin reaction to it.
[000:26:41;900] If you have these, stop CHANTIX
[000:26:41;900] and call your doctor right away
[000:26:44;769] as some can be life-threatening.
[000:26:46;037] Tell your doctor if you have
[000:26:46;037] heart or blood vessel problems,
[000:26:48;239] or develop new
[000:26:48;239] or worse symptoms.
[000:26:49;941] Get medical help right away
[000:26:49;941] if you have symptoms
[000:26:51;710] of a heart attack or stroke.
[000:26:52;944] Decrease alcohol use
[000:26:52;944] while taking CHANTIX.
[000:26:55;013] Use caution driving
[000:26:55;013] or operating machinery.
[000:26:57;182] Most common side effect
[000:26:57;182] is nausea.
[000:26:58;883] Quitting changed my life.
[000:27:00;619] Ask your doctor if CHANTIX
[000:27:00;619] is right for you.
[000:27:20;505] >>> FINALLY TONIGHT, ASKING A
[000:27:23;074] DATE TO PROM HAS CHANGED A LOT
[000:27:23;708] OVER THE YEARS.
[000:27:28;580] BIGGER, FLASHIER.
[000:27:29;481] TONIGHT ONE THAT PROVES THE SKY
[000:27:30;115] IS THE LIMIT.
[000:27:32;651] HERE'S GLORIA RIVERA.
[000:27:34;219] >> Reporter: HIGH SCHOOL SENIOR
[000:27:35;153] TY MYERS, READY TO JUMP OUT of A
[000:27:35;787] PLANE, HAD ONE THING ON HIS
[000:27:36;354] MIND, PROM.
[000:27:39;157] >> WHAT BETTER WAY TO GO ABOVE
[000:27:41;526] AND BEYOND THAN JUMP OUT OF A
[000:27:42;127] PLANE TWO MILES ABOVE THE EARTH?
[000:27:44;095] >> Reporter: THIS IS WHAT HE
[000:27:47;132] DECIDED ON, A SO-CALLED
[000:27:47;766] PROM-POSAL FROM 12,000 FEET.
[000:27:49;834] AND LOOK CLOSELY, THAT'S NOT A
[000:27:51;903] JUMPSUIT HE'S WEARING, IT'S A
[000:27:52;504] SUIT AND TIE.
[000:27:55;140] VERY ROMANTIC.
[000:27:56;574] HIS SIGN READING, "I'M FALLING
[000:27:57;208] FOR YOU!
[000:27:57;442] PROM?"
[000:27:57;642] ♪
[000:28:01;246] OVER-THE-TOP PROM PROPOSALS AT A
[000:28:02;814] FEVER PITCH THIS YEAR.
[000:28:03;348] ♪
[000:28:05;917] THIS PHOENIX TEEN RECREATING THE
[000:28:08;019] OPENING SCENE OF "LA LA LAND" TO
[000:28:10;622] ASK EMMA STONE TO THE PROM.
[000:28:12;190] THE STAR BUSY FILMING IN ENGLAND
[000:28:15;126] SAID NO.
[000:28:16;327] AS FOR TY, WHEN HE LANDED, KATIE
[000:28:16;961] HAD A DIFFERENT ANSWER.
[000:28:18;463] >> KATIE, GO TO PROM WITH ME?
[000:28:26;204] >> I WILL DEFINITELY ACCEPT.
[000:28:26;771] THIS DOES NOT SURPRISE ME ONE
[000:28:27;372] BIT.
[000:28:29;340] BECAUSE HE'S THE TYPE OF GUY TO
[000:28:30;375] GO ABOVE AND BEYOND LIKE NO
[000:28:30;942] MATTER WHAT HE DOES FOR ANYONE.
[000:28:32;977] >> AW.
[000:28:34;546] >> ESPECIALLY ME THOUGH.
[000:28:35;046] >> Reporter: AND TONIGHT IS THE
[000:28:37;182] BIG NIGHT, TY GIVING HIS HIGH
[000:28:38;683] SCHOOL SWEETHEART HER CORSAGE.
[000:28:39;284] THIS COUPLE GIVING A NEW MEANING
[000:28:39;918] TO FALLING IN LOVE.
[000:28:47;125] ABC NEWS, WASHINGTON.
[000:28:48;026] >> GLAD SHE SAID YES AND GLAD HE
[000:28:53;131] LANDED.
[000:28:53;364] "GMA" IN THE MORNING.
[000:28:55;533] HAVE A GREAT EVENING.
[000:28:55;900] Are allergies holding you back?
[000:29:07;145] Break through your allergies.
[000:29:08;480] Try New Flonase Sensimist
[000:29:08;480] instead of allergy pills.
[000:29:11;850] It's more complete allergy
[000:29:11;850] relief in a gentle mist
[000:29:15;186] you may not even notice.
[000:29:16;087] Using unique MistPro technology,
[000:29:18;356] New Flonase Sensimist delivers
[000:29:18;356] a gentle mist to help block
[000:29:21;526] six key inflammatory substances
[000:29:21;526] that cause your symptoms.
[000:29:24;496] Most allergy pills
[000:29:24;496] only block one.
[000:29:27;165] And six is greater than one.
[000:29:29;100] Break through your allergies.
[000:29:30;535] New Flonase Sensimist
[000:30:06;471] >> I'M KAREN ROGERS.
[000:30:07;605] >> AND I'M MELISSA MAGEE,
[000:30:08;740] TONIGHT ON FYI PHILLY.
[000:30:11;309] >> IT'S TIME TO GET HOPPING
[000:30:12;777] FOR THE 86TH ANNUAL EASTER
[000:30:13;444] PROMENADE.
[000:30:14;946] >> A FLOWER MARKET!
[000:30:16;281] >> WE MEET A DESIGNER CREATING
[000:30:17;549] THE ETERNAL SPRING.
[000:30:19;984] >> PHILADELPHIA'S SO-CALLED
[000:30:21;219] SEAFOOD WHISPERER HAS A NEW
[000:30:22;220] HOME IN HADDONFIELD.
[000:30:24;355] >> AFTER THE MEAL, WE DEVOUR
[000:30:25;957] HAND-CRAFTED DESSERTS
[000:30:28;159] >> AND WE'RE BACKSTAGE ON
[000:30:29;260] BROADWAY  FAMILY-FRIENDLY
[000:30:29;894] SHOWS HEADED TO PHILLY.
[000:30:34;999] >> HI EVERYONE AND WELCOME TO
[000:30:35;767] FYI PHILLY!
[000:30:37;869] >> WE ARE GETTING INTO THE
[000:30:39;137] SPIRIT OF SPRING WITH THIS
[000:30:40;305] GORGEOUS FLORAL WALL.
[000:30:42;040] >> TIME TO STEP AND REPEAT
[000:30:46;678] >> AND TIME TO GET HOPPING!
[000:30:47;946] EASTER'S ON ITS WAY.
[000:30:49;480] >> AND FOR PHILADELPHIA, THERE
[000:30:50;748] IS A LONG TRADITION OF
[000:30:51;382] CELEBRATING.
[000:30:52;483] >> WE'RE TALKING ABOUT THE
[000:30:53;818] EASTER PROMENADE NOW IN ITS
[000:30:54;552] 86TH YEAR.
[000:30:55;587] >> SO BREAK OUT THOSE FANCY
[000:30:57;188] BONNETS AND SUNDAY BEST AND
[000:30:58;590] MEET ME ON SOUTH STREET.
