[000:00:01;685] APPRECIATE YOUR TIME.
[000:12:53;522] ERIC FRAZIER, THE MARINE VET WHO
[000:12:55;057] DROVE BOTH JIMMY AND SHELDON TO
[000:12:56;625] THE HOSPITAL, IT TURNS OUT THAT
[000:12:58;160] MARINE VET RUSHED A DOZEN
[000:12:59;728] VICTIMS TO THE E.R. THAT NIGHT.
[000:13:02;765] AND TONIGHT, THE SURVIVOR'S
[000:13:04;900] FAMILY AND THE HERO'S FAMILY,
[000:13:07;002] ALL TOGETHER AFTER THE HORROR.
[000:13:07;603] AND BY THE WAY, SHELDON'S DAD
[000:13:09;939] TOLD US TONIGHT THAT HIS SON
[000:13:12;708] TOLD HIS HERO, JIMMY, HE'S GOING
[000:13:13;876] TO MAKE GOOD ON THAT PROMISE OF
[000:13:14;877] A BEER, AND SOON.
[000:13:16;946] >>> AND WHILE THE PRESIDENT WAS
[000:13:18;514] HERE IN LAS VEGAS TODAY, HE WAS
[000:13:20;816] ALSO ASKED ABOUT SOMETHING ELSE.
[000:13:21;617] ABOUT A REPORT THAT HIS
[000:13:22;585] SECRETARY OF STATE, REX
[000:13:24;153] TILLERSON, CALLED THE PRESIDENT
[000:13:25;688] A MORON AFTER A NATIONAL
[000:13:26;255] SECURITY MEETING.
[000:13:28;390] THE PRESIDENT'S RESPONSE TODAY,
[000:13:30;860] AND THE SECRETARY OF STATE, REX
[000:13:31;494] TILLERSON HIMSELF, COMING BEFORE
[000:13:32;495] THE CAMERAS TODAY.
[000:13:36;131] HERE'S ABC'S CHIEF GLOBAL
[000:13:36;665] AFFAIRS CORRESPONDENT MARTHA
[000:13:37;266] RADDATZ TONIGHT.
[000:13:40;269] >> Reporter: SECRETARY OF STATE
[000:13:42;705] REX TILLERSON TODAY MAKING A
[000:13:44;673] RARE, IMPROMPTU APPEARANCE.
[000:13:45;875] >> THERE ARE SOME NEWS REPORTS
[000:13:46;509] THIS MORNING THAT I WANT TO
[000:13:47;309] ADDRESS.
[000:13:47;543] >> Reporter: A REPORT ROCKETING
[000:13:48;177] AROUND WASHINGTON.
[000:13:49;912] NBC NEWS REPORTING TILLERSON HAD
[000:13:52;982] CALLED TRUMP A "MORON" LAST
[000:13:53;916] JULY, AFTER A NATIONAL SECURITY
[000:13:55;651] TEAM MEETING, AND WAS THEN ON
[000:13:57;920] THE VERGE OF RESIGNING.
[000:13:58;754] >> THE VICE PRESIDENT HAS NEVER
[000:14:01;891] HAD TO PERSUADE ME TO REMAIN AS
[000:14:02;858] SECRETARY OF STATE, BECAUSE I
[000:14:03;459] HAVE NEVER CONSIDERED LEAVING
[000:14:04;059] THIS POST.
[000:14:06;529] >> Reporter: AND THAT REPORT OF
[000:14:07;162] CALLING THE PRESIDENT A MORON?
[000:14:08;631] >> CAN YOU ADDRESS THE MAIN
[000:14:10;199] HEADLINE OF THIS STORY, THAT YOU
[000:14:11;734] CALLED THE PRESIDENT A MORON?
[000:14:13;235] AND IF NOT, WHERE DO YOU THINK
[000:14:13;869] THESE REPORTS ARE --
[000:14:16;405] >> I'M NOT GOING TO DEAL WITH
[000:14:17;006] PETTY STUFF LIKE THAT.
[000:14:18;541] I'M JUST NOT GOING TO BE PART OF
[000:14:19;508] THIS EFFORT TO DIVIDE THIS
[000:14:20;809] ADMINISTRATION.
[000:14:23;145] >> Reporter: NOT A FLAT-OUT
[000:14:23;712] DENIAL, BUT HIS SPOKESPERSON
[000:14:27;383] LATER, MORE DEFINITIVE.
[000:14:27;883] >> HE DID NOT SAY THAT.
[000:14:29;919] >> Reporter: THE FULL COURT
[000:14:30;486] PRESS PLEASING THE PRESIDENT.
[000:14:31;086] >> YEAH, I'M VERY HONORED BY HIS
[000:14:31;720] COMMENTS.
[000:14:31;987] IT WAS FAKE NEWS.
[000:14:33;956] IT WAS A TOTALLY PHONY STORY.
[000:14:36;158] THANK YOU VERY MUCH.
[000:14:36;592] IT WAS MADE UP BY NBC.
[000:14:37;259] THEY JUST MADE IT UP.
[000:14:37;760] THANK YOU, ALL.
[000:14:40;195] >> DO YOU HAVE CONFIDENCE IN
[000:14:41;897] REX?
[000:14:42;631] >> TOTAL CONFIDENCE IN REX.
[000:14:44;199] >> Reporter: BUT TRUMP AND
[000:14:44;767] TILLERSON HAVE APPEARED AT ODDS
[000:14:45;401] WITH ONE ANOTHER RECENTLY.
[000:14:45;935] JUST LAST WEEKEND, AFTER
[000:14:48;971] TILLERSON SAID DIALOGUE WITH
[000:14:49;572] NORTH KOREA WAS POSSIBLE, TRUMP
[000:14:53;576] TWEETING, "I TOLD REX TILLERSON,
[000:14:54;209] OUR WONDERFUL SECRETARY OF
[000:14:55;244] STATE, THAT HE IS WASTING HIS
[000:14:56;211] TIME TRYING TO NEGOTIATE WITH
[000:14:59;815] LITTLE ROCKET MAN.
[000:15:00;215] SAVE YOUR ENERGY, REX.
[000:15:01;450] WE'LL DO WHAT HAS TO BE DONE."
[000:15:04;019] >> AND SO MARTHA, A VERY PUBLIC
[000:15:05;888] STATEMENT OF LOYALTY FROM REX
[000:15:07;156] TILLERSON, BUT A LEADING
[000:15:08;857] REPUBLICAN SENATOR DID SAY TODAY
[000:15:10;292] THAT TILLERSON HASN'T ALWAYS HAD
[000:15:12;361] THE BACKING HE DESERVES?
[000:15:13;395] >> Reporter: THAT'S EXACTLY
[000:15:13;963] RIGHT, DAVID.
[000:15:14;964] REPUBLICAN SENATOR BOB CORKER,
[000:15:16;999] CHAIRMAN OF THE FOREIGN
[000:15:17;499] RELATIONS COMMITTEE, SAID
[000:15:20;135] TILLERSON ISN'T GETTING THE
[000:15:20;703] SUPPORT HE NEEDS FROM THE
[000:15:22;237] ADMINISTRATION, ADDING THAT
[000:15:24;840] TILLERSON, SECRETARY MATTIS AND
[000:15:25;474] JOHN KELLY ARE THE PEOPLE WHO,
[000:15:27;376] QUOTE, HELP SEPARATE OUR COUNTRY
[000:15:28;010] FROM CHAOS.
[000:15:29;511] DAVID?
[000:15:31;547] >> MARTHA RADDATZ WITH US
[000:15:32;548] TONIGHT.
[000:15:32;781] THANK YOU, MARTHA.
[000:15:35;517] >>> WE ARE ALSO FOLLOWING TWO
[000:15:37;620] NEW TROPICAL SYSTEMS BREWING
[000:15:38;220] TONIGHT.
[000:15:38;721] ONE OF THEM GROWING STRONGER.
[000:15:39;321] AND AT THIS HOUR, ON TRACK TO
[000:15:40;322] MAKE LANDFALL IN THE U.S. ON
[000:15:40;923] SUNDAY.
[000:15:42;992] LET'S GET RIGHT TO METEOROLOGIST
[000:15:43;626] ROB MARCIANO.
[000:15:43;959] ROB?
[000:15:44;994] >> Reporter: HEY, DAVID.
[000:15:46;462] THEY ARE BOTH PRETTY CLOSE TO
[000:15:47;062] HOME.
[000:15:48;063] THE ONE NEAR FLORIDA IS GOING TO
[000:15:49;898] SPIN SHOWERS IN THAT DIRECTION.
[000:15:50;799] BUT WE DON'T EXPECT MUCH IN THE
[000:15:51;433] WAY OF DEVELOPMENT THERE, JUST
[000:15:53;235] HEAVY RAIN.
[000:15:53;535] WHAT WILL DEVELOP AND STRENGTHEN
[000:15:54;870] IS THIS DISTURBANCE SOUTH OF THE
[000:15:56;939] HONDURAS/NICARAGUA BORDER BY 180
[000:15:58;440] MILES.
[000:16:01;377] WE NOW HAVE TROPICAL STORM
[000:16:01;910] WARNINGS UP FOR THOSE TWO
[000:16:02;444] COUNTRIES, AS THIS THING
[000:16:03;512] STRENGTHENS AND HEADS INTO THE
[000:16:05;881] GULF OF MEXICO, POTENTIALLY AS A
[000:16:06;515] CATEGORY 1 HURRICANE ON
[000:16:07;583] SATURDAY, MAKING LANDFALL ON
[000:16:08;617] SUNDAY.
[000:16:08;851] BUT OUR COMPUTER MODELS ALL OVER
[000:16:09;485] THE PLACE.
[000:16:10;719] ANYWHERE FROM EAST TEXAS TO WEST
[000:16:12;354] FLORIDA NEED TO BE WARY OF THIS
[000:16:13;322] STORM.
[000:16:13;522] DAVID?
[000:16:14;923] >> ALL RIGHT, WE'RE WATCHING.
[000:16:15;524] ROB, THANK YOU.
[000:16:16;992] >>> THERE IS STILL MUCH MORE
[000:16:17;893] AHEAD ON "WORLD NEWS TONIGHT"
[000:16:20;162] THIS WEDNESDAY.
[000:16:20;829] THE MOTHER OF TWO BEHIND BARS
[000:16:21;430] TONIGHT, ORDERED TO SPEND A WEEK
[000:16:23;165] IN JAIL.
[000:16:23;399] HER DEFIANT SHOWDOWN WITH A
[000:16:24;767] JUDGE, REFUSING A COURT ORDER TO
[000:16:25;868] VACCINATE HER SON.
[000:16:27;436] WE WANT YOUR OPINION ON THIS
[000:16:29;872] ONE.
[000:16:31;040] >>> ALSO, NEWLY RELEASED
[000:16:31;573] SURVEILLANCE TONIGHT IN NEW YORK
[000:16:32;207] CITY.
[000:16:32;408] THE BOMB SUSPECT ALLEGEDLY
[000:16:33;108] CARRYING TWO CONCEALED DEVICES
[000:16:35;711] THROUGH ONE OF THE BUSIEST TRAIN
[000:16:36;345] STATIONS IN AMERICA.
[000:16:37;913] >>> AND THE CHEMICAL PLANT
[000:16:38;480] EXPLOSION.
[000:16:40;849] SMOKE AND FLAMES FILLING THE
[000:16:41;450] AIR.
[000:16:41;617] FAMILIES TOLD TO STAY INDOORS.
[000:16:44;553] NEWS COMING IN AT THIS HOUR.
[000:16:45;621] ial,
[000:16:47;122] but maybe not for people with
[000:16:47;122] rheumatoid arthritis.
[000:16:49;992] Because there are options.
[000:16:51;527] Like an "Unjection™".
[000:16:52;961] XELJANZ XR.
[000:16:54;196] A once daily pill for adults
[000:16:55;631] with moderate to severe RA
[000:16:57;266] for whom methotrexate
[000:16:58;333] did not work well.
[000:16:59;334] XELJANZ XR can reduce pain,
[000:17:01;437] swelling and further
[000:17:01;437] joint damage,
[000:17:03;305] even without methotrexate.
[000:17:04;907] XELJANZ XR can lower your
[000:17:04;907] ability to fight infections,
[000:17:07;910] including tuberculosis.
[000:17:09;478] Serious, sometimes fatal
[000:17:09;478] infections, lymphoma
[000:17:11;914] and other cancers have happened.
[000:17:13;615] Don't start XELJANZ XR
[000:17:13;615] if you have an infection.
[000:17:16;251] Tears in the stomach
[000:17:16;251] or intestines,
[000:17:18;020] low blood cell counts
[000:17:19;221] and higher liver tests
[000:17:20;322] and cholesterol levels
[000:17:20;322] have happened.
[000:17:22;091] Your doctor should perform blood
[000:17:22;091] tests before you start
[000:17:24;626] and while taking XELJANZ XR,
[000:17:26;462] and monitor certain liver tests.
[000:17:28;297] Tell your doctor if you
[000:17:28;297] were in a region
[000:17:29;832] where fungal infections
[000:17:29;832] are common
[000:17:31;433] and if you have had TB,
[000:17:32;601] hepatitis B or C,
[000:17:33;836] or are prone to infections.
[000:17:35;537] Needles.
[000:17:36;238] A must for vinyl.
[000:17:37;506] But for you,
[000:17:38;373] one pill a day
[000:17:39;241] may provide symptom relief.
[000:17:40;876] Ask your doctor
[000:17:40;876] about XELJANZ XR.
[000:17:43;278] An "Unjection™".
[000:17:45;681] eight hundred dollars when wet
[000:17:46;849] switched our auto and
[000:17:46;849] home insurance.
[000:17:48;217] With Liberty, we could afford
[000:17:49;485] a real babysitter instead
[000:17:49;485] of your brother.
[000:17:51;520] Hey.
[000:17:52;387] Oh. That's my robe.
[000:17:54;022] Is it?
[000:17:55;124] You could save seven hundred
[000:17:55;124] eighty two dollars
[000:17:56;492] when Liberty stands with you.
[000:17:57;793] LIBERTY MUTUAL INSURANCE.
[000:17:59;862] ...What are you doing??
[000:18:00;963] I thought you had a cold?
[000:18:02;297] I don't need all this.
[000:18:03;665] Mucinex Fast-Max can handle
[000:18:03;665] pretty much every symptom.
[000:18:03;665] Even...
[000:18:07;436] Yea - I can read, you know.
[000:18:08;971] Ahhh!
[000:18:09;638] Mucinex Fast-Max.
[000:18:10;806] 9 symptoms. 1 dose.
[000:18:10;806] Max strength.
[000:18:13;142] Let's End This.
[000:18:30;359] ♪ Stare with me into the abyss
[000:18:33;762] ( ♪ )
[000:18:49;311] >>> NEXT, TO THE NATIONWIDE
[000:18:49;878] DEBATE TONIGHT.
[000:18:50;379] THE MOTHER SENTENCED TO ONE WEEK
[000:18:53;882] IN JAIL AFTER DEFYING A JUDGE'S
[000:18:55;250] ORDER TO VACCINATE HER
[000:18:55;784] 9-YEAR-OLD SON.
[000:18:56;285] HERE'S ABC'S ERIELLE RESHEF.
[000:19:00;155] >> I'M A PASSIONATE MOTHER WHO
[000:19:01;089] CARES DEEPLY ABOUT MY CHILDREN,
[000:19:01;723] THEIR HEALTH, AND THEIR
[000:19:02;224] WELLBEING.
[000:19:02;724] >> Reporter: TONIGHT, THIS
[000:19:03;292] MICHIGAN MOM OF TWO IS HEADED TO
[000:19:06;295] JAIL, HELD IN CONTEMPT FOR
[000:19:06;862] DELIBERATELY DISOBEYING A COURT
[000:19:09;031] ORDER TO VACCINATE HER
[000:19:09;531] 9 1/2-YEAR-OLD SON.
[000:19:13;001] >> IF MY CHILD IS GOING TO BE
[000:19:13;602] FORCED TO BE VACCINATED, I
[000:19:14;570] COULDN'T BRING MYSELF TO DO.
[000:19:16;605] >> Reporter: REBECCA BREDOW
[000:19:17;172] PLEADING HER CASE BEFORE A
[000:19:17;739] JUDGE, SAYING SHE AND HER
[000:19:19;308] EX-HUSBAND AGREED TO SPACE OUT
[000:19:21;410] AND ULTIMATELY SUSPEND THEIR
[000:19:22;010] SON'S VACCINES.
[000:19:23;979] >> WE'VE ALWAYS SHARED THE SAME
[000:19:25;514] BELIEFS ON VACCINATIONS UNTIL
[000:19:26;982] RECENTLY.
[000:19:27;583] >> Reporter: THE JUDGE SAYING
[000:19:28;183] THAT BOY WILL BE VACCINATED
[000:19:29;885] WHILE BREDOW IS IN JAIL.
[000:19:31;220] >> OKAY, MA'AM, I'M GOING TO
[000:19:31;820] STOP YOU.
[000:19:35;123] BECAUSE THE TRUTH MATTERS TO ME.
[000:19:37;392] I UNDERSTAND YOU LOVE YOUR
[000:19:37;960] CHILDREN, BUT WHAT I DON'T THINK
[000:19:38;994] YOU UNDERSTAND IS THAT YOUR SON
[000:19:39;628] HAS TWO PARENTS.
[000:19:42;664] AND DAD GETS A SAY.
[000:19:44;132] >> Reporter: WHILE THE STATE OF
[000:19:44;766] MICHIGAN DOES ALLOW PARENTS TO
[000:19:46;235] OPT THEIR CHILDREN OUT OF
[000:19:47;202] CERTAIN VACCINATIONS, BOTH
[000:19:47;769] PARENTS MUST AGREE.
[000:19:49;938] THE AMERICAN ACADEMY OF
[000:19:50;973] PEDIATRICS SAYS "VACCINES ARE
[000:19:52;441] SAFE, VACCINES ARE EFFECTIVE,
[000:19:54;009] VACCINES SAVE LIVES."
[000:19:56;979] DAVID, REBECCA BREDOW'S
[000:19:57;880] EX-HUSBAND WAS GRANTED TEMPORARY
[000:20:00;716] CUSTODY OF THEIR SON WHILE SHE
[000:20:01;350] SERVES HER SEVEN-DAY JAIL
[000:20:01;884] SENTENCE.
[000:20:02;417] SHE IS EXPECTED TO BE BACK IN
[000:20:04;386] COURT NEXT WEEK.
[000:20:05;888] DAVID?
[000:20:06;088] >> ERIELLE, THANK YOU.
[000:20:06;588] >>> WHEN WE COME BACK HERE
[000:20:08;991] TONIGHT, YOUR MONEY.
[000:20:09;558] DID A MAJOR COMPANY CASH IN ON
[000:20:10;192] THAT SECURITY BREACH INVOLVING
[000:20:10;826] YOUR INFORMATION?
[000:20:12;694] >>> THE EXPLOSION TONIGHT.
[000:20:14;329] FAMILIES ORDERED TO SHELTER IN
[000:20:14;963] PLACE.
[000:20:16;832] >>> AND NEWLY RELEASED
[000:20:17;332] SURVEILLANCE.
[000:20:18;467] THE BOMB SUSPECT IN ONE OF NEW
[000:20:19;101] YORK CITY'S BUSIEST TRAIN
[000:20:19;568] YORK CITY'S BUSIEST TRAIN
[000:20:19;568] STATIONS.
[000:20:22;037] Every day
[000:20:24;006] YORK CITY'S BUSIEST TRAIN
[000:20:24;006] STATIONS.
[000:20:24;006] people are fighting
[000:20:24;006] type 2 diabetes...
[000:20:25;941] with Fitness...
[000:20:26;975] Food...
[000:20:27;843] And the pill that
[000:20:27;843] starts with F.
[000:20:29;745] FARXIGA, along with
[000:20:29;745] diet and exercise,
[000:20:32;114] helps lower blood sugar
[000:20:32;114] in adults with type 2 diabetes.
[000:20:35;250] Lowering A1C by
[000:20:35;250] up to 1.2 points.
[000:20:39;288] Do not take if
[000:20:39;288] allergic to FARXIGA.
[000:20:40;956] If you experience symptoms
[000:20:40;956] of a serious allergic reaction
[000:20:43;425] such as rash, swelli,
[000:20:45;060] difficulty breathing
[000:20:45;060] or swallowing,
[000:20:46;561] stop taking and seek
[000:20:46;561] medical help right away.
[000:20:48;797] Do not take FARXIGA
[000:20:48;797] if you have severe
[000:20:50;465] kidney problems,
[000:20:50;465] are on dialysis,
[000:20:52;401] or have bladder cancer.
[000:20:53;669] Tell your doctor right away
[000:20:53;669] if you have blood or
[000:20:55;237] red color in your urine
[000:20:55;237] or pain while you urinate.
[000:20:57;973] FARXIGA can cause
[000:20:57;973] serious side effects
[000:20:59;841] including dehydration,
[000:21:00;943] genital yeast infections
[000:21:00;943] in women and men,
[000:21:03;045] serious urinary tract
[000:21:03;045] infections,
[000:21:04;846] low blood sugar,
[000:21:04;846] and kidney problems.
[000:21:07;082] Stop taking FARXIGA and
[000:21:07;082] call your doctor right away
[000:21:09;184] if you have signs
[000:21:09;184] of ketoacidosis
[000:21:11;286] which is serious
[000:21:11;286] and may lead to death.
[000:21:13;455] Ask your doctor about
[000:21:13;455] the pill that starts with F
[000:21:15;724] and visit FARXIGA.com
[000:21:15;724] for savings.
[000:21:18;226] If you can't afford
[000:21:18;226] your medication,
[000:21:19;928] AstraZeneca may
[000:21:19;928] be able to help.
[000:21:24;299] ...there's something you
[000:21:24;299] to smay be missing.
[000:21:26;501] A key part of your wellness
[000:21:26;501] that you may be...
[000:21:28;770] ...overlooking.
[000:21:29;705] ♪
[000:21:33;642] It's your eyes.
[000:21:35;377] That's why there's Ocuvite,
[000:21:36;845] from Bausch + Lomb.
[000:21:37;946] As you age your eyes can lose
[000:21:37;946] vital nutrients.
[000:21:40;582] Ocuvite helps replenish those
[000:21:40;582] nutrients.
[000:21:42;918] Ocuvite has Lutein, Zeaxanthin,
[000:21:42;918] and Omega-3.
[000:21:46;154] Nourish your eyes to help them
[000:21:46;154] be their healthy best.
[000:21:48;790] Ocuvite eye vitamins.
[000:21:50;492] Be good to your eyes.
[000:21:53;762] Whentrust the brand doctors
[000:21:53;762] trust for themselves.
[000:21:55;864] Nexium 24HR is the number one
[000:21:55;864] choice of doctors
[000:21:59;034] and pharmacists for their
[000:21:59;034] own frequent heartburn.
[000:22:01;470] And all day
[000:22:01;470] all night protection.
[000:22:03;638] When it comes to frequent
[000:22:03;638] heartburn, trust Nexium 24HR.
[000:22:08;210] when I was too busy with the
[000:22:09;011] kids to get a repair estimate.
[000:22:10;412] I just snapped a photo
[000:22:11;380] and got an estimate in 24 hours.
[000:22:14;082] My insurance company
[000:22:14;916] definitely doesn't have that...
[000:22:17;319] You can leave worry behind when
[000:22:18;920] Liberty Stands With You™.
[000:22:20;389] Liberty Mutual Insurance.
[000:22:24;693] I even accept I have a
[000:22:24;693] higher risk of stroke
[000:22:24;693] as far as I used to.
[000:22:26;728] due to AFib,
[000:22:27;729] a type of
[000:22:27;729] irregular heartbeat
[000:22:28;730] not caused by a
[000:22:28;730] heart valve problem.
[000:22:30;732] But no matter
[000:22:30;732] where I ride,
[000:22:32;401] I go for my best.
[000:22:33;735] So if there's something
[000:22:33;735] better than warfarin,
[000:22:35;737] I'll go for that too.
[000:22:36;838] ELIQUIS.
[000:22:38;373] ELIQUIS reduced
[000:22:38;373] the risk of stroke
[000:22:40;375] better than warfarin,
[000:22:41;710] plus had less
[000:22:41;710] major bleeding
[000:22:43;045] than warfarin.
[000:22:44;246] ELIQUIS had both.
[000:22:45;747] Don't stop taking ELIQUIS
[000:22:46;882] unless your doctor
[000:22:46;882] tells you to,
[000:22:48;417] as stopping increases your
[000:22:48;417] risk of having a stroke.
[000:22:50;752] ELIQUIS can cause serious and
[000:22:50;752] in rare cases fatal bleeding.
[000:22:54;423] Don't take ELIQUIS if you
[000:22:54;423] have an artificial heart valve
[000:22:57;092] or abnormal bleeding.
[000:22:58;427] While taking ELIQUIS,
[000:22:59;394] you may bruise more easily...
[000:23:00;762] ...and it may take
[000:23:00;762] longer than usual
[000:23:02;097] for any bleeding to stop.
[000:23:03;765] Seek immediate
[000:23:03;765] medical care
[000:23:04;933] for sudden signs
[000:23:04;933] of bleeding,
[000:23:06;268] like unusual bruising.
[000:23:07;736] ELIQUIS may increase
[000:23:07;736] your bleeding risk
[000:23:09;371] if you take
[000:23:09;371] certain medicines.
[000:23:10;939] Tell your doctor about
[000:23:12;040] all planned medical
[000:23:12;040] or dental procedures.
[000:23:14;242] I'm still going
[000:23:14;242] for my best.
[000:23:16;411] And for ELIQUIS.
[000:23:18;113] Ask your doctor
[000:23:18;113] about ELIQUIS.
[000:23:20;282] ♪
[000:23:25;887] >>> TO THE INDEX.
[000:23:26;588] THE CHEMICAL PLANT EXPLOSION IN
[000:23:28;190] KINGSPORT, TENNESSEE.
[000:23:29;724] VIDEO SHOWING THE ERUPTION OF
[000:23:30;325] SMOKE AND FIRE AT THE EASTMAN
[000:23:30;926] CHEMICAL COMPANY.
[000:23:33;995] EMPLOYEES URGED TO SHELTER IN
[000:23:34;596] PLACE.
[000:23:34;930] NEIGHBORS TOLD TO STAY INDOORS.
[000:23:35;964] NO INJURIES REPORTED.
[000:23:37;566] >>> NEWLY RELEASED SURVEILLANCE
[000:23:40;669] OF THE ALLEGED NEW YORK CITY
[000:23:43;171] BOMBER.
[000:23:43;572] PROSECUTORS SAY AHMAD ARAHIMI I
[000:23:47;109] SEEN CARRYING TWO EXPLOSIVE
[000:23:49;211] DEVICES CONCEALED IN DUFFLE
[000:23:51;613] BALLS THROUGH A VERY CROWDED
[000:23:53;315] PENN STATION.
[000:23:53;648] ONE OF THE PRESSURE COOKER
[000:23:54;349] BOMBING EXPLODING ON THE STREET
[000:23:54;983] ABOUT AN HOUR LATER.
[000:23:55;450] >>> TONIGHT, EQUIFAX ACCUSED OF
[000:23:56;084] PROFITING FROM THAT MASSIVE
[000:23:56;651] SECURITY BREACH.
[000:23:57;018] SENATOR ELIZABETH WARREN
[000:23:59;154] GRILLING FORMER CEO RICHARD
[000:24:01;223] SMITH ON CAPITOL HILL, SAYING
[000:24:04;025] EQUIFAX COULD MAKE MORE THAN
[000:24:05;594] $200 MILLION IN REVENUE, IF JUST
[000:24:07;295] 1 MILLION CUSTOMERS BUY CREDIT
[000:24:09;064] MONITORING AFTER THE BREACH.
[000:24:09;631] THE FORMER CEO ADMITTING MANY
[000:24:10;499] AMERICANS OFTEN BUY THAT
[000:24:11;032] PROTECTION AFTER BREACHES.
[000:24:11;566] >>> WHEN WE COME BACK TONIGHT,
[000:24:12;200] YOU HAVE TO HEAR IT.
[000:24:12;634] THE SONG THAT MOVED EVERYONE
[000:24:13;235] HERE IN LAS VEGAS.
[000:24:18;006] Patrick woke up
[000:24:18;006] with a sore back.
[000:24:24;112] But he's got work to do.
[000:24:25;947] So he took Aleve this morning.
[000:24:30;652] If he'd taken Tylenol,
[000:24:31;887] he'd be stopping for
[000:24:31;887] more pills right now.
[000:24:34;856] Only Aleve has the
[000:24:34;856] strength to stop tough pain
[000:24:37;492] for up to 12 hours
[000:24:37;492] with just one pill.
[000:24:40;562] Tylenol can't do that.
[000:24:42;998] Aleve. All Day Strong.
[000:24:42;998] All Day Long.
[000:24:47;402] Check this Sunday's paper
[000:24:48;670] for extra savings on
[000:24:48;670] products from Aleve.
[000:24:53;608] I have no idea how we're going
[000:24:53;608] to get through this.
[000:24:55;177] Follow me.
[000:24:57;012] UnitedHealthcare has the people
[000:24:57;012] and tools
[000:24:59;881] to help guide you through the
[000:24:59;881] confusion.
[000:25:02;717] Well that wasn't so bad at all.
[000:25:04;186] That's how we like it.
[000:25:05;387] UnitedHealthcare.
[000:25:08;223] WHEN YOU'RE CLOSE TO
[000:25:08;223] THE PEOPLE YOU LOVE,
[000:25:11;760] DOES PSORIASIS EVER GET IN
[000:25:11;760] THE WAY OF A TOUCHING MOMENT?
[000:25:15;697] IF YOU HAVE MODERATE
[000:25:15;697] TO SEVERE PSORIASIS,
[000:25:18;233] YOU CAN EMBRACE
[000:25:18;233] THE CHANCE
[000:25:19;568] OF COMPLETELY CLEAR
[000:25:19;568] SKIN WITH TALTZ.
[000:25:22;470] TALTZ IS PROVEN TO GIVE YOU A
[000:25:22;470] CHANCE AT COMPLETELY CLEAR SKIN.
[000:25:26;074] WITH TALTZ, UP TO
[000:25:26;074] 90% OF PATIENTS
[000:25:28;577] HAD A SIGNIFICANT IMPROVEMENT
[000:25:28;577] OF THEIR PSORIASIS PLAQUES.
[000:25:31;813] IN FACT, 4 OUT OF 10 EVEN
[000:25:31;813] ACHIEVED COMPLETELY CLEAR SKIN.
[000:25:36;551] DO NOT USE IF YOU ARE
[000:25:36;551] ALLERGIC TO TALTZ.
[000:25:38;720] BEFORE STARTING YOU
[000:25:38;720] SHOULD BE CHECKED
[000:25:38;720] FOR TUBERCULOSIS.
[000:25:41;289] TALTZ MAY INCREASE YOUR
[000:25:41;289] RISK OF INFECTIONS
[000:25:43;391] AND LOWER YOUR ABILITY
[000:25:43;391] TO FIGHT THEM.
[000:25:45;393] TELL YOUR DOCTOR IF
[000:25:45;393] YOU ARE BEING TREATED
[000:25:47;028] FOR AN INFECTION
[000:25:47;028] OR HAVE SYMPTOMS.
[000:25:48;897] OR IF YOU HAVE RECEIVED
[000:25:48;897] A VACCINE OR PLAN TO.
[000:25:51;600] INFLAMMATORY BOWEL DISEASE
[000:25:51;600] CAN HAPPEN WITH TALTZ.
[000:25:54;035] INCLUDING WORSENING
[000:25:54;035] OF SYMPTOMS.
[000:25:55;804] SERIOUS ALLERGIC
[000:25:55;804] REACTIONS CAN OCCUR.
[000:25:58;773] NOW'S YOUR CHANCE AT
[000:25:58;773] COMPLETELY CLEAR SKIN.
[000:26:02;077] JUST ASK YOUR
[000:26:02;077] DOCTOR ABOUT TALTZ.
[000:26:36;945] NOW'S YOUR CHANCE AT
[000:26:36;945] COMPLETELY CLEAR SKIN.
[000:26:38;179] I'm Val. The Orange Money
[000:26:38;179] retirement squirrel from Voya.
[000:26:40;448] I represent the money you save
[000:26:40;448] for the future.
[000:26:42;317] Who's he?
[000:26:43;518] He's the green money you can
[000:26:43;518] spend now. What's up?
[000:26:45;453] Gonna pay some bills, maybe buy
[000:26:45;453] a new tennis racket.
[000:26:47;822] He's got a killer backhand.
[000:26:49;324] When it's time to get organized
[000:26:49;324] for retirement, it's time to get
[000:26:49;324] Voya.
[000:26:53;662] Itwhat's possible.nk
[000:26:56;298] Rethink the experience.
[000:26:59;167] Rethink your allergy pills.
[000:27:01;903] Flonase Sensimist Allergy Relief
[000:27:03;972] uses unique MistPro Technology
[000:27:06;574] and helps block
[000:27:07;542] 6 key
[000:27:08;176] inflammatory
[000:27:08;176] substances
[000:27:09;678] with a
[000:27:09;678] gentle mist.
[000:27:10;945] Most allergy
[000:27:10;945] pills
[000:27:11;946] only block
[000:27:11;946] one.
[000:27:13;715] And 6 is greater
[000:27:14;549] than one.
[000:27:15;784] Rethink your
[000:27:15;784] allergy relief.
[000:27:18;353] Flonase Sensimist.
[000:27:21;189] ♪
[000:27:42;744] >>> FINALLY TONIGHT, AMERICA
[000:27:43;345] STRONG.
[000:27:43;745] WE SEE IT EVERYWHERE HERE, THE
[000:27:44;379] ACTS OF KINDNESS.
[000:27:47;449] ♪ AMAZING GRACE
[000:27:51;186] >> Reporter: ALL ACROSS LAS
