[000:00:00;15] THOSE  
[000:12:50;09] KNOW THE INDIVIDUAL OR  
[000:12:53;05] INDIVIDUAL'S ASSOCIATION.  
[000:12:53;29] BUT TO SPEAK MORE BROADLY  
[000:12:55;12] ONE WITH OF THE ISSUES THE  
[000:12:56;20] INTELLIGENCE COMMUNITY HAS  
[000:12:57;13] BEEN WRESTLING WITH,  
[000:12:58;21] ESPECIALLY IN THE LAST TWO  
[000:13:00;00] TO THREE YEARS IS THE  
[000:13:03;14] EMERGENCE OF WHAT THEY CALL  
[000:13:04;08] THE INDIVIDUAL ACTOR OR  
[000:13:05;15] SMALL CELLS.  
[000:13:06;28] THE PROBLEM WITH THAT IS  
[000:13:08;16] THAT IT IS VERY HARD TO  
[000:13:10;24] INTERCEPT COMMUNICATIONS.  
[000:13:11;24] THEY DON'T NECESSARILY USE  
[000:13:14;07] THE TRADITIONAL METHODS OF  
[000:13:15;02] TALKING TO EACH OTHER  
[000:13:16;09] WHICH HAS ALLOWED US TO  
[000:13:18;12] INTERCEPT OR TO BLOCK THESES OF EVENTS
[000:13:20;06] IN THE  
[000:13:21;06] PAST.  
[000:13:21;19] SO, I DON'T WANT TO GO DOWN  
[000:13:23;02] ONE ROAD AS TO A SPECIFIC  
[000:13:25;10] GROUP.  
[000:13:26;05] BUT THIS HAS BEEN SEEN AS  
[000:13:27;11] THE EMERGING THREAT.  
[000:13:28;21] THE INDIVIDUAL OR SMALL  
[000:13:30;15] CELL WHICH IS VERY HARD TO  
[000:13:32;22] INFILTRATE BY LAW  
[000:13:33;27] ENFORCEMENT.  
[000:13:34;13] IN THIS CASE THE FBI  
[000:13:36;23] SHEPARD.  
[000:13:37;07] >> Shepard: CATHERINE  
[000:13:37;28] HERRIDGE, OUR INTELLIGENCE  
[000:13:38;28] CORRESPONDENT LIVE IN  
[000:13:39;26] WASHINGTON.  
[000:13:40;12] WE WILL BE BACK TO HER AS  
[000:13:41;06] EVENTS WARRANT.  
[000:13:42;03] ON THE LEFT-HAND SIDE OF  
[000:13:42;25] YOUR SCREEN THE WESTIN  
[000:13:44;08] HOTEL ADVERTISEMENT THERE  
[000:13:45;07] IS ACTUALLY THE SCENE OF A  
[000:13:47;08] NEWS CONFERENCE WHICH WILL  
[000:13:49;03] HAPPEN CLEARLY AT THE  
[000:13:50;07] WESTIN AT COPLY PLACE IN  
[000:13:53;18] BOSTON WHICH FRANKLY ISN'T  
[000:13:54;22] FAR FROM THE SPOT WHERE ALL  
[000:13:55;23] OF THIS HAPPENED.  
[000:13:56;17] AUTHORITIES WERE TO BRIEF  
[000:13:57;16] US 13 MINUTES AGO.  
[000:13:58;17] THAT'S BEEN DISPLAYED FOR A  
[000:13:59;19] FEW MINUTES.  
[000:14:00;10] ALL I CAN TELL YOU IS WE  
[000:14:01;26] WILL TAKE YOU THERE WHEN IT  
[000:14:03;16] STARTS.  
[000:14:04;20] JOE DEFAZZIO WAS WORKING ON  
[000:14:06;08] COMMUNICATIONS AT THE RACE  
[000:14:07;13] AND WAS WORKING ON IT WHEN  
[000:14:08;20] THE EXPLOSION HAPPENED  
[000:14:09;23] THERE WAS ONE AS WE  
[000:14:11;10] REPORTED AND ANOTHER WHAT  
[000:14:12;19] APPEARED TO HIM TO BE THE  
[000:14:14;07] SAME INTENSITY.  
[000:14:15;13] SIR, IT'S NICE TO SPEAK  
[000:14:16;13] WITH YOU.  
[000:14:17;00] THANK YOU.  
[000:14:17;15] >> HI, SHEPARD, HOW ARE  
[000:14:18;29] YOU?  
[000:14:19;11] >> Shepard: I'M DOING  
[000:14:20;02] PRETTY WELL.  
[000:14:21;14] I'M CURIOUS THOUGH ABOUT  
[000:14:22;06] WHAT THAT SCENE WAS LIKE IN  
[000:14:24;06] THE SECONDS BETWEEN AND IN  
[000:14:25;11] THE SECONDS AFTER THE  
[000:14:27;20] SECOND.  
[000:14:28;04] >> OH, IT WAS JUST -- THIS  
[000:14:33;08] IS A UNIQUE BOSTON EVENT  
[000:14:35;22] MARATHON, RED SOX GAME UP  
[000:14:36;29] THE STREET.  
[000:14:37;20] AND WENT FROM A GREAT I DO  
[000:14:41;28] HORRIFIC DAY IN MOMENTS TO  
[000:14:42;22] BE HONEST WITH YOU.  
[000:14:48;21] I WAS 20 YARDS AWAY FROM  
[000:14:50;02] WHERE THE FIRST EXPLOSION  
[000:14:51;05] WENT OFF WAITING FOR  
[000:14:52;01] FRIENDS OF MINE.  
[000:14:53;06] LOOKING FOR THEM.  
[000:14:53;25] YOU HEARD THE FIRST  
[000:14:57;06] EXPLOSION.  
[000:14:57;21] IT SOUNDED LIKE A CANNON  
[000:14:58;15] WENT OFF.  
[000:14:59;05] I THOUGHT MAYBE, YOU KNOW,  
[000:15:01;25] BEING PATRIOT'S DAY I  
[000:15:03;25] THOUGHT MAYBE SOMEONE FIRED  
[000:15:04;20] A MUSKET AND I SAW THE  
[000:15:06;07] PLUME OF SMOKE AND I KNEW  
[000:15:07;10] SOMETHING WAS UP.  
[000:15:08;21] I THOUGHT MAYBE IT'S A GAS  
[000:15:10;21] EXPLOSION AND THEN MAYBE, I  
[000:15:11;23] DON'T KNOW, 10 TO 12  
[000:15:13;08] SECONDS LATER THE OTHER  
[000:15:15;25] EXPLOSION HAPPENED.  
[000:15:16;16] I KNEW -- YOU KNOW, I KNEW  
[000:15:18;28] IT WASN'T -- I KIND OF HAD  
[000:15:20;28] AN IDEA IT WAS A TERRORIST  
[000:15:22;09] ACT AT THAT POINT.  
[000:15:24;11] >> Shepard: JOE, WE WERE IN  
[000:15:25;05] THE MIDDLE OF "STUDIO B"  
[000:15:25;27] WHEN THIS HAPPENED THIS  
[000:15:26;29] AFTERNOON AND THE FIRST  
[000:15:28;07] VIDEO CAME IN.  
[000:15:29;03] WE SAW THE KIND OF PICTURES  
[000:15:30;17] THAT PEOPLE CAN FIND ON THE  
[000:15:31;20] INTERNET NOW.  
[000:15:32;08] BUT TO WHICH WE ARE NOT  
[000:15:33;22] GOING TO SUBJECT FAMILIES  
[000:15:34;27] AT FAMILY HOUR.  
[000:15:36;13] BUT I READ WITH INTEREST  
[000:15:38;04] YOUR DESCRIPTION OF WHAT  
[000:15:38;27] YOU WERE SEEING, THE  
[000:15:40;27] SPECIFICS THEREOF OF THOSE  
[000:15:43;08] WOUNDED.  
[000:15:43;22] IT SEEMS TO ME TO ELIMINATE  
[000:15:45;12] THAT FROM OUR REPORTING NOW  
[000:15:47;06] THOUGH WE WON'T SHOW THE  
[000:15:48;12] PICTURES WOULD DO  
[000:15:49;19] DISSERVICE TO THE FACTS.  
[000:15:50;14] I WONDER IF YOU WOULD TELL  
[000:15:51;13] US WHAT YOU WITNESSED.  
[000:15:52;14] >> WELL, WHEN THE INCIDENT  
[000:15:53;21] HAPPENED, YOU KNOW, A CREW  
[000:15:56;19] OF US WORKING AND I WAS THE  
[000:15:58;05] ONLY ONE THAT WAS OUTSIDE.  
[000:15:59;26] I RACED BACK TOWARDS THE  
[000:16:01;12] PUBLIC LIBRARY WHERE WE HAD  
[000:16:02;13] ALL OUR EQUIPMENT TO MAKE  
[000:16:03;27] SURE THAT THE GUYS WERE  
[000:16:05;10] OKAY.  
[000:16:05;23] AND THE POLICE RUSHING US  
[000:16:07;00] OUT OF THE LIBRARY BECAUSE  
[000:16:08;04] THEY THOUGHT THERE MIGHT BE  
[000:16:09;11] A DEVICE INSIDE THE  
[000:16:10;12] LIBRARY.  
[000:16:11;06] AND I LOOKED ACROSS THE  
[000:16:12;28] STREET AT THAT POINT AND IT  
[000:16:15;11] WAS JUST -- THE SIDEWALK  
[000:16:17;00] WAS, AGAIN WAS LIKE A SEA  
[000:16:18;13] OF BLOOD.  
[000:16:20;03] AND, I HUNG AROUND FOR A  
[000:16:22;07] FEW MOMENTS TO SEE IF I  
[000:16:23;10] COULD DO ANYTHING.  
[000:16:24;25] AND THE PROBLEM WAS HE --  
[000:16:28;15] THEY COULDN'T GET ANY  
[000:16:29;10] VEHICLES IN THERE BECAUSE  
[000:16:30;03] IT WAS COMPLETELY BLOCKED  
[000:16:31;15] OFF AS IT USUALLY IS  
[000:16:33;18] BECAUSE OF THE MASS OF  
[000:16:35;06] RUNNERS.  
[000:16:35;20] >> Shepard: THAT'S WHY WE  
[000:16:36;13] SAW SOME PEOPLE BEING  
[000:16:37;23] WHEELED AROUND IN  
[000:16:39;13] WHEELCHAIRS WITHOUT  
[000:16:40;23] AMBULANCES.  
[000:16:41;09] >> CORRECT.  
[000:16:41;25] THE RECOVERY TENT, WHICH  
[000:16:42;17] WAS, YOU KNOW, ABOUT MAYBE  
[000:16:44;21] 100 YARDS DOWN THE ROAD,  
[000:16:45;16] YOU KNOW, USED AS A  
[000:16:47;04] RECOVERY TENT AND BEING  
[000:16:48;12] USED AS ALMOST A MAKESHIFT  
[000:16:49;28] HOSPITAL AND THEY COULDN'T  
[000:16:52;28] GET VEHICLES IN THERE.  
[000:16:53;23] SO IN ORDER TO TRANSPORT  
[000:16:57;13] PEOPLE THAT WAS INJURED TO  
[000:16:58;11] GET THEM OUT OF THE AREA  
[000:16:59;12] THEY HAD TO, EXACTLY USE  
[000:17:01;03] THE WHEELCHAIR THAT THEY  
[000:17:02;07] USUALLY USE FOR RUNNERS  
[000:17:03;15] THAT ARE SUFFERING FROM  
[000:17:04;19] FATIGUE OR WHATEVER I MEAN,  
[000:17:08;13] YOU KNOW, JUST HORRIFIC  
[000:17:11;23] INJURIES.  
[000:17:12;08] MOST OF THEM WERE LOWER  
[000:17:13;06] BODY INJURIES TO BE HONEST  
[000:17:16;00] WITH YOU I DON'T KNOW WHAT  
[000:17:17;07] SHRAPNEL WAS THERE BUT IT  
[000:17:20;00] WAS AN UGLY SCENE.  
[000:17:23;02] >> YOU KNOW, IT WAS OUR  
[000:17:29;01] SENSE IN WATCHING THIS THAT  
[000:17:30;02] THERE WERE A LOT OF PEOPLE  
[000:17:31;11] TRYING TO RISE ABOVE AND  
[000:17:32;13] GIVE A HAND THERE AT THE  
[000:17:33;14] TIME.  
[000:17:33;27] IT WAS REMARKABLE TO WATCH.  
[000:17:38;02] >> I DON'T KNOW IF I DID  
[000:17:40;01] THAT IT WAS ALMOST LIKE AN  
[000:17:41;27] OUT-OF-BODY EXPERIENCE.  
[000:17:43;16] STUFF HAPPENS ALL OVER THE  
[000:17:44;19] WORLD AND YOU DON'T EXPECT  
[000:17:49;23] IT TO HAPPEN IN A CITY LIKE  
[000:17:51;21] BOSTON.  
[000:17:52;05] BUT IT CAN.  
[000:17:52;24] A GUY CAN JUST WALK DOWN  
[000:17:54;03] THE STREET AND PUT A  
[000:17:57;23] BACKPACK AND TRASH BARREL  
[000:18:00;02] AND BEFORE YOU KNOW IT AN  
[000:18:02;11] ENTIRE REGION IS JUST  
[000:18:04;03] BROUGHT TO GRIPS.  
[000:18:05;14] IT'S PRETTY SAD.  
[000:18:09;19] >> IT WAS CONFIRMED TO ADD  
[000:18:11;01] TO YOUR POINT WHAT WE HAVE  
[000:18:12;06] KNOWN TO THIS MOMENT IF YOU  
[000:18:14;12] GET ON TO GET ON A SUBWAY  
[000:18:15;24] IN BOSTON OR YOU ARE ON A  
[000:18:20;13] BUSY STREET CORNER YOU KNOW  
[000:18:21;28] SECURITY IS TIGHT AND THEY  
[000:18:23;01] ARE DOING WHAT THEY CAN DO.  
[000:18:25;20] IF SOMEBODY WANTS TO GET ON  
[000:18:27;08] THE SIX TRAIN IN NEW YORK  
[000:18:28;04] CITY WITH A BACKPACK ON  
[000:18:30;12] THEY CAN ALL DOO THAT WE  
[000:18:31;22] HAVE BEEN THANKFUL ALL  
[000:18:34;05] THESE YEARS SINCE THE  
[000:18:36;02] TERRORIST ATTACK ON OUR  
[000:18:37;07] NATION BEEN THANKFUL IT  
[000:18:38;11] HASN'T HAPPENED.  
[000:18:39;13] TODAY IT HAS.  
[000:18:42;12] WE KNEW IT COULD AND NOW IT  
[000:18:44;12] HAS.  
[000:18:44;24] >> NO QUESTION.  
[000:18:45;14] IT'S BEEN 12 YEARS AND I  
[000:18:47;00] THINK WE ALL LET OUR GUARD  
[000:18:48;10] DOWN TO A CERTAIN EXTENT.  
[000:18:49;19] I MEAN, YOU KNOW, -- COUPLE  
[000:18:55;21] YEARS NOW DOING WHAT I  
[000:18:59;18] WORK FOR AND THERE IS A  
[000:19:02;10] HIGH POLICE PRESENCE THERE.  
[000:19:03;13] IT JUST DOESN'T MATTER.  
[000:19:06;03] IF DOESN'T NOTICE THAT  
[000:19:07;00] PERSON DOING WHAT THEY ARE  
[000:19:08;16] DOING, YOU KNOW, IT'S  
[000:19:10;21] ALMOST IMPOSSIBLE, LIKE  
[000:19:11;22] FINDING A NEEDLE IN THE HAY  
[000:19:16;04] STACK.  
[000:19:16;17] >> Shepard: JOE DIFAZIO  
[000:19:18;29] WORKS  
[000:19:19;12] WORKS IN WAKEFIELD  
[000:19:22;25] MASSACHUSETTS.  
[000:19:23;12] JUST A FEW FEET FROM THE  
[000:19:26;00] EXPLOSION WHEN IT HAPPENED.  
[000:19:27;01] HELLO TO YOUR FAMILY AND  
[000:19:27;26] THANK YOU.  
[000:19:28;15] >> THANK YOU VERY MUCH.  
[000:19:32;03] >> Shepard: WFXT BOSTON.  
[000:19:33;06] FOX 25 IS OUR LOCAL STATION  
[000:19:35;16] THERE, THEIR REPORTER  
[000:19:36;19] CRYSTAL HAINES IS AT THE  
[000:19:39;01] BEACON HILLS SECTION OF  
[000:19:39;23] BOSTON WITH MORE.  
[000:19:40;23] CRYSTAL, WHAT DO WE KNOW,  
[000:19:42;10] IF ANYTHING MORE ABOUT THE  
[000:19:44;11] POSSIBLE VICTIMS HERE?  
[000:19:45;12] >> WELL, WE ARE GETTING A  
[000:19:46;11] LOT OF UNCONFIRMED REPORTS.  
[000:19:48;08] WE DO KNOW AT LAST COUNT WE  
[000:19:49;25] ARE AT ROUGHLY 98 PEOPLE  
[000:19:52;10] RATHER THAT WERE ACTUALLY  
[000:19:54;11] INJURED, TWO KILLED.  
[000:19:55;18] OF THE TWO KILLED THE  
[000:19:57;24] "BOSTON GLOBE" IS REPORTING  
[000:19:58;22] ONE OF THEM IS AN  
[000:20:00;11] 8-YEAR-OLD LITTLE BOY.  
[000:20:01;17] CERTAINLY VERY SAD  
[000:20:03;27] SITUATION HERE HISTORIC  
[000:20:04;23] EVENT IN BOSTON.  
[000:20:07;13] >> Shepard: LOOKING AT THE  
[000:20:08;06] AREA BEHIND YOU ON THIS  
[000:20:08;28] LIVE SHOT, I KNOW A LITTLE  
[000:20:10;03] BIT OF THAT AREA, NOT WELL.  
[000:20:11;23] BUT THIS TIME OF NIGHT  
[000:20:13;14] NORMALLY, THERE WOULD BE A  
[000:20:14;07] LOT OF PEOPLE OUT  
[000:20:15;20] ESPECIALLY ON PATRIOT'S  
[000:20:16;26] DAY.  
[000:20:17;08] THE MAYOR ASKED EVERYBODY  
[000:20:18;08] TO STAY HOME IT KIND OF  
[000:20:20;07] LOOKS LIKE WITH THIS  
[000:20:21;21] SNAPSHOT THEY HAVE DONE  
[000:20:22;25] THAT.  
[000:20:23;08] >> THAT'S EXACTLY RIGHT.  
[000:20:24;20] YOU KNOW, MARATHON MONDAY  
[000:20:26;06] IN THE CITY OF BOSTON.  
[000:20:27;24] IT'S PACKED WITH PEOPLE,  
[000:20:29;17] WHETHER THEY ARE FROM OUT  
[000:20:30;13] OF TOWN, FROM IN TOWN.  
[000:20:32;05] THAT'S TRUE.  
[000:20:32;23] WE ARE HEARING ABOUT THE  
[000:20:35;00] 15-BLOCK AREA AROUND COP  
[000:20:41;05] COP-LEY PLACE.  
[000:20:41;26] SHUT DOWN.  
[000:20:42;16] WE ARE HEARING UP TO 24  
[000:20:43;29] HOURS.  
[000:20:44;12] A LOT OF PEOPLE WHEN THEY  
[000:20:45;06] HEARD THIS EXPLOSION, WHEN  
[000:20:46;17] THEY WERE NEAR THIS  
[000:20:47;19] EXPLOSION, THEY PANICKED.  
[000:20:48;27] THEY DROPPED EVERYTHING IN  
[000:20:49;26] THEIR ARMS AND RAN TO  
[000:20:51;23] SAFETY.  
[000:20:52;08] AND NOW BOSTON POLICE,  
[000:20:54;07] FEDERAL OFFICIALS AND STATE  
[000:20:57;12] OFFICIALS, THEY ARE  
[000:20:59;09] ACTUALLY INSPECTING THOSE  
[000:21:00;08] PACKAGES TO MAKE SURE THEY  
[000:21:01;09] ARE NOT SUSPICIOUS.  
[000:21:03;13] >> Shepard: CRYSTAL HAINES  
[000:21:05;05] FOR FOX 25.  
[000:21:08;01] CRYSTAL THANKS VERY MUCH.  
[000:21:09;06] FIRST RESPONDERS SCRAMBLED  
[000:21:10;29] TO GET TO THE SCENE OF THIS  
[000:21:13;01] HORROR.  
[000:21:13;15] AS THEY DID, IMAGINE  
[000:21:14;13] THOUSANDS AND THOUSANDS OF  
[000:21:15;17] PEOPLE AROUND THE FINISH  
[000:21:16;24] LIBRARY AT THE BOSTON  
[000:21:18;04] MARATHON.  
[000:21:18;19] THE BARRICADES ARE UP.  
[000:21:21;15] IT'S VERY DIFFICULT TO MOVE  
[000:21:23;03] AROUND AT ALL.  
[000:21:24;03] SECURITY IS EXTREMELY  
[000:21:25;25] TIGHT.  
[000:21:26;08] THERE IS NO WAY REALLY TO  
[000:21:27;08] GET VEHICLES IN AND OUT OF  
[000:21:28;20] THERE, AT LEAST IN THE  
[000:21:30;02] EARLY GOING.  
[000:21:30;21] SO THEY ENDED UP USING  
[000:21:34;02] WHEELCHAIRS.  
[000:21:34;18] BUT PEOPLE BEGAN MAKING  
[000:21:35;20] PHONE CALLS AND CALLING 911  
[000:21:37;19] DESCRIBING WHAT THEY ARE  
[000:21:38;22] SEEING AND ASKING FOR HELP.  
[000:21:40;01] AND WE'LL HAVE THAT FOR YOU  
[000:21:41;05] IN JUST A MOMENT.  
[000:21:42;16] ABOUT AN HOUR AGO THE  
[000:21:44;02] PRESIDENT SPOKE OF THIS  
[000:21:44;24] TRAGEDY AND THE  
[000:21:46;07] INVESTIGATION.  
[000:21:46;24] LISTEN.  
[000:21:49;19] >> WE STILL DO NOT KNOW WHO  
[000:21:51;29] DID THIS OR WHY.  
[000:21:53;27] AND PEOPLE SHOULDN'T JUMP  
[000:21:54;24] TO CONCLUSIONS BEFORE WE  
[000:21:57;02] HAVE ALL THE FACTS.  
[000:21:58;12] BUT, MAKE NO MISTAKE, WE  
[000:22:00;02] WILL GET TO THE BOTTOM OF  
[000:22:00;29] THIS.  
[000:22:01;21] AND WE WILL FIND OUT WHO  
[000:22:03;17] DID THIS.  
[000:22:04;12] WE'LL FIND OUT WHY THEY DID  
[000:22:06;01] THIS.  
[000:22:09;06] ANY RESPONSIBLE  
[000:22:10;02] INDIVIDUALS, ANY  
[000:22:11;05] RESPONSIBLE GROUPS WILL  
[000:22:11;28] FEEL THE FULL WEIGHT OF  
[000:22:14;11] JUSTICE.  
[000:22:15;08] TODAY IS A HOLIDAY IN  
[000:22:18;27] MASSACHUSETTS.  
[000:22:19;14] PATRIOT'S DAY.  
[000:22:20;08] IT'S A DAY THAT CELEBRATES  
[000:22:22;09] THE FREE AND FIERCELY  
[000:22:23;28] INDEPENDENT SPIRIT THAT  
[000:22:26;06] THIS GREAT AMERICAN CITY OF  
[000:22:27;23] BOSTON HAS REFLECTED FROM  
[000:22:29;05] THE EARLIEST DAYS OF OUR  
[000:22:31;11] NATION.  
[000:22:31;25] DRAWS THE WORLD TO BOSTON  
[000:22:33;02] STREETS IN THE SPIRIT OF  
[000:22:34;15] FRIENDLY COMPETITION.  
[000:22:35;22] BOSTON IS A TOUGH AND  
[000:22:38;07] RESILIENT TOWN.  
[000:22:39;19] SO ARE ITS PEOPLE.  
[000:22:41;21] I'M EXTREMELY CONFIDENT  
[000:22:42;27] THAT BOSTONIANS WILL PULL  
[000:22:44;08] TOGETHER, TAKE CARE OF EACH  
[000:22:45;09] OTHER, AND MOVE FORWARD AS  
[000:22:46;18] ONE PROUD CITY AND AS THEY  
[000:22:48;02] DO THE AMERICAN PEOPLE WILL  
[000:22:49;06] BE WITH THEM EVERY SINGLE  
[000:22:51;10] STEP OF THE WAY.  
[000:22:52;17] >> Shepard: THE WHITE HOUSE  
[000:22:53;11] SAYS THE PRESIDENT HAS BEEN  
[000:22:54;05] IN TOUCH WITH FEDERAL LAW  
[000:22:56;29] ENFORCEMENT OFFICIALS AND  
[000:22:57;22] LEADERS IN MASSACHUSETTS  
[000:22:58;15] OVER THE PAST FEW HOURS.  
[000:23:00;05] ED HENRY IS OUR CHIEF WHITE  
[000:23:01;24] HOUSE CORRESPONDENT AND IS  
[000:23:02;29] LIVE FOR US THERE TONIGHT.  
[000:23:04;24] ED?  
[000:23:05;07] >> YES.  
[000:23:05;24] QUEENK SHEP.  
[000:23:07;06] THE BOTTOM LINE IS WHEN YOU  
[000:23:08;10] HEARD THE IT THE SPEAKING  
[000:23:09;18] THERE VOWING THAT JUSTICE  
[000:23:10;21] WILL BE BROUGHT TO THIS  
[000:23:12;24] INVESTIGATION AS IT IT  
[000:23:15;04] UNFOLDS THERE HE DID NOT  
[000:23:16;13] USE AND THAT IS THE WORLD  
[000:23:18;23] THAI.  
[000:23:20;11] THE WHITEHOUSE TONIGHT DOES  
[000:23:22;18] BELIEVE THIS IS THAT I  
[000:23:23;09] REMEMBER WHEN MULTIPLE  
[000:23:25;08] GITIONS GO OFF THAT'S AN    AN  
[000:23:27;16] ACT OF TERRORISM.  
[000:23:28;14] THE PRESIDENT DELIBERATELY  
[000:23:29;16] DID NOT USE THAT WORD IN  
[000:23:31;05] HIS REMARKS IN THE PRESS  
[000:23:32;20] BRIEFING ROOM BECAUSE HE  
[000:23:33;17] DOES NOT WANT TO GET AHEAD  
[000:23:34;22] OF THE FACTS.  
[000:23:35;23] THEY REALIZE INSIDE THE  
[000:23:37;00] WHITE HOUSE I'M TOLD BY  
[000:23:39;01] AIDES THEY MAY FACE  
[000:23:39;27] CRITICISM ESPECIALLY  
[000:23:40;19] DANCING AROUND THE WAR  
[000:23:41;23] TERROR AND THAT BENGHAZI  
[000:23:44;16] INVESTIGATION LAST  
[000:23:45;05] SEPTEMBER BECAUSE YOU HAVE  
[000:23:45;28] LAWMAKERS AND THE  
[000:23:46;17] PRESIDENT'S OWN PARTY LIKE  
[000:23:49;00] DIANNE FEINSTEIN OUT SAYING  
[000:23:49;25] THIS IS TERRORISM.  
[000:23:50;14] SHE IS USING THAT WORD.  
[000:23:51;21] THEY SAY INSIDE THE WHITE  
[000:23:52;14] HOUSE, LOOK, THEY STILL  
[000:23:53;20] DON'T KNOW IN THESE EARLY  
[000:23:56;08] STAGES WHETHER IT WAS A  
[000:23:57;14] FOREIGN GROUP OR SOMEONE  
[000:23:59;14] LIKE AL QAEDA BEHIND THIS  
[000:24:00;26] OR WHETHER IT IS TERRORISM.  
[000:24:02;22] IT WAS TERRORISM  
[000:24:04;26] NONETHELESS.  
[000:24:05;12] WHAT WE KNOW THE PRESIDENT  
[000:24:06;06] HIMSELF HAS BEEN DOING TO  
[000:24:07;01] STAY ON TOP OF THIS  
[000:24:07;25] INVESTIGATION WAS HE WAS ON  
[000:24:08;27] THE PHONE EARLIER WITH  
[000:24:10;09] WHITE HOUSE DIRECTOR ROBERT  
[000:24:11;19] MURIEL.  
[000:24:12;11] THE WHITE HOUSE PUT OUT A  
[000:24:14;06] PHOTO OF THAT YOU SEE NEW  
[000:24:16;08] PLAYERS.  
[000:24:16;23] ROBERT McDID YOU KNOWNA.  
[000:24:17;20] LISA MONACO IS THE  
[000:24:18;27] PRESIDENT'S NEW HOMELAND  
[000:24:20;09] SECURITY VOFER.  
[000:24:21;10] LET'S REMEMBER THERE IS A  
[000:24:22;14] WHOLE NEW NATIONAL SECURITY  
[000:24:23;13] TEAM HERE AT THE SECOND  
[000:24:25;02] TERM DEFENSE SECRETARY  
[000:24:26;24] HAGEL.  
[000:24:27;07] SECRETARY OF STATE KERRY.  
[000:24:28;04] JOHN BRENNAN WAS THE  
[000:24:29;14] HOMELAND SECURITY ADVISOR.  
[000:24:30;26] NOW THE CIA DIRECTOR.  
[000:24:32;02] THEY ARE ALL BEING TESTED  
[000:24:33;28] TONIGHT.  
[000:24:34;12] NOT JUST OVER THIS  
[000:24:39;03] INVESTIGATION THE WHITE  
[000:24:39;25] HOUSE COULD BE A TARGET.  
[000:24:40;20] THAT IS WHY DON'T WE HAVE  
[000:24:42;05] PICTURES AS WELL OF YELLOW  
[000:24:43;06] TAPE THAT WAS PUT EARLIER  
[000:24:44;21] AROUND THE PERIMETER OF THE  
[000:24:45;23] WHITE HOUSE TO EXPAND THE  
[000:24:47;11] PERIMETER BEYOND THAT  
[000:24:48;16] NORMAL FENCE THAT'S OUT  
[000:24:49;08] THERE TO MAKE SURE TOURS  
[000:24:50;29] AND OTHERS DON'T GET ANY  
[000:24:52;29] CLOSER TO THE WHITE HOUSE.  
[000:24:53;27] THEY JUST SORT OF MADE A  
[000:24:55;17] LARGER PERIMETER OF WHYER  
[000:24:59;22] CIRCUMFERENCE AS YOU CAN  
[000:25:00;14] SEE.  
[000:25:00;26] THERE ARE UNIFORMED SECRET  
[000:25:02;04] SERVICE OFFICERS WHO HAVE  
[000:25:03;05] BEEN OUT THERE.  
[000:25:04;15] I LOOKED OVER AND THEY ARE  
[000:25:06;14] STILL OUT THERE SEVERAL  
[000:25:07;23] HOURS AFTER THESE  
[000:25:10;06] EXPLOSIONS GOING OFF IN  
[000:25:12;20] BOSTON.  
[000:25:13;04] JUST AS PRECAUTIONARY  
[000:25:16;15] MEASURES BUT THEY ARE ON  
[000:25:17;16] HIGHER GUARD.  
[000:25:18;06] >> PRECAUTIONARY MEASURES  
[000:25:20;21] HERE IN NEW YORK CITY AS  
[000:25:21;16] WELL.  
[000:25:21;29] IS IT YOUR SENSE THAT THIS  
[000:25:24;23] THIS NIGHT IS JUST  
[000:25:26;07] BEGINNING THERE.  
[000:25:26;25] >> YES.  
[000:25:27;24] >> Shepard: WE WILL HEAR  
[000:25:28;16] MORE FROM THE WHITE HOUSE  
[000:25:29;26] ITSELF?  
[000:25:30;10] >> I DON'T THINK WE WILL  
[000:25:31;02] HEAR FROM WHITE HOUSE  
[000:25:32;06] OFFICIALS PUBLICLY.  
[000:25:33;06] YOU ARE RIGHT THAT IT'S  
[000:25:34;16] DOUBTFUL THE PRESIDENT  
[000:25:35;07] WOULD COME OUT A SECOND  
[000:25:36;10] TIME UNLESS THERE WAS SOME  
[000:25:38;20] DRAMATIC DEVELOPMENT.  
[000:25:39;11] I THINK THEY ARE CONTENT  
[000:25:40;19] TONIGHT TO LETTED  
[000:25:41;27] INVESTIGATION GO FORWARD.  
[000:25:43;23] LET PEOPLE AROUND BOSTON  
[000:25:45;02] AND THE WORLD TO GRIEVE  
[000:25:47;05] TONIGHT.  
[000:25:47;19] WE HEARD THE PRESIDENT SAY  
[000:25:48;19] THAT THE ENTIRE NATION IS  
[000:25:49;24] PRAYING TONIGHT FOR BOSTON.  
[000:25:51;08] THAT IS FOR SURE,  
[000:25:53;04] OBVIOUSLY.  
[000:25:53;19] BUT IN TERMS OF WHAT IS  
[000:25:54;25] HAPPENING HERE, YES THEY  
[000:25:58;24] WILL BE TELLING ME THE  
[000:26:00;19] QUARTERBACK OF THIS  
[000:26:02;00] INVESTIGATION COORDINATING  
[000:26:03;10] IT INSIDE THE WHITE HOUSE  
[000:26:05;10] AGAINST COORDINATING THE  
[000:26:06;14] FACT THAT YOU HAVE GOT THE  
[000:26:07;23] JUSTICE DEPARTMENT AND THE  
[000:26:09;16] FBI INVOLVED AND THE  
[000:26:10;20] DEPARTMENT OF HOMELAND  
[000:26:11;24] SECURITY ON THE FEDERAL  
[000:26:12;17] LEVEL NOT TO MENTION THE  
