[000:00:01;001] >> THANKS, JEFF.
[000:13:29;508] RAIN IN THE NORTHEAST.
[000:13:30;676] ALSO, IN THE MIDDLE PART OF THE
[000:13:32;111] COUNTRY, THE CHANCE FOR MORE
[000:13:33;279] STORMS.
[000:13:33;612] ANN?
[000:13:33;879] >> ALL RIGHT, CHRIS.
[000:13:34;880] THANK YOU SO MUCH FOR YOUR
[000:13:35;948] REPORTING TONIGHT.
[000:13:36;515] >>> AND ONE MORE NOTE ABOUT THE
[000:13:37;917] WEATHER.
[000:13:38;250] THE PEOPLE AT NOAA WHO TRACK
[000:13:39;885] HURRICANES FOR A LIVING SAID
[000:13:41;787] TODAY THEY EXPECT ANOTHER BUSY
[000:13:43;422] SEASON IN THE ATLANTIC.
[000:13:45;691] 13 TO 20 NAMED STORMS, 7 TO 11
[000:13:50;162] HURRICANES, 3 TO 6 OF THOSE
[000:13:52;231] HURRICANES ARE EXPECTED TO BE
[000:13:53;365] MAJOR.
[000:13:53;666] LAST YEAR WAS THE THIRD BUSIEST
[000:13:55;034] SEASON ON RECORD WITH 19 NAMED
[000:13:57;503] STORMS, ONE OF WHICH, OF COURSE,
[000:13:58;771] WAS HURRICANE SANDY, WHICH
[000:14:00;139] CAUSED $50 BILLION IN DAMAGE.
[000:14:02;408] >>> STILL AHEAD TONIGHT, ON THE
[000:14:05;177] REBOUND.
[000:14:05;511] AS MILLIONS OF FAMILIES PLAN
[000:14:06;846] THEIR VACATIONS, WHAT THEY'LL BE
[000:14:07;947] SEEING A LOT MORE OF ON THE
[000:14:09;248] ROADS THIS SUMMER.
[000:14:10;349] >>> AND LATER, AN AMAZING
[000:14:12;618] ACCOMPLISHMENT AT 30,000 FEET AT
[000:14:14;220] AN AGE WHEN A LOT OF PEOPLE
[000:14:15;588] WOULD RATHER BE ON A NICE, FLAT
[000:14:17;156] GOLF COURSE.
[000:16:23;549] >>> MEMORIAL DAY WEEKEND MEANS A
[000:16:24;883] LOT OF PEOPLE HITTING THE ROAD,
[000:16:26;285] AND IT'S LIKELY YOU'RE GOING TO
[000:16:27;353] BE SEEING A LOT MORE RVs OUT
[000:16:29;355] THERE.
[000:16:29;655] THEY'RE MAKING A BIG COMEBACK
[000:16:30;756] AFTER A BIG SLUMP DURING THE
[000:16:32;424] RECESSION, AND THAT IS GOOD NEWS
[000:16:33;726] FOR THE PEOPLE OF ECKHART
[000:16:38;030] COUNTY, INDIANA, WHERE MANY OF
[000:16:38;864] THEM ARE MADE.
[000:16:40;332] NBC'S JOHN YANG HAS OUR REPORT.
[000:16:51;310] >> Reporter: FOR PAUL ASH AND
[000:16:52;478] HIS FAMILY, GOING ON VACATION
[000:16:55;247] MEANS LOADING UP THEIR 30-FOOT
[000:16:57;216] RV AND HEADING OUT ON THE OPEN
[000:16:57;950] ROAD.
[000:16:58;784] >> IT DOES ALLOW YOU TO VACATION
[000:16:59;518] IN THE STYLE THAT YOU WANT AT A
[000:17:00;252] PRICE YOU CAN AFFORD.
[000:17:01;120] >> Reporter: MORE AND MORE
[000:17:01;920] PEOPLE AGREE.
[000:17:02;788] AT DEALERSHIPS LIKE THIS ONE
[000:17:04;957] OUTSIDE OF LOS ANGELES, BUSINESS
[000:17:05;758] IS BOOMING, A WELCOME CHANGE
[000:17:06;859] FROM JUST A FEW YEARS AGO.
[000:17:08;527] >> IT'S SOMETHING I'VE BEEN
[000:17:09;194] THINKING ABOUT FOR FOUR OR FIVE
[000:17:10;262] YEARS AND FINALLY DECIDED NOW
[000:17:11;663] PERHAPS MIGHT BE THE TIME.
[000:17:13;065] >> Reporter: FROM 2006 TO 2009
[000:17:16;502] RV SALES PLUNGED 58% AS THE
[000:17:18;203] RECESSION DEEPENED AND BANKS
[000:17:19;905] STOPPED LENDING.
[000:17:22;207] AS THE ECONOMY BOUNCES BACK, SO
[000:17:24;043] HAVE SALES, SHOOTING UP 72%.
[000:17:28;647] GOOD NEWS FOR KEYSTONE RV IN
[000:17:30;649] ELKHART COUNTY, INDIANA.
[000:17:32;818] THIS COUNTY'S UNEMPLOYMENT RATE
[000:17:33;952] WAS ONCE THE HIGHEST IN THE
[000:17:35;587] NATION, ABOVE 20% FOUR YEARS
[000:17:38;857] AGO.
[000:17:39;124] NOW IT'S LESS THAN HALF THAT.
[000:17:42;828] IN 2009 WHEN THE RECESSION WAS
[000:17:44;563] AT ITS WORST KEYSTONE CUT BACK
[000:17:46;899] TO JUST 1,900 EMPLOYEES.
[000:17:50;736] NOW, JUST FOUR YEARS LATER, THEY
[000:17:52;871] EMPLOY 3,200 PEOPLE, A RECORD
[000:17:55;974] FOR THE COMPANY, AND THEY'RE
[000:17:56;675] STILL HIRING.
[000:17:57;876] MORE JOBS AT HIGHER WAGES.
[000:17:58;510] >> I THINK YOU'LL SEE THAT
[000:17:59;578] THROUGHOUT THE COUNTY.
[000:18:01;713] EVERYONE'S FORCED TO DO THAT
[000:18:02;948] BECAUSE THE LABOR POOL'S GETTING
[000:18:03;782] A LITTLE BIT TIGHTER.
[000:18:05;317] >> Reporter: MATTHEW MILLER IS A
[000:18:08;287] RECENT HIRE DRAWN BY BETTER PAY.
[000:18:10;055] AS A HIGH SCHOOL STUDENT, HE SAW
[000:18:12;057] HIS FATHER GET LAID OFF FROM AN
[000:18:12;791] RV PLANT.
[000:18:13;492] NOW HE'S A HUSBAND AND FATHER
[000:18:14;193] HIMSELF.
[000:18:16;095] >> IT'S VERY COMFORTING KNOWING
[000:18:17;329] THAT I CAN WORK IN A PLACE LIKE
[000:18:18;497] THIS, NOT HAVE TO NECESSARILY BE
[000:18:19;832] WORRIED ABOUT MY JOB, AND KNOW
[000:18:21;366] THAT I'M GOING TO BE ABLE TO
[000:18:22;067] PROVIDE FOR MY FAMILY.
[000:18:24;536] >> Reporter: AS ACCELERATING RV
[000:18:25;704] SALES SET A ONCE STRUGGLING
[000:18:26;371] MIDWESTERN COUNTY ON THE ROAD TO
[000:18:27;106] RECOVERY.
[000:18:29;808] JOHN YANG, NBC NEWS, GOSCHAN,
[000:18:30;709] INDIANA.
[000:18:31;877] >>> WE'RE BACK IN A MOMENT WITH
[000:18:34;179] A PHOTO SESSION BEFORE THE
[000:18:34;847] SENIOR PROM THAT'S GETTING A LOT
[000:18:35;581] OF ATTENTION TONIGHT.
[000:21:47;506] >>> WE'VE GOT A GORGEOUS VIEW
[000:21:48;740] TODAY OF A VOLCANO ERUPTING IN
[000:21:51;143] ALASKA AND A PICTURE TAKEN FROM
[000:21:51;943] THE INTERNATIONAL SPACE STATION.
[000:21:54;379] THE VOLCANO IN THE ALEUTIAN
[000:21:55;514] ISLANDS BEGAN SPEWING OUT ASH ON
[000:21:56;948] MAY 13th.
[000:21:59;518] THIS PHOTO WAS TAKEN ON MAY
[000:22:00;952] 18th.
[000:22:01;553] THE PLUME OF ASHES RISES ALMOST
[000:22:03;622] FOUR MILES UP INTO THE
[000:22:04;623] ATMOSPHERE AND STRETCHES ACROSS
[000:22:05;357] HUNDREDS OF MILES.
[000:22:09;995] >>> AND AN 80-YEAR-OLD JAPANESE
[000:22:11;863] CLIMBER MADE IT TO THE TOP OF
[000:22:12;597] THE WORLD TODAY.
[000:22:19;471] YUICHIRO MIURA BROKE THE RECORD
[000:22:20;572] FOR THE OLDEST PERSON TO CLIMB
[000:22:22;140] MT. EVEREST.
[000:22:25;243] WHEN HE REACHED THE SUMMIT.
[000:22:26;144] HE HAS CLIMBED EVEREST TWICE
[000:22:26;845] BEFORE.
[000:22:27;813] HE SET THE RECORD FOR THE OLDEST
[000:22:28;680] PERSON TO CLIMB THE SUMMIT TEN
[000:22:29;414] YEARS AGO.
[000:22:30;115] BEFORE ANOTHER CLIMBER TOOK THE
[000:22:30;849] CROWN FOUR YEARS LATER.
[000:22:31;516] HE POSTED ON HIS FACEBOOK PAGE
[000:22:33;952] TODAY, "THIS IS THE BEST FEELING
[000:22:34;720] IN THE WORLD."
[000:22:35;387] >>> PREPARATIONS FOR MEMORIAL
[000:22:36;521] DAY ARE UNDER WAY AT ARLINGTON
[000:22:37;389] CEMETERY.
[000:22:39;524] THE 3rd U.S. INFANTRY REGIMEN,
[000:22:41;693] WHICH IS THE ARMY'S OFFICIAL
[000:22:44;963] CEREMONIAL UNIT, PLACED FLAGS ON
[000:22:46;698] GRAVE SITES OF EACH SERVICE
[000:22:47;566] MEMBER BURIED AT ARLINGTON.
[000:22:49;568] 267,000 IN ALL IN THE ANNUAL
[000:22:50;969] TRADITION KNOWN AS FLAGS IN.
[000:22:52;971] >>> THE YEAR WAS 1979, THE HAIR
[000:22:54;373] WAS BIG, THE CLOTHES WERE
[000:22:57;342] POLYESTER, AND THAT IS THE
[000:22:58;477] FUTURE PRESIDENT OF THE UNITED
[000:22:59;811] STATES BEFORE HIS SENIOR PROM.
[000:23:02;280] TWO PREVIOUSLY UNPUBLISHED
[000:23:03;715] PHOTOGRAPHS WERE GIVEN TO "TIME"
[000:23:05;117] MAGAZINE BY THE GIRL IN THE
[000:23:07;753] MIDDLE, KELLY ALLMAN, WHO WAS
[000:23:09;988] ESCORTED BY BARACK OBAMA'S BEST
[000:23:12;090] FRIEND AT PONOHO SCHOOL IN
[000:23:13;225] HAWAII.
[000:23:14;960] SHE ALSO INCLUDED A NOTE TO
[000:23:16;962] YOUNG BARRY AS HE WAS KNOWN BACK
[000:23:20;265] THEN, WROTE IN HER YEARBOOK, HE
[000:23:22;701] OBSERVED THAT SHE WAS "EXTREMELY
[000:23:24;236] SWEET AND FOXY."
[000:23:25;971] OBAMA'S DATE WAS MEGAN HUGHES, A
[000:23:28;340] SENIOR AT A NEARBY ALL-GIRLS
[000:23:29;174] SCHOOL.
[000:23:32;210] >>> UP NEXT, A INCREDIBLE
[000:23:34;379] SURVIVAL STORY WE HAVEN'T HEARD
[000:23:35;881] ABOUT UNTIL NOW.
[000:23:37;015] A MOTHER IN LABOR AS THE TORNADO
[000:23:38;617] CLOSED IN.
[000:26:29;521] >>> IN THE THREE DAYS SINCE THAT
[000:26:31;222] DEVASTATING TORNADO IN MOORE,
[000:26:34;125] OKLAHOMA, WE HAVE SEEN SO MUCH
[000:26:35;594] DESTRUCTION, LOSS OF LIFE AND
[000:26:39;397] MISERY.
[000:26:39;731] BUT TONIGHT, WE'RE GOING TO
[000:26:40;599] LEAVE YOU WITH THE STORY OF SOME
[000:26:42;467] PEOPLE WHO HAVE COME TOGETHER TO
[000:26:43;802] HELP, WHETHER IT'S CLEANING UP,
[000:26:45;837] COOKING A MEAL OR EVEN HELPING
[000:26:47;205] WITH A VERY SPECIAL DELIVERY.
[000:26:48;773] NBC'S RON MOTT HAS OUR REPORT.
[000:26:52;243] >> Reporter: SHAYLA TAYLOR
[000:26:55;113] EMBRACED HER NEWBORN SON AGAIN,
[000:26:56;848] A TREASURED MOMENT AFTER GOING
[000:26:57;916] INTO LABOR DURING AN EF-5
[000:26:58;550] TORNADO.
[000:27:02;187] >> IT JUST TOOK THE WALL OFF.
[000:27:03;588] AND THE FIRST THING I DID, OF
[000:27:04;956] COURSE, WAS ASK IF ALL THE
[000:27:06;024] NURSES WERE STILL THERE AND IF
[000:27:06;758] THEY WERE OKAY.
[000:27:08;760] >> Reporter: THIS MORNING, SHE
[000:27:10;495] REUNITED WITH NURSES WHO MOVED
[000:27:11;630] HER TO ANOTHER HOSPITAL WHEN
[000:27:13;031] THEIRS TOOK A DIRECT HIT.
[000:27:15;333] >> MY NURSE GAVE ME A SHOT TO
[000:27:19;070] SLOW DOWN THE CONTRACTIONS, YOU
[000:27:20;405] KNOW, TO KIND OF KEEP ME FROM
[000:27:22;007] GOING INTO TRANSITION.
[000:27:25;110] AND ACTUALLY HAVING A BABY IN
[000:27:26;778] THE MIDST OF A TORNADO.
[000:27:29;247] >> Reporter: SHE LATER DELIVERED
[000:27:30;081] 8 POUNDS 3 OUNCE BRADEN
[000:27:32;751] EMANUEL, NOW THE TALK OF THE
[000:27:33;685] TOWN.
[000:27:33;985] >> HE'S A MIRACLE, AND I LOVE
[000:27:36;154] THE NAME THAT SHE HAS FOR HIM,
[000:27:37;956] EMANUEL, GOD IS WITH US, BECAUSE
[000:27:39;090] GOD DEFINITELY WAS WITH US.
[000:27:41;526] >> Reporter: PERFECT STRANGERS
[000:27:45;864] ARE WITH THE COMMUNITY, TOO,
[000:27:47;198] COMING FROM NEAR AND FAR, SOME
[000:27:48;600] TOTING BROOMS AND RAKES, OTHERS
[000:27:50;635] CARRYING TRAYS OF STEAM PULLED
[000:27:52;971] PORK, ALL IN THE SPIRIT, THEY
[000:27:53;705] SAY, OF SIMPLY LOVING THY
[000:27:55;440] NEIGHBOR.
[000:27:55;807] >> IT'S OKLAHOMA.
[000:27:56;441] IT'S JUST KIND OF THE WAY IT IS
[000:27:57;575] HERE.
[000:27:57;876] WE ALL RALLY TOGETHER WHEN
[000:27:58;543] THERE'S A NEED.
[000:28:03;448] >> Reporter: AND YOU'RE ABLE TO
[000:28:04;616] MOBILIZE A TEAM QUICKLY.
[000:28:05;483] HOW DOES THAT HAPPEN?
[000:28:06;818] >> BEING BARBECUE COOKS DOING
[000:28:07;719] COMPETITIONS WE LEARN HOW TO
[000:28:08;420] COOK MOBILE.
[000:28:09;688] >> Reporter: OPERATION BARBECUE
[000:28:13;591] RELIEF IS ALSO HERE, FIRST
[000:28:16;361] COOKED UP DURING JOPLIN,
[000:28:18;363] MISSOURI'S BRUSH WITH A TORNADO
[000:28:19;097] TWO YEARS AGO.
[000:28:19;864] >> THEY NEED COMFORT.
[000:28:20;432] BARBECUE IS COMFORT FOOD.
[000:28:21;866] >> Reporter: WHILE THE GOING IS
[000:28:23;001] TOUGH TODAY FOR MANY, HOPE AND
[000:28:24;436] GRATITUDE ARE IN AMPLE SUPPLY.
[000:28:27;272] >> THOSE WOMEN WERE, THEY WERE
[000:28:28;773] GODSENDS.
[000:28:30;475] THEY DID THEIR BEST TO TAKE CARE
[000:28:31;576] OF ME.
[000:28:32;143] >> Reporter: AND THE LITTLE GUY
[000:28:34;412] ALREADY NICKNAMED TWISTER.
[000:28:35;280] RON MOTT NBC NEWS, MOORE,
[000:28:36;414] OKLAHOMA.
[000:28:39;250] >>> AND THAT IS OUR BROADCAST
[000:28:40;385] FOR THIS THURSDAY EVENING.
[000:28:43;254] I'M ANN CURRY IN TONIGHT FOR
[000:28:44;089] BRIAN.
[000:28:46;124] AND FOR ALL OF US HERE AT NBC
[000:28:47;325] NEWS, THANK YOU AND GOODNIGHT.
[000:29:34;172] >>> NBC BAY AREA NEWS, STARTS
[000:29:38;042] NOW.
[000:29:38;276] >>> GOOD EVENING, I'M JESSICA
[000:29:41;479] AGUIRRE, WE BEGIN WITH THE
[000:29:43;014] DEADLY SHOOTING IN SANTA CRUZ OF
[000:29:45;950] TWO POLICE OFFICERS, SHOT AT
[000:29:49;120] POINT BLANK RANGE.
[000:29:50;955] THEY WERE AMBUSHED.
[000:29:52;590] THE GUNMAN WHO KILLED THEM WENT
[000:29:55;393] ON TO GO ON A RAMPAGE THROUGH
[000:29:58;930] THE STREETS, UNTIL HE WAS
[000:30:02;100] KILLED.
[000:30:02;367] MORE ON THE DETAILS.
[000:30:04;269] >> Reporter: WELL, THE DEA SAID
[000:30:07;238] TODAY NOT ONLY WAS THE SHOOTING
[000:30:09;340] JUSTIFIED, IT WAS HEROIC.
[000:30:11;342] TODAY, WE LEARNED HOW CLOSE
[000:30:14;212] GOULET CAME TO SHOOTING PEOPLE
[000:30:18;650] IN THE COMMUNITY.
[000:30:20;185] NEARLY THREE MONTHS AFTER BUTCH
[000:30:25;557] BAKER AND HIS CO-WORKER WERE
[000:30:27;525] LAID TO REST, ON FEBRUARY 26th,
[000:30:29;928] THE TWO OFFICERS WENT TO TALK TO
[000:30:32;797] SEXUAL ASSAULT SUSPECT, JEREMY
[000:30:35;366] GOULET AND TRIED TO COAX HIM OUT
[000:30:38;269] OF HIS HOME.
[000:30:40;605] IT SHOWED HE AGREED TO COME OUT.
[000:30:42;073] >> BOTH OFFICERS WERE THERE AT
[000:30:43;608] THE DOOR STEP WHEN GOULET EXITED
[000:30:46;311] THE HOME.
[000:30:47;011] AND WITHIN THREE SECONDS, HE
[000:30:50;014] FIRED FIVE ROUNDS AT THE TWO
[000:30:51;716] OFFICERS FROM HIS PERSONALLY
[000:30:54;052] OWNED .45 CALIBER AUTOMATIC
[000:30:57;355] PISTOL.
[000:30:57;589] >> Reporter: THE INVESTIGATION
[000:30:58;857] FOUND HE WENT TO S
