[000:00:00;834] THANK YOU, TAMMIE.
[000:11:51;410] INSTEAD, FACEBOOK WILL
[000:11:53;045] HIRE 250 NEW STAFFERS
[000:11:54;780] TO INCREASE SCRUTINY
[000:11:56;248] OF ADVERTISERS AND
[000:11:57;283] DISCLOSE WHO PAYS FOR
[000:11:58;084] THE ADS.
[000:11:58;884] JO LING KENT, NBC
[000:12:01;687] NEWS, LOS ANGELES.
[000:12:02;421] >>> AS REPUBLICANS TRY
[000:12:03;222] TO FIND THE VOTES FOR
[000:12:04;190] THEIR LATEST ATTEMPT
[000:12:05;191] TO APPEAL OBAMACARE, A
[000:12:06;292] WAR OF WORDS CONTINUES
[000:12:07;493] BETWEEN THE SPONSORS
[000:12:08;327] OF THE BILL AND A
[000:12:10;296] LATE-NIGHT TV HOST.
[000:12:11;130] BUT WHO IS CORRECT
[000:12:11;931] WHEN IT COMES TO A KEY
[000:12:13;032] PART OF THE BILL
[000:12:14;734] REGARDING COVERAGE FOR
[000:12:15;601] PRE-EXISTING
[000:12:17;570] CONDITIONS?
[000:12:18;170] NBC'S KASIE HUNT HAS A
[000:12:20;506] REALITY CHECK.
[000:12:21;607] >> Reporter:
[000:12:22;241] REPUBLICAN SENATORS
[000:12:23;476] FIGHTING OVER THE
[000:12:24;210] FACTS OF THEIR NEW
[000:12:25;177] HEALTHCARE PLAN WITH A
[000:12:26;078] LATE-NIGHT COMIC.
[000:12:26;812] >> AM I NOT
[000:12:27;680] UNDERSTANDING THE PART
[000:12:28;481] WHERE STATE WAS BE
[000:12:29;381] ALLOWED TO LET
[000:12:30;082] INSURANCE COMPANIES
[000:12:30;850] PRICE YOU OUT OF
[000:12:31;584] COVERAGE FOR HAVING
[000:12:32;518] PRE-EXISTING
[000:12:33;152] CONDITIONS?
[000:12:33;753] >> Reporter: SENATORS
[000:12:34;553] BILL KAZ IDY AND
[000:12:35;287] LINDSEY GRAHAM INSISTS
[000:12:36;188] THEIR BILL MEETS THE
[000:12:37;389] JIMMY KIMMEL TEST,
[000:12:40;826] GUARANTEEING
[000:12:41;460] AFFORDABLE COVERAGE
[000:12:42;228] FOR PEOPLE LIKE
[000:12:42;962] KIMMEL'S SON BILLY
[000:12:43;696] BORN WITH A RARE HEART
[000:12:44;563] DEFECT.
[000:12:45;097] >> WE'RE GOING TO GIVE
[000:12:46;232] FLEXIBILITY TO COVER
[000:12:47;032] SICK PEOPLE, BUT SICK
[000:12:47;867] PEOPLE WILL BE
[000:12:49;201] COVERED.
[000:12:49;769] >> Reporter: SO WHO IS
[000:12:50;603] RIGHT?
[000:12:51;103] THERESA BOHANON WOULD
[000:12:51;904] LIKE TO KNOW.
[000:12:52;905] HER SON DEAN WAS ALSO
[000:12:53;906] BORN WITH A RARE HEART
[000:12:55;141] CONDITION.
[000:12:55;741] >> IT'S ALMOST CRAZY
[000:12:56;542] TO ME THAT YOU NOT
[000:12:57;309] ONLY HAVE TO WORRY
[000:12:58;077] ABOUT YOUR CHILD'S
[000:12:58;878] CARE, BUT YOU HAVE TO
[000:12:59;845] WORRY ABOUT, OH, MY
[000:13:00;946] GOSH, WHAT ARE THEY
[000:13:01;847] DOING IN D.C. THAT
[000:13:03;516] COULD POTENTIALLY
[000:13:05;317] IMPACT US.
[000:13:05;918] >> Reporter: THE
[000:13:06;652] AFFORDABLE CARE ACT
[000:13:07;720] MADE IT ILLEGAL FOR
[000:13:08;821] INSURANCE COMPANIES TO
[000:13:09;622] DENY SICK PEOPLE
[000:13:10;356] COVERAGE.
[000:13:10;923] THAT BAN WOULD STAY IN
[000:13:11;724] PLACE, BUT OBAMACARE
[000:13:13;559] ALSO OUTLAWED CHARGING
[000:13:14;760] SICK PEOPLE DRAMATIC
[000:13:15;594] CANCALLY HIGHER
[000:13:16;796] PREMIUMS.
[000:13:17;363] AND UNDER THIS BILL
[000:13:18;397] INDIVIDUAL STATES
[000:13:19;231] COULD DECIDE TO CHANGE
[000:13:20;199] THAT.
[000:13:20;699] >> THE STATE JUST HAS
[000:13:23;102] TO SAY THAT IT INTENDS
[000:13:23;869] TO MAINTAIN AFFORDABLE
[000:13:29;108] ADEQUATE COVERAGE.
[000:13:29;875] >> Reporter: THAT
[000:13:30;609] COULD DEVASTATE THE
[000:13:31;377] BOHANON FAMILY.
[000:13:32;077] THEY'RE ALREADY
[000:13:32;778] COLLECTING DONATIONS
[000:13:33;546] TO PAY FOR THEIR SON'S
[000:13:35;381] COVERAGE JUST IN CASE.
[000:13:38;417] KASIE HUNT,CAPITAL.
[000:13:41;520] >>> ANOTHER CYBER
[000:13:42;254] ATTACK TO ALERT YOU
[000:13:43;022] TO.
[000:13:43;489] THIS TIME AMONG WALL
[000:13:44;690] STREET'S TOP
[000:13:45;457] REGULATOR, THE
[000:13:47;493] SECURITIES AND
[000:13:48;160] EXCHANGE COMMISSION
[000:13:48;928] UNDER FIRE AFTER
[000:13:49;662] ADMITTING A DATABASE
[000:13:51;864] WAS BREACHED IN 2016
[000:13:53;432] AND HACKERS MAY HAVE
[000:13:54;466] BEEN MAKING ILLEGAL
[000:13:59;338] TRADES EVEN UP TO LAST
[000:14:00;105] MONTH.
[000:14:00;606] THIS AFTER EQUIFAX
[000:14:01;507] REVEALED A HACK THAT
[000:14:02;775] AFFECTED NEARLY HALF
[000:14:03;676] THE U.S. POPULATION.
[000:14:05;077] >>> A MAJOR DRUGSTORE
[000:14:06;579] CHAIN PUTS SHARP
[000:14:07;546] LIMITS ON OPIOID
[000:14:08;681] PRESCRIPTIONS IN A NEW
[000:14:09;481] EFFORT TO CONTROL THE
[000:14:10;850] ADDICTION CRISIS.
[000:14:11;784] >>> ALSO DO BALLPARKS
[000:14:12;985] NEED TO DO MORE TO
[000:14:14;220] PROTECT FANS?
[000:14:14;954] NEW CONCERNS TONIGHT
[000:14:16;288] AFTER A FOUL BALL HIT
[000:14:17;256] A GIRL A
[000:14:17;823] For adults with advanced
[000:14:17;823] non-small cell lung cancer,
[000:14:20;626] previously treated with
[000:14:20;626] platinum-based chemotherapy,
[000:14:22;895] including those with an
[000:14:22;895] abnormal ALK or EGFR gene
[000:14:26;632] who've tried an FDA-approved
[000:14:26;632] targeted therapy,
[000:14:28;868] here's a question:
[000:14:28;868] Who wouldn't want a chance
[000:14:31;003] for another...?
[000:14:33;105] Who'd say no to a...?
[000:14:35;674] Who wouldn't want...
[000:14:35;674] a chance to live longer.
[000:14:39;078] OPDIVO (nivolumab).
[000:14:41;046] OPDIVO demonstrated longer
[000:14:41;046] life versus chemotherapy.
[000:14:44;850] Over 40,000 of these
[000:14:44;850] patients have been
[000:14:47;052] prescribed OPDIVO.
[000:14:48;520] OPDIVO works with
[000:14:48;520] your immune system.
[000:14:50;689] OPDIVO can cause your immune
[000:14:50;689] system to attack normal
[000:14:53;492] organs and tissues in your
[000:14:53;492] body and affect how they work.
[000:14:55;961] This may happen any time
[000:14:55;961] during or after treatment
[000:14:58;063] has ended, and may become
[000:14:58;063] serious and lead to death.
[000:15:00;499] See your doctor right away
[000:15:00;499] if you experience new or
[000:15:02;568] worsening cough; chest
[000:15:02;568] pain; shortness of breath;
[000:15:05;004] diarrhea; severe stomach
[000:15:05;004] pain or tenderness;
[000:15:07;439] severe nausea or
[000:15:07;439] vomiting; extreme fatigue;
[000:15:10;009] constipation;
[000:15:10;009] excessive thirst or urine;
[000:15:12;344] swollen ankles;
[000:15:12;344] loss of appetite;
[000:15:14;346] rash; itching;
[000:15:14;346] headache; confusion;
[000:15:16;348] hallucinations;
[000:15:16;348] muscle or joint pain;
[000:15:18;384] flushing; fever;
[000:15:18;384] or weakness,
[000:15:20;052] as this may keep
[000:15:20;052] these problems
[000:15:21;053] from becoming
[000:15:21;053] more serious.
[000:15:22;955] These are not
[000:15:22;955] all the possible
[000:15:24;023] side effects
[000:15:24;023] of OPDIVO.
[000:15:25;291] Tell your doctor about all
[000:15:25;291] your medical conditions,
[000:15:27;393] including immune
[000:15:27;393] system problems,
[000:15:29;028] or if you've had an
[000:15:29;028] organ transplant,
[000:15:30;763] or lung, breathing,
[000:15:30;763] or liver problems.
[000:15:35;034] Because who
[000:15:35;034] wouldn't want...that?
[000:15:37;937] Ask your doctor
[000:15:37;937] about OPDIVO.
[000:15:40;105] See OpdivoTV.com for
[000:15:40;105] this and other indications.
[000:15:42;841] Bristol-Myers Squibb
[000:15:42;841] thanks the patients, nurses,
[000:15:44;944] and physicians involved
[000:15:44;944] in OPDIVO clinical trials.
[000:15:51;083] Steve was born to move.
[000:15:51;083] Over the course of 9 days
[000:15:51;083] he walks 26.2 miles,
[000:15:54;586] that's a marathon.
[000:15:57;356] Because he chooses to
[000:15:57;356] walk whenever he can.
[000:15:59;191] And he does it with support
[000:15:59;191] from Dr. Scholl's.
[000:16:02;328] Only Dr. Scholl's has
[000:16:02;328] Massaging Gel insoles
[000:16:05;531] that provide all-day comfort to
[000:16:05;531] keep him feeling more energized.
[000:16:09;668] So he even has the energy
[000:16:11;070] to take the long way home.
[000:16:13;005] Keep it up, Steve!
[000:16:14;473] Dr. Scholl's.
[000:16:14;473] Born to Move.
[000:16:53;512] >>> AS THIS COUNTRY
[000:16:54;380] TRIES TO DEAL WITH A
[000:16:55;948] DEADLY OPIOID DRUG
[000:16:57;249] EPIDEMIC, THE PHARMACY
[000:16:59;018] GIANT CVS SAID TODAY
[000:17:00;886] IT WILL PLACE NEW
[000:17:02;988] LIMITS ON PRI
[000:17:04;523] PRESCRIPTIONS OF THE
[000:17:05;324] POWERFUL AND ADDICTIVE
[000:17:06;558] PAINKILLERS AS OF
[000:17:07;893] FEBRUARY.
[000:17:08;460] NBC'S KRISTEN DAHLGREN
[000:17:10;162] REPORTS.
[000:17:10;729] >> Reporter: AT CVS
[000:17:11;830] STORES ACROSS THE
[000:17:12;698] COUNTRY PATIENTS
[000:17:13;432] SEEKING OPIOIDS FOR
[000:17:14;767] SHORT-TERM PAIN
[000:17:15;501] MANAGEMENT WILL SOON
[000:17:16;301] BE LIMITED TO JUST A
[000:17:17;970] SEVEN-DAY SUPPLY.
[000:17:18;704] THE PHARMACY CHAIN
[000:17:20;072] ATTEMPTS TO TURN THE
[000:17:20;906] TIDE ON THE OPIOID
[000:17:22;241] EPIDEMIC.
[000:17:22;808] >> THE FEWER PEOPLE
[000:17:23;575] THAT BECOME ADDICTED,
[000:17:24;777] THEY'LL LEAD BETTER
[000:17:26;145] LIVES.
[000:17:26;645] WE'LL ELIMINATE HUMAN
[000:17:28;414] SUFFERING.
[000:17:29;014] >> Reporter: THIS
[000:17:29;748] MAN'S ADDICTION
[000:17:30;449] STARTED WITH A KNEE
[000:17:31;216] INJURY AT 14.
[000:17:31;917] >> I GOT ANOTHER
[000:17:32;785] REFILL AT 30 WHEN I
[000:17:33;986] DIDN'T EVEN NEED THE
[000:17:35;087] REFILL.
[000:17:35;621] >> Reporter: THAT LED
[000:17:36;422] TO HEROIN.
[000:17:37;022] >> IT TOOK MY
[000:17:38;323] HAPPINESS.
[000:17:38;891] IT TOOK AWAY, YOU
[000:17:40;893] KNOW, WHAT LIFE IS
[000:17:42;294] REALLY ABOUT.
[000:17:42;961] >> Reporter: DOCTORS
[000:17:43;729] WROTE MORE THAN 225
[000:17:45;864] MILLION OPIOID
[000:17:47;132] PRESCRIPTIONS IN 2015.
[000:17:48;867] THAT'S 71
[000:17:49;968] PRESCRIPTIONS PER 100
[000:17:52;204] PATIENTS.
[000:17:53;405] CVS' PLAN MIRRORS CDC
[000:17:56;141] RECOMMENDATION ASKING
[000:17:57;443] PHARMACISTS TO CONTACT
[000:17:58;243] DOCTORS WHEN THEY SEE
[000:17:59;678] PRESCRIPTIONS FOR MORE
[000:18:00;479] MEDICATION THAN A
[000:18:01;480] TYPICAL RECOVERY TIME.
[000:18:02;347] THE COMPANY ALSO PLANS
[000:18:03;248] TO BOOST FUNDING FOR
[000:18:04;683] ADDICTION COUNSELING
[000:18:05;684] AND SAFE OPIOID
[000:18:07;086] DISPOSAL PROGRAMS.
[000:18:08;087] >> I THINK OUR
[000:18:09;021] CUSTOMERS OVERALL ARE
[000:18:10;222] GOING TO BE HEARTENED
[000:18:11;323] BY THIS.
[000:18:11;890] >> Reporter: PATIENTS
[000:18:12;691] WITH CHRONIC
[000:18:13;358] CONDITIONS WOULD HAVE
[000:18:14;793] DOSAGE LIMITS, WITH A
[000:18:15;761] FEW EXCEPTIONS LIKE
[000:18:16;728] CANCER TREATMENT.
[000:18:17;729] TODAY THE NATIONAL
[000:18:18;497] ACADEMY OF MEDICINE
[000:18:19;765] ISSUED A REPORT
[000:18:21;100] SUGGESTING DOCTORS BE
[000:18:24;169] MORE CAREFUL WHEN
[000:18:25;504] PRESCRIBING OPIATES.
[000:18:26;672] >> WE ALL HAVE TO BEAR
[000:18:27;739] RESPONSIBILITY AND
[000:18:28;474] PLAY A ROLE IF WE'RE
[000:18:29;308] GOING TO GET OURSELVES
[000:18:30;209] OUT OF THIS EPIDEMIC.
[000:18:32;111] >> Reporter: JOHN
[000:18:32;845] SHOT, NOW 15 MONTHS
[000:18:33;846] CLEAN, SAYS FOR HIM
[000:18:34;880] LIMITS MIGHT HAVE MADE
[000:18:35;781] A DIFFERENCE.
[000:18:36;582] >> IT WAS JUST SAVING
[000:18:37;916] THAT ONE PERSON THAT
[000:18:38;750] COULD HAVE BEEN, YOU
[000:18:39;551] KNOW, HAD A MORE
[000:18:40;752] SUCCESSFUL LIFE.
[000:18:41;987] >> Reporter: SO THAT
[000:18:43;021] ONE PRESCRIPTION
[000:18:43;755] DOESN'T BECOME AN
[000:18:45;023] ADDICTION.
[000:18:45;991] KRISTEN DAHLGREN, NBC
[000:18:46;925] NEWS, LOS ANGELES.
[000:18:47;659] >>> WE'LL TAKE A SHORT
[000:18:49;394] BREAK.
[000:18:49;895] UP NEXT YOUR FIRST
[000:18:50;662] LOOK AT WHAT THE
[000:18:51;396] WORLD'S TOP ATHLETES
[000:18:52;064] The day after chemo might mean
[000:18:53;565] a trip back to
[000:18:53;565] the doctor's office,
[000:18:55;300] just for a shot.
[000:18:56;468] But why go back there,
[000:18:56;468] when you can stay home...
[000:18:59;471] ...with Neulasta Onpro?
[000:19:01;673] Strong chemo can put you
[000:19:01;673] at risk of serious infection.
[000:19:04;309] Neulasta helps
[000:19:04;309] reduce infection risk
[000:19:06;311] by boosting your
[000:19:06;311] white blood cell count,
[000:19:07;846] which strengthens
[000:19:07;846] your immune system.
[000:19:09;481] In a key study,
[000:19:10;682] Neulasta reduced the risk
[000:19:10;682] of infection from 17% to 1%...
[000:19:14;186] ...a 94% decrease.
[000:19:16;221] Applied the day of chemo,
[000:19:17;489] Neulasta Onpro is designed to
[000:19:17;489] deliver Neulasta the next day.
[000:19:20;592] Neulasta is for
[000:19:20;592] certain cancer patients
[000:19:22;327] receiving strong chemotherapy.
[000:19:24;163] Do not take Neulasta
[000:19:24;163] if you're allergic to
[000:19:25;731] Neulasta or Neupogen
[000:19:25;731] (filgrastim).
[000:19:28;167] Ruptured spleen,
[000:19:29;234] sometimes fatal as well as
[000:19:29;234] serious lung problems,
[000:19:31;570] allergic reactions,
[000:19:32;471] kidney injuries,
[000:19:33;438] and capillary leak syndrome
[000:19:33;438] have occurred.
[000:19:35;340] Report abdominal or
[000:19:35;340] shoulder tip pain,
[000:19:37;142] trouble breathing
[000:19:38;210] or allergic reactions
[000:19:38;210] to your doctor right away.
[000:19:40;012] In patients with
[000:19:40;012] sickle cell disorders,
[000:19:41;680] serious, sometimes
[000:19:41;680] fatal crises can occur.
[000:19:43;882] The most common side effect
[000:19:43;882] is bone and muscle ache.
[000:19:46;185] So why go back there?
[000:19:47;819] If you'd rather be home,
[000:19:49;454] ask your doctor about
[000:19:49;454] Neulasta Onpro.
[000:19:53;992] I tabut with my back paines,
[000:19:55;227] I couldn't sleep
[000:19:55;227] and get up in time.
[000:19:56;762] Then I found Aleve PM.
[000:19:58;397] Aleve PM is the only one to
[000:19:58;397] combine a safe sleep aid plus
[000:20:01;833] the 12 hour pain relieving
[000:20:01;833] strength of Aleve.
[000:20:03;869] I'm back.
[000:20:04;870] Aleve PM for a better AM.
[000:20:08;574] ♪
[000:20:08;574] So, I was at Mom and Dad's
[000:20:09;741] and found this.
[000:20:10;976] CD's, Baseball cards...
[000:20:13;011] Your old magic set?
[000:20:15;080] And this wrestling ticket...
[000:20:16;415] Which you still owe me for.
[000:20:17;649] Seriously?
[000:20:18;650] $25?
[000:20:19;618] I didn't even want to go.
[000:20:21;587] Ahhh, your diary.
[000:20:22;921] "Mom says it's totally
[000:20:22;921] natural..."
[000:20:26;592] $25 is nothing.
[000:20:30;462] Abracadabra, Bro.
[000:20:32;497] The Bank of America
[000:20:32;497] Mobile Banking App.
[000:20:34;399] The fast, secure and simple way
[000:20:34;399] to send money.
[000:20:39;304] Ugh. Heartburn.
[000:20:39;304] Sorry Ma'am.
[000:20:39;304] No burning here.
[000:20:41;240] Try Alka-Seltzer
[000:20:42;241] Heartburn relief
[000:20:42;241] gummies.
[000:20:43;709] They don't taste
[000:20:43;709] chalky and work fast.
[000:20:45;510] MMMM. Incredible.
[000:20:46;979] Can I try?
[000:20:47;980] She doesn't
[000:20:47;980] have heartburn.
[000:20:49;147] Alka-Seltzer heartburn
[000:20:49;147] relief gummies.
[000:20:50;882] Enjoy the relief.
[000:21:26;118] how much money do you
[000:21:26;118] think you'll need in retirement?
[000:21:28;954] Then we found out how many years
[000:21:28;954] that money would last them.
[000:21:32;024] How long do you
[000:21:32;024] think we'll keep --
[000:21:33;158] Oooooohhh! You stopped!
[000:21:34;159] You're gonna leave me
[000:21:34;159] back here at year 9?
[000:21:36;695] How did this happen?
[000:21:38;163] It turned out, a lot
[000:21:38;163] of people fell short,
[000:21:40;198] of even the average
[000:21:40;198] length of retirement.
[000:21:42;200] We have to think about
[000:21:42;200] not when we expect to live to,
[000:21:45;437] but when we could live to.
[000:21:46;872] Let's plan for income that lasts
[000:21:46;872] all our years in retirement.
[000:21:51;043] Prudential.
[000:21:51;043] Bring your challenges.
[000:21:57;983] >>> WE'RE BACK NOW
[000:21:58;984] WITH MAJOR LEAGUE
[000:22:00;018] BASEBALL UNDER GROWING
[000:22:00;886] PRESSURE TO DO MORE TO
[000:22:02;054] PROTECT FANS AFTER A
[000:22:04;122] HORRIFYING INCIDENT
[000:22:04;890] INVOLVING A CHILD.
[000:22:06;525] HERE'S NBC'S ANNE
[000:22:08;827] THOMPSON.
[000:22:09;394] >> Reporter: THE
[000:22:10;095] ANGUISH ON THEIR
[000:22:12;164] FACES.
[000:22:12;698] >> JUST CROSS OUR
[000:22:13;432] FINGERS AND HOPE
[000:22:17;002] EVERYTHING'S OKAY.
[000:22:18;470] >> Reporter: -- TELLS
[000:22:19;271] THE STORY OF THE
[000:22:21;773] IMPACT.
[000:22:22;307] THE SEARING FOUL BALL
[000:22:23;875] CLOCKED AT 100 MILES
[000:22:25;010] PER HOUR.
[000:22:25;610] INJURING A LITTLE
[000:22:26;345] GIRL.
[000:22:26;845] >> THEY'RE GOING TO
[000:22:27;612] GET HELP FOR THE
[000:22:28;347] PERSON THAT WAS STRUCK
[000:22:29;147] BY THE BASEBALL.
[000:22:29;848] >> Reporter: THE
[000:22:30;549] MINNESOTA TWINS AND
[000:22:31;316] THE YANKEES VISIBLY
[000:22:32;617] SHAKEN INCLUDING
[000:22:33;318] FRAZIER, A FATHER
[000:22:34;252] HIMSELF.
[000:22:34;786] >> I THOUGHT OF MY
[000:22:35;787] KIDS, YOU KNOW.
[000:22:36;588] I HAVE TWO KIDS UNDER
[000:22:38;156] 3 YEARS OLD.
[000:22:39;691] AND JUST HOPE SHE'S
[000:22:40;492] ALL RIGHT.
[000:22:41;059] >> Reporter: TODAY THE
[000:22:41;827] LITTLE GIRL'S
[000:22:42;627] GRANDFATHER WENT TO
[000:22:43;795] THE NEW YORK HOSPITAL
[000:22:44;629] WHERE SHE'S RECOVERING
[000:22:46;298] AFTER CARRYING HER OUT
[000:22:47;099] OF THE STADIUM IN HIS
[000:22:49;334] ARMS.
[000:22:49;968] BASEBALL COMMISSIONER
[000:22:51;036] ROB MANFRED NOW VOWING
[000:22:52;704] TO REDOUBLE EFFORTS ON
[000:22:54;506] THIS IMPORTANT ISSUE.
[000:22:55;540] AFTER THE 2015
[000:22:56;842] RECOMMENDATION TO
[000:22:57;576] INCREASE NETTING TO
[000:22:58;343] THE NEAR END OF THE
[000:22:59;444] DUGOUTS AND WITHIN 70
[000:23:00;746] FEET OF HOME PLATE.
[000:23:04;015] TEN TEAMS HAVE GONE
[000:23:04;783] EVEN FARTHER, BUT NOT
[000:23:05;684] THE YANKEES.
[000:23:06;318] THIS IS AT LEAST THE
[000:23:07;386] THIRD TIME THIS SEASON
[000:23:08;286] A FAN'S BEEN INJURED
[000:23:09;788] HERE.
[000:23:10;288] A BOY WITH A PIECE OF
[000:23:11;690] BAT, THIS MAN WITH A
[000:23:12;924] FOUL BALL, AND NOW THE
[000:23:14;192] LITTLE GIRL.
[000:23:15;060] >> I DON'T CARE ABOUT
[000:23:17;295] THE DAMN VIEW OF THE
[000:23:18;830] FAN OR WHAT.
[000:23:19;998] IT'S ALL ABOUT SAFETY.
[000:23:20;932] >> Reporter: TONIGHT
[000:23:21;700] THE YANKEES OFFER
[000:23:22;501] THOUGHTS AND PRAYERS
[000:23:23;268] FOR THE CHILD, BUT NO
[000:23:24;436] WORD ON WHETHER
[000:23:25;170] THEY'LL DO MORE TO
[000:23:26;505] PROTECT FANS.
[000:23:28;206] ANNE THOMPSON, NBC
[000:23:30;008] NEWS, NEW YORK.
[000:23:31;109] >>> TESTS CONDUCTED ON
[000:23:32;978] FORMER NFL STAR AARON
[000:23:34;813] HERNANDEZ, WHO WAS
[000:23:35;547] CONVICTED OF MURDER,
[000:23:36;381] SHOWED THAT HE HAD THE
[000:23:38;784] DEGENERATIVE BRAIN
[000:23:39;518] DISEASE CTE.
[000:23:40;152] THOSE TESTS FOUND THAT
[000:23:41;086] THE NEW ENGLAND
[000:23:42;320] PATRIOT'S TIGHT END
[000:23:43;722] HAD A SEVERE FORM OF
[000:23:44;656] THE DISEASE.
[000:23:45;690] HERNANDEZ COMMITTED
[000:23:46;458] SUICIDE IN APRIL WHILE
[000:23:47;426] SERVING A LIFE
[000:23:48;460] SENTENCE.
[000:23:49;027] THE DISEASE HAS BEEN
[000:23:49;828] FOUND IN MORE THAN 100
[000:23:51;696] FORMER NFL PLAYERS AND
[000:23:52;464] IS LINKED TO REPEATED
[000:23:54;132] HEAD TRAUMA.
[000:23:55;233] >>> JUST 140 DAYS NOW
[000:23:56;935] BEFORE THE WINTER
[000:23:58;437] OLYMPICS IN SOUTH
[000:23:59;171] KOREA AND HERE IS WHAT
[000:24:00;372] THE 2900 ATHLETES FROM
[000:24:02;073] 95 COUNTRIES WILL BE
[000:24:03;575] CHASING -- THE GOLD,
[000:24:05;710] SILVER AND BRONZE
[000:24:06;445] MEDALS WERE JUST
[000:24:07;412] UNVEILED.
[000:24:07;979] THEY WERE DESIGNED
[000:24:09;147] WITH ENGLISH LETTERING
[000:24:09;915] ON THE FACE AND KOREAN
[000:24:11;016] LETTERS ON THE EDGES.
[000:24:12;651] >>> UP NEXT HERE
[000:24:13;452] TONIGHT, THE WOMAN WHO
[000:24:14;853] WAS THROWN 25,000
[000:24:17;989] What are the ingredients
[000:24:17;989] of a life well lived?
[000:24:21;593] Is it the places you go?
[000:24:23;295] The things you own?
[000:24:24;896] Or the people that fill it
[000:24:24;896] with meaning?
[000:24:28;633] For 150 years,
[000:24:28;633] generations of families
[000:24:32;270] have chosen Pacific Life
[000:24:33;939] for retirement and
[000:24:33;939] life insurance solutions.
[000:24:37;709] Protecting what's most
[000:24:37;709] important to you.
[000:24:40;946] That's the Power of Pacific.
[000:24:44;416] Ask a financial advisor
[000:24:44;416] about Pacific Life.
[000:24:49;488] But he's got work to do.
[000:24:49;488] with a sore back.
[000:24:51;323] So he took Aleve this morning.
[000:24:56;027] If he'd taken Tylenol,
[000:24:57;262] he'd be stopping for
[000:24:57;262] more pills right now.
[000:25:00;232] Only Aleve has the
[000:25:00;232] strength to stop tough pain
[000:25:02;868] for up to 12 hours
[000:25:02;868] with just one pill.
[000:25:05;937] Tylenol can't do that.
[000:25:08;373] Aleve. All Day Strong.
[000:25:08;373] All Day Long.
[000:25:11;443] Also try Aleve
[000:25:11;443] Direct Therapy with
[000:25:14;379] TENS technology for
[000:25:14;379] lower back pain relief.
[000:25:23;688] Stay with me, Mr. Parker.
[000:25:24;923] When a critical patient is far
[000:25:24;923] from the hospital,
[000:25:27;158] the hospital must come to the
[000:25:27;158] patient.
[000:25:28;927] Stay with me, Mr. Parker.
[000:25:30;228] The AT&T network is helping
[000:25:30;228] first responders
[000:25:32;664] connect with medical teams in
[000:25:32;664] near real time...
[000:25:35;367] Stay with me, Mr. Parker.
[000:25:36;935] ...Saving time when it matters
[000:25:36;935] most.
[000:25:40;005] Stay with me, Mrs. Parker.
[000:25:43;375] That's the power of and.
[000:25:51;449] My friI say not if you this
[000:25:51;449] protect yourself.ary.
[000:25:54;019] What is scary?
[000:25:55;320] Pneumococcal pneumonia.
[000:25:57;122] It's a serious disease.
[000:25:58;623] My doctor said the risk is
[000:25:58;623] greater now that I'm over 50!
[000:26:03;695] Yeah...ya-ha...
[000:26:06;031] Just one dose of the PREVNAR 13®
[000:26:07;966] vaccine can help protect you
[000:26:09;334] from pneumococcal pneumonia-
[000:26:09;334] an illness that can cause
[000:26:11;803] coughing, chest pain,
[000:26:11;803] difficulty breathing,
[000:26:13;905] and may even put you
[000:26:13;905] in the hospital.
[000:26:15;774] PREVNAR 13® is approved for
[000:26:15;774] adults 18 and older to help
[000:26:18;843] prevent infections from
[000:26:18;843] 13 strains of the bacteria that
[000:26:21;513] cause pneumococcal pneumonia.
[000:26:22;914] You should not receive
[000:26:22;914] PREVNAR 13® if you have had
[000:26:24;883] a severe allergic reaction to
[000:26:24;883] the vaccine or its ingredients.
[000:26:27;886] If you have a weakened
[000:26:27;886] immune system,
[000:26:29;387] you may have a lower
[000:26:29;387] response to the vaccine.
[000:26:31;523] The most common side effects
[000:26:31;523] were pain, redness,
[000:26:33;758] and swelling at
[000:26:33;758] the injection site,
[000:26:35;226] limited arm movement, fatigue,
[000:26:36;895] headache, muscle pain,
[000:26:36;895] joint pain, less appetite,
[000:26:39;698] vomiting, fever, chills,
[000:26:39;698] and rash.
[000:26:41;633] Get this one done!
[000:26:43;168] Ask about PREVNAR 13®
[000:26:43;168] at your next visit to your
[000:26:45;570] doctor's office or pharmacy.
[000:27:08;693] >>> FINALLY TONIGHT, A
[000:27:09;928] STORY ABOUT SOMETHING
[000:27:10;762] KIDS LOOK FORWARD TO
[000:27:12;697] ALL YEAR -- BIRTHDAY
[000:27:13;898] PARTIES.
[000:27:14;432] AND A MOM WHO HAS
[000:27:15;233] THROWN THOUSANDS OF
[000:27:16;167] THEM FOR CHILDREN WHO
[000:27:17;035] MIGHT NOT OTHERWISE BE
[000:27:17;869] ABLE TO CELEBRATE.
[000:27:20;605] NBC'S REHEMA ELLIS HAS
[000:27:22;741] OUR "INSPIRING
[000:27:24;109] AMERICA" REPORT.
[000:27:24;809] >> Reporter: THIS IS A
[000:27:25;610] BIRTHDAY PARTY FOR
[000:27:26;344] KIDS WHO COULD USE
[000:27:28;580] SOMETHING TO
[000:27:29;214] CELEBRATE.
[000:27:29;781] HOW HAPPY ARE YOU?
[000:27:30;515] >> GOOD.
[000:27:31;282] >> Reporter: LIKE
[000:27:32;150] 5-YEAR-OLD CHARLOTTE
[000:27:34;386] ROGERS.
[000:27:34;919] THE PARTY PLANNER IS
[000:27:35;720] THE CAT IN THE HAT.
[000:27:36;855] >> TODAY IS A
