[000:00:00;400] PRONOUNCE THEM.
[000:12:34;086] HARASSED FEMALE
[000:12:35;020] COLLEAGUES.
[000:12:35;621] COMING TO HIS SIDE,
[000:12:36;589] PRESIDENT DONALD
[000:12:37;289] TRUMP.
[000:12:38;157] IN AN INTERVIEW WITH
[000:12:39;191] "THE NEW YORK TIMES",
[000:12:39;959] TRUMP CALLED O'REILLY
[000:12:40;726] A GOOD PERSON.
[000:12:41;360] O'REILLY AND FOX NEWS
[000:12:42;294] SETTLED CLAIMS FROM
[000:12:43;362] FIVE WOMEN FOR $13
[000:12:44;897] MILLION ACCORDING TO
[000:12:46;465] THE TIMES BUT TRUMP
[000:12:47;199] SAID, I THINK HE
[000:12:49;068] SHOULDN'T HAVE SETTLED
[000:12:49;835] ADDING I DON'T THINK
[000:12:51;137] BILL DID ANYTHING
[000:12:52;705] WRONG.
[000:12:57;977] THAT DEFENSE OF
[000:13:00;146] O'REILLY WHO TRUMP
[000:13:01;147] KNOWS WELL INFURIATED
[000:13:02;581] ATTORNEY LISA BLOOM.
[000:13:04;483] >> I'VE BEEN FLOODED
[000:13:05;251] BY CALLS FROM FOX NEWS
[000:13:06;051] WOMEN ALL WEEK.
[000:13:06;719] >> Reporter: NOW
[000:13:07;419] REPRESENTING WENDY
[000:13:08;154] WALSH, A FORMER FOX
[000:13:08;888] CONTRIBUTOR WHO CLAIMS
[000:13:09;655] O'REILLY HARASSED HER.
[000:13:10;422] >> I SIMPLY SAID, I'M
[000:13:11;190] SORRY, I CAN'T DO
[000:13:11;891] THAT.
[000:13:14;560] >> Reporter: TRUMP HAS
[000:13:15;327] BEEN ACCUSED OF
[000:13:16;428] UNWANTED SEXUAL
[000:13:17;196] MISCONDUCT IN THE PAST
[000:13:17;963] AND DENIED IT.
[000:13:19;799] HIS COMMENTS TO AN
[000:13:20;533] ACTRESS DURING HIS
[000:13:21;267] "ACCESS HOLLYWOOD"
[000:13:22;001] TAPING ALMOST DERAILED
[000:13:22;935] HIS PRESIDENTIAL
[000:13:23;969] CAMPAIGN.
[000:13:26;505] TRUMP APOLOGIZED BUT
[000:13:28;274] NO NEW WORDS FROM
[000:13:28;974] O'REILLY.
[000:13:29;542] A STATEMENT EARLIER
[000:13:30;342] THIS WEEK HIS FAME
[000:13:31;076] MADE HIM VULNERABLE TO
[000:13:31;844] LAWSUITS AND HE
[000:13:32;511] SETTLED TO PROTECT HIS
[000:13:33;445] CHILDREN.
[000:13:34;480] A CONTROVERSY IN THE
[000:13:35;247] HEADLINES DURING
[000:13:36;048] APRIL, WHAT THE
[000:13:38;951] PRESIDENT HAS
[000:13:39;618] PROCLAIMED AS NATIONAL
[000:13:40;519] SEXUAL ASSAULT AND
[000:13:41;253] PREVENTION MONTH.
[000:13:42;688] ANNE THOMPSON, NBC
[000:13:43;422] NEWS, NEW YORK.
[000:13:45;791] >>> STILL AHEAD
[000:13:46;458] TONIGHT, AMAZON
[000:13:47;860] SHOPPERS, LISTEN UP,
[000:13:48;627] WHY THE ONLINE
[000:13:49;428] SHOPPING GIANT IS
[000:13:50;129] REFUNDING $70 MILLION
[000:13:50;996] TO PARENTS AND HOW YOU
[000:13:51;764] MIGHT BE ABLE TO GET
[000:13:52;565] YOUR SHARE OF IT.
[000:13:53;265] >>> ALSO, BUBBLING
[000:13:54;133] CONTROVERSY, HOW PEPSI
[000:13:55;167] IS RESPONDING TO THE
[000:13:56;202] BACKLASH OVER THE
[000:13:57;236] LATEST ADVERTISEMENT.
[000:16:32;291] >>> WE'RE BACK NOW
[000:16:33;025] WITH A CONSUMER ALERT.
[000:16:35;361] TENS OF THOUSANDS OF
[000:16:36;428] AMERICANS ARE ABOUT TO
[000:16:39;531] GET REFUNDS FROM
[000:16:40;566] AMAZON.
[000:16:41;600] IT COMES AFTER A LONG
[000:16:42;668] LEGAL BATTLE OVER
[000:16:43;369] YOUNG CHILDREN RACKING
[000:16:44;203] UP PURCHASES ON THEIR
[000:16:46;305] PARENTS' AMAZON
[000:16:46;972] ACCOUNTS, PARENTS
[000:16:47;840] UNAWARE IT WAS
[000:16:48;874] HAPPENING.
[000:16:49;942] NBC'S TOM COSTELLO HAS
[000:16:53;479] DETAILS ON THE
[000:16:54;146] SETTLEMENT.
[000:16:55;581] >> Reporter: IT'S A
[000:16:56;315] PRETTY SIMPLE CONCEPT,
[000:16:57;082] A 4-YEAR-OLD CAN'T
[000:16:57;816] CONSENT TO CHARGE A
[000:16:58;717] PARENTS' CREDIT CARD
[000:16:59;752] BUT YOUNG CHILDREN
[000:17:00;786] WERE PLAYING POPULAR
[000:17:02;855] KIDS' GAMES ON
[000:17:08;627] AMAZON'S KIN DEL,
[000:17:10;329] INCLUDING ICE AGE
[000:17:12;164] STORY AND TAP ZOO AND
[000:17:13;132] MORE.
[000:17:14;933] SUDDENLY, UP POPPED AN
[000:17:15;701] OPTION FOR THE CHILD
[000:17:16;468] TO BUY MORE VIRTUAL
[000:17:17;202] PETS, MORE GOLD COINS
[000:17:17;970] OR STARS BUT FOR REAL
[000:17:18;737] MONEY.
[000:17:19;238] ANYWHERE FROM 99 CENTS
[000:17:20;005] TO $99.
[000:17:20;539] THE KIDS, OF COURSE,
[000:17:21;306] QUICKLY AGREED.
[000:17:22;207] >> SO WE ALLEGE THAT
[000:17:22;975] PARENTS WERE BEING HIT
[000:17:23;776] WITH THESE CHARGES,
[000:17:26;378] MANY OF WHICH WERE
[000:17:29;481] LARGE-DOLLAR CHARGES
[000:17:30;249] AND LARGE NUMBERS OF
[000:17:31;050] CONSUMERS COMPLAINED.
[000:17:32;084] >> I WAS PRETTY
[000:17:32;751] ASTONISHED.
[000:17:33;652] I WAS QUITE ILL TO MY
[000:17:34;686] STOMACH.
[000:17:35;254] >> Reporter: JULIE
[000:17:36;255] PANICKED AFTER THEN
[000:17:36;989] 8-YEAR-OLD HANNA SPENT
[000:17:37;823] $10,000 BUYING VIRTUAL
[000:17:38;857] FOOD FOR A VIRTUAL PET
[000:17:39;625] ONLINE.
[000:17:40;926] PUTTING THE FAMILY
[000:17:41;660] TRIP TO YELLOWSTONE IN
[000:17:42;428] JEOPARDY.
[000:17:43;028] >> WE THOUGHT WE WERE
[000:17:44;063] GOING TO HAVE TO
[000:17:44;763] CHANGE OUR VACATION
[000:17:45;497] PLANS OR CANCEL OUR
[000:17:46;231] VACATION PLANS THAT WE
[000:17:47;166] HAD WORKED ON FOR
[000:17:49;268] MONTHS AND MONTHS OF
[000:17:50;302] PLANNING.
[000:17:51;336] >> Reporter:
[000:17:51;970] THANKFULLY, AMAZON
[000:17:53;405] REFUNDED THE $10,000.
[000:17:54;440] NOW IT'S REACHING OUT
[000:17:55;474] TO TENS OF THOUSANDS
[000:17:56;542] OF CUSTOMERS REFUNDING
[000:17:58;077] $70 MILLION BACK TO
[000:17:59;645] THEIR CREDIT CARDS.
[000:18:01;213] IT'S ALSO REQUIRING
[000:18:01;947] PASSWORDS FOR
[000:18:03;282] PURCHASES MADE IN
[000:18:04;316] KIDS' GAMES AND
[000:18:06;952] ENCOURAGING PARENTS TO
[000:18:07;719] GO TO THE APP STORE
[000:18:10;422] THEN GO INTO SETTINGS
[000:18:12;257] AND IN-APP PURCHASES
[000:18:13;959] AND SET PASSWORDS OR
[000:18:14;726] PIN CODES.
[000:18:16;328] THE TAKEAWAY, PAYING
[000:18:17;096] CUSTOMERS DO HAVE TO
[000:18:17;863] CONSENT BEFORE THEIR
[000:18:18;630] CREDIT CARD IS
[000:18:19;298] CHARGED.
[000:18:19;965] TOM COSTELLO, NBC
[000:18:20;666] NEWS, WASHINGTON.
[000:18:21;500] >>> WE'RE BACK IN A
[000:18:22;534] MOMENT WITH A FIGHTER
[000:18:23;602] JET GOING DOWN IN
[000:18:24;303] FLAMES.
[000:18:25;170] THE PILOT FORCED TO
[000:18:25;904] MAKE A SPLIT-SECOND
[000:18:26;705] DECISION.
[000:18:27;739] >> OH MY GOD.
[000:18:28;373] THANK GOD HE'S OKAY.
[000:21:36;461] >>> A SCARE IN THE
[000:21:37;996] SKIES OVER MARYLAND
[000:21:39;031] TODAY AS A FIGHTER JET
[000:21:40;065] WENT DOWN JUST A FEW
[000:21:41;133] MILES FROM THE U.S.
[000:21:42;167] CAPITOL.
[000:21:45;637] THE PILOT ON AN AIR
[000:21:47;806] NATIONAL GUARD
[000:21:48;473] TRAINING MISSION
[000:21:49;174] EJECTED SAFELY BUT WAS
[000:21:50;375] INJURED.
[000:21:51;176] PARACHUTING TO THE
[000:21:51;943] GROUND AS THE F-16
[000:21:53;011] CRASHED INTO A WOODED
[000:21:56;481] AREA SOUTHWEST OF
[000:21:57;282] JOINT BASE ANDREWS.
[000:21:58;116] THOSE INJURIES WE'RE
[000:21:59;151] TOLD THANKFULLY WERE
[000:22:00;185] NOT LIFE-THREATENING.
[000:22:02;254] >>> TO THE SODA AD
[000:22:03;288] SPARKING A BIG
[000:22:04;356] BACKLASH ON SOCIAL
[000:22:05;090] MEDIA.
[000:22:07;859] PEPSI HAS NOW PULLED
[000:22:08;694] THE COMMERCIALS
[000:22:10;028] FEATURING A REALITY TV
[000:22:12;998] STAR AFTER CRITICS
[000:22:14;499] CLAIMED IT WAS IN BAD
[000:22:16;201] TASTE AND TRIVIALIZED
[000:22:17;002] THE BLACK LIVES MATTER
[000:22:17;769] MOVEMENT.
[000:22:19;838] NBC'S GABE GUTIERREZ
[000:22:20;605] EXPLAINS.
[000:22:21;173] >> Reporter: TONIGHT
[000:22:21;940] PEPSI IS IN DAMAGE
[000:22:22;941] CONTROL AFTER BEING
[000:22:24;009] ACCUSED OF EXPLODING
[000:22:25;043] RACIAL PROTESTS TO
[000:22:26;078] SELL SODA.
[000:22:27;112] THE TWO AND A HALF
[000:22:28;146] MINUTE AD RELEASED
[000:22:29;181] TUESDAY ON YOUTUBE,
[000:22:32;017] FEATURES MODEL AND
[000:22:33;719] REALITY TV STAR
[000:22:35;053] KENDALL JENNER HAPPILY
[000:22:36;188] JOINING A GROUP OF
[000:22:36;922] YOUNG PROTESTERS.
[000:22:38;790] IT NEVER SPECIFICALLY
[000:22:39;558] REFERENCES THE BLACK
[000:22:40;359] LIVES MATTER MOVEMENT
[000:22:41;393] BUT MANY CRITICS NOTED
[000:22:42;427] THE STARK CONTRAST
[000:22:43;495] BETWEEN THE IMAGE OF
[000:22:44;262] JENNER HANDING A SOFT
[000:22:45;030] DRINK TO AN OFFICER
[000:22:46;098] AND PICTURES LIKE THIS
[000:22:47;132] ONE OF RIOT POLICE
[000:22:47;866] DETAINING A WOMAN IN
[000:22:48;667] BATON ROUGE LAST
[000:22:49;735] SUMMER.
[000:22:50;268] >> THIS AD TRIVIALIZES
[000:22:52;971] THE URGENCY OF THE
[000:22:54;506] ISSUES AND IT
[000:22:56;541] DIMINISHES THE
[000:22:57;542] SERIOUSNESS AND THE
[000:22:59;177] GRAVITY OF WHY WE GOT
[000:23:00;545] INTO THE SITUATION IN
[000:23:01;313] THE FIRST PLACE.
[000:23:03;048] >> Reporter: ON SOCIAL
[000:23:03;815] MEDIA, THE VIDEO
[000:23:04;516] QUICKLY DREW ANGER AND
[000:23:05;283] RIDICULE.
[000:23:05;851] MARTIN LUTHER KING
[000:23:06;685] JUNIOR'S DAUGHTER
[000:23:07;386] BERNICE TWEETED IF
[000:23:08;253] ONLY HER FATHER HAD
[000:23:09;287] KNOWN ABOUT THE POWER
[000:23:10;055] OF PEPSI.
[000:23:11;390] >> I'VE NEVER SEEN
[000:23:12;124] THIS AD GET NEGATIVE
[000:23:12;924] RESPONSE SO QUICKLY
[000:23:16;595] AND I THINK IT WILL
[000:23:18;029] MAKE PEPSI RE-EVALUATE
[000:23:20;132] WHAT THEY'RE DOING
[000:23:22;000] WITH THEIR BRAND
[000:23:22;701] QUICKLY.
[000:23:23;969] >> Reporter: TODAY
[000:23:24;703] PEPSI YANKED THE AD
[000:23:25;504] SHOWING A GLOBAL
[000:23:26;204] MESSAGE OF UNITY,
[000:23:27;072] PEACE AND
[000:23:28;106] UNDERSTANDING,
[000:23:29;174] CLEARLY, WE MISSED THE
[000:23:30;175] MARK AND WE APOLOGIZE.
[000:23:31;109] ♪
[000:23:32;177] DECADES AGO, THIS
[000:23:33;211] ICONIC COKE COMMERCIAL
[000:23:34;246] DURING THE FLOWER
[000:23:34;946] POWER MOVEMENT STRUCK
[000:23:35;814] THE RIGHT TONE AT THE
[000:23:36;581] RIGHT TIME.
[000:23:37;182] AS PEPSI FOUND OUT,
[000:23:37;916] TIMES HAVE CHANGED.
[000:23:38;650] GABE GUTIERREZ, NBC
[000:23:39;451] NEWS, MIAMI.
[000:23:41;019] >>> WHEN WE COME BACK
[000:23:41;787] HERE TONIGHT, THE
[000:23:42;554] BASEBALL SUPER STAR
[000:23:43;622] USING HIS LIFE'S OTHER
[000:23:44;656] PASSION TO CONNECT
[000:23:45;390] WITH KIDS.
[000:23:46;224] INSPIRING AMERICA IS
[000:23:47;259] NEXT.
[000:23:47;259] NE. AIC ASUS TY'RTANG  FIT BK I=
[000:26:51;109] >>> FINALLY TONIGHT
[000:26:52;644] WITH BASEBALL SEASON
[000:26:54;179] IN FULL SWING A STORY
[000:26:55;246] ABOUT A MAN OF MANY
[000:26:56;281] TALENTS, NOT ONLY DOES
[000:26:57;315] HE HAVE FOUR WORLD
[000:26:58;350] SERIES CHAMPIONSHIPS
[000:26:59;918] TO HIS NAME, HE'S ALSO
[000:27:00;952] A LATIN GRAMMY
[000:27:02;520] NOMINATED RECORDING
[000:27:05;490] ARTIST.
[000:27:06;024] AND NOW HE'S USING HIS
[000:27:07;392] LOVE OF MUSIC TO GO TO
[000:27:08;627] BAT FOR SCHOOLKIDS.
[000:27:11;196] NBC'S REHEMA ELLIS HAS
[000:27:12;230] MORE IN OUR INSPIRING
[000:27:12;998] AMERICA REPORT.
[000:27:13;665] >> HEY, KIDS.
[000:27:14;299] >> Reporter: HE'S BEST
[000:27:15;367] KNOWN AS A CHAMPION
[000:27:16;101] BASEBALL PLAYER BUT
[000:27:16;835] THESE KIDS ARE
[000:27:17;502] CHEERING FOR THE OTHER
[000:27:18;470] SIDE OF BERNIE
[000:27:19;504] WILLIAMS.
[000:27:24;009] ♪
[000:27:24;542] >> Reporter: WHAT CAME
[000:27:25;343] FIRST?
[000:27:25;844] YOUR LOVE OF BASEBALL
[000:27:27;112] OR YOUR LOVE OF MUSIC?
[000:27:28;880] >> THEY BOTH CAME
[000:27:29;581] AROUND THE SAME TIME
[000:27:30;982] IN MY LIFE.
[000:27:31;583] >> Reporter: THE
[000:27:32;550] FORMER NEW YORK YANKEE
[000:27:33;318] AND LATIN GRAMMY
[000:27:34;085] NOMINATED GUITARIST
[000:27:35;153] GREW UP PLAYING
[000:27:36;187] BASEBALL AND ATTENDING
[000:27:36;955] A PERFORMING ARTS
[000:27:38;256] SCHOOL.
[000:27:38;790] HE'S NOW JOINED
[000:27:39;824] ANOTHER TEAM CALLED
[000:27:40;859] TURN AROUND ARTS, THAT
[000:27:41;626] GIVES STUDENTS
[000:27:42;427] SOMETHING HIS MOTHER
[000:27:43;461] MADE SURE HE HAD.
[000:27:44;162] >> SHE SAID, WELL, YOU
[000:27:45;030] HAVE TO BE A
[000:27:45;664] WELL-ROUNDED
[000:27:47;632] INDIVIDUAL.
[000:27:48;667] IN ORDER FOR YOU TO DO
[000:27:49;701] THAT, YOU NEED TO BE
[000:27:51;269] EXPOSED TO ARTS,
[000:27:52;303] MUSIC, AND SPORTS.
[000:27:53;038] >> Reporter: FUNDED
[000:27:53;872] THROUGH A GRANT FROM
[000:27:54;906] THE KENNEDY CENTER,
[000:27:55;640] THE PROGRAM ALLOWS
[000:27:58;543] SCHOOLS TO MIX THE
[000:28:01;646] ARTS INTO ALL ACADEMIC
[000:28:03;648] SUBJECTS, ACTING OUT
[000:28:04;749] SCENES IN SCIENCE.
[000:28:05;784] OR DRAWING AND
[000:28:06;685] HISTORY.
[000:28:07;218] AND IT'S WORKING.
[000:28:07;986] IN 68 SCHOOLS
[000:28:09;354] NATIONWIDE, WITH
[000:28:10;088] TURNAROUND ARTS
[000:28:11;222] PROGRAMS, MATH SCORES
[000:28:12;057] ARE UP BY MORE THAN
[000:28:16;628] 2
[000:28:17;362] 22%, READING BY MORE
[000:28:18;129] THAN 12%.
[000:28:19;164] >> WHEN YOU BRING THE
[000:28:19;931] ARTS INTO SCHOOL,
[000:28:20;632] SCHOOLS GO FROM GREY
[000:28:21;700] OF COLOR, PARENTS
[000:28:22;734] BECOME MORE ENGAGED
[000:28:23;768] AND ATTENDANCE STARTS
[000:28:24;536] TO GO UP.
[000:28:25;637] ♪
[000:28:27;706] >> Reporter: THIS
[000:28:28;740] YEAR, JOSHUA WENT FROM
[000:28:29;507] CHRONICALLY TARDY TO
[000:28:30;275] HONOR ROLL.
[000:28:30;875] >> YOU HAVE TO BE GOOD
[000:28:33;978] TO BE IN BAND OR YOU
[000:28:36;981] ARE NOT GOING TO BE
[000:28:37;982] ALLOWED TO COME DOWN
[000:28:38;750] AND PRACTICE.
[000:28:39;417] >> Reporter: A LOT OF
[000:28:40;452] THEM WILL HAVE TALENT
[000:28:42;554] TO BECOME MUSICIANS
[000:28:43;588] AND ARTISTS BUT THE
[000:28:44;622] ONES THAT DON'T GOT
[000:28:45;657] EXPERIENCE TO LEAD
[000:28:46;391] THEM INTO WHATEVER
[000:28:47;225] THEY DECIDE TO DO.
[000:28:48;793] >> Reporter: FROM
[000:28:50;361] CENTER FIELD TO
[000:28:51;930] CLASSROOM, NOW HITTING
[000:28:52;964] HOME RUNS WITH KIDS.
[000:28:53;698] REHEMA ELLIS, NBC
[000:28:54;499] NEWS, BRIDGEPORT,
[000:28:56;067] CONNECTICUT.
[000:28:57;102] >>> THAT'S GOING TO DO
[000:28:57;869] IT FOR US ON A
[000:28:58;670] WEDNESDAY NIGHT.
[000:28:59;337] I'M LESTER HOLT.
[000:29:00;004] FOR ALL OF US AT NBC
[000:29:01;272] NEWS, THANK YOU FOR
[000:29:02;307] WATCHING AND GOOD
[000:29:03;341] NIGHT.
[000:29:03;341] RIT N AT: CLNerodyas d eughRU=0
[000:29:22;293] >>>.
[000:29:22;527] >>> I THINK EVERYBODY HAS HAD
[000:29:25;530] ENOUGH.
[000:29:25;797] >> RIGHT NOW, AT 6:00, CLEANING
[000:29:29;667] UP IN A DANGER ZONE IN THE
[000:29:31;703] BAY AREA'S LARGEST CITY.
[000:29:33;238] WE HAVE THE EXCLUSIVE STORY.
[000:29:35;707] >>> THE NEWS AT 6:00 STARTS
[000:29:37;408] RIGHT NOW.
[000:29:38;510] GOOD EVENING.
[000:29:39;010] THANKS FOR JOINING US.
[000:29:41;846] I'M JANELLE WANG.
[000:29:43;548] >> AND I'M RAJ MATHAI.
[000:29:46;084] AN UNUSUAL TACTIC USED TO CRACK
[000:29:48;553] DOWN IN A HOT SPOT FOR CRIME.
[000:29:51;289] SAN JOSE P.D. HAS OPENED AN
[000:29:52;690] OFFICE RIGHT IN THE HOT ZONE.
[000:29:55;059] NBC BAY AREA DAMON TRUJILLO HAS
[000:29:59;330] THE STORY.
[000:30:00;098] >> Reporter: WE'RE TALKING ABOUT
[000:30:02;100] FOUNTAIN ALLEY HERE IN DOWNTOWN
[000:30:04;369] SAN JOSE AND LOOKING AT THE
[000:30:06;504] POLICE STATS POSTED BY SAN JOSE
[000:30:08;540] POLICE, THERE HAVE BEEN 60 CALLS
[000:30:10;542] FOR SERVICE IN THIS AREA ALONE
[000:30:11;943] IN THE LAST 30 DAYS.
[000:30:14;779] THERE ARE POLICE OFFICERS ON THE
[000:30:16;014] CORNER EVER FOUNTAIN ALALLEY, AD
[000:30:23;822] BETWEEN FIRST AND SECOND.
[000:30:25;023] POLICE ARE MOVING IN RIGHT HERE
[000:30:28;793] FOR GOOD.
[000:30:30;395] YOU NAME THE DRUG, AND YOU'LL
[000:30:33;231] LIKELY FIND IT HERE ON FOUNTAIN
[000:30:37;235] ALLEY.
[000:30:37;635] CRIME HAPPENS HERE VIRTUALLY
[000:30:39;103] DAILY.
[000:30:39;370] >> WE SEE CRIMES, DRUG DEALING,
[000:30:41;472] PROSTITUTION HERE AND THERE.
[000:30:42;874] >> Reporter: THE CITY FISH
[000:30:44;576] MARKET SAYS THE CRIME HAS
[000:30:45;977] AFFECTED BUSINESS.
[000:30:46;845] POLICE HAVE KNOWN ABOUT THIS
[000:30:49;380] AALLEY FOR YEARS, THEY'LL MAKE
[000:30:52;050] ARRESTS, BUT THAT HASN'T STOPPED
[000:30:53;451] THE PROBLEM.
[000:30:54;419] >> HOW IS CRIME HERE?
[000:30:56;421] >> VER
