[000:00:00;11] OF  
[000:12:48;03] HERE.  
[000:12:48;16] IN A MOMENT, WE WILL HEAR  
[000:12:49;27] THOUGH FROM A MAN WHO WAS  
[000:12:51;02] WORKED INSIDE THE FBI  
[000:12:52;19] FIGHTING TERRORISM.  
[000:12:53;26] AND HEAR WHAT HE THINKS OF  
[000:12:55;04] TODAY'S LATEST DEVELOPMENTS  
[000:12:56;08] AND THE EFFORTS TO CATCH  
[000:12:57;17] THESE TWO MEN.  
[000:12:58;06] THAT'S COMING UP TONIGHT ON  
[000:12:59;05] THE FOX REPORT LIVE FROM  
[000:13:01;01] BOYLSTON STREET IN BOSTON.  
[000:13:02;14] ONLY A FEW DAYS AFTER THE  
[000:13:04;07] MARATHON ATTACKS THAT LEFT  
[000:13:05;21] THREE PEOPLE DEAD, MORE  
[000:13:08;22] THAN 170 WOUNDED AND A CITY  
[000:13:10;21] AND A NATION THAT IS  
[000:13:12;12] MOURNING FOR THESE THREE.  
[000:13:14;10] TONIGHT.
[000:15:01;23] @  [ alarm clock ringing ]    [ Female
[000:15:06;23] Announcer ] IF YOU    HAVE RHEUMATOID
[000:15:07;17] ARTHRITIS,    CAN YOUTART THE DAY
[000:15:08;20] THE WAY YOU WANT?    CAN ORENCI(ABATACEPT)
[000:15:10;13] HELP?    COULD YOUR "I WANT"    BECOME
[000:15:12;04] "I CAN"?    TALK TO YOUR RHEUMATOLOGIST.
[000:15:16;09] ORENCIA REDUCES    MANY RA SYMPTOMS
[000:15:18;16] LIKE PAIN, MORNING STIFFNESS    AND
[000:15:20;11] THE PROGRESSION    OF JOINT DAMAGE.
[000:15:22;13] IT'S HELPED NEW RA PATIENTS    AND
[000:15:24;05] THOSE NOT HELPED ENOUGH    BY OTHER
[000:15:25;25] TREATMENTS.    DO NOT TAKE ORENCIA
[000:15:28;01] WITH ANOTHER BIOLOGIC MEDICINE   
[000:15:28;22] FOR RA    DUE TO AN INCREASED RISK
[000:15:30;07] OF SERIOUS INFECTION.    SERIOUS SIDE
[000:15:31;18] EFFECTS CAN OCCUR    INCLUDING FATAL
[000:15:32;11] INFECTIONS.    CASES OF LYMPHOMA AND
[000:15:36;03] LUNG CANCER HAVE BEEN REPORTED.  
[000:15:38;26] TELL YOUR DOCTOR IF YOU ARE    PRONE
[000:15:39;19] TO OR VE ANY INFECTION    LIKE AN
[000:15:42;14] OPEN SORE OR THE F    OR A HISTORY
[000:15:43;19] OF COPD,    A CHRONIC LUNG DISEASE.
[000:15:46;23] ORENCIA MAY WORSEN YOUR COPD.    [
[000:15:48;24] Male Announcer ]    NOW LEARN ABOUT
[000:15:49;17] A PROGRAM    COMMITTED TO YOU    AND
[000:15:51;28] COPAY ASSISTANCE THAT CAN    REDUCE
[000:15:53;24] MONTHLY ORENCIA    OUT-OF-POCKET 
[000:15:55;06] DRUG COST TO $5.    IF YOU'RE    NOT
[000:15:57;12] SATISFIED    AFTER 6 MONTHS,    YOU
[000:15:59;14] GET    THAT MONEY BACK.    CALL 1-800-ORENCIA.
[000:16:26;25] >> Bill: BACK TO IT OUR  
[000:16:28;18] BREAKING NEWS NOW HERE IN  
[000:16:29;11] BOSTON.  
[000:16:29;25] THE FBI RELEASING PHOTOS  
[000:16:30;17] AND VIDEO OF TWO MEN  
[000:16:31;15] CALLING THEM SUSPECTS AFTER  
[000:16:33;14] MONDAY'S MARATHON BOMBINGS.  
[000:16:34;29] WITH ME NOW TERRY FORMER  
[000:16:37;20] DEPUTY ASSISTANT DIRECTOR  
[000:16:38;13] OF THE COUNTER TERRORISM  
[000:16:39;23] DIVISION OF THE FBI.  
[000:16:40;19] AND, SIR, GOOD EVENING TO  
[000:16:41;23] YOU.  
[000:16:42;05] I WANT YOU TO TAKE ME AND  
[000:16:43;22] OUR VIEWERS NEED THE FBI'S  
[000:16:46;27] INVESTIGATION NOW.  
[000:16:48;02] WHAT IS HAPPENING?  
[000:16:49;15] KNOWING THAT THEY ARE GOING  
[000:16:50;11] PUBLIC WITH THIS  
[000:16:51;14] INFORMATION AS OF 5:15  
[000:16:53;24] EASTERN TIME TWO HOURS AGO?  
[000:16:56;18] >> THEY SPENT MANY HOURS  
[000:16:58;11] DISCUSSING THIS AND  
[000:16:59;18] ANALYZING AND ASSESSING  
[000:17:00;12] WHAT THEY HAD AND THEY  
[000:17:01;22] DECIDED THAT IT THEY WERE  
[000:17:03;25] NO LONGER GOING TO HAVE  
[000:17:04;22] TIME TO IDENTIFY THESE  
[000:17:05;22] PEOPLE ON THEIR OWN.  
[000:17:06;22] SO IT'S TIME TO GO BACK TO  
[000:17:07;18] THE PUBLIC.  
[000:17:08;16] REMEMBER, THIS IS A VERY  
[000:17:09;19] VERY FAST-MOVING CASE.  
[000:17:11;19] AND IT'S FAST MOVING  
[000:17:14;12] BECAUSE OF THE PUBLIC'S  
[000:17:18;11] HELP.  
[000:17:18;24] IF YOU HAVE VIDEO,  
[000:17:19;29] PICTURES, CAMERA CELL  
[000:17:20;25] PHONES ANYTHING LIKE THAT,  
[000:17:22;10] TURN IT OVER TO THE FBI  
[000:17:25;13] BOSTON LAW ENFORCEMENT.  
[000:17:26;06] NOW THE FOCUS IS ON THESE  
[000:17:27;14] FACES AND THESE TWO PEOPLE.  
[000:17:29;25] AND THE THEY KEPT STRESSING  
[000:17:31;15] THAT THINK ABOUT THESE TWO  
[000:17:32;19] PEOPLE AND IF YOU WERE IN  
[000:17:34;23] TOWN, IF YOU WERE ON ROADS  
[000:17:36;03] HIGHWAYS LEADING INTO TOWN,  
[000:17:38;01] LET'S TAKE AN EXAMPLE, IF  
[000:17:39;01] YOU WERE LEASING ROOMS TO  
[000:17:42;28] PEOPLE THINK ABOUT THESE  
[000:17:44;17] FACES.  
[000:17:45;00] ABOUT D. THESE PEOPLE STAY  
[000:17:45;24] WITH YOU IN A ROOM.  
[000:17:46;20] RENT A ROOM MAYBE TWICE IN  
[000:17:47;15] THE LAST FEW WEEKS.  
[000:17:49;00] IF THEY DID CALL.  
[000:17:51;19] WHEN WE WENT BACK AND  
[000:17:53;00] STARTING INVESTIGATED THE  
[000:17:54;04] "U.S.S. COLE" BOMBING, THE  
[000:17:55;06] BAD GUYS HAD LEASED A ROOM  
[000:17:56;15] HAD A SAFE HOUSE NOT FARM  
[000:17:58;26] FROM THE HARBOR.  
[000:17:59;22] WE KNOW THESE KIND OF  
[000:18:00;25] THINGS OCCUR.  
[000:18:01;16] IF YOU ARE A BUS DRIVER, IF  
[000:18:03;10] YOU RENT CARS, IF YOU WORK  
[000:18:04;13] AT A GAS STATION OR A  
[000:18:05;23] COFFEE SHOP, WE KNOW THAT  
[000:18:09;13] THEODORE KOSINSKI GOT ON A  
[000:18:10;24] BUS WITH UNSTABLE BOMBS AND  
[000:18:12;15] WENT FROM POINT A TO POINT  
[000:18:14;15] B.  
[000:18:14;26] ERIC RUDOLPH TOOK HIS CAR  
[000:18:15;25] AND LEFT THE SCENE OF THE  
[000:18:18;02] CRIME.  
[000:18:18;15] WE KNOW WHAT THESE PEOPLE  
[000:18:19;12] DO.  
[000:18:19;24] NOW WE HAVE TO FOCUS THE  
[000:18:21;10] PUBLIC AND FOCUS THEM ON A  
[000:18:23;10] MAN'S DAILY ROUTINE AND A  
[000:18:25;02] MAN'S DAILY BEHAVIOR.  
[000:18:27;16] EVEN THOUGH THESE TERRIBLE  
[000:18:29;15] CRIMES COMMITTED.  
[000:18:31;04] THESE PEOPLE ENGAGED IN  
[000:18:32;03] CRIMES BEFORE THEY CAME TO  
[000:18:33;15] BOSTON.  
[000:18:33;29] LOOK AT THESE FACES LOOK  
[000:18:35;26] AT THESE PEOPLE.  
[000:18:36;15] LOOK AT THESE CAPS.  
[000:18:37;12] I THINK I HEARD EARLIER ONE  
[000:18:39;01] OF YOUR REPORTERS EARLIER  
[000:18:40;25] MENTIONED THINK ABOUT THE  
[000:18:42;00] CAPS.  
[000:18:42;13] THEY MAY HAVE BEEN BOUGHT  
[000:18:43;06] IN THE VICINITY.  
[000:18:44;05] MAYBE IN THE VICINITY OF A  
[000:18:45;02] HOTEL WHERE THESE GUYS  
[000:18:46;17] STAYED.  
[000:18:47;01] IF YOU ARE IN ANY OF THOSE  
[000:18:48;04] PROFESSIONS OR OCCUPATIONS  
[000:18:49;03] THINK ABOUT THESE PEOPLE  
[000:18:50;05] AND CALL IF YOU HAVE ANY  
[000:18:51;22] INTICKET THAT I THINK I SAW  
[000:18:52;18] THESE TWO PEOPLE OR I THINK  
[000:18:54;05] I RENTED A ROOM TO THEM.  
[000:18:56;29] >> Bill: EXCELLENT  
[000:18:57;19] EXCELLENT POINTS TERRY.  
[000:18:58;29] SHOULD WOULD HE BE  
[000:18:59;18] SURPRISED IN ANY WAY THAT  
[000:19:00;18] THESE IMAGES ARE OUT THERE  
[000:19:02;10] NOW OR PERHAPS THE BETTER  
[000:19:03;12] PART OF THAT QUESTION IS  
[000:19:04;25] WHAT DOES THAT SAY ABOUT  
[000:19:08;00] WHERE THEY ARE IN THIS  
[000:19:08;29] INVESTIGATION?  
[000:19:09;16] >> WELL, FIRST OF ALL I AM  
[000:19:15;08] REALLY DELIGHTED THAT THE  
[000:19:16;03] FBI IS MORE NOW 10 YEARS  
[000:19:18;04] AGO OR 20 YEARS OR WHEN I  
[000:19:20;01] WAS WORKING ON UNIBOMB  
[000:19:22;00] THEY ARE INTO AND  
[000:19:23;02] UNDERSTAND HOW TO UTILIZE  
[000:19:25;08] AND COMMUNICATE TO THE  
[000:19:26;09] PUBLIC THROUGH THE MEDIA.  
[000:19:27;17] AND I KNOW THAT THERE IS A  
[000:19:29;16] LOT OF CONSTERNATION OVER  
[000:19:31;24] WHY NOW OR WHATEVER.  
[000:19:33;05] LOOK, THEY HAD THESE  
[000:19:34;28] PICTURES.  
[000:19:35;13] THEY DEVELOPED THEM AND NOW  
[000:19:36;07] THEY ARE TRYING TO FOCUS  
[000:19:37;14] PEOPLE ON TAKING THEM DOWN  
[000:19:38;18] THE TRAIL OF WHERE THESE  
[000:19:39;22] PEOPLE MIGHT HAVE COME FROM AND WHERE
[000:19:40;27] HO THEY MIGHTE.  
[000:19:43;27] >> Bill: UNDERSTOOD.  
[000:19:44;17] SOMEONE FROM THE PUBLIC HAS  
[000:19:45;12] TO COME FORWARD NOW.  
[000:19:46;05] IT'S CLEAR THAT THEY STILL  
[000:19:47;07] NEED THE PUBLIC'S HELP IN  
[000:19:49;24] .  
[000:19:50;23] TERRY, THANK YOU.  
[000:19:52;00] TERRY TURCHIE FORMER  
[000:19:54;28] COUNTER TERRORISM DIRECTOR  
[000:19:55;21] OF THE FBI.  
[000:19:56;08] BACK ON THE STREETS OF  
[000:19:58;00] BOYLSTON IN A MOMENT.  
[000:19:58;21] NEWLY RELEASED PHOTOS AMEND  
[000:19:59;26] THE VIDEO.  
[000:20:00;14] THEY COULD PROVE CRITICAL
[000:20:01;21] IN SOLVING THIS CASE.  
[000:20:03;04] LOOK AT JUST HOW CRITICAL  
[000:20:04;02] IN A MOMENT AS OUR COVERAGE  
[000:20:05;23] CONIGHT.  
[000:20:07;23] IN BOSTON.
[000:20:12;03] [ Female Announcer ] A CLASSIC   
[000:20:12;22] MEATLOAF RECIPE FROM STOUFFER'S  
[000:20:13;17] STARTS WITH GROUND BEEF    ONIONS
[000:20:14;10] AND PEPPERS    BAKED IN A KETCHUP
[000:20:15;25] GLAZE    WITH SAVORY GRAVY    AND
[000:20:17;07] MASHED RUSSET POTATOES.    WHAT MAKES
[000:20:19;13] STOUFFER'S MEATLOAF    BEST OF ALL?
[000:20:21;08] THAT MOMENT YOU ENJOY IT    AT HOME.
[000:20:23;13] STOUFFER'S.    MADE WITH CARE,   
[000:20:24;16] FOR YOU OR YOUR FAMILY.
[000:20:26;26] I think Ford service  is great  but
[000:20:27;23] I wondered what a  customer thought?
[000:20:28;27] Describe the first  time you met 
[000:20:29;20] As soon as I met Fiona and I  was
[000:20:30;10] describi problem
[000:20:31;00] we were having with  our rear brakes,
[000:20:32;18] she ely triaged  the situation,
[000:20:34;03] knew exactly what was  wrong with
[000:20:34;23] it,
[000:20:36;01] the car was diagnosed properly  it
[000:20:36;22] was fixed correctly
[000:20:37;15] I have confidence knowing that  if
[000:20:38;03] I take to Ford it's going to
[000:20:39;28] be done correctly with the right 
[000:20:40;18] parts and the right people.
[000:20:42;13] Get a free brake inspection and
[000:20:45;04] brake pads installed for just
[000:20:46;19] 49.95 after rebates when you
[000:20:47;28] use the Ford Service Credit    Card.
[000:20:49;16] Did you tell him to say  all of that?
[000:20:51;00] No
[000:20:52;00] he's right though...
[000:21:23;18] [ HEART BEATING,  MONITOR BEEPING
[000:21:24;08] ]  Woman: WHAT DO YOU MEAN,  HOMEOWNERS
[000:21:26;08] INSURANCE
[000:21:28;10] DOESN'T COVER FLOODS?
[000:21:30;03] [ HEART RATE INCREASES ]
[000:21:31;23] Man: A FEW INCHES OF WATER  CAUSED
[000:21:32;13] ALL THIS?
[000:21:35;08] [ HEART RATE INCREASES ]
[000:21:36;13] Woman #2: BUT I DON'T EVEN LIVE  NEAR
[000:21:37;07] THE WATER.
[000:21:38;29] WHAT YOU DON'T KNOW ABOUT FLOOD  
[000:21:39;23] INSURANCE MAY SHOCK YOU --
[000:21:42;02] INCLUDING THE FACT    THAT A PREFERRED
[000:21:42;27] RISK POLICY
[000:21:44;29] STARTS AS LOW AS $129 A YEAR.
[000:21:48;02] FOR AN AGENT, CALL THE NUMBER
[000:21:50;06] THAT APPEARS ON YOUR SCREEN.
[000:22:14;25] >> Bill: BACK TO OUR  
[000:22:16;17] BREAKING NEWS NOW IN BOSTON  
[000:22:17;11] A COUPLE OF HOURS AGO.  
[000:22:18;02] THE FBI RELEASING VIDEO AND  
[000:22:18;26] IMAGES OF TWO S
[000:22:19;17] THE SCENE OF MONDAY'S  
[000:22:21;09] BOMBINGS
[000:22:21;19] AND THEY CALLED THEM  
[000:22:22;22] SUSPECTS.  
[000:22:23;07] YOUNG MEN IN BASEBALL CAPS  
[000:22:24;19] FROM THE FBI IS CALLING  1 SCREEN
[000:22:27;03] LEFT.  
[000:22:28;10] RIGHT.  
[000:22:28;23] AND NOW THE OFFICIALS  
[000:22:29;20] ASKING FOR YOUR  
[000:22:30;25] IDENTIFYING THEM.  
[000:22:31;24] WITH ME NOW MY COLLEAGUE  
[000:22:33;10] FOX NEWS ANCHOR GREG  
[000:22:35;16] JARRETT, ALSO AN ATTORNEY.  
[000:22:37;04] GREG, GOOD EVENING TO YOU  
[000:22:38;20] THERE IN NEW YORK.  
[000:22:39;16] IT IS IMPORTANT TO STRESS  
[000:22:40;12] HOW CRITICAL AND VITAL AT  
[000:22:41;27] THIS POINT IN THE  
[000:22:43;04] INVESTIGATION THESE IMAG
[000:22:43;23] AND THE VIDEO AND HOW VITAL  
[000:22:45;13] THEY CAN  
[000:22:46;23] >> YOU ARE RIGHT BILL.  
[000:22:48;15] THEY ARE K. NOT ONLY  
[000:22:50;14] ALLEGEDLY IDENTIFY THE  
[000:22:51;25] IN THE COURSE OF A TRIAL  
[000:22:52;17] THEY PROVIDE THE SEQUENCE  
[000:22:53;13] OF CONVENIENCE LEADING UP  
[000:22:54;14] TO THE EXPLOSION.  
[000:22:57;08] REMEMBER, YOU SEE TWO GUYS,  
[000:22:58;14] ONE OF  
[000:22:59;00] VAD YES TAPE ACCORDING TO  
[000:23:00;06] THE FBI LITERALLYE BACKPACK WHERE
[000:23:02;13] THERE WAS AN EXPLOSION AND  TS  
[000:23:06;17] BE.  
[000:23:07;05] THAT IS INCOWERFUL  
[000:23:09;01] CIRCUMSTANTIAL EVIDENCE.  
[000:23:09;23] IT ALSO SHOWS FLIGHT AS  
[000:23:11;25] CONSCIOUSNESS OF GUILT  
[000:23:13;15] BILL.  
[000:23:13;28] >> Bill: WELL, THAT IS  
[000:23:14;25] INTERESTING.  
[000:23:15;07] BECAUSE THE FBI SAID THAT  
[000:23:16;29] COMMENT TONIGHT ABOUT  
[000:23:18;01] SUSPECT NUMBER 2.  
[000:23:18;20] AND THEY SAY THEY HAVE  
[000:23:21;19] VIDEOTAPE EVIDENCE OF H
[000:23:22;10] LEAVING THAT BOMB AT THE  
[000:23:23;15] SCENE.  
[000:23:24;01] NOW, WHAT OTHER EVIDENCE  
[000:23:25;04] COULD BE IMPORTANT HERE,  
[000:23:28;19] GREG?  
[000:23:29;02] >> Greg: THE DEBRIS FIELD  
[000:23:29;25] IS A WEALTH OF DIRECT  
[000:23:34;04] EVIDENCE BECAUSE IN  
[000:23:34;27] PARTICULAR THEY MAY BE AGE  
[000:23:36;05] TO IDENTIFY THE LABORATORY  
[000:23:38;21] UNDERWRITER ON ONE OR MORE  
[000:23:39;23] OF THE PRESSURE COOKERS  
[000:23:40;29] THAT COULD LEAD TO WHERE IT   THE
[000:23:42;21] PEOPLE WHO  
[000:23:43;15] PURCHASED IT.  
[000:23:44;14] 1993 IN THE WORLD TRADE  
[000:23:45;16] CENTER BOMBING, IT WAS A  
[000:23:47;03] SMALL IDENTIFICATION NUMBER  
[000:23:48;10] IN THE DEBRIS FIELD FOUND  
[000:23:50;14] ON THE AXLE OF T  
[000:23:51;19] EXPLODING VAN THAT  
[000:23:53;23] THE RYDER TRUCK RENTAL IN  
[000:23:55;28] NEW JERSEY AND THAT'S HOW  
[000:23:57;04] THEY NABBED THE KILLERS.  
[000:23:59;01] >> Bill: AS WE MOVE  
[000:23:59;27] FORWARD, IF THERE IS AN  
[000:24:01;03] ARREST, IF THERE IS AN  
[000:24:02;23] APPREHENSION, WH  
[000:24:03;15] CHARGES COULD BE FILED IN A  
[000:24:06;07] CASE LIKE THIS?  
[000:24:07;00] >> THE FEDS COULD FILE  
[000:24:08;19] TERRORISM CHARGES AGAINST  
[000:24:09;22] THESE SUSPECTS.  
[000:24:11;02] THAT IS, YOU KNOW, AN ACT  
[000:24:12;12] OF VIOLENCE INTENDED TO  
[000:24:14;02] COERCE THE GOVERNMENT OR  
[000:24:15;22] INTIMIDATE THE GENERAL  
[000:24:17;11] POPULATION.  
[000:24:17;28] THAT CARRIES THE DEATH  
[000:24:20;06] PENALTY AS WELL AS  
[000:24:20;28] EXPLODING A WEAPON OF MASS  
[000:24:23;10] DESTRUCTION.  
[000:24:23;26] THE STATE COULD CHARGE,  
[000:24:26;25] MURDER CHARGES UP TO 200  
[000:24:28;28] ATTEMPTED MURDER CHARGES  
[000:24:29;20] BUT, REMEMBER,  
[000:24:31;12] MASSACHUSETTS ABOLISHED THE  
[000:24:32;14] DEATH PENALTY IN 1984, SO  
[000:24:34;15] ONLY THE FEDS CAN SEEK  
[000:24:36;06] DEATH.  
[000:24:38;10] >> Bill: THANK YOU GREG.  
[000:24:39;19] GREG JARRETT IN OUR STUDIOS  
[000:24:40;27] THERE IN NEW YORK.  
[000:24:41;19] THANK YOU SO MUCH, GREG.  
[000:24:43;02] APPRECIATE THAT.  
[000:24:43;23] IN THE MEANTIME, WE HAVE A  
[000:24:45;01] SERIES OF IMAGES NOW  
[000:24:46;27] CIRCULATING AROUND THE  
[000:24:48;01] WORLD AT BREAK NECK SPEED  
[000:24:49;20] AS FEDERAL INVESTIGATORS  
[000:24:50;12] SEEK TO IDENTIFY THESE  
[000:24:51;20] SUSPECTS.  
[000:24:52;09] THE LATEST ON THE FBI'S  
[000:24:54;23] DIRECTOR APPEAL TO EACH AND  
[000:24:55;24] EVERY ONE OF US.  
[000:24:58;12] TONIGHT.  
[000:24:58;26] THAT IS COMING UP NEXT.
[000:26:17;10] WE KNOW ALL YOUR INVESTMENTS  MAY
[000:26:18;00] NOT BE WITH FIDELITY  BUT WE CAN STILL
[000:26:19;07] HELP YOU SEE  YOUR BIG PICTURE.
[000:26:22;06] WITH THE FIDELITY  GUIDED PORTFOLIO
[000:26:22;27] SUMMARY
[000:26:24;05] YOU CHOOSE  WHICH ACCOUNTS TO TRACK
[000:26:26;22] AND USE FIDELITY'S ANALYTICS  TO SPOT
[000:26:27;16] TRENDS
[000:26:29;17] GAIN INSIGHTS, AND FIGURE OUT  WHAT
[000:26:30;08] YOU WANT TO DO NEXT.
[000:26:33;01] ALL IN ONE PLACE.
[000:26:34;23] I'M MEREDITH STODDARD
[000:26:36;08] AND I HELPED CREATE
[000:26:37;00] THE FIDELITY GUIDED  PORTFOLIO SUMMARY.
[000:26:39;06] IT'S ONE MORE INNOVATIVE REASON
[000:26:40;23] SERIOUS INVESTORS
[000:26:41;22] ARE CHOOSING FIDELITY.
[000:26:42;15] NOW GET 200 FREE TRADES    WHEN YOU
[000:26:43;09] OPEN AN ACCOUNT.
[000:28:39;29] >> Bill: I'M BILL HEMMER IN  
[000:28:41;23] FOR SHEPARD SMITH.  
[000:28:43;06] BREAKING NEWS FROM BOSTON.  
[000:28:43;29] WE NOW HAVE PICTURES OF TWO  
[000:28:45;13] SUSPECTS AND THE TERROR  
[000:28:46;10] ATTACK AT THE BOSTON  
[000:28:47;12] MARATHON.  
[000:28:47;27] THE FBI RELEASED THESE  
[000:28:48;29] IMAGES ONLY TWO HOURS AGO  
[000:28:50;13] AND BOTH MEN CARRYING BAGS  
[000:28:52;07] AND WEARING BASEBALL CAPS.  
[000:28:54;09] THE FBI SPECIAL AGENT  
[000:28:56;02] LEADING THE INVESTIGATION  
[000:28:56;29] SAYS THAT ANYONE WITH ANY  
[000:28:59;04] INFORMATION ON THE SUSPECTS  
[000:29:00;13] NEEDS TO STEP FORWARD NOW.  
[000:29:02;10] AS HE PUT IT, THE NATION IS  
[000:29:04;15] COUNTING ON IT.  
[000:29:05;17] MIKE TOBIN WITH ME NOW.  
[000:29:07;17] TONIGHT, MIKE, WHAT DO YOU  
[000:29:08;20] TAKE FROM THESE LATE  
[000:29:09;27] DEVELOPMENTS THAT WE HAVE  
[000:29:10;20] BEEN WATCHING HERE IN  
[000:29:12;17] BOSTON?  
[000:29:13;01] >> WELL, BILL, ONE OF THE  
[000:29:13;27] FIRST THINGS THAT STRUCK ME  
[000:29:15;25] IS GONE IS THIS DISCUSSION  
[000:29:16;27] OF PERSON OF INTEREST OR  
[000:29:18;07] PEOPLE WITH WHOM THE  
[000:29:19;09] FEDERAL INVESTIGATORS WANT  
[000:29:20;02] TO SPEAK.  
[000:29:20;17] THE SPECIAL AGENT IN CHARGE  
[000:29:21;15] OF THE BOSTON OFFICE HERE  
[000:29:24;12] CAME RIGHT OUT AND USED THE  
[000:29:25;22] WORD SUSPECT.  
[000:29:26;25] FOLLOWING ON WHAT WE HAD  
[000:29:27;27] REPORTED EARLIER THAT  
[000:29:28;27] FEDERAL SOURCE HAD  
[000:29:29;28] INDICATED THEY HAD A CLEAR  
[000:29:31;00] IMAGE OF SOMEONE PLACING A  
[000:29:32;27] DEVICE AT THE SCENE WHERE  
[000:29:34;06] ONE OF THE EXPLOSIONS TOOK  
[000:29:36;12] PLACE.  
[000:29:36;25] WE NOW KNOW FROM THE FEDS  
[000:29:39;03] HERE IN BOSTON THAT THAT  
[000:29:40;08] WAS A BACKPACK PLACED AT  
[000:29:42;13] THE SITE OF ONE OF THOSE  
[000:29:44;19] EXPLOSIONS.  
[000:29:45;26] >> SUSPECT 2 SET DOWN A  
[000:29:47;26] BACKPACK AT THE SITE OF THE  
[000:29:49;23] SECOND EXPLOSION JUST IN  
[000:29:52;07] FRONT OF THE FORUM  
[000:29:53;05] RESTAURANT.  
[000:29:54;08] WE STRONGLY ENCOURAGE THOSE  
[000:29:55;26] WHO WERE AT THE FORUM  
[000:29:57;13] RESTAURANT WHO HAVE NOT  
[000:29:59;10] CONTACTED US YET TO DO SO  
[000:30:05;11] SUSPECT NUMBER 2 IS THE  
[000:30:06;15] INDIVIDUALS IN THE WHITE  
[000:30:07;07] BALL CAP.  
[000:30:07;29] OUR FOX AFFILIATE OUT HERE  
[000:30:09;19] IS LINKING THAT TO A POLO  
[000:30:11;13] BALL CAP WITH THE NUMBER  
[000:30:13;07] THREE EMBROILED ON THE  
[000:30:15;25] SIDE.  
[000:30:16;08] A BALL CAP TURNED BACKWARDS  
[000:30:17;27] THAT WAS NEAR THE FORUM  
[000:30:19;25] RESTAURANT OR THE FINISH  
[000:30:21;19] LINE AT THAT TIME WHEN THE  
[000:30:22;18] EXPLOSIONS TOOK PLACE MAYBE  
[000:30:23;12] HAS SOME PHOTOGRAPHS COULD  
[000:30:24;20] GO RE-EXAMINE THEIR  
[000:30:26;15] PHOTOGRAPHS AND LOOK AT  
[000:30:27;07] THIS INDIVIDUAL WITH THE  
[000:30:28;03] WHITE BALL CAP TURNED  
[000:30:29;18] BACKWARDS.  
[000:30:30;03] THIS IS THE INDIVIDUAL  
[000:30:30;24] DESCRIBED TO US EARLIER BY  
[000:30:32;04] FBI CONTACTS AS VERY YOUNG  
[000:30:34;18] AND CAUCASIAN.  
[000:30:35;12] NOW TURNING UP IN THE  
[000:30:36;22] IMAGES THAT THE FBI HAS  
[000:30:42;09] RELEASED.  
[000:30:48;14] BRIDGESTONE BALL CAP.  
[000:30:49;05] THE BODY LANGUAGE THEY LOOK  
[000:30:50;28] FOR.  
[000:30:51;12] IMKNOWLEDGE NOW RELEASED BY  
[000:30:52;20] THE FBI.  
[000:30:53;17] INDICATES CLEARLY BILL THAT  
[000:30:54;23] THESE TWO WERE ASSOCIATED.  
[000:30:56;02] >> YEAH.  
[000:30:57;14] ALSO THE PROFILE IMAGE OF  
[000:30:59;07] THE SECOND SUSPECT IS QUITE  
[000:31:00;21] TELLING.  
[000:31:01;08] AND THE MASSACHUSETTS STATE  
[000:31:03;01] POLICE, THE POINTING OUT  
[000:31:04;11] CERTAIN FEATURES ON HIS  
[000:31:05;08] FACES A YOU LOOK AT HIS  
[000:31:07;08] PROFILE AND THEY COULD BE  
[000:31:09;00] QUITE REVEALING TOO THROUGH  
[000:31:10;10] THE THIS INVESTIGATION  
[000:31:11;14] MIKE.  
[000:31:11;27] THE FBI IS LAUNCHING A  
[000:31:13;21] SERIOUS APPEAL TO THE  
[000:31:14;24] PUBLIC, ARE THEY NOT?  
[000:31:16;28] >> THEY ARE.  
[000:31:17;16] AND THE BAD NEWS WHEN YOU  
[000:31:18;18] HEAR THEM GOING PUBLIC,  
[000:31:19;21] THAT TELLS YOU THAT THEY  
[000:31:21;09] HAVE EXHAUSTED ALL OF THE  
[000:31:22;22] LEADS THEY HAD TO THIS  
[000:31:23;19] POINT AND THEY DON'T KNOW  
[000:31:24;27] EXACTLY WHO THESE  
[000:31:25;20] INDIVIDUALS ARE.  
[000:31:26;22] BUT YOU HEARD FROM THE FEDS  
[000:31:27;16] VERY CLEARLY IN THIS PRESS  
[000:31:29;05] CONFERENCE THAT SOMEONE OUT  
[000:31:30;08] THERE KNOWS WHO THESE  
[000:31:31;15] INDIVIDUALS ARE.  
[000:31:32;19] THE IMAGES ARE VERY CLEAR  
[000:31:35;02] THAT THEY HAVE DISPLAYED.  
[000:31:36;12] THAT THE BLESSING WE HAVE  
[000:31:37;27] WITH THE PROLIFERATION WITH  
[000:31:40;06] CAMERAS, SECURITY CAMERAS  
[000:31:41;24] iPHONE CAMERAS THAT ARE  
[000:31:43;15] EVERYWHERE NOW IS THAT YOU  
[000:31:44;13] DO GET VERY GOOD IMAGES OF  
[000:31:45;28] THESE PEOPLE.  
[000:31:50;21] WHEN THAT KIND OF THING  
[000:31:51;20] COMES OUT.  
[000:31:52;05] SOMEONE KNOWS WHO THEY'RE.  
[000:31:53;20] THE DIFFICULTY IS THAT YOU  
[000:31:54;20] NOW HAVE TO COMPETE WITH  
[000:31:56;19] ALL OF THE BAD IMAGES  
[000:31:58;19] FLOATING AROUND ON THE  
[000:31:59;11] INTERNET.  
[000:32:01;28] FOR CLARITY THESE IMAGES  
[000:32:02;27] SHOULD BE THE ONLY ONES, I  
