[000:00:00;183] GETTING WORK DONE.
[000:15:29;144] Fresher.
[000:15:29;712] More flavorful.
[000:15:31;080] Delicious.
[000:15:32;181] Only one egg
[000:15:33;148] with better nutrition-
[000:15:34;316] like more vitamins
[000:15:35;351] D, E, and Omega 3s.
[000:15:37;419] And 25% less saturated fat.
[000:15:40;823] Only one egg good enough
[000:15:42;524] for my family.
[000:15:43;659] Because why have ordinary
[000:15:45;327] when you can have the best.
[000:15:47;997] Eggland's Best.
[000:15:49;898] The only egg that
[000:15:50;866] gives you so much more:
[000:15:52;668] Better taste.
[000:15:53;702] Better nutrition.
[000:15:54;770] Better eggs.
[000:15:55;871] Better nutrition.
[000:15:56;105] ♪
[000:15:59;675] Everything your family
[000:15:59;675] touches sticks with them.
[000:16:02;678] Make sure the germs they
[000:16:02;678] bring home don't stick around.
[000:16:05;014] Use Clorox
[000:16:05;014] disinfecting products.
[000:16:07;783] Because no one kills germs
[000:16:07;783] better than Clorox.
[000:16:19;595] TO HACK ONE SUSPECT IN CUSTODY
[000:16:22;064] AFTER A BOMB LIKE DEVICE WAS
[000:16:23;499] DISCOVERED IN OSLO NORWAY.
[000:16:25;901] THE DEVICE IS NOT HARMFUL
[000:16:29;004] HOWEVER A LARGE AREA IS BEING
[000:16:31;573] ROPED OFF WHILE THEY INVESTIGATE
[000:16:33;976] NORWAY IS ON HIGH ALERT AFTER
[000:16:36;311] NEIGHBORING SWEDEN SUFFERED A
[000:16:37;613] TERROR ATTACK ON FRIDAY.
[000:16:39;114] TONIGHT'S VICTIMS FROM THAT
[000:16:40;516] DEADLY TERROR ATTACK IN
[000:16:42;351] STOCKHOLM ARE BEING HONORED WITH
[000:16:45;054] CANDLES AND FLOWERS LAID OUT
[000:16:47;523] WHERE THIS SCENE TOOK PLACE, A
[000:16:52;494] TRUCK CRASHING INTO DEPARTMENTS
[000:16:53;395] ARE KILLING AT LEAST FOUR PEOPLE
[000:16:54;129] AND INJURED MORE THAN A DOZEN
[000:16:54;830] OTHERS.
[000:16:55;197] POLICE NOW TO HAVE CUSTODY OF
[000:17:00;102] THE SUSPECT WHO HAS BEEN ON THE
[000:17:00;836] RADAR APPARENTLY IN THE PAST.
[000:17:01;537] RIGHT NOW WE ARE LEARNING MORE
[000:17:02;438] ABOUT HIS BACKGROUND.
[000:17:04;206] BRYAN LLENAS IS HERE WITH MORE.
[000:17:05;541] WHAT WE KNOW ABOUT THE SUSPECT
[000:17:08;610] AND A POSSIBLE MOTIVE?
[000:17:10;245] >> WE DON'T REALLY KNOW THE
[000:17:11;380] MOTIVE IN TERMS OF HE HAS NOT
[000:17:12;681] SPOKEN YET BUT POLICE SAY THEY
[000:17:17;920] ARE CONFIDENT THE 39-YEAR-OLD
[000:17:19;154] UZBEKISTAN MAN WITH THE DRIVER
[000:17:19;855] BEHIND THE STOLEN BEER TRUCK
[000:17:20;522] THAT PLOWED THROUGH CROWD IN
[000:17:21;457] CENTRAL STOCKHOLM KILLING FOUR
[000:17:24;560] AND WOUNDING 15 OTHERS ON
[000:17:25;661] FRIDAY.
[000:17:26;195] THIS IS CELL PHONE VIDEO OF THE
[000:17:27;996] SUSPECT BEING ARRESTED 25 MILES
[000:17:29;465] NORTH OF STOCKHOLM.
[000:17:31;934] HE HAD BEEN ON INTELLIGENCE
[000:17:35;871] RADAR SOMETIME AGO BUT WAS
[000:17:37;740] DEEMED QUOTE A MARGINAL
[000:17:39;975] CHARACTER.
[000:17:42;111] HE IS NOW FACING TERROR MURDER
[000:17:42;878] CHARGES.
[000:17:43;679] WE DON'T KNOW THE SUSPECTS NAMES
[000:17:44;413] OR WHETHER HE'S A LEGAL RESIDENT
[000:17:45;614] OF SWEDEN.
[000:17:47;015] POLICE CONDUCTED OVERNIGHT RAIDS
[000:17:49;218] AROUND STOCKHOLM QUESTIONING
[000:17:51;754] PEOPLE IN CONNECTION WITH THE
[000:17:52;454] CASE AND THEY HAVE NOT RULED OUT
[000:17:53;756] THERE WILL BE OTHER ARRESTS.
[000:17:58;360] >> WE DO NOT KNOW WHETHER THERE
[000:18:01;997] ARE FURTHER PERSONS INVOLVED.
[000:18:04;500] WE ARE NOT EXCLUDING THAT.
[000:18:08;670] WE ARE WORKING ON A
[000:18:09;338] COMPREHENSIVE APPROACH TO SEE
[000:18:10;739] WHETHER THERE IS ANY POSSIBILITY
[000:18:14;576] THAT FURTHER INDIVIDUALS ARE
[000:18:15;244] INVOLVED.
[000:18:15;611] THE MAN IS ACCUSED OF STEALING A
[000:18:16;812] BEER TRUCK EARLY ON THE DAY ON
[000:18:19;982] FRIDAY RAMMING INTO CROWD BEFORE
[000:18:21;717] CRASHING INTO A POPULAR
[000:18:22;317] DEPARTMENT STORE.
[000:18:23;352] POLICE FOUND A DEVICE THAT COULD
[000:18:26;855] BE AN INCENDIARY DEVICE OR BOMB
[000:18:28;157] IN SWEDISH PUBLIC BROADCAST SAYS
[000:18:32;661] IT WAS A BAG OF EXPLOSIVES AND
[000:18:36;632] THE ATTACKERS SUFFERED BURNS
[000:18:37;299] FROM THESE EXPLOSIVES AFTER HE
[000:18:38;000] FAILED TO DETONATE IT PROPERLY.
[000:18:38;734] NO ONE HAS CLAIMED
[000:18:39;234] RESPONSIBILITY FOR THIS ATTACK
[000:18:40;135] THOUGH NEWS OF YESTERDAY'S
[000:18:41;537] ATTACK SPREADS QUICKLY ON ICE
[000:18:43;038] AND SLEET SOCIAL MEDIA COUNTS.
[000:18:44;473] JULIE: WHAT HAS THE REACTION
[000:18:47;042] BEEN TO THIS?
[000:18:49;812] >> SHOP THEN STUNNED.
[000:18:50;479] HUNDREDS OF PEOPLE TODAY
[000:18:51;914] GATHERING OF MEMORIAL AT THE
[000:18:54;283] CRASH SITE OUTSIDE A DEPARTMENT
[000:18:55;017] STORE.
[000:18:55;317] MOURNERS INCLUDING THE PRIME
[000:18:56;218] MINISTER HIMSELF LAYING FLOWERS
[000:18:58;020] AND OFFERING PRAYERS.
[000:19:00;355] FLAGS ARE FLYING AT HALF-STAFF
[000:19:02;157] TO COMMEMORATE THE VICTIMS.
[000:19:03;992] MONDAY WAS DECLARED A NATIONAL
[000:19:05;260] DAY OF MOURNING AND THE CROWN
[000:19:12;434] PRINCES VISITED THIS SITE THE
[000:19:13;135] PRIME MINISTER SAYING CITIZENS
[000:19:13;836] WILL GET THROUGH THIS AND HE HAS
[000:19:14;570] BEEN WALKING THE STREETS
[000:19:15;437] SPEAKING TO PEOPLE IN STOCKHOLM.
[000:19:16;839] HE SAYS ALL INDICATIONS ARE THAT
[000:19:19;775] THIS IS INDEED OR WAS A
[000:19:20;475] TERRORIST ATTACK JULIE.
[000:19:22;477] JULIE: BRYAN LLENAS THANK YOU
[000:19:23;178] VERY MUCH.
[000:19:24;079] THE FBI IS NOW REVIEWING THE
[000:19:27;316] HANDLING OF THOUSANDS OF
[000:19:29;818] TERRORISM RELATED -- FOLLOWING A
[000:19:32;554] STRING OF RECENT TERRORIST
[000:19:33;188] ATTACKS.
[000:19:34;289] THE AGENCY IS TRYING TO ENSURE
[000:19:35;991] TIPS OVER THE PAST THREE YEARS
[000:19:37;259] WERE PROPERLY INVESTIGATED AND
[000:19:40;629] NO OBVIOUS RED FLAGS OR MISS
[000:19:41;296] WITH THE REVIEW FOLLOWS ATTACKS
[000:19:42;431] BY PEOPLE WHO ARE ONCE ON THE
[000:19:44;700] FED'S RADAR INCLUDING THEIR LAND
[000:19:45;934] OF NIGHTCLUB SHOOTER OMAR MATEEN
[000:19:49;471] AND THE MAN WHO OPENED FIRE FORT
[000:19:50;873] LAUDERDALE AIRPORT IN JANUARY
[000:19:52;975] ESTEBAN SANTIAGO.
[000:19:54;376] SEEMS THE FBI IS FACING
[000:19:56;178] CHALLENGES IN PREDICTING WHICH
[000:19:59;781] OF THE THOUSANDS OF TIPS THEY
[000:20:01;116] RECEIVE ANNUALLY MIGHT ONE DAY
[000:20:06;488] MATERIALIZE INTO A VIABLE VIABLE
[000:20:07;222] THREAT.
[000:20:07;556] U.S. TO THE U.S. MATURE
[000:20:08;290] CONFIRMING AN AMERICAN SOLDIER
[000:20:08;991] HAS BEEN KILLED IN ACTION IN
[000:20:09;658] AFGHANISTAN.
[000:20:10;058] THE ATTACK APPARENTLY HAPPENING
[000:20:12;160] IN THE EASTERN PART OF THE
[000:20:12;794] COUNTRY DURING AN OPERATION
[000:20:14;730] AGAINST AN ISIS AFFILIATED GROUP
[000:20:19;201] SPECIAL OPS HAVE BEEN FIGHTING
[000:20:20;736] THEIR FOR THE PAST TWO YEARS.
[000:20:21;837] HEALTH OFFICIALS SAY THE TERROR
[000:20:23;338] GROUP IS CONTAINED INSIDE TO
[000:20:27;709] DISTRICT DEVICES REMAINS A BIG
[000:20:28;410] THREAT.
[000:20:28;744] THEY'RE CURRENTLY MORE AMERICAN
[000:20:29;778] TROOPS IN AFGHANISTAN IN IRAQ
[000:20:31;113] AND SYRIA COMBINED.
[000:20:33;415] TWO ACTIVE-DUTY MARINES
[000:20:34;016] RECEIVING THE FIRST PUNISHMENT
[000:20:35;517] IN CONNECTION WITH NUDE
[000:20:39;154] PHOTOGRAPHS THAT WERE SHARED ON
[000:20:40;255] LINE.
[000:20:40;822] THE DISCIPLINE THEY NOW WILL
[000:20:42;291] FACE PLUS THIS MAN CONSIDERED
[000:20:46;628] ARMED AND VERY DANGEROUS.
[000:20:47;262] WHY POLICE ARE INTENSIFYING
[000:20:48;397] THEIR SEARCH FOR A MAN THEY SAY
[000:20:50;499] HAS BECOME HIGHLY AGITATED BY
[000:20:53;035] NATIONAL POLITICS.
[000:20:55;804] >> MY DAD ACTUALLY KNOWS HIM SO
[000:21:00;275] IT'S EVEN MORE AWKWARD THAT
[000:21:02;177] SOMEONE SO INNOCENT COULD DO
[000:21:05;414] SOMETHING SO TERRIFYING
[000:21:10;519] Hey, how's it going?
[000:21:12;587] Um... who are you?
[000:21:13;822] I'm Val. The Orange Money
[000:21:13;822] retirement squirrel from Voya.
[000:21:16;525] I represent the money you save
[000:21:16;525] for the future. See?
[000:21:19;294] We're putting away acorns to
[000:21:19;294] show the importance of being
[000:21:19;294] organized.
[000:21:22;230] That's smart. Who's he?
[000:21:24;466] He's the green money you can
[000:21:24;466] spend now. What's up?
[000:21:27;235] Oh you know, gonna pay some
[000:21:27;235] bills, maybe buy a new tennis
[000:21:27;235] racket.
[000:21:30;539] Tennis racket for a squirrel?
[000:21:31;873] He's got a killer backhand.
[000:21:35;043] When it's time to get organized
[000:21:35;043] for retirement, it's time to get
[000:21:35;043] Voya.
[000:21:39;147] Various: (Shouting) Heigh!
[000:21:40;749] Ho!
[000:21:41;750] ( ♪ )
[000:21:43;452] It's off to work we go!
[000:21:45;320] Woman:
[000:21:45;320] On the Gulf Coast,
[000:21:46;388] new ExxonMobil projects
[000:21:47;756] are expected to create
[000:21:47;756] over 45,000 jobs.
[000:21:50;792] And each job created
[000:21:50;792] by the energy industry
[000:21:53;328] supports two others
[000:21:53;328] in the community.
[000:21:55;364] Altogether,
[000:21:56;565] the industry supports over
[000:21:56;565] 9 million jobs nationwide.
[000:22:00;035] These are jobs that natural
[000:22:00;035] gas is helping make happen,
[000:22:02;838] all while reducing
[000:22:02;838] America's emissions.
[000:22:05;841] Energy lives here.
[000:22:24;926] can make any occasion feel
[000:22:24;926] more special.ie
[000:22:24;926] all while reducing
[000:22:24;926] America's emissions.
[000:22:27;095] So she makes her pie crust
[000:22:27;095] from scratch.
[000:22:29;598] And sprinkles on brown sugar
[000:22:29;598] streusel.
[000:22:31;767] So that you can spend more time
[000:22:33;268] making special moments with
[000:22:33;268] your family.
[000:22:35;604] Marie Callender's
[000:22:35;604] It's time to savor
[000:22:40;342] There'Try Phillips' Fiberway to
[000:22:40;342] gGood Gummies..
[000:22:42;177] They're delicious...
[000:22:43;245] And a good source of fiber
[000:22:44;446] to help support regularity.
[000:22:45;680] Mmm. These are
[000:22:45;680] good.
[000:22:48;350] Nice work, Phillips'!
[000:22:50;419] Try Phillips' Fiber
[000:22:50;419] Good Gummies!
[000:22:54;956] could save money
[000:22:54;956] on car insurance.e
[000:22:56;792] In fact, safe drivers
[000:22:56;792] who switch from GEICO
[000:22:59;294] to Esurance could save hundreds.
[000:23:00;962] So if you switch to Esurance,
[000:23:02;464] saving is a pretty safe bet.
[000:23:04;132] Auto and home insurance
[000:23:04;132] for the modern world.
[000:23:05;967] Esurance. An Allstate
[000:23:05;967] company. Click or call.
[000:24:23;295] JULIE: THE U.S. NAVY DECIDED TO
[000:24:24;429] GROUND ALL P45 TRAINING JETS
[000:24:25;831] INDEFINITELY AFTER AN EXCLUSIVE
[000:24:27;632] FOX REPORT THAT NAVY PILOTS
[000:24:32;103] REFUSE TO FLY THE JETS BECAUSE
[000:24:35;073] THEY SAID THE OXYGEN SYSTEM WAS
[000:24:36;875] TAINTED AND THE AIR OF THE
[000:24:39;377] PILOTS WERE BREATHING WAS --
[000:24:46;751] THERE NEARLY 200 AND SERGEANT
[000:24:50;889] WICKER OF THE HOUSE ARMY
[000:24:53;558] COMMITTEE ADDRESSED THE ISSUE
[000:24:54;259] TODAY.
[000:24:54;559] LISTEN.
[000:24:57;195] >> I'M ENCOURAGED THAT A SERIOUS
[000:24:58;930] PROBLEM HAS BEEN ACKNOWLEDGED
[000:25:01;132] AND THAT'S A DIFFERENT APPROACH
[000:25:05;270] BE TAKEN TO ARRIVING AT A
[000:25:08;773] SOLUTION.
[000:25:10;475] THAT WOULD BE COMPLETELY TAKEN
[000:25:11;176] APART.
[000:25:12;077] THE KIND OF ANALYSIS THAT CAN BE
[000:25:13;011] DONE THAT HAS NOT BEEN DONE
[000:25:13;678] BEFORE.
[000:25:15;747] I THINK WE ARE IN A POSITION
[000:25:18;149] WHERE THERE IS EVERY HOPE THAT
[000:25:19;918] WE WILL BE ABLE TO GET TO THE
[000:25:21;286] BOTTOM OF THE PROBLEM.
[000:25:21;987] JULIE: THE NAVY PREVIOUSLY
[000:25:22;621] ANNOUNCED A THREE-DAY PAUSE TO
[000:25:23;955] THE TRAINING SCHEDULES WHICH WAS
[000:25:24;689] BY THE WAY DUE TO EXPIRE MONDAY.
[000:25:25;423] A MASSIVE MANHUNT UNDERWAY RIGHT
[000:25:26;591] NOW FOR SUCH A CONSIDERED A
[000:25:27;993] NATIONAL THREAT BY LAW
[000:25:30;495] ENFORCEMENT POLICE ARE CURRENTLY
[000:25:32;531] LOOKING FOR THIS MAN 32-YEAR-OLD
[000:25:34;900] JOSEPH JAKUBOWSKI AFTER THEY SAY
[000:25:37;969] HE STOLE FIREARMS FROM A GUN
[000:25:41;473] SHOP AND THEN THREATEN TO USE
[000:25:42;774] THEM AGAINST SEVERAL -- HE'S
[000:25:46;878] ALSO THE USE OF SENDING AN ANGRY
[000:25:48;313] MANIFESTO TO PRESIDENT TRUMP AND
[000:25:50;015] OF COURSE VIDEOTAPING ALL THE
[000:25:51;750] EVIDENCE.
[000:25:53;118] WILL CARR JOINS ME LIVE FROM OUR
[000:25:55;854] WESTERN BUREAU WITH MORE ON
[000:25:56;521] THIS.
[000:25:57;856] HOW DID THIS ALL START?
[000:26:02;327] >> JULIA TOOK AUTHORITIES A
[000:26:03;962] COUPLE OF DAYS TO PIECE A
[000:26:04;596] TIMELINE TOGETHER.
[000:26:05;096] EVERYTHING STARTED TUESDAY WHEN
[000:26:05;897] JOSEPH JAKUBOWSKI WAS IN THE
[000:26:08;500] POST OFFICE IN JANESVILLE
[000:26:10;635] WISCONSIN AND CELL PHONE VIDEO
[000:26:12;571] SHOWS HIM ADDRESSING A MANIFESTO
[000:26:13;972] TO PRESIDENT TRUMP TO TAKE A
[000:26:15;707] LISTEN TO THE MOMENTS JUST
[000:26:17;576] BEFORE HE PUTS THE MANIFESTO
[000:26:19;811] INTO THE MAIL.
[000:26:27;152] >> REVOLUTION.
[000:26:28;453] TIME FOR CHANGE.
[000:26:32;691] APRIL 4, 2017 AT 5:43.
[000:26:39;197] YOU SEE MY NAME.
[000:26:45;870] STAMPED, GAME TIME.
[000:26:52;544] >> JAKUBOWSKI'S ALLEGEDLY STOLE
[000:26:55;180] GUNS FROM A LOCAL GUN SHOP
[000:26:55;814] INCLUDING A RIFLE.
[000:26:58;316] HE HAD A BULLETPROOF VEST AND A
[000:27:00;418] MILITARY STYLE HAMMOCK.
[000:27:02;787] POLICE BELIEVE THAT JAKUBOWSKI
[000:27:04;556] TORCHED HIS CAR AND DISAPPEARED
[000:27:05;957] IN THURSDAY'S SO-CALLED
[000:27:07;892] ASSOCIATE TOLD LOCAL AUTHORITIES
[000:27:09;594] THAT JAKUBOWSKI MADE A VAGUE
[000:27:10;895] THREAT ABOUT A SCHOOL BECAUSE A
[000:27:15;667] NUMBER OF WISCONSIN SCHOOLS TO
[000:27:17;802] CLOSE ON FRIDAY AND AT LEAST ONE
[000:27:18;536] CHURCH DECIDED NOT TO HOLD
[000:27:19;170] SERVICES THIS WEEKEND.
[000:27:20;038] THE SAME ASSOCIATE TOLD
[000:27:21;673] AUTHORITIES ABOUT THE 161 PAGE
[000:27:23;675] MANIFESTO.
[000:27:27;579] THE ROCK COUNTY SHERIFF TELLS ME
[000:27:28;313] PART OF THE CALLED MEMBERS OF
[000:27:29;014] LAW ENFORCEMENT QUOTE AGENTS OF
[000:27:29;914] THE 1% WHO ENSLAVE AND KEEP THE
[000:27:33;852] POPULATION DOWN.
[000:27:34;819] WITH ALL OF THAT IN MY JULIE THE
[000:27:35;820] FBI IS OFFERING A 10,000-DOLLAR
[000:27:37;355] REWARD.
[000:27:38;623] JULIE: WHAT DO WE KNOW ABOUT
[000:27:40;091] THIS GUY?
[000:27:43;695] IT'S AMAZING TO ME THEY HAVE NOT
[000:27:44;429] FOUND HIM.
[000:27:44;796] WE KNOW HIS NAME AND WE HAVE
[000:27:45;463] SEEN HIS FACE AND NOBODY HAS
[000:27:46;631] COME FORWARD.
[000:27:48;767] >> WE KNOW THAT HE IS WELL-KNOWN
[000:27:49;934] TO LAW ENFORCEMENT.
[000:27:51;636] HE HAS MORE THAN 30 TRAFFIC
[000:27:52;370] CITATIONS.
[000:27:54;873] HE ALSO HAS RESISTING OR ARREST
[000:27:59;110] IN TRYING TO DISARM A POLICE
[000:27:59;778] OFFICER.
[000:28:00;912] NOW HE'S CONSIDERED ARMED AND
[000:28:02;313] EXTREMELY DANGEROUS AND THE
[000:28:04;749] LOCAL SHERIFF TOLD ME IF ANYBODY
[000:28:06;518] IN THE AREA HAPPENS TO SEE HIM
[000:28:08;219] THEY ARE ASKED TO SIMPLY CALL
[000:28:09;854] 911 TO KEEP THEIR DISTANCE.
[000:28:11;156] JULIE: DID HE AT ANY POINT A
[000:28:15;694] MENTION OF WANTING TO OFF
[000:28:17;295] POLITICIANS FOR THE GOOD OF THE
[000:28:18;029] PEOPLE OR THE GOOD OF THE
[000:28:18;897] AMERICAN PEOPLE?
[000:28:21;232] VSO VENGEANCE APPARENTLY OUT FOR
[000:28:22;333] POLITICIANS.
[000:28:24;202] >> THE SHERIFF TELLS ME THAT HE
[000:28:26;071] MADE THREATS AGAINST LAW
[000:28:28;873] ENFORCEMENT AND THE MANIFESTO.
[000:28:29;574] THEY'RE NOT RELEASING THE
[000:28:30;208] SPECIFIC TYPES OF THREATS OR THE
[000:28:32;477] SPECIFIC DETAILS BUT 161 PAGES
[000:28:34;813] IN THAT MANIFESTO IN MANY OF THE
[000:28:39;317] SENTIMENTS ARE ANTI-GOVERNMENT
[000:28:41;586] ANTI-LAW ENFORCEMENT IN HIS
[000:28:46;191] WRITINGS.
[000:28:46;558] JULIE: WILL CARR FROM LOS
[000:28:47;192] ANGELES THANK YOU VERY MUCH.
[000:28:47;859] THAT'S DISTURBING.
[000:28:48;359] CONGRESS IS OFF FOR A LITTLE
[000:28:49;594] BREAK BUT AN AGENDA IS WAITING
[000:28:51;162] IN WASHINGTON INCLUDING HEALTH
[000:28:52;497] CARE REFORM AND THE POTENTIAL
[000:28:54;399] THREAT FOR A GOVERNMENT SHUTDOWN
[000:28:59;404] HOW LIKELY IS THAT ANYWAY?
[000:29:01;172] WE'LL TALK ABOUT IT PLUS
[000:29:01;773] DEMONSTRATORS LINED THE SIDEWALK
[000:29:02;507] OUTSIDE OF THE SENATE MAJORITY
[000:29:03;208] LEADER'S HOME STATE OFFICE
[000:29:03;975] ROWLING FOR HEALTH CARE, NOT
[000:29:06;211] REPEAL BUT EXPANSION.
[000:29:11;382] >> OF ALL THE FORMS OF
[000:29:13;351] INEQUALITY AND INJUSTICE INgot..
[000:29:17;288] HEALTH CARE IS THE MOTION
[000:29:18;656] DOCKING AND INHUMAN.
[000:29:25;063] Indeed.
[000:29:26;865] It's good to be IN, Good Hands.
[000:29:32;203] six of you for when
[000:29:32;203] thyou stretch out.t
[000:29:35;573] I want you to stay this
[000:29:35;573] bright blue forever,
[000:29:37;742] that's why you'll
[000:29:37;742] stay in this drawer forever.
[000:29:40;712] I can't live without you,
[000:29:42;313] and that's why I'll
[000:29:42;313] never ever wash you.
[000:29:44;582] Protect your clothes
[000:29:44;582] from stretching,
[000:29:46;017] fading and fuzz with
[000:29:46;017] Downy Fabric Conditioner.
[000:29:47;819] fading and fuzz with
[000:29:47;819] Downy Fabric Conditioner.
[000:29:49;654] It smooths and
[000:29:49;654] strengthens fibers
[000:29:51;589] to protect clothes
[000:29:51;589] from the damage of the wash.
[000:29:55;360] So your favorite clothes
[000:29:55;360] stay your favorite clothes.
[000:29:58;062] Downy Fabric Conditioner.
[000:30:01;299] or how high the pollen count,
[000:30:02;867] Flonase Allergy Relief
[000:30:02;867] keeps your eyes and nose clear.
[000:30:06;137] Flonase helps block 6 key
[000:30:06;137] inflammatory substances
[000:30:08;640] that cause nasal congestion
[000:30:08;640] and itchy, watery eyes.
[000:30:11;676] For relief beyond the nose.
[000:30:12;844] Flonase.
[000:30:17;182] At Red Lobster's Lobsterfestime.
[000:30:19;284] any of these 9 lobster dishes
[000:30:19;284] could be yours.
[000:30:21;953] So don't resist delicious new
[000:30:21;953] Lobster Mix and Match
[000:30:25;323] or Lobsterfest Surf and Turf
[000:30:26;624] because you won't have this
[000:30:26;624] chance for long.
[000:30:36;367] Or keeping a hotel's guests
[000:30:36;367] cuttinconnected.i to 35,000
[000:30:36;367] fans...
[000:30:38;570] Businesses count on
[000:30:38;570] communication,
[000:30:40;405] and communication counts on
[000:30:40;405] CenturyLink.
[000:30:54;586] ♪
[000:31:03;595] ♪
[000:31:09;601] TAKE ON THE MAINSTREAM.
[000:31:11;069] INTRODUCING NISSAN'S
[000:31:11;069] NEW MIDNIGHT EDITION.
[000:31:13;605] ♪
[000:31:17;108] It's my decision
[000:31:17;108] Ito make beauty last.
[000:31:19;377] RoC® Retinol,
[000:31:19;377] started visibly reducing
[000:31:21;446] my fine lines and wrinkles
[000:31:21;446] in one week.
[000:31:23;781] And the longer I use it,
[000:31:24;749] the better it works.
[000:31:26;117] Retinol Correxion® from RoC.
[000:31:27;719] METHODS, NOT MIRACLES.™
[000:32:54;172] TUNE I'M JULIE BANDERAS.
[000:32:59;911] IT'S TIME FOR THE TOP OF THE
[000:33:00;578] NEWS.
[000:33:00;945] THE TRUMP ADMINISTRATION'S
[000:33:01;579] DECISION TO LAUNCH AIRSTRIKES IN
[000:33:02;714] SYRIA GETTING PRAISE AND
[000:33:04;315] CRITICISM ARE MEMBERS OF
[000:33:04;916] CONGRESS SOME THINKING THE
[000:33:06;150] MATTER NEEDS TO BE DEBATED ONCE
[000:33:09;754] THEY RETURN FROM EASTER RECESS
[000:33:10;955] IN TWO WEEKS THROUGH PUBLIC
[000:33:11;656] ENCOURAGEMENT TOM McCLINTOCK
[000:33:12;957] WEIGHING IN AT A TOWN HALL IN
[000:33:14;892] CALIFORNIA TODAY SAYING WHILE
[000:33:17;061] SUCH AN ATTACK MAY BE NECESSARY
[000:33:19;097] MEMBERS OF CONGRESS NEED TO MAKE
[000:33:21;399] THE DECISION, NOT THE PRESIDENT
[000:33:25;069] ALONE.
[000:33:29;040] >> WHAT A CHAR AL-ASSAD DID IS A
[000:33:30;274] WAR CRIME.
[000:33:31;442] IT IS AN ATROCITY.
[000:33:33;177] IT IS A CRIME AGAINST HUMANITY
[000:33:36;014] BUT THE FOUNDERS WERE VERY CLEAR
[000:33:41;853] THAT IF THIS COUNTRY NEEDS TO
[000:33:44;355] COMMIT TO WORK NEEDS TO BE UNDER
[000:33:45;089] THE SAY-SO OF THE CONGRESS
[000:33:45;957] REPRESENTING ALL THE PEOPLE AND
[000:33:47;859] NOT THE DECISION OF ONE
[000:33:49;694] INDIVIDUAL.
[000:33:50;094] JULIE: AND IN KENTUCKY HEALTH
[000:33:51;796] CARE WAS ON THE MINDS OF MANY
[000:33:55;733] PROTESTERS OUTSIDE THE SENATE
[000:33:56;434] MAJORITY LEADER'S OFFICE.
[000:33:58;336] SENATOR MITCH McCONNELL
[000:33:59;804] GATHERED IN LOUISVILLE FOR A
[000:34:01;372] SIDEWALK TOWN MEETING IN FAVOR
[000:34:03;441] OF A SINGLE-PAYER HEALTH CARE
[000:34:07;478] PLAN.
[000:34:08;679] IT'S BEEN A BUSY WEEK YOU CAN
[000:34:09;380] SAY THAT FOR PRESIDENT TRUMP AND
[000:34:11;215] HIS ADMINISTRATION HOSTING THE
[000:34:13;818] MINISTER OF CHINA A SUCCESSFUL
[000:34:16;654] VOTE ON HIS SUPREME COURT
[000:34:17;288] NOMINEE AND OF COURSE THE
[000:34:17;922] MISSILE STRIKE AGAINST SYRIA BUT
[000:34:18;656] IN THE SHADOW OF ALL OF THAT THE
[000:34:20;391] ONGOING INVESTIGATION OF
[000:34:21;759] RUSSIA'S INFLUENCE IN THE U.S.
[000:34:24;262] ELECTION AND THE PRESIDENT'S
[000:34:25;596] UNPROVEN CLAIMS THE OBAMA
[000:34:27;598] ADMINISTRATION TAPPED HIS PHONE.
[000:34:29;934] NOW HE APPEARS TO HAVE LOST A
[000:34:31;235] BIG ALLY ON THE HILL.
[000:34:39;343] >> JULIE U.S. RELATIONS WITH
[000:34:40;011] RUSSIA CONTINUED TO WORSEN THE
[000:34:40;711] SECRETARY OF STATE REX TILLERSON
[000:34:41;446] IS PREPARING TO TRAVEL TO MOSCOW
[000:34:42;380] NEXT WEEK AND CONGRESSIONAL
[000:34:44;082] INVESTIGATORS ARE EXAMINING
[000:34:44;749] RUSSIA'S ROLE IN THE
[000:34:45;716] PRESIDENTIAL ELECTION.
[000:34:47;718] NOW THOSE CONGRESSIONAL
[000:34:49;187] INVESTIGATIONS HAVE BECOME
[000:34:50;621] CONTROVERSIAL DEVIN NUNES IS
[000:34:55;560] RECUSING HIMSELF AGAINST THE
[000:34:56;260] COMMITTEE'S INVESTIGATION INTO
[000:34:57;595] RUSSIAN INTERFERENCE IN THE
[000:34:59;230] PRESIDENT'S ELECTION BECAUSE AN
[000:34:59;997] INVESTIGATION INTO WHETHER HE
[000:35:01;399] MADE UNAUTHORIZED DISCLOSURES OF
[000:35:03;334] CLASSIFIED INFORMATION.
[000:35:05;636] NUNES CALLED THAT INVESTIGATION
[000:35:07;138] POLITICALLY MOTIVATED.
[000:35:11;843] >> IR TO GIVE A STATEMENT ON
[000:35:14;178] THAT.
[000:35:16;180] I EXPECT THIS TO GET DONE VERY
[000:35:17;515] QUICKLY.
[000:35:21;819] >> AND YOUR STATEMENT THAT YOU
[000:35:23;020] DID NOTHING WRONG.
[000:35:25;189] >> ABSOLUTELY RIGHT.
[000:35:32;530] CONGRESSMAN MIKE CONAWAY SENIOR
[000:35:33;998] MEMBER OF THE COMMITTEE WILL NOW
[000:35:36;801] LEAD THE INVESTIGATION.
[000:35:37;401] CONGRESSIONAL INVESTIGATORS ALSO
