[000:00:01;668] ARTICLES ABOUT MOMS.
[000:16:30;622] ASTONISHING WEEKS THAT I'VE EVER
[000:16:33;459] COVERED IN THIS TOWN.
[000:16:38;397] >> Shepard: WHAT DOES THIS TELL
[000:16:39;865] US ABOUT THE INNER WORKINGS OF
[000:16:41;500] THE WHITE HOUSE?
[000:16:42;234] THE ABILITY TO HAVE THE TRUST OF
[000:16:43;769] THE PEOPLE ON BIG MATTERS, IF
[000:16:46;705] AND WHEN SOMETHING HAPPENS?
[000:16:49;475] BECAUSE SOMETHING WILL.
[000:16:50;642] >> WELL, YOU WONDER ABOUT THE
[000:16:53;112] TRUST OF THE PEOPLE INSIDE THE
[000:16:54;880] WHITE HOUSE.
[000:16:55;414] THE PRESIDENT WAS FURIOUS ON
[000:16:56;982] TUESDAY AFTER HE SUDDENLY
[000:17:00;119] ANNOUNCED COMEY'S FIRING THAT
[000:17:04;256] THERE WASN'T A MORE CONCERTED
[000:17:06;425] EFFORT ON HIS COMMUNICATIONS
[000:17:08;160] TEAM TO DEFEND HIM.
[000:17:09;361] THE REASON WAS, THEY DIDN'T SET
[000:17:11;063] UP TIME TO THINK ABOUT IT AND
[000:17:13;198] ORGANIZE.
[000:17:13;565] THERE'S A CREDIBLE TEAM.
[000:17:14;633] THEY COULD HAVE PUT TOGETHER AN
[000:17:17;069] ARGUMENT.
[000:17:17;436] THEN OF COURSE, THE OTHER THING,
[000:17:18;871] TURNED OUT THE ORIGINAL REASON
[000:17:20;172] THAT THEY WERE GIVEN AND THE
[000:17:21;774] PRESIDENT HIMSELF PUT IN HIS
[000:17:23;442] LETTER FIRING COMEY TURNS OUT
[000:17:25;310] NOT TO HAVE BEEN TRUE.
[000:17:26;478] HE SAID IN A LETTER I DID THIS
[000:17:28;680] UNDER RECOMMENDATION OF THE
[000:17:29;982] ATTORNEY GENERAL AND THE DEPUTY
[000:17:31;383] ATTORNEY GENERAL BECAUSE OF THE
[000:17:33;786] WAY COMEY HANDLED THE CLINTON
[000:17:38;657] INVESTIGATION.
[000:17:39;458] YESTERDAY HE SAID IT WASN'T
[000:17:40;759] TRUE.
[000:17:41;060] HE PLANNED TO FIRE HIM BEFORE HE
[000:17:42;227] MET WITH THE JUSTICE DEPARTMENT.
[000:17:43;562] SO EVERY STEP HE'S TAKEN THIS
[000:17:45;764] WEEK HAS CUT INTO THE
[000:17:47;166] CREDIBILITY OF THIS WHITE HOUSE,
[000:17:49;034] THE TRUST OF THE PEOPLE INSIDE
[000:17:50;903] THE WHITE HOUSE AND CLEARLY I
[000:17:52;538] THINK THE TRUST THAT THE
[000:17:55;207] AMERICAN PEOPLE PAY TO THIS
[000:17:56;241] PRESIDENT AND THE WHITE HOUSE
[000:17:58;243] STAFF.
[000:17:58;544] >> Shepard: CHRIS, YOU COVERED A
[000:17:59;812] LOT OF WHITE HOUSES.
[000:18:00;712] I WONDER IF THE OBJECTIVE
[000:18:02;681] JOURNALIST YOU ARE, HOW YOU
[000:18:03;882] WOULD DESCRIBE THE STATE OF THIS
[000:18:05;851] WHITE HOUSE IN THIS PRESIDENCY
[000:18:09;188] AT THIS MOMENT.
[000:18:11;423] >> I'VE BEEN THINKING ABOUT THAT
[000:18:13;792] A LOT TODAY.
[000:18:14;693] I'VE NEVER SEEN ANYTHING LIKE IT
[000:18:16;128] AND I FIND IT TROUBLING AND
[000:18:19;331] TROUBLED.
[000:18:19;698] I JUST DON'T UNDERSTAND THE GAME
[000:18:21;467] THAT THEY'RE PLAYING.
[000:18:22;468] IT ISN'T A GAME.
[000:18:23;769] YOU'RE DEALING WITH VERY SERIOUS
[000:18:26;038] ISSUES.
[000:18:26;872] IF THE PRESIDENT IS UPSET --
[000:18:28;140] JUST THINK OF THIS.
[000:18:29;808] THE PRESIDENT SAYS THAT HE WANTS
[000:18:33;645] TOLD LESTER HOLT, I WANT TO GET
[000:18:35;547] TO THE BOTTOM OF THE RUSSIA
[000:18:38;150] INVESTIGATION.
[000:18:38;584] IT WANT IT DOWN QUICKLY BUT FIND
[000:18:40;352] OUT.
[000:18:40;619] TODAY HE SENDS OUT A TWEET AND
[000:18:42;287] HE SENT ONE OUT EARLIER IN THE
[000:18:44;189] WEEKS SAYING IT'S A HOAX AND A
[000:18:46;892] TAX-PAYER FUNDED CHARADE.
[000:18:48;160] DOES HE WANT TO GET TO THE
[000:18:50;028] BOTTOM OF THE RUSSIA
[000:18:51;163] INVESTIGATION OR JUST WANT TO
[000:18:53;031] GET TO THE END OF THE RUSSIA
[000:18:55;467] INVESTIGATION?
[000:18:55;901] THAT'S A LEGITIMATE QUESTION.
[000:18:57;669] >> Shepard: IS THERE A DANGER IN
[000:18:59;171] THIS LEVEL OF DISARRAY?
[000:19:01;874] >> SURE.
[000:19:02;441] THIS IS THE PRESIDENT OF THE
[000:19:04;676] UNITED STATES.
[000:19:05;244] THIS IS THE MAN WHO IS RUNNING
[000:19:06;578] THE COUNTRY.
[000:19:07;613] THIS IS THE MAN THAT WE HAVE TO
[000:19:09;248] TRUST AS YOU POINT OUT IN A
[000:19:10;983] CRISIS, AND THERE WILL BE A
[000:19:12;584] CRISIS.
[000:19:13;118] EVERYTHING THAT HAS HAPPENED
[000:19:14;186] THIS WEEK HAS CHIPPED AWAY AT
[000:19:15;687] THAT CREDIBILITY.
[000:19:16;989] IT'S A VERY DISTRESSING
[000:19:19;791] SITUATION.
[000:19:20;192] >> Shepard: WE TEND TO LOOK AT
[000:19:21;393] THESE THINGS OF THE VIEW OF
[000:19:23;195] THOSE THAT SUPPORT AND THE VIEWS
[000:19:25;097] OF THOSE THAT ARE CRITICS.
[000:19:26;498] IN THIS CASE IT COMES FROM ALL
[000:19:28;233] SIDES.
[000:19:28;534] THERE'S A GENERAL OBSERVATION
[000:19:31;436] THAT WE'RE IN A LEGAL OF UNUSUAL
[000:19:33;939] THAT MOST PEOPLE WOULDN'T HAVE
[000:19:36;508] HAD ANY CONTACT CAN'T FIND
[000:19:38;143] REFERENCE TO HISTORICALLY.
[000:19:40;112] MANY QUESTIONS ABOUT HOW YOU
[000:19:41;680] MIGHT GET OUT OF THIS CYCLE,
[000:19:44;850] THIS CYCLE THAT THIS WHITE HOUSE
[000:19:47;352] SEEMS TO BE INTO SO WE CAN GET
[000:19:49;188] ABOUT THE BUSINESS OF THE
[000:19:50;956] NATION.
[000:19:51;423] CHRIS, IT'S CLEARLY ALL STOPPED.
[000:19:54;493] >> YEAH.
[000:19:55;861] THAT'S ANOTHER POINT THAT I FIND
[000:19:58;730] ASTONISHING.
[000:19:59;131] THE PRESIDENT DID HAVE SOME
[000:20:00;999] MOMENTUM FINALLY FOR HIS
[000:20:01;967] LEGISLATIVE INITIATIVES, HIS
[000:20:04;670] LEGISLATIVE AGENDA THIS LAST
[000:20:06;104] WEEK WITH THE PASSING AND REPEAL
[000:20:07;806] AND REPLAC CAN LIKE THE BILL, ND
[000:20:10;976] IT.
[000:20:11;243] IT HAD PASSED THE HOUSE.
[000:20:12;811] A MAJOR BARRIER.
[000:20:13;979] THE REPUBLICANS AND THE SENATE
[000:20:15;180] SET UP A WORKING GROUP TO FIGURE
[000:20:17;883] OUT WHAT TO DO NEXT.
[000:20:19;451] WE WERE GETTING DOWN TO SERIOUS
[000:20:20;986] BUSINESS TO SOLVE PROBLEMS IN
[000:20:22;187] THE NATION.
[000:20:22;721] TALK ABOUT TAX REFORM.
[000:20:24;122] TALK ABOUT TRADE.
[000:20:25;357] SUDDENLY WE HAVE SPEND A WEEK
[000:20:27;259] AND IT'S GOING TO GO ON LONGER
[000:20:30;128] THAN THIS.
[000:20:30;829] THIS WON'T BE OVER SUNDAY.
[000:20:32;297] THIS WILL GO INTO NEXT WEEK AND
[000:20:35;367] MAYBE BEYOND.
[000:20:36;235] THERE'S TALK ABOUT ROD
[000:20:37;803] ROSENSTEIN, THE ATTORNEY
[000:20:39;371] GENERAL, HAVING TO TESTIFY
[000:20:41;607] BEFORE THE ENTIRE SENATE AND
[000:20:42;741] BRIEF THEM ON THIS SITUATION.
[000:20:45;143] THERE'S GOING TO BE THE
[000:20:46;678] ANNOUNCEMENT OF A REPLACEMENT
[000:20:48;180] FOR COMEY.
[000:20:49;414] CONFIRMATION HEARINGS THAT WILL
[000:20:50;849] BE CONTROVERSIAL.
[000:20:52;150] THIS WILL STOP ALL OF THE
[000:20:53;685] BUSINESS THAT WAS SUPPOSED TO BE
[000:20:56;722] DONE TO DEAL WITH THE PROBLEMS
[000:20:59;324] OF THE AMERICAN PEOPLE FOR A
[000:21:00;626] LONG PERIOD OF TIME.
[000:21:02;461] WE'RE GOING TO BE IN ONE OF THE
[000:21:05;731] WORST BACK FIGHTING, CONFUSING,
[000:21:10;569] QUAGMIRES OF THE PRESIDENT'S OWN
[000:21:13;205] MAKING.
[000:21:13;538] >> CHRIS WALLACE, SEE YOU THIS
[000:21:14;706] SUNDAY.
[000:21:15;040] THANK YOU.
[000:21:19;244] I was always
[000:21:19;244] "the girl with psoriasis."
[000:21:22;481] People don't stare anymore.
[000:21:24;016] I never joined in.
[000:21:26;118] That wasn't fair to any of us.
[000:21:28;186] I was covered.
[000:21:29;388] I tried lots of things
[000:21:29;388] over the years.
[000:21:31;657] But I didn't give up.
[000:21:32;991] I kept on fighting.
[000:21:34;593] I found something that worked.
[000:21:36;295] That still works.
[000:21:37;763] Now?
[000:21:38;630] SEE ME.
[000:21:39;464] SEE ME.
[000:21:40;666] I found clear skin that lasts.
[000:21:42;401] See if COSENTYX could make a
[000:21:42;401] difference for you-
[000:21:44;803] COSENTYX is proven to help
[000:21:44;803] people with moderate
[000:21:46;938] to severe plaque psoriasis...
[000:21:48;373] ...find clear skin that
[000:21:48;373] can last.
[000:21:50;676] Don't use if you're allergic
[000:21:50;676] to COSENTYX.
[000:21:52;544] Before starting COSENTYX,
[000:21:53;679] you should be checked
[000:21:53;679] for tuberculosis.
[000:21:55;447] An increased risk of infections
[000:21:55;447] and lowered ability
[000:21:57;549] to fight them may occur.
[000:21:58;784] Tell your doctor if you have an
[000:21:58;784] infection or symptoms.
[000:22:01;119] Or if you have received a
[000:22:01;119] vaccine or plan to.
[000:22:03;155] If you have inflammatory
[000:22:03;155] bowel disease,
[000:22:04;823] tell your doctor if symptoms
[000:22:04;823] develop or worsen.
[000:22:06;958] Serious allergic reactions
[000:22:06;958] may occur.
[000:22:08;894] SEE ME
[000:22:08;894] to know...
[000:22:10;128] ...clear skin can last.
[000:22:12;264] Don't hold back...
[000:22:13;565] ...ask your dermatologist if
[000:22:13;565] COSENTYX can help you
[000:22:15;801] find clear skin that lasts.
[000:22:20;972] Thereit comes to technology,
[000:22:20;972] about my small business so when
[000:22:22;474] I need someone that understands
[000:22:22;474] my unique needs.
[000:22:25;310] My Dell Small Business Advisor
[000:22:25;310] has gotten to know our business
[000:22:28;480] so well that is feels like he's
[000:22:28;480] a part of our team.
[000:22:31;416] With one phone call, he sets me
[000:22:31;416] up with tailored products
[000:22:34;286] and services.
[000:22:35;387] And when my advisor is focused
[000:22:35;387] on my tech,
[000:22:37;389] I can focus on my small
[000:22:37;389] business.
[000:22:39;191] ♪
[000:22:44;863] ♪
[000:23:04;583] when this guy got a flat tire
[000:23:05;851] in the middle of the night,
[000:23:06;885] so he got home safe.
[000:23:09;788] Yeah, my dad says our
[000:23:09;788] insurance doesn't have that.
[000:23:12;557] What?!
[000:23:13;425] You can leave worry behind
[000:23:14;793] when Liberty stands with you™.
[000:23:16;495] Liberty Mutual Insurance.
[000:23:55;167] The shLike a bald penguin.
[000:23:55;167] How do I look?
[000:23:56;334] [ laughing ]
[000:23:58;703] Show me the
[000:23:58;703] Billboard Music Awards.
[000:24:03;608] Show me Top Artist.
[000:24:06;645] Show me the
[000:24:06;645] Top Hot 100 Artist.
[000:24:08;246] They give awards for being
[000:24:08;246] hot and 100 years old?
[000:24:11;850] We'll take 2!
[000:24:11;850] [ laughing ]
[000:24:13;185] XFINITY X1 gives you
[000:24:13;185] exclusive access to the best
[000:24:15;754] of the Billboard Music Awards
[000:24:15;754] just by using your voice.
[000:24:18;824] The Billboard Music Awards.
[000:24:19;958] Sunday, May 21st eight
[000:24:19;958] seven central only on ABC.
[000:24:28;583] >> Shepard: THIS WEEKEND ON "FOX
[000:24:30;452] NEWS SUNDAY," CHRIS WALLACE WILL
[000:24:31;419] HAVE THE LATEST ON THE FIRING OF
[000:24:33;388] JAMES COMEY AND THE RUSSIA
[000:24:35;790] INVESTIGATION.
[000:24:36;224] HI GUEST, MIKE LEE FROM THE
[000:24:42;797] JUDICIARY COMMITTEE AND MARK
[000:24:44;299] WARNER ON "FOX NEWS SUNDAY" ON
[000:24:45;367] YOUR LOCAL FOX STATIONS.
[000:24:46;968] CHECK YOUR LISTINGS.
[000:24:48;570] ATTORNEY GENERAL JEFF SESSIONS
[000:24:49;704] IS TELLING PROSECUTORS TO GO
[000:24:51;106] AFTER THE MOST SERIOUS CHARGES
[000:24:52;474] FOR MOST ACCUSED CRIMINALS.
[000:24:55;043] THIS MOVE REVERSES SOME OBAMA
[000:24:57;078] ADMINISTRATION POLICIES THAT
[000:24:58;880] WERE MEANT TO FIGHT OVERCROWDING
[000:25:00;482] IN U.S. PRISONS.
[000:25:03;118] ANALYSTS SAY IT WILL PUT MORE
[000:25:04;119] PEOPLE BEHIND BARS AND FOR
[000:25:05;520] LONGER PERIODS OF TIME.
[000:25:07;889] ATTORNEY GENERAL SESSIONS HAS
[000:25:10;091] PROMISED TO CRACK DOWN ON DRUGS
[000:25:10;992] A TOP PRIORITY AT THE JUSTICE
[000:25:12;627] DEPARTMENT.
[000:25:13;028] HE SAID THE NEW POLICY WILL
[000:25:15;730] IMPROVE MORE CONSISTENCY IN
[000:25:18;066] SENTENCING.
[000:25:19;801] BUT CRITICS SAY LOW LEVEL
[000:25:23;104] CRIMINALS WILL FACE MANDATORY
[000:25:26;274] SENTENCES.
[000:25:26;641] PETER DOOCY HAS MORE.
[000:25:28;376] >> SHEP, THE OBAMA
[000:25:29;344] ADMINISTRATION TRIED TO EMPTY
[000:25:30;779] PRISONS OF PEOPLE THAT WERE
[000:25:32;581] THERE FOR NONVIOLENT DRUG
[000:25:34;516] OFFENSES.
[000:25:34;883] THAT POLICY ENDED TODAY.
[000:25:37;185] THE NEW ATTORNEY JERN RALEIGH
[000:25:39;354] JEFF SESSIONS SAYS THAT HE'S
[000:25:41;323] READY TO ENFORCE LAWS JUST AS
[000:25:43;959] CONGRESS WROTE THEM.
[000:25:44;693] >> I HAVE EMPOWERED OUR
[000:25:48;063] PROSECUTORS TO CHARGE AND PURSUE
[000:25:49;764] THE MOST SERIOUS OFFENSE AS I
[000:25:53;101] BELIEVE THE LAW REQUIRES, MOST
[000:25:55;103] SERIOUS READILY PROVABLE
[000:25:56;805] OFFENSE.
[000:25:57;138] IT MEANS THAT WE'RE GOING TO
[000:25:59;441] MEET OUR RESPONSIBILITY TO
[000:26:01;543] ENFORCE THE LAW WITH JUDGMENT
[000:26:03;044] AND FAIRNESS.
[000:26:04;212] IT'S SIMPLY THE RIGHT AND MORAL
[000:26:07;082] THING TO DO.
[000:26:08;883] >> ONE OF ATTORNEY GENERAL
[000:26:11;519] SESSIONS PREDECESSOR, ERIC
[000:26:13;521] HOLDER PUSHES THE SMART ON CRIME
[000:26:14;823] PLAN.
[000:26:15;323] HE SAID HE THINKS THIS PLAN IS
[000:26:17;459] DUMB ON CRIME.
[000:26:19;661] UNDER THE SMART ON CRIME PLAN,
[000:26:21;896] THERE WOULD BE WIGGLE ROOM FOR
[000:26:23;398] PROSECUTORS LIKE NOT DISCLOSING
[000:26:25;300] IN COURT WHAT QUANTITY A DRUG A
[000:26:27;669] DEFENDANT WAS ARRESTED WITH AS
[000:26:29;704] LONG AS NOBODY GOT HURT DURING
[000:26:30;872] THE CRIME OR THE ARREST.
[000:26:32;207] THAT POLICY IS OVER.
[000:26:34;509] RESCINDED BY THIS ATTORNEY
[000:26:35;744] GENERAL.
[000:26:36;077] NOW SOME PRISON ADVOCATES,
[000:26:38;079] REFORM ADVOCATES, ARE ALARMED.
[000:26:41;650] >> ONE THING WE KNOW ABOUT LONG
[000:26:44;286] PRISON SENTENCES, THEY PRODUCE
[000:26:47;122] DIMINISHING RETURNS FOR PUBLIC
[000:26:48;623] SAFETY.
[000:26:48;957] PEOPLE ARE IN THEIR 30s, 40s AND
[000:26:51;226] 50s ARE MUCH LESS LIKELY TO BE
[000:26:53;361] INVOLVED IN CRIME THAN PEOPLE IN
[000:26:55;897] THEIR TEENS AND 20s.
[000:26:57;265] SO BY LENGTHENING PRISON TERMS,
[000:26:59;567] WE'RE GETTING LESS PUBLIC SAFETY
[000:27:01;803] IMPACT FROM EACH SUCCEEDING YEAR
[000:27:03;371] AND COMES AT A GREATER COST TO
[000:27:05;206] THE TAXPAYERS.
[000:27:06;841] >> I WAS WITH ATTORNEY
[000:27:08;643] GENERALING SESSIONS IN WEST
[000:27:09;544] VIRGINIA YESTERDAY WHERE HE
[000:27:11;112] ANNOUNCED A NEW INITIATIVE TO
[000:27:13;181] USE TOUGHER TACTICS TO ROUND UP
[000:27:16;117] DRUG DEALERS.
[000:27:17;485] THERE'S OBVIOUSLY GOING TO BE A
[000:27:18;820] MORE AGGRESSIVE EFFORT TO ARREST
[000:27:21;056] DRUG DEALERS.
[000:27:21;790] NOW HE'S SAYING WHAT HE WANTS TO
[000:27:23;191] DO ONCE THEY'RE IN CUSTODY, THEY
[000:27:25;193] FACE A MANDATORY MINIMUM
[000:27:28;029] SENTENCE.
[000:27:28;396] >> Shepard: PETER DOOCY, THANK
[000:27:30;031] YOU.
[000:27:30;465] NORTH KOREA IS GETTING PERSONAL
[000:27:31;566] WITH ITS LATEST THREATS.
[000:27:33;368] KIM JONG-UN'S BRUTAL REGIME IS
[000:27:36;705] NOW VOWING TO PUNISH AMERICAN
[000:27:39;007] DETAINEES IN THE COUNTRY.
[000:27:42;243] THAT COMES DAYS AFTER ANOTHER
[000:27:44;546] U.S. CITIZEN IS BEHIND BARS.
[000:27:46;715] ALL OF THIS AFTER THEY PROMISE
[000:27:48;450] TO PURSUE A KNEW NUCLEAR TEST.
[000:27:52;620] GORDON CHANG JOINS US NEXT FROM
[000:27:53;421] THE FOX NEWS DECK.
[000:28:10;138] [hissing]
[000:28:13;908] Uh-
[000:28:15;009] I-
[000:28:27;355] [sound of wrench]
[000:28:28;556] [intricate guitar riff]
[000:28:34;229] [engine starts]
[000:28:36;564] [guitar continues]
[000:28:42;771] how to brush his teeth.
[000:28:44;506] (woman VO)
[000:28:44;506] In March, my husband
[000:28:46;040] didn't recognize our grandson.
[000:28:48;543] (woman 2 VO)
[000:28:48;543] That's when moderate Alzheimer's
[000:28:48;543] made me a caregiver.
[000:28:51;312] (AVO)
[000:28:51;312] If their Alzheimer's
[000:28:51;312] is getting worse,
[000:28:53;348] ask about once-a-day NAMZARIC.
[000:28:55;250] NAMZARIC is approved for
[000:28:56;684] moderate to severe
[000:28:56;684] Alzheimer's disease
[000:28:58;353] in patients who are
[000:28:58;353] taking donepezil.
[000:29:00;155] It may improve cognition
[000:29:00;155] and overall function,
[000:29:02;457] and may slow the worsening
[000:29:02;457] of symptoms for a while.
[000:29:05;059] NAMZARIC does not change
[000:29:06;060] the underlying
[000:29:06;060] disease progression.
[000:29:07;929] Don't take if allergic
[000:29:07;929] to memantine,
[000:29:09;564] donepezil, piperidine,
[000:29:10;698] or any of the ingredients
[000:29:10;698] in NAMZARIC.
[000:29:12;801] Tell the doctor
[000:29:12;801] about any conditions;
[000:29:14;369] including heart, lung, bladder,
[000:29:14;369] kidney or liver problems,
[000:29:16;704] seizures, stomach ulcers,
[000:29:17;872] or procedures with anesthesia.
[000:29:19;707] Serious side effects may occur,
[000:29:20;975] including muscle
[000:29:20;975] problems if given anesthesia;
[000:29:22;944] slow heartbeat, fainting,
[000:29:22;944] more stomach acid
[000:29:25;013] which may lead to
[000:29:25;013] ulcers and bleeding;
[000:29:26;548] nausea, vomiting,
[000:29:26;548] difficulty urinating,
[000:29:28;483] seizures, and worsening
[000:29:28;483] of lung problems.
[000:29:30;385] Most common side effects
[000:29:30;385] are headache, diarrhea,
[000:29:32;387] dizziness, loss of appetite,
[000:29:32;387] and bruising.
[000:29:34;556] (woman 2 VO)
[000:29:34;556] I don't know
[000:29:34;556] what tomorrow will bring
[000:29:36;157] but I'm doing what I can.
[000:29:37;759] (AVO)
[000:29:37;759] Ask about NAMZARIC today.
[000:30:03;651] >> Shepard: AN ISLAMIC STATE
[000:30:06;421] TERRORIST MISS ADD TARGET AND
[000:30:09;123] MURDERED TWO DOZEN PEOPLE IN
[000:30:12;160] SOUTHWEST PAKISTAN.
[000:30:16;931] THEY TARGETED THE LEADER OF THE
[000:30:18;900] SENATE BUT MISSED.
[000:30:20;435] ISIS HAS CLAIMED RESPONSIBILITY
[000:30:21;536] FOR THE ATTACK.
[000:30:22;470] STORMS KNOCKED DOWN TREES AND
[000:30:23;838] DAMAGED THE ROOF OF A BAPTIST
[000:30:27;542] CHURCH IN TEXAS, WHITE OAKS.
[000:30:32;614] ONE TREE SPLIT IN HALF AND
[000:30:35;884] TOSSED OTHERS.
[000:30:38;686] NO REPORTS OF INJURY.
[000:30:44;125] HAPPENED YESTERDAY EAST OF
[000:30:45;460] LOS ANGELES.
[000:30:46;294] CREWS RESCUED THE RIDER AND THE
[000:30:49;464] HELICOPTER LIFTED THE 1,200
[000:30:52;300] POUND ANIMAL.
[000:30:53;201] HAD A HECK OF A RIDE OUT OF THE
[000:30:55;503] DEAL.
[000:30:55;803] THE NEWS CONTINUES AFTER THIS.
[000:30:57;071] All finished.
[000:32:27;161] Umm...
[000:32:28;363] You wouldn't want your
[000:32:28;363] painter to quit part way,
[000:32:30;298] I think you missed a spot.
[000:32:32;000] so when it comes to
[000:32:32;000] pain relievers,
[000:32:33;267] why put up with
[000:32:33;267] just part of a day?
[000:32:35;436] Aleve, live whole not part.
[000:32:37;271] You want this color
[000:32:37;271] over the whole house?
[000:33:00;028] >> Shepard: A RUSSIAN FIGHTER
[000:33:01;562] JET ARMED WITH AIR-TO-AIR
[000:33:03;131] MISSILES CAME WITHIN 20 FEET OF
[000:33:04;766] A SURVEILLANCE PLANES OVER THE
[000:33:06;234] BLACK SEA.
[000:33:06;834] THAT'S WHAT U.S. OFFICIALS ARE
[000:33:08;970] TELLING FOX NEWS.
[000:33:10;605] WE'RE TOLD IT HAPPENED TUESDAY
[000:33:12;407] IN INTERNATIONAL AIRSPACE NEAR
[000:33:14;909] CRIMEA.
[000:33:15;243] THAT'S PART OF THE UKRAINE THAT
[000:33:17;812] RUSSIAN CLAIMED AS THEIR OWN.
[000:33:20;314] U.S. OFFICIALS SAID IT'S VERY
[000:33:21;549] RARE AND HIGHLY PROVOCATIVE FOR
[000:33:25;286] A VISIBLY ARMED RUSSIAN JET TO
[000:33:27;989] INTERCEPT AN AMERICAN PLANE.
[000:33:29;223] WE'RE ALSO LEARNING THAT SOUTH
[000:33:31;559] KOREA'S AIR FORCE INTERCEPTED A
[000:33:33;561] RUSH JET FLYING NEAR SOUTH KOREA
[000:33:35;830] AND THE U.S.S. CARL VINSON
[000:33:38;566] STRIKE GROUP IN THE SEA OF
[000:33:40;101] JAPAN.
[000:33:40;401] LAST WEEK, A PAIR OF RUSSIAN
[000:33:42;904] BOMBERS FLEW OFF THE COAST OF
[000:33:44;605] ALASKA FORCING THE AIR FORCE TO
[000:33:46;908] SCRAMBLE JETS TO INTERCEPT THE
[000:33:48;576] BOMBERS.
[000:33:48;976] VLADIMIR PUTIN SAYS HE'S READY
[000:33:50;812] TO PLAY A CONSTRUCTIVE ROLE IN
[000:33:52;847] DEALING WITH NORTH KOREA'S
[000:33:54;248] NUCLEAR THREAT.
[000:33:55;116] VLADIMIR PUTIN MADE THE COMMENT
[000:33:56;851] DURING A PHONE CALL WITH SOUTH
[000:33:59;420] KOREA'S NEW LEADER.
[000:34:01;355] SOUTH KOREA HAS BEEN ONE OF
[000:34:04;325] AMERICA'S LOWEST ALLIES AND HAD
[000:34:06;160] A MAJOR LEADERSHIP CHANGE.
[000:34:08;029] THE FORMER PRESIDENT -- THE
[000:34:09;831] CURRENT PRESIDENT TOOK THE OATH
[000:34:10;932] OF OFFICE THIS WEEK AFTER A
[000:34:12;667] CORRUPTION SCANDAL LED TO THE
[000:34:15;737] IMPEACHMENT OF THEIR FORMER
[000:34:19;140] PRESIDENT.
[000:34:19;574] THE NEW PRESIDENT HAS CALLED FOR
[000:34:24;879] TALKS WITH NORTH KOREA.
[000:34:26;581] RICH EDSON HAS MORE.
[000:34:27;615] >> SECRETARY OF STATE REX
[000:34:28;583] TILLERSON AND THE UNITED STATES
[000:34:29;984] WERE ASKING RUSSIA TO
[000:34:31;352] PARTICIPATE IN THIS PRESSURE
[000:34:32;453] CAMPAIGN THAT THEY'RE WORKING ON
[000:34:34;122] TO TRY TO CONVINCE NORTH KOREA
[000:34:36;591] TO SURRENDER NUCLEAR WEAPONS AND
[000:34:39;761] THE BALLISTIC MISSILE PROGRAM.
[000:34:40;995] IT'S UNCLEAR WHAT PRESIDENT
[000:34:42;363] VLADIMIR PUTIN MEANS BY A
[000:34:43;831] CONSTRUCTIVE ROLE FOR RUSSIA.
[000:34:44;832] THE U.S. IS WORKING ON THAT
[000:34:46;667] PRESSURE CAMPAIGN.
[000:34:47;635] THEY WANT TO ISOLATE NORTH KOREA
[000:34:50;138] DIPLOMATICALLY AND ECONOMICALLY,
[000:34:51;305] PARTICULARLY WANTS TO GET CHINA
[000:34:52;507] ON BOARD THERE.
[000:34:53;741] HOWEVER, THE NEWLY-ELECTED SOUTH
[000:34:59;013] KOREAN PRESIDENT WAS PUSHING FOR
[000:35:01;015] MORE DIALOGUE WITH NORTH KOREA.
[000:35:03;284] THE UNITED STATES SAYS THEY
[000:35:04;018] WOULD ENGAGE IN A DISCUSSION
[000:35:05;386] WITH NORTH KOREA ONLY AFTER IT
[000:35:06;888] CHANGES ITS BEHAVIOR.
[000:35:08;689] THEY HAVE NOT BEEN SPECIFIC TO
[000:35:09;991] THE U.S. ON WHAT THE CONDITIONS
[000:35:11;926] COULD BE, SHEP.
[000:35:12;860] >> Shepard: WHAT IS THE LATEST
[000:35:14;128] ON THE FOUR AMERICANS THE NORTH
[000:35:17;598] KOREANS HAVE DETAINED?
[000:35:18;166] >> WE'RE HEARING FROM NORTH
[000:35:20;001] KOREAN STATE MEDIA.
[000:35:21;068] NORTH KOREA RESERVES THE RIGHT
[000:35:23;171] TO RUTHLESSLY PUNISH AMERICAN
[000:35:24;972] CITIZENS THEY HAVE ARRESTED AND
[000:35:26;374] THE IDEA THAT THESE CAPTIVES
[000:35:28;776] HAVE BEEN TAKEN BY NORTH KOREA
[000:35:30;812] TO BE USED AS BARGAINING CHIPS
[000:35:33;614] IS PURE IGNORANCE.
[000:35:34;682] THEY SAID THEY WILL REVEAL THE
[000:35:36;918] EXTENT OF THE CHARGES AGAINST
[000:35:38;486] THESE FOUR AMERICANS.
[000:35:39;086] THE PROBLEM HERE, SHEP, THE
[000:35:41;823] UNITED STATES ALSO HAS NO
[000:35:43;691] DIPLOMATIC RELATIONS WITH NORTH
[000:35:45;760] KOREA.
[000:35:46;060] THEY HAVE TO GO THROUGH THE
[000:35:47;595] SWEDISH EMBASSY OR THE RULES
[000:35:49;630] THEY HAVE ESTABLISHED, THE
[000:35:51;732] SWEDISH OFFICIALS SHOULD CHECK
[000:35:52;733] ON THESE AMERICANS IN A COUPLE
[000:35:54;402] DAYS.
[000:35:54;702] BUT THE U.S. STATE DEPARTMENT
[000:35:56;604] SAYS THOSE MEETINGS AND
[000:35:58;472] CHECK-ONS ARE CONSTANTLY PUSHED
