[000:00:00;383] THERE.
[000:14:24;280] HE HAS TO SAY.
[000:14:27;550] [ Male Announcer ]
[000:14:27;550] WHAT'S IMPORTANT TO YOU?
[000:14:34;523] AT HUMANA, OUR MEDICARE AGENTS
[000:14:34;523] SIT DOWN WITH YOU AND ASK.
[000:14:36;759] HANGING OUT WITH THIS GUY.
[000:14:36;759] HE'S JUST THE LOVE OF MY LIFE.
[000:14:40;462] [ Male Announcer ]
[000:14:40;462] GETTING TO KNOW YOU
[000:14:41;897] IS HOW WE HELP YOU CHOOSE
[000:14:41;897] THE HUMANA MEDICARE PLAN
[000:14:43;399] THAT WORKS BEST FOR YOU.
[000:14:44;433] MI FAMILIA.
[000:14:45;534] ♪
[000:14:47;436] [ Male Announcer ]
[000:14:47;436] WE WANT TO HELP YOU ACHIEVE
[000:14:47;436] YOUR BEST HEALTH,
[000:14:49;071] SO YOU CAN KEEP DOING
[000:14:49;071] THE THINGS
[000:14:50;773] THAT ARE IMPORTANT TO YOU.
[000:14:51;974] KEEPING UP WITH THEM.
[000:14:54;276] I LOVE IT!
[000:14:55;945] [ Male Announcer ]
[000:14:55;945] HELPING YOU --
[000:14:57;780] NOW THAT'S WHAT'S IMPORTANT
[000:14:57;780] TO US.
[000:15:03;385] does your dog food have?
[000:15:03;385] [ Male Announcer ]
[000:15:03;385] HELPING YOU --
[000:15:04;320] 18 percent?
[000:15:05;788] 20?
[000:15:06;622] New Purina ONE True Instinct
[000:15:06;622] has 30.
[000:15:09;592] Active dogs crave nutrient-dense
[000:15:09;592] food.
[000:15:12;194] So we made Purina ONE True
[000:15:12;194] Instinct.
[000:15:14;430] Learn more at PurinaONE.com
[000:15:18;100] [ CRASHING ]
[000:15:20;669] [ Male Announcer ] WHEN YOUR
[000:15:20;669] FAVORITE FOOD STARTS A FIGHT,
[000:15:23;339] FIGHT BACK FAST WITH TUMS.
[000:15:26;475] HEARTBURN RELIEF THAT
[000:15:26;475] NEUTRALIZES ACID ON CONTACT
[000:15:28;811] AND GOES TO WORK IN SECONDS.
[000:15:28;811] ♪ TUM, TUM TUM TUM TUMS!
[000:15:33;015] HEARTBURN RELIEF THAT
[000:15:33;015] NEUTRALIZES ACID ON CONTACT
[000:15:33;015] TRUST YOUR INSTINCTS
[000:15:33;015] TO MAKE THE CALL.
[000:15:34;984] TO TREAT MY LOW TESTOSTERONE,
[000:15:36;518] MY DOCTOR AND I
[000:15:36;518] WENT WITH AXIRON,
[000:15:38;520] THE ONLY UNDERARM
[000:15:38;520] LOW T TREATMENT.
[000:15:40;723] AXIRON CAN RESTORE
[000:15:40;723] T LEVELS TO NORMAL
[000:15:43;158] IN ABOUT 2 WEEKS IN MOST MEN.
[000:15:44;994] AXIRON IS NOT FOR USE IN WOMEN
[000:15:44;994] OR ANYONE YOUNGER THAN 18
[000:15:48;297] OR MEN WITH PROSTATE
[000:15:48;297] OR BREAST CANCER.
[000:15:50;432] WOMEN, ESPECIALLY THOSE WHO
[000:15:50;432] ARE OR WHO MAY BECOME PREGNANT
[000:15:53;435] AND CHILDREN SHOULD AVOID
[000:15:53;435] CONTACT WHERE AXIRON IS APPLIED
[000:15:56;772] AS UNEXPECTED SIGNS OF
[000:15:56;772] PUBERTY IN CHILDREN
[000:15:59;074] OR CHANGES IN BODY HAIR
[000:16:00;376] OR INCREASED ACNE
[000:16:00;376] IN WOMEN MAY OCCUR.
[000:16:02;344] REPORT THESE SYMPTOMS
[000:16:02;344] TO YOUR DOCTOR.
[000:16:04;079] TELL YOUR DOCTOR ABOUT ALL
[000:16:05;047] MEDICAL CONDITIONS
[000:16:05;047] AND MEDICATIONS.
[000:16:06;882] SERIOUS SIDE EFFECTS COULD
[000:16:06;882] INCLUDE INCREASED RISK
[000:16:09;084] OF PROSTATE CANCER;
[000:16:09;084] WORSENING PROSTATE SYMPTOMS;
[000:16:11;587] DECREASED SPERM COUNT;
[000:16:11;587] ANKLE, FEET OR BODY SWELLING;
[000:16:14;289] ENLARGED OR PAINFUL BREASTS;
[000:16:15;891] PROBLEMS BREATHING
[000:16:15;891] WHILE SLEEPING;
[000:16:17;459] AND BLOOD CLOTS IN THE LEGS.
[000:16:19;128] COMMON SIDE EFFECTS INCLUDE
[000:16:20;229] SKIN REDNESS OR
[000:16:20;229] IRRITATION WHERE APPLIED,
[000:16:22;331] INCREASED RED BLOOD CELL COUNT,
[000:16:23;699] HEADACHE, DIARRHEA, VOMITING,
[000:16:23;699] AND INCREASE IN PSA.
[000:16:26;635] ASK YOUR DOCTOR ABOUT THE
[000:16:26;635] ONLY UNDERARM LOW T TREATMENT,
[000:16:30;372] AXIRON.
[000:16:35;477] >>> YOU LIKELY HEARD GINGER
[000:16:37;279] MENTIONING EARLIER THE STORMS ON
[000:16:37;980] THE WAY THIS WEEKEND.
[000:16:39;415] WHAT HAPPENS WHEN THAT EXTREME
[000:16:40;482] WEATHER BRINGS DOWN THE POWER
[000:16:41;183] LINES?
[000:16:43;118] TONIGHT ABC'S GIO BENITEZ INSIDE
[000:16:44;753] A CAR AND IT TURNS OUT THE FLOOR
[000:16:46;255] MAT COULD BE THE KEY TO GETTING
[000:16:47;322] OUT ALIVE.
[000:16:51;560] >> Reporter: THEY ARE THE
[000:16:53;162] SPLIT-SECOND DECISIONS IN
[000:16:54;196] EXTREME WEATHER THAT COULD MEAN
[000:16:54;930] LIFE OR DEATH.
[000:16:56;331] >> WHAT IS HE DOING?
[000:16:59;001] >> Reporter: HOW DO YOU SURVIVE
[000:16:59;702] UNTIL HELP ARRIVES?
[000:17:01;136] >> IF YOU THINK AND ACT LIKE A
[000:17:02;738] NAVY SEAL, YOU CAN SURVIVE
[000:17:03;405] ANYTHING.
[000:17:03;839] >> Reporter: WE ASKED A FORMER
[000:17:06;408] NAVY SEAL WHO WROTE THE SEAL
[000:17:07;076] SURVIVAL GUIDE.
[000:17:09;078] WHEN DISASTER STRIKES IN THE
[000:17:11;780] CAR, DO YOU ABANDON SHIP OR DO
[000:17:12;848] YOU STAY PUT?
[000:17:13;916] >> IT DEPENDS ON THE SITUATION.
[000:17:16;018] >> Reporter: ONE OF THE MOST
[000:17:21;090] COMMON DISASTERS, A DOWNED POWER
[000:17:22;691] LINE ON TOP OF A CAR.
[000:17:24;893] A HAZARD IN ANY STORM.
[000:17:26;595] IF YOU'RE NOT IN IMMEDIATE
[000:17:30;632] DANGER, STAY PUT.
[000:17:31;233] BUT WHAT IF YOUR CAR'S ON FIRE
[000:17:31;934] AND YOU HAVE TO GET OUT?
[000:17:32;534] >> MOST FLOOR MATS ARE MADE OF
[000:17:33;268] RUBBER.
[000:17:33;702] OPEN YOUR DOOR, GRAB THAT MAT,
[000:17:34;870] PUT IT OUT A FOOT AND A HALF,
[000:17:35;938] TWO FEET OUTSIDE.
[000:17:39;508] KEEPING YOURSELF -- OH, YOU JUST
[000:17:42;444] KILLED YOURSELF.
[000:17:42;945] BECAUSE YOU ALLOWED AN ARC TO
[000:17:43;679] COME THROUGH ONE LEG THAT WAS
[000:17:44;513] SEPARATED AND KILLED YOURSELF.
[000:17:46;048] IF YOU KEEP YOUR FEET TOGETHER
[000:17:49;251] ON THE MAT AND WITHOUT TOUCHING
[000:17:50;319] THE EXTERIOR OF THE VEHICLE,
[000:17:54;056] USE THE SEAT, GO AHEAD AND PUSH
[000:17:55;724] YOURSELF UP.
[000:17:56;225] KEEP YOUR FEET TOGETHER AND PULL
[000:18:01;830] YOURSELF HOP, NOW WITH FEET
[000:18:07;469] TOGETHER, SLOWLY HOP AWAY FROM
[000:18:09;772] THE CAR.
[000:18:10;239] THAT'S YOUR BEST BET FOR GETTING
[000:18:10;939] OUT OF THIS.
[000:18:11;406] >> BUT AGAIN, YOU ONLY WANT TO
[000:18:12;107] GET OUT IF YOU HAVE TO.
[000:18:12;708] OTHERWISE EXPERTS SAY, STAY IN
[000:18:13;475] YOUR CAR IF A POWER LINE FALLS
[000:18:14;209] ON IT.
[000:18:14;943] >> THE FLOOR MAT, WHO KNEW?
[000:18:16;011] YOU'LL HAVE MUCH MORE TONIGHT, I
[000:18:16;745] KNOW.
[000:18:18;147] ALSO TONIGHT ON "20/20," WE
[000:18:19;214] REVEAL THE TEN MOST DANGEROUS
[000:18:20;282] ROADS IN AMERICA.
[000:18:21;383] IS ONE OF THEM IN YOUR HOMETOWN?
[000:18:24;019] TONIGHT ON A SPECIAL "20/20" AT
[000:18:25;053] 10:00 P.M. EASTERN.
[000:18:27;156] >>> WHEN WE COME BACK, THE
[000:18:28;757] DEBATE OVER THE NEW BATMAN.
[000:18:30;359] WE WANT YOU TO WEIGH IN.
[000:18:33;729] AND LATER, THE MAJOR LEAGUE
[000:18:36;098] COACH GIVING THE TINY FAN A
[000:18:37;900] TALKING TO.
[000:18:38;367] MOMS AND DADS CHEERING.
[000:18:39;034] TONIGHT WE LEARN ABOUT WHAT HE
[000:18:40;569] DOES BEFORE HE WALKS AWAY.
[000:18:42;938] [ Male Announcer ]
[000:18:42;938] NOBODY KNOWS WHERE OR WHEN
[000:18:47;209] THE NEXT POWERFUL STORM
[000:18:47;209] IS GOING TO HIT...
[000:18:48;944] BUT IT WILL...
[000:18:50;345] THAT'S WHY
[000:18:50;345] THERE'S A NEW DURACELL BATTERY.
[000:18:53;015] INTRODUCING DURACELL QUANTUM.
[000:18:54;817] WITH ITS HIGH DENSITY CORE,
[000:18:56;518] IT'S A QUANTUM LEAP
[000:18:56;518] IN BATTERY POWER.
[000:18:59;021] THE NEXT STORM IS OUT THERE.
[000:18:59;021] BUT SO ARE THE HEROES.
[000:19:02;624] SO WE'RE GIVING
[000:19:02;624] A MILLION DURACELL QUANTUM
[000:19:04;927] TO FIRST RESPONDERS EVERYWHERE.
[000:19:07;462] POWER. IN THE HANDS
[000:19:07;462] OF THE MOST POWERFUL.
[000:19:10;499] DURACELL.
[000:19:10;499] TRUSTED EVERYWHERE.
[000:19:16;138] WHAT ARE YOU GUYS DOING?
[000:19:17;506] HAVING SOME FIBER!
[000:19:18;574] WITH NEW Phillips'
[000:19:18;574] Fiber Good Gummies.
[000:19:20;042] THEY'RE FRUITY DELICIOUS!
[000:19:21;176] JUST TWO GUMMIES
[000:19:21;176] HAVE 4 GRAMS OF FIBER!
[000:19:23;278] TO HELP SUPPORT
[000:19:23;278] REGULARITY!
[000:19:24;613] I WANT SOME...
[000:19:25;781] [ Woman ] HOP ON OVER!
[000:19:27;115] [ Marge ] FIBER THE FUN WAY,
[000:19:27;115] FROM Phillips'.
[000:19:30;886] [ Male Announcer ] EVER WONDER
[000:19:30;886] WHY NO OTHER MOUTHWASH
[000:19:32;487] FEELS LIKE LISTERINE®?
[000:19:34;289] BECAUSE NO OTHER MOUTHWASH
[000:19:34;289] WORKS LIKE LISTERINE®.
[000:19:37;926] IN YOUR MOUTH,
[000:19:39;328] BACTERIA FORMS IN LAYERS.
[000:19:41;196] LISTERINE® PENETRATES
[000:19:41;196] THESE LAYERS
[000:19:43;632] DEEPER THAN OTHER MOUTHWASHES,
[000:19:45;267] KILLING BACTERIA ALL THE WAY
[000:19:45;267] DOWN TO THE BOTTOM LAYER.
[000:19:48;937] SO FOR A CLEANER,
[000:19:48;937] HEALTHIER MOUTH,
[000:19:51;006] GO WITH THE MOUTHWASH
[000:19:51;006] DENTISTS RECOMMEND
[000:19:52;441] MORE THAN ALL OTHERS COMBINED.
[000:19:54;042] #1 DENTIST RECOMMENDED
[000:19:54;042] LISTERINE®...
[000:19:56;144] POWER TO YOUR MOUTH™.
[000:20:01;116] #1 DENTIST RECOMMENDED
[000:20:01;116] SHE'AND YOU LOVE HER FOR IT.IDE.
[000:20:02;651] BUT YOUR ERECTILE DYSFUNCTION -
[000:20:04;286] THAT COULD BE A
[000:20:04;286] QUESTION OF BLOOD FLOW.
[000:20:06;855] CIALIS TADALAFIL FOR DAILY USE
[000:20:08;423] HELPS YOU BE READY ANYTIME
[000:20:08;423] THE MOMENT'S RIGHT.
[000:20:10;525] YOU CAN BE MORE CONFIDENT
[000:20:10;525] IN YOUR ABILITY TO BE READY.
[000:20:13;528] AND THE SAME CIALIS IS
[000:20:13;528] THE ONLY DAILY ED TABLET
[000:20:15;931] APPROVED TO TREAT ED
[000:20:15;931] AND SYMPTOMS OF BPH,
[000:20:18;600] LIKE NEEDING TO GO
[000:20:18;600] FREQUENTLY OR URGENTLY.
[000:20:21;069] TELL YOUR DOCTOR ABOUT
[000:20:21;069] ALL YOUR MEDICAL
[000:20:22;671] CONDITIONS AND MEDICATIONS,
[000:20:24;006] AND ASK IF YOUR HEART IS HEALTHY
[000:20:24;006] ENOUGH FOR SEXUAL ACTIVITY.
[000:20:26;241] DO NOT TAKE CIALIS IF YOU
[000:20:26;241] TAKE NITRATES FOR CHEST PAIN,
[000:20:28;877] AS THIS MAY CAUSE AN UNSAFE
[000:20:28;877] DROP IN BLOOD PRESSURE.
[000:20:31;280] DO NOT DRINK ALCOHOL
[000:20:31;280] IN EXCESS WITH CIALIS.
[000:20:33;448] SIDE EFFECTS MAY INCLUDE
[000:20:33;448] HEADACHE, UPSET STOMACH,
[000:20:35;517] DELAYED BACKACHE OR MUSCLE ACHE.
[000:20:37;185] TO AVOID LONG-TERM INJURY,
[000:20:37;185] SEEK IMMEDIATE MEDICAL HELP
[000:20:39;721] FOR AN ERECTION LASTING
[000:20:39;721] MORE THAN 4 HOURS.
[000:20:42;024] IF YOU HAVE ANY SUDDEN DECREASE
[000:20:42;024] OR LOSS IN HEARING OR VISION,
[000:20:44;726] OR IF YOU HAVE ANY ALLERGIC
[000:20:44;726] REACTIONS SUCH AS RASH, HIVES,
[000:20:47;696] SWELLING OF THE LIPS,
[000:20:47;696] TONGUE OR THROAT,
[000:20:49;298] OR DIFFICULTY BREATHING
[000:20:49;298] OR SWALLOWING,
[000:20:51;366] STOP TAKING CIALIS AND GET
[000:20:51;366] MEDICAL HELP RIGHT AWAY.
[000:20:53;735] ASK YOUR DOCTOR ABOUT
[000:20:53;735] CIALIS FOR DAILY USE
[000:20:56;505] AND A 30-TABLET FREE TRIAL.
[000:21:01;743] with freshly bakedeve in
[000:21:01;743] whole grain bread.right
[000:21:03;745] Then we add
[000:21:03;745] all-natural eggs...
[000:21:05;714] lean antibiotic-free ham...
[000:21:07;716] and Vermont white cheddar.
[000:21:09;551] Get 16 grams of protein
[000:21:10;919] and 23 grams
[000:21:10;919] of whole grain
[000:21:12;587] in the Breakfast
[000:21:12;587] Power Sandwich.
[000:21:18;360] >>> OUR "INSTANT INDEX" ON A
[000:21:19;127] FRIDAY NIGHT, EVERYONE DEBATING
[000:21:20;162] THE NEW PIC TONIGHT.
[000:21:21;763] YOU KNOW THE THEME.
[000:21:23;365] ♪ BATMAN
[000:21:27;636] >> WELL, THE NEW BATMAN TONIGHT,
[000:21:29;204] BEN AFFLECK, WHO JOINS A LONG
[000:21:30;739] LINE OF CAPED CRUSADERS ON THE
[000:21:32;874] BIG SCREEN -- KEATON, CLOONEY,
[000:21:34;476] KILMER, CHRISTIAN BALE, OF
[000:21:35;510] COURSE.
[000:21:36;578] BUT NOT EVERYONE IS SURE HE'S
[000:21:37;646] THE RIGHT CHOICE.
[000:21:38;714] TWEET AND LET ME KNOW WHAT YOU
[000:21:39;781] THINK.
[000:21:41;383] >>> AND THE MAJOR LEAGUE PEP
[000:21:42;384] TALK GOING VIRAL.
[000:21:44;553] A TINY FAN AT THE ROCKIES GAME,
[000:21:46;121] WE FIRST SHOWED IT ON GMA.
[000:21:47;756] CORNERED BY FIRST BASE COACH
[000:21:49;891] RENE LACHEMANN, IT HAS MOMS AND
[000:21:50;559] DADS CHEERING.
[000:21:54;629] SEE IF YOU CHEER TOO.
[000:21:56;264] HE STARTS ABOUT THE VIRTUES OF
[000:21:56;965] TAKING OUT THE TRASH.
[000:21:57;566] >> WHEN YOUR DAD TELLS YOU TO
[000:21:58;266] TAKE OUT THE TRASH, YOU TAKE IT
[000:21:58;934] OUT.
[000:21:59;334] WHEN YOUR MOTHER TELLS YOU TO
[000:21:59;968] CLEAN YOUR ROOM UP, YOU CLEAN IT
[000:22:00;702] UP.
[000:22:01;069] YOU COME HOME FROM SCHOOL, THE
[000:22:01;937] FIRST THING YOU DO IS DO YOUR
[000:22:02;637] HOMEWORK.
[000:22:05;841] YOU UNDERSTAND THAT?
[000:22:06;441] YOU EAT YOUR DINNER AND YOUR
[000:22:07;109] VEGETABLES.
[000:22:07;576] YOU GOT A BROTHER AND SISTER?
[000:22:08;276] >> YEP.
[000:22:08;677] >> DON'T BE FIGHTING WITH THEM.
[000:22:11;680] >> WE LOVE THIS GUY.
[000:22:13;749] WE ALSO LEARNED SOMETHING ELSE.
[000:22:15;884] HE'S MADE IT A TRADITION TO GIVE
[000:22:17;519] A SOUVENIR BASEBALL AFTER THAT
[000:22:19;087] PEP TALK.
[000:22:20;155] HE ALSO SAYS, "SANTA'S
[000:22:21;223] WATCHING," BY THE WAY.
[000:22:23;358] >>> WHEN WE COME BACK, THE YOUNG
[000:22:27;462] -- THE BOLD MOVE FROM THE YOUNG
[000:22:29;965] MOTHER WHOSE VOICE AND MUSIC YOU
[000:22:32;401] KNOW.
[000:22:32;834] ♪ CONCRETE JUNGLE WHERE DREAMS
[000:22:33;535] ARE MADE OF ♪
[000:22:34;403] >> TONIGHT WHAT ALICIA KEYS DID
[000:22:35;470] THIS WEEK AS THE CAMERAS WERE
[000:22:36;538] ROLLING AND WHO SHE'S OUT TO
[000:22:37;239] SAVE TONIGHT.
[000:22:39;875] IF YOU'RE LOOKING FOR HELP
[000:22:39;875] RELIEVING HEARTBURN,
[000:22:42;944] CAUSED BY ACID REFLUX DISEASE,
[000:22:44;846] RELIEF IS AT HAND.
[000:22:46;615] FOR MANY, NEXIUM PROVIDES
[000:22:46;615] 24-HOUR HEARTBURN RELIEF
[000:22:49;751] AND MAY BE
[000:22:49;751] AVAILABLE
[000:22:49;751] FOR JUST
[000:22:49;751] $18 A MONTH.
[000:22:52;587] THERE IS RISK OF BONE FRACTURE
[000:22:52;587] AND LOW MAGNESIUM LEVELS.
[000:22:55;390] SIDE EFFECTS MAY INCLUDE
[000:22:56;458] HEADACHE, ABDOMINAL
[000:22:56;458] PAIN, AND DIARRHEA.
[000:22:58;360] IF YOU HAVE PERSISTENT DIARRHEA,
[000:22:58;360] CONTACT YOUR DOCTOR RIGHT AWAY.
[000:23:01;196] OTHER SERIOUS STOMACH
[000:23:01;196] CONDITIONS MAY EXIST.
[000:23:03;065] DON'T TAKE NEXIUM IF
[000:23:03;065] YOU TAKE CLOPIDOGREL.
[000:23:05;100] RELIEF IS AT
[000:23:05;100] HAND FOR JUST
[000:23:05;100] $18 A MONTH.
[000:23:07;903] TALK TO
[000:23:07;903] YOUR DOCTOR
[000:23:07;903] ABOUT NEXIUM.
[000:23:12;808] YOU KNOW, FROM OUR 4,000
[000:23:12;808] TELEVISION COMMERCIALS.
[000:23:16;011] YEP, THERE I AM WITH FLO.
[000:23:18;246] HOO-HOO! WATCH IT!
[000:23:19;748] [Chuckles] ANYHOO, 3 MILLION
[000:23:19;748] PEOPLE SWITCHED TO ME LAST YEAR,
[000:23:22;651] SAVING AN AVERAGE
[000:23:22;651] OF $475.
[000:23:26;188] [Sigh] IT FEELS GOOD
[000:23:26;188] TO HELP PEOPLE SAVE...
[000:23:28;757] WITH GREAT DISCOUNTS LIKE
[000:23:28;757] SAFE DRIVER, MULTICAR,
[000:23:31;827] AND MULTIPOLICY.
[000:23:33;829] SO CALL ME TODAY.
[000:23:33;829] YOU'LL BE GLAD YOU DID.
[000:23:36;498] CANNONBOX!
[000:23:37;566] [SPLASH!]
[000:23:42;671] A BODY AT REST
[000:23:42;671] TENDS TO STAY AT REST...
[000:23:44;306] WHILE A BODY IN MOTION
[000:23:44;306] TENDS TO STAY IN MOTION.
[000:23:47;609] STAYING ACTIVE CAN ACTUALLY
[000:23:47;609] EASE ARTHRITIS SYMPTOMS.
[000:23:50;712] BUT IF YOU HAVE ARTHRITIS,
[000:23:51;947] STAYING ACTIVE
[000:23:51;947] CAN BE DIFFICULT.
[000:23:54;015] PRESCRIPTION CELEBREX
[000:23:54;015] CAN HELP RELIEVE ARTHRITIS PAIN
[000:23:56;751] SO YOUR BODY
[000:23:56;751] CAN STAY IN MOTION.
[000:23:58;720] BECAUSE JUST ONE
[000:23:58;720] 200MG CELEBREX A DAY
[000:24:01;656] CAN PROVIDE 24 HOUR RELIEF
[000:24:03;525] FOR MANY WITH ARTHRITIS PAIN
[000:24:03;525] AND INFLAMMATION.
[000:24:06;194] PLUS, IN CLINICAL STUDIES,
[000:24:07;629] CELEBREX IS PROVEN TO IMPROVE
[000:24:07;629] DAILY PHYSICAL FUNCTION
[000:24:10;632] SO MOVING IS EASIER.
[000:24:12;067] CELEBREX CAN BE TAKEN
[000:24:12;067] WITH OR WITHOUT FOOD.
[000:24:14;703] AND IT'S NOT A NARCOTIC.
[000:24:16;371] YOU AND YOUR DOCTOR
[000:24:16;371] SHOULD BALANCE THE BENEFITS
[000:24:18;373] WITH THE RISKS.
[000:24:19;841] ALL PRESCRIPTION NSAIDS,
[000:24:19;841] LIKE CELEBREX, IBUPROFEN,
[000:24:22;611] NAPROXEN AND MELOXICAM
[000:24:23;845] HAVE THE SAME
[000:24:23;845] CARDIOVASCULAR WARNING.
[000:24:25;881] THEY ALL MAY INCREASE
[000:24:25;881] THE CHANCE
[000:24:27;249] OF HEART ATTACK OR STROKE,
[000:24:27;249] WHICH CAN LEAD TO DEATH.
[000:24:28;984] THIS CHANCE INCREASES
[000:24:28;984] IF YOU HAVE HEART DISEASE
[000:24:31;586] OR RISK FACTORS
[000:24:31;586] SUCH AS HIGH BLOOD PRESSURE
[000:24:33;488] OR WHEN NSAIDS ARE TAKEN
[000:24:33;488] FOR LONG PERIODS.
[000:24:35;924] NSAIDS, LIKE CELEBREX,
[000:24:37;526] INCREASE THE CHANCE OF SERIOUS
[000:24:37;526] SKIN OR ALLERGIC REACTIONS,
[000:24:39;961] OR STOMACH AND INTESTINE
[000:24:39;961] PROBLEMS,
[000:24:41;663] SUCH AS BLEEDING AND ULCERS,
[000:24:43;064] WHICH CAN OCCUR WITHOUT WARNING
[000:24:43;064] AND MAY CAUSE DEATH.
[000:24:45;000] PATIENTS ALSO TAKING ASPIRIN
[000:24:45;000] AND THE ELDERLY
[000:24:47;269] ARE AT INCREASED RISK FOR
[000:24:47;269] STOMACH BLEEDING AND ULCERS.
[000:24:49;604] DON'T TAKE CELEBREX
[000:24:51;039] IF YOU HAVE BLEEDING
[000:24:51;039] IN THE STOMACH OR INTESTINE,
[000:24:52;507] OR HAD AN ASTHMA ATTACK, HIVES,
[000:24:54;242] OTHER ALLERGIES TO ASPIRIN,
[000:24:54;242] NSAIDS OR SULFONAMIDES.
[000:24:56;845] GET HELP RIGHT AWAY IF YOU HAVE
[000:24:56;845] SWELLING OF THE FACE OR THROAT,
[000:24:59;314] OR TROUBLE BREATHING.
[000:25:00;515] TELL YOUR DOCTOR
[000:25:00;515] YOUR MEDICAL HISTORY.
[000:25:02;250] AND FIND AN ARTHRITIS TREATMENT
[000:25:02;250] FOR YOU.
[000:25:04;486] VISIT CELEBREX.COM AND ASK
[000:25:04;486] YOUR DOCTOR ABOUT CELEBREX.
[000:25:08;256] FOR A BODY IN MOTION.
[000:25:30;612] >>> FINALLY TONIGHT HERE, OUR
[000:25:31;413] PERSON OF THE WEEK.
[000:25:33;014] YOU KNOW HER VOICE ON STAGE, BUT
[000:25:34;015] HAVE YOU HEARD IT BEHIND THE
[000:25:35;083] SCENES TOO?
[000:25:36;151] SAVING LIVES.
[000:25:37;719] TONIGHT ALICIA KEYS USING THE
[000:25:38;787] POWER OF HER VOICE RIGHT HERE AT
[000:25:39;854] HOME.
[000:25:41;957] ♪ SHE'S JUST A GIRL AND SHE'S ON
[000:25:43;024] FIRE ♪
[000:25:45;126] >> YOU ALREADY KNOW ALICIA KEYS
[000:25:46;228] AND THAT SINGULAR VOICE.
[000:25:47;796] ♪
[000:25:52;033] >> BUT FOR THE LAST DECADE SHE'S
[000:25:53;134] BEEN QUIETLY USING THAT VOICE TO
[000:25:54;202] SAVE OTHERS.
[000:25:55;237] ♪
[000:25:57;906] >> TEACHING PREVENTION AND
[000:25:58;573] TREATMENT FOR HIV.
[000:26:00;075] HER ORGANIZATION, KEEP A CHILD
[000:26:00;775] ALIVE.
[000:26:02;744] ♪
[000:26:04;346] >> AND THE CHILDREN IN THOSE
[000:26:05;380] TOWNS AND VILLAGES IN AFRICA,
[000:26:06;982] SHE'S HELPED TO SAVE.
[000:26:08;583] THEY NOW SING TO HER.
[000:26:10;151] ♪
[000:26:15;423] >> AND THIS WEEK, SHE CAME HOME
[000:26:17;025] TO NEW YORK TO SIT DOWN WITH US.
[000:26:19;160] SHE ALSO DID SOMETHING ELSE.
[000:26:21;296] AS CAMERAS WERE ROLLING, SHE
[000:26:21;963] TOOK A TEST.
[000:26:24;532] A RAPID HIV TEST, TO REIGNITE
[000:26:26;067] THE CONVERSATION HERE IN
[000:26:27;102] AMERICA.
[000:26:28;737] >> YOU SAY THAT A LOT OF US MAKE
[000:26:30;272] THE MISTAKE OF THINKING IT'S
[000:26:31;873] JUST HAPPENING OVER THERE.
[000:26:34;009] >> I REALIZE, I MYSELF EVEN,
[000:26:36;144] WE'RE JUST NOT TALKING ABOUT IT
[000:26:36;845] IN AMERICA.
[000:26:38;246] THERE'S SO MANY PEOPLE WHO ARE
[000:26:44;185] FINDING THEMSELVES NEWLY
[000:26:45;987] INFECTED.
[000:26:46;454] THE INFECTION RATE IS JUST
[000:26:47;122] REMAINING THE SAME.
[000:26:47;689] IT'S NOT GOING DOWN HERE IN
[000:26:48;356] AMERICA.
[000:26:49;658] >> AND TONIGHT SHE'S BEHIND A
[000:26:50;725] BRAND NEW PROJECT, EMPOWERED.
[000:26:52;327] SITTING DOWN WITH WOMEN FROM ALL
[000:26:53;928] OVER AMERICA LIVING WITH HIV AND
[000:26:54;963] SURVIVING.
[000:26:57;632] JEN IS A WIFE AND A MOTHER.
[000:26:59;200] >> PRETTY MUCH EVERYONE WHO ENDS
[000:27:01;303] UP HIV-POSITIVE SAYS, I DIDN'T
[000:27:02;370] THINK IT COULD HAPPEN TO ME.
[000:27:03;972] AND THEN IT HAPPENED TO ME.
[000:27:07;142] >> ALICIA WANTS THESE WOMEN TO
[000:27:08;209] KNOW THEY HAVEN'T BEEN
[000:27:09;277] FORGOTTEN.
[000:27:10;345] SHE WANTS TO WIPE OUT HIV FOR
[000:27:11;413] THE NEXT GENERATION.
[000:27:14;082] HER SON NOW 2 YEARS OLD, NOW
[000:27:16;217] WITH HER ON TOUR, BUT HE DOESN'T
[000:27:17;786] GET TO STAY UP WITH HER FOR THE
[000:27:18;520] WHOLE CONCERT.
[000:27:19;921] BUT KNOWS EVERY WORD.
[000:27:22;057] ♪ NEW YORK, CONCRETE JUNGLE
[000:27:23;158] WHERE DREAMS ARE MADE OF ♪
[000:27:27;395] >> THAT'S BECOME THE THEME SONG
[000:27:28;997] FOR NEW YORK CITY.
[000:27:30;065] FOR THE WORLD.
[000:27:31;666] THE WORLD NOW SINGS THAT SONG.
[000:27:33;802] >> IT'S THE ONE THING WE CAN ALL
[000:27:34;836] SAY WE CAN TOTALLY CONNECT WITH
[000:27:36;438] AND THAT WOULD DRIVE US ALL TO
[000:27:37;472] HAVE A CHANCE.
[000:27:41;676] AND THAT SONG IS ALL ABOUT THAT.
[000:27:42;744] >> HAVING A CHANCE.
[000:27:46;481] THE SINGER LOOKING OUT FOR THOSE
[000:27:48;116] CHILDREN ALL OVER THE WORLD AND
[000:27:49;150] FOR HER LITTLE ONE WHEN HE NEEDS
[000:27:49;884] IT MOST.
