[000:00:00;233] IN RUBBLE
[000:15:45;878] TO PROVE TO YOU THAT Aleve
[000:15:45;878] IS THE BETTER CHOICE FOR HIM,
[000:15:48;013] HE'S AGREED TO GIVE IT UP.
[000:15:48;948] THAT'S TODAY?
[000:15:50;282] [ Male Announcer ]
[000:15:50;282] WE'LL BE WITH HIM ALL DAY
[000:15:51;383] AS HE GOES BACK
[000:15:51;383] TO TAKING TYLENOL.
[000:15:53;118] THAT WAS OKAY, BUT AFTER LUNCH
[000:15:53;118] MY KNEE STARTED TO HURT AGAIN,
[000:15:56;088] AND NOW I GOTTA TAKE MORE PILLS.
[000:15:58;290] ♪
[000:16:00;326] YUP ANOTHER PILL STOP.
[000:16:02;661] CAN I GET MY Aleve BACK YET?
[000:16:04;330] ♪
[000:16:06;465] FOR MY PAIN, I WANT MY Aleve.
[000:16:08;334] ♪
[000:16:10;102] [ Male Announcer ]
[000:16:10;102] THIS MAY, BUY Aleve
[000:16:10;102] AND HELP THOSE IN NEED.
[000:16:14;907] MOMMY'S HAVING
[000:16:14;907] A FRENCH FRY.
[000:16:16;275] YES SHE IS, YES SHE IS.
[000:16:18;177] [ bop ]
[000:16:21;347] [ Male Announcer ]
[000:16:21;347] COULD'VE HAD A V8.
[000:16:22;648] 100% VEGETABLE JUICE,
[000:16:24;383] WITH THREE OF YOUR DAILY
[000:16:24;383] VEGETABLE SERVINGS
[000:16:26;151] IN EVERY LITTLE BOTTLE.
[000:16:30;456] SEE, I KNEW TESTOSTERONE
[000:16:30;456] COULD AFFECT SEX DRIVE,
[000:16:33;125] BUT NOT ENERGY
[000:16:33;125] OR EVEN MY MOOD.
[000:16:35;160] THAT'S WHEN I TALKED
[000:16:35;160] WITH MY DOCTOR.
[000:16:36;962] HE GAVE ME SOME BLOOD TESTS...
[000:16:36;962] SHOWED IT WAS LOW T.
[000:16:39;431] THAT'S IT. IT WAS A NUMBER.
[000:16:41;200] [ Male Announcer ]
[000:16:41;200] TODAY, MEN WITH LOW T
[000:16:42;568] HAVE ANDROGEL 1.62%
[000:16:42;568] TESTOSTERONE GEL.
[000:16:45;738] THE #1 PRESCRIBED
[000:16:47;039] TOPICAL TESTOSTERONE
[000:16:47;039] REPLACEMENT THERAPY
[000:16:49;241] INCREASES TESTOSTERONE
[000:16:49;241] WHEN USED DAILY.
[000:16:51;310] WOMEN AND CHILDREN SHOULD AVOID
[000:16:51;310] CONTACT WITH APPLICATION SITES.
[000:16:54;446] DISCONTINUE ANDROGEL
[000:16:54;446] AND CALL YOUR DOCTOR
[000:16:55;981] IF YOU SEE UNEXPECTED SIGNS
[000:16:55;981] OF EARLY PUBERTY IN A CHILD,
[000:16:59;284] OR SIGNS IN A WOMAN,
[000:17:00;519] WHICH MAY INCLUDE
[000:17:00;519] CHANGES IN BODY HAIR
[000:17:01;720] OR A LARGE INCREASE IN ACNE,
[000:17:03;689] POSSIBLY DUE
[000:17:03;689] TO ACCIDENTAL EXPOSURE.
[000:17:05;324] MEN WITH BREAST CANCER
[000:17:06;558] OR WHO HAVE OR MIGHT HAVE
[000:17:06;558] PROSTATE CANCER,
[000:17:08;093] AND WOMEN WHO ARE OR MAY BECOME
[000:17:08;093] PREGNANT OR ARE BREAST-FEEDING,
[000:17:11;196] SHOULD NOT USE ANDROGEL.
[000:17:12;564] SERIOUS SIDE EFFECTS INCLUDE
[000:17:13;732] WORSENING OF
[000:17:13;732] AN ENLARGED PROSTATE,
[000:17:15;034] POSSIBLE INCREASED RISK
[000:17:15;034] OF PROSTATE CANCER,
[000:17:17;202] LOWER SPERM COUNT, SWELLING
[000:17:17;202] OF ANKLES, FEET, OR BODY,
[000:17:20;105] ENLARGED OR PAINFUL BREASTS,
[000:17:20;105] PROBLEMS BREATHING
[000:17:20;105] DURING SLEEP,
[000:17:23;142] AND BLOOD CLOTS IN THE LEGS.
[000:17:24;743] TELL YOUR DOCTOR
[000:17:24;743] ABOUT YOUR MEDICAL CONDITIONS
[000:17:26;378] AND MEDICATIONS,
[000:17:26;378] ESPECIALLY INSULIN,
[000:17:28;414] CORTICOSTEROIDS, OR MEDICINES
[000:17:28;414] TO DECREASE BLOOD CLOTTING.
[000:17:31;250] IN A CLINICAL STUDY, OVER 80%
[000:17:33;018] OF TREATED MEN HAD THEIR
[000:17:33;018] T LEVELS RESTORED TO NORMAL.
[000:17:35;687] TALK TO YOUR DOCTOR
[000:17:35;687] ABOUT ALL YOUR SYMPTOMS.
[000:17:37;790] GET THE BLOOD TESTS.
[000:17:37;790] CHANGE YOUR NUMBER. TURN IT UP.
[000:17:40;559] ANDROGEL 1.62%.
[000:17:50;502] ♪
[000:18:00;712] >> THEY ARE STUNNING PICTURES
[000:18:02;147] AND STUNNING STORIES FROM THE
[000:18:05;551] FAMILIES ON THE GROUND THERE IN
[000:18:08;520] MOORE, OKLAHOMA.
[000:18:09;321] AND ONE A FATHER, HIS SON
[000:18:11;990] GABRIEL WAS IN SCHOOL, RODE OUT
[000:18:13;926] THE STORM INSIDE ONE OF THE
[000:18:15;260] SCHOOLS THAT TOOK A DIRECT HIT.
[000:18:17;196] AND HOURS AGO FATHER AND SON
[000:18:19;131] WERE REUNITED, HERE'S THEIR
[000:18:21;767] STORY IN THEIR OWN WORDS.
[000:18:22;835] >> THIS IS GABRIEL AND RYAN
[000:18:25;537] WHEELER.
[000:18:26;004] HE'S MY SON.
[000:18:27;172] AND 30 MINUTES AGO YOU DIDN'T
[000:18:28;407] KNOW WHERE HE WAS?
[000:18:29;408] >> DID NOT KNOW WHERE HE WAS.
[000:18:32;711] I JUST RUSHED HOME, WE JUST GOT
[000:18:35;380] REUNITED, BUT HE'S OKAY.
[000:18:36;415] HE WAS DIRECTLY IN THE TORNADO.
[000:18:37;850] HIS TEACHER WAS RIGHT NEXT TO
[000:18:39;518] HIM.
[000:18:39;918] MISS SIMON HAD THE KIDS IN ONE
[000:18:42;287] HALLWAY, AND SHE SAID THAT IT
[000:18:43;789] SOUNDED LIKE A TRAIN COMING.
[000:18:45;924] SO SHE SAID THAT THEY HAD TO
[000:18:47;392] MOVE, SO THEY WENT INTO AN
[000:18:49;528] INTERIOR CLOSET.
[000:18:51;363] THERE WAS ONLY SIX KIDS.
[000:18:52;998] THEY GOT DOWN.
[000:18:53;866] THEY WERE TELLING STORIES AND
[000:18:56;702] APPARENTLY THEY GOT INTO
[000:18:59;238] POSITION, AND THE TEACHER HELD
[000:19:01;373] THEIR HEADS, AND BRICKS AND
[000:19:02;841] EVERYTHING WERE FALLING ALL OVER
[000:19:04;343] THE KIDS.
[000:19:05;144] SHE GOT HER ARM INJURED.
[000:19:06;845] ONE OF THE BOYS GOT A BIG GASH
[000:19:09;581] IN HIS HEAD BUT HE'S OKAY.
[000:19:11;850] AND HE WAS THE LAST ONE TO BE
[000:19:14;219] REUNITED WITH A FAMILY MEMBER,
[000:19:16;155] SO WE'VE GOT HIM.
[000:19:17;556] SHE SAID HE WAS HELPING PEOPLE,
[000:19:20;159] PULLING STUFF OFF OF KIDS.
[000:19:21;627] WE'RE JUST GLAD THAT HE'S SAFE.
[000:19:23;028] I WAS ON THE HIGHWAY, WE WERE
[000:19:25;164] GETTING SLAMMED WITH HAIL AND
[000:19:26;565] RAIN AGAIN.
[000:19:27;099] AND ALL I WAS THINKING ABOUT WAS
[000:19:28;834] MY SON.
[000:19:29;368] ALL THE REPORTS WERE SAYING THAT
[000:19:32;504] BRIARWOOD WAS GOING.
[000:19:34;406] SO THAT'S ALL -- IT DIDN'T
[000:19:36;275] MATTER.
[000:19:36;742] >> I FELT THEM AND IT WAS
[000:19:38;210] RAINING ON ME AND ALL THAT.
[000:19:39;611] >> CAN YOU TELL ME, IN THAT
[000:19:41;880] CLOSET, WHAT WAS YOUR TEACHER
[000:19:43;882] TELLING YOU AS SHE PUT HER HANDS
[000:19:45;184] OVER YOUR HEAD AND HELD YOU
[000:19:46;451] CLOSE?
[000:19:46;852] >> SHE SAID IT WAS JUST OKAY.
[000:19:52;958] >> FOR ONE FAMILY, SUCH GREAT
[000:19:55;827] NEWS TONIGHT.
[000:19:56;461] >>> AND COMING UP NEXT HERE,
[000:19:58;363] OTHER FAMILIES SENDING A MESSAGE
[000:19:59;331] TO THE WORLD FROM THE STORM
[000:20:02;401] ZONE, HOW ONE WOMAN COMFORTED A
[000:20:04;102] LOT OF SMALL CHILDREN AS THE
[000:20:04;937] TORNADO WAS BEARING DOWN.
[000:20:06;138] male A.
[000:20:08;140] IT'S THE MOST POWERFUL THING
[000:20:08;140] ON THE PLANET.
[000:20:11;476] LOVE HOLDS US IN THE BEGINNING.
[000:20:14;980] COMFORTS US AS WE GROW OLD.
[000:20:18;283] LOVE IS THE REASON YOU CARE.
[000:20:21;920] FOR ALL THE THINGS
[000:20:21;920] IN YOUR LIFE...
[000:20:25;390] THAT MAKE LIFE WORTH LIVING.
[000:20:28;694] ♪
[000:20:30;762] ♪ SWEET LOVE OF MINE
[000:20:36;835] If you're suffering from
[000:20:36;835] constipation,
[000:20:38;403] Miralax or Metamucil may take
[000:20:38;403] days to work.
[000:20:40;572] For faster relief, try Dulcolax
[000:20:40;572] laxative tablets.
[000:20:43;175] Dulcolax provides gentle relief
[000:20:43;175] overnight unlike Miralax
[000:20:46;111] and Metamucil that can take up
[000:20:46;111] to 3 days.
[000:20:48;113] For predictable relief try
[000:20:48;113] Dulcolax.
[000:21:08;333] and Metamucil that can take up
[000:21:08;333] to 3 days.
[000:21:08;333] IT'S BEEN THAT WAY
[000:21:08;333] SINCE THE DAY YOU MET.
[000:21:10;869] BUT YOUR ERECTILE DYSFUNCTION -
[000:21:12;204] IT COULD BE A QUESTION
[000:21:12;204] OF BLOOD FLOW.
[000:21:14;373] CIALIS TADALAFIL
[000:21:14;373] FOR DAILY USE
[000:21:16;108] HELPS YOU BE
[000:21:16;108] READY ANYTIME
[000:21:16;108] THE MOMENT'S
[000:21:16;108] RIGHT.
[000:21:18;443] YOU CAN BE
[000:21:18;443] MORE CONFIDENT
[000:21:18;443] IN YOUR ABILITY
[000:21:18;443] TO BE READY.
[000:21:20;579] AND THE SAME
[000:21:20;579] CIALIS IS THE
[000:21:20;579] ONLY DAILY
[000:21:20;579] ED TABLET
[000:21:23;215] APPROVED TO
[000:21:23;215] TREAT ED AND
[000:21:23;215] SYMPTOMS OF BPH
[000:21:25;851] LIKE NEEDING TO GO
[000:21:25;851] FREQUENTLY OR URGENTLY.
[000:21:28;487] TELL YOUR DOCTOR ABOUT
[000:21:29;621] ALL YOUR MEDICAL CONDITIONS
[000:21:29;621] AND MEDICATIONS,
[000:21:31;123] AND ASK IF YOUR HEART IS HEALTHY
[000:21:31;123] ENOUGH FOR SEXUAL ACTIVITY.
[000:21:33;592] DO NOT TAKE CIALIS IF YOU
[000:21:33;592] TAKE NITRATES FOR CHEST PAIN,
[000:21:36;228] AS THIS MAY CAUSE AN UNSAFE
[000:21:36;228] DROP IN BLOOD PRESSURE.
[000:21:38;497] DO NOT DRINK ALCOHOL
[000:21:38;497] IN EXCESS WITH CIALIS.
[000:21:40;799] SIDE EFFECTS MAY INCLUDE
[000:21:40;799] HEADACHE, UPSET STOMACH,
[000:21:42;901] DELAYED BACKACHE OR MUSCLE ACHE.
[000:21:44;403] TO AVOID LONG-TERM INJURY,
[000:21:44;403] SEEK IMMEDIATE MEDICAL HELP
[000:21:46;938] FOR AN ERECTION LASTING
[000:21:46;938] MORE THAN 4 HOURS.
[000:21:49;207] IF YOU HAVE ANY SUDDEN DECREASE
[000:21:49;207] OR LOSS IN HEARING OR VISION,
[000:21:51;743] OR IF YOU HAVE ANY ALLERGIC
[000:21:51;743] REACTIONS SUCH AS RASH, HIVES,
[000:21:54;646] SWELLING OF THE LIPS,
[000:21:54;646] TONGUE OR THROAT,
[000:21:56;315] OR DIFFICULTY BREATHING
[000:21:56;315] OR SWALLOWING,
[000:21:58;283] STOP TAKING CIALIS AND GET
[000:21:58;283] MEDICAL HELP RIGHT AWAY.
[000:22:01;320] ASK YOUR DOCTOR ABOUT
[000:22:01;320] CIALIS FOR DAILY USE
[000:22:03;689] AND A 30-TABLET FREE TRIAL.
[000:22:10;829] [ Female Announcer ]
[000:22:10;829] OFF! Deep Woods Dry Repellent.
[000:22:12;998] THE PROTECTION
[000:22:12;998] OF OFF! Deep Woods
[000:22:14;299] WITH A FORMULA THAT FEELS DRY
[000:22:14;299] NOT GREASY.
[000:22:17;502] OFF! Deep Woods Dry.
[000:22:17;502] Keeps Bugs OFF!
[000:22:19;705] SC Johnson.
[000:22:23;942] WITH THERMACARE HEATWRAPS.
[000:22:25;444] THE ONLY WRAP WITH PATENTED
[000:22:25;444] HEAT CELLS THAT PENETRATE DEEP
[000:22:28;213] TO RELAX, SOOTHE,
[000:22:28;213] AND UNLOCK TIGHT MUSCLES.
[000:22:30;716] AND NOW, INTRODUCING
[000:22:31;883] REUSABLE THERMACARE COLD WRAPS.
[000:22:33;652] PAIN RELIEF
[000:22:34;653] WITHOUT THE SHOCK OF ICE.
[000:22:42;260] ♪
[000:22:53;772] >> MORE FACES FROM THE STORM.
[000:22:56;274] AND TONIGHT WE ARE HEARING FROM
[000:22:59;344] ONE WOMAN WHO'S A RESIDENT OF
[000:23:02;047] MOORE, OKLAHOMA.
[000:23:02;914] SHE WORKS AT A DAYCARE CENTER,
[000:23:04;750] AND WHEN THE STORM HIT, IT WAS
[000:23:07;319] UP TO HER TO KEEP SMALL CHILDREN
[000:23:08;186] CALM AND SAFE, AND HERE'S WHAT
[000:23:10;222] SHE TOLD US.
[000:23:11;289] >> WE KNEW THE STORMS WERE
[000:23:13;658] COMING.
[000:23:14;126] WE HAD THE NEWS ON AND WE HAD
[000:23:15;360] THE RADIO ON, AND MY PHONE
[000:23:17;896] STARTED GOING OFF, LETTING US
[000:23:19;631] KNOW THERE WAS AN ALERT.
[000:23:21;099] THE RADIO AND TVs WENT OFF AND
[000:23:23;668] THE SIREN.
[000:23:24;336] WE LINE OUR KIDS UP, STRAIGHT
[000:23:26;838] INTO THE INNER MOST BATHROOM AND
[000:23:29;040] PUT MATS ON TOP OF ALL OF US,
[000:23:33;211] HUDDLED TOGETHER UNTIL IT WAS
[000:23:34;079] OVER.
[000:23:35;013] YOU SING AND YOU READ TO MAKE
[000:23:38;116] THEM NOT CRY OR BE SCARED OR
[000:23:39;985] UPSET ABOUT WHAT WAS HAPPENING.
[000:23:41;887] I DIDN'T KNOW WHAT STREET WAS
[000:23:44;189] TURNING ON TO WALK TO MY HOUSE.
[000:23:47;392] HOUSES EVERYWHERE JUST
[000:23:51;696] FLATTENED.
[000:23:52;230] YOU SEE PEOPLE JUST SITTING
[000:23:56;368] AROUND WITH THEIR STUFF THAT'S
[000:23:57;969] DESTROYED.
[000:23:58;437] I FEEL HORRIBLE FOR EVERYBODY
[000:23:59;237] THAT THEIR HOUSES ARE GONE.
[000:24:02;240] AND I WAS AT WORK, SO I DON'T
[000:24:03;942] EVEN KNOW WHAT REALLY HAPPENED.
[000:24:06;278] I KNOW WALKING AROUND AND SEEING
[000:24:08;113] EVERYBODY, IT'S PRETTY TOUGH.
[000:24:10;515] AND I'M REALLY SCARED TO SEE
[000:24:12;884] WHAT MY HOUSE LOOKS LIKE.
[000:24:15;787] >> QUITE A TEACHER, QUITE A
[000:24:17;289] WOMAN.
[000:24:17;756] >>> AND COMING UP, WE HAVE THE
[000:24:20;192] VERY LATEST ON THIS BREAKING
[000:24:22;027] STORY.
[000:24:22;461] NEW TORNADO WARNINGS RIGHT NOW,
[000:24:24;629] AND FINAL THOUGHTS FROM THE
[000:24:25;363] STORM ZONE.
[000:24:27;666] YEARS AGO, MY DOCTOR TOLD ME
[000:24:59;331] TO TAKE A CENTRUM SILVER
[000:24:59;331] MULTIVITAMIN EVERY DAY.
[000:25:01;666] I TOLD HIM, SURE.
[000:25:02;734] CAN'T HURT, RIGHT?
[000:25:03;869] AND NOW TODAY,
[000:25:03;869] I SEE THIS IN THE NEWS.
[000:25:06;605] ONCE AGAIN, CENTRUM SILVER
[000:25:06;605] WAS CHOSEN BY RESEARCHERS
[000:25:10;342] FOR ANOTHER LANDMARK STUDY.
[000:25:12;544] THIS TIME LOOKING AT EYE HEALTH.
[000:25:15;280] MY DOCTOR!
[000:25:17;082] HE KNOWS HIS STUFF.
[000:25:18;617] [ Male Announcer ] CENTRUM.
[000:25:19;618] THE MOST STUDIED.
[000:25:20;719] THE MOST RECOMMENDED.
[000:25:22;053] AND THE MOST PREFERRED
[000:25:22;053] MULTIVITAMIN BRAND.
[000:25:24;623] THE CHOICE IS CLEAR.
[000:25:30;028] MORE...
[000:25:31;596] STEP!
[000:25:33;265] [ Mom ] MY LITTLE GIRL...SHE
[000:25:33;265] LOVES TO HELP OUT ON BIG JOBS.
[000:25:36;201] GOOD THING THERE'S
[000:25:36;201] BOUNTY SELECT-A-SIZE.
[000:25:38;970] IT'S THE SMALLER POWERFUL SHEET
[000:25:40;472] THAT ACTS LIKE A BIG SHEET.
[000:25:42;574] LOOK! ONE SELECT-A-SIZE SHEET
[000:25:42;574] OF BOUNTY
[000:25:44;476] IS 50% MORE ABSORBENT
[000:25:44;476] THAN A FULL SIZE SHEET
[000:25:47;112] OF THE LEADING ORDINARY BRAND.
[000:25:48;446] ♪
[000:25:49;714] I GOT IT!
[000:25:51;483] [ Mom ] USE LESS WITH THE SMALL
[000:25:51;483] BUT POWERFUL PICKER UPPER.
[000:25:54;219] BOUNTY SELECT-A-SIZE.
[000:25:55;654] AND TRY BOUNTY NAPKINS.
[000:26:00;992] THAT'S NOT MUCH, YOU THINK.
[000:26:00;992] EXCEPT IT'S 2% EVERY YEAR.
[000:26:03;495] GO TO E-TRADE AND FIND OUT
[000:26:04;796] HOW MUCH OUR ADVICE
[000:26:04;796] AND GUIDANCE COSTS.
[000:26:06;331] SPOILER ALERT: IT'S LOW.
[000:26:08;300] IT'S GUIDANCE ON YOUR TERMS,
[000:26:08;300] NOT OURS.
[000:26:10;268] E-TRADE. LESS FOR US.
[000:26:10;268] MORE FOR YOU.
[000:26:15;640] I WORKED A PATROL UNIT FOR 17
[000:26:15;640] YEARS IN THE CITY OF BALTIMORE.
[000:26:19;711] WHEN I FIRST STARTED
[000:26:19;711] EXPERIENCING THE PAIN,
[000:26:22;581] IT'S HARD TO DESCRIBE
[000:26:22;581] BECAUSE YOU HAVE A NUMBNESS
[000:26:25;850] BUT YET YOU HAVE THE PAIN
[000:26:27;852] LIKE THOUSANDS OF NEEDLES
[000:26:27;852] STICKING IN YOUR FOOT.
[000:26:30;555] IT WAS PROGRESSIVELY
[000:26:30;555] GETTING WORSE,
[000:26:31;856] AND AT THAT POINT,
[000:26:31;856] I KNEW I HAD TO DO SOMETHING.
[000:26:33;558] WHEN I WENT BACK
[000:26:33;558] TO MY HEALTH CARE PROFESSIONAL,
[000:26:35;727] THAT'S WHEN SHE SUGGESTED
[000:26:35;727] THE LYRICA.
[000:26:37;896] ONCE I STARTED
[000:26:37;896] TAKING THE LYRICA,
[000:26:39;931] THE PAIN STARTED SUBSIDING.
[000:26:41;533] [ Male Announcer ] IT'S KNOWN
[000:26:41;533] THAT DIABETES DAMAGES NERVES.
[000:26:43;902] LYRICA IS FDA APPROVED
[000:26:43;902] TO TREAT DIABETIC NERVE PAIN.
[000:26:47;005] LYRICA IS NOT FOR EVERYONE.
[000:26:48;340] IT MAY CAUSE
[000:26:48;340] SERIOUS ALLERGIC REACTIONS
[000:26:50;342] OR SUICIDAL THOUGHTS
[000:26:50;342] OR ACTIONS.
[000:26:52;077] TELL YOUR DOCTOR RIGHT AWAY
[000:26:52;077] IF YOU HAVE THESE,
[000:26:54;012] NEW OR WORSENING DEPRESSION,
[000:26:55;280] OR UNUSUAL CHANGES
[000:26:55;280] IN MOOD OR BEHAVIOR.
[000:26:57;549] OR SWELLING, TROUBLE BREATHING,
[000:26:57;549] RASH, HIVES, BLISTERS,
[000:27:00;652] CHANGES IN EYE SIGHT
[000:27:00;652] INCLUDING BLURRY VISION,
[000:27:02;787] MUSCLE PAIN WITH FEVER,
[000:27:02;787] TIRED FEELING,
[000:27:04;723] OR SKIN SORES FROM DIABETES.
[000:27:06;024] COMMON SIDE EFFECTS ARE
[000:27:06;024] DIZZINESS, SLEEPINESS,
[000:27:07;993] WEIGHT GAIN, AND SWELLING
[000:27:07;993] OF HANDS, LEGS, AND FEET.
[000:27:10;261] DON'T DRINK ALCOHOL
[000:27:10;261] WHILE TAKING LYRICA.
[000:27:12;230] DON'T DRIVE OR USE MACHINERY
[000:27:13;531] UNTIL YOU KNOW
[000:27:13;531] HOW LYRICA AFFECTS YOU.
[000:27:15;467] THOSE WHO'VE HAD A DRUG
[000:27:15;467] OR ALCOHOL PROBLEM
[000:27:17;435] MAY BE MORE LIKELY
[000:27:17;435] TO MISUSE LYRICA.
[000:27:19;504] ASK YOUR DOCTOR
[000:27:19;504] ABOUT LYRICA TODAY.
[000:27:21;806] IT'S SPECIFIC TREATMENT
[000:27:21;806] FOR DIABETIC NERVE PAIN.
[000:27:24;075] TO HEAR MORE OF TERRY'S STORY,
[000:27:24;075] VISIT LYRICA.COM.
[000:28:46;091] >>> A DEVASTATING SCENE IN
[000:28:48;159] OKLAHOMA.
[000:28:48;827] BREAKING NEWS, DEDETAILS ON
[000:28:51;129] THE MASSIVE PATH OF
[000:28:52;997] DESTRUCTION.
[000:28:53;398] >> ALSO A BUSY AFTERNOON FOR
[000:28:54;999] FIREFIGHTERS ACROSS THE BAY
[000:28:56;134] AREA.
[000:28:56;634] WE'LL SHOW YOU WHERE THIS
[000:28:59;003] SIX-ALARM FIRE BURNED HOMES
[000:29:00;371] THIS AFTERNOON.
[000:29:00;872] >> TWO REASONS TO SAY YAHOO
[000:29:02;674] TODAY.
[000:29:03;341] AT YAHOO.
[000:29:04;476] BIG MOVES INSPIRED BY THE
[000:29:06;144] YOUTH MOVEMENT NOW UNDERWAY.
[000:29:08;480] >> AND THE BAY AREA UNIVERSITY
[000:29:10;248] WITH A LOFTY GOAL TO RESHAPE
[000:29:13;051] THE FUTURE OF HUMANITY.
[000:29:21;559] >> THIS IS TERRIBLE, GUYS.
[000:29:24;362] ABSOLUTELY TERRIBLE THIS,
[000:29:25;964] TORNADO IS MASSIVE.
[000:29:26;664] >> IT IS MASSIVE.
[000:29:28;266] TONIGHT WIDE SPREAD
[000:29:29;367] DEVASTATION IN OKLAHOMA AFTER
[000:29:32;403] A MONSTER TORNADO TOUCHES
[000:29:34;639] DMOUN A POPULATED SUBURB ARE
[000:29:37;942] RIPPING THROUGH SCHOOLS AND
[000:29:38;610] HOMES JUST SOUTH OF OKLAHOMA
[000:29:39;711] CITY.
[000:29:40;145] WE'VE BEEN FOLLOWING THIS
[000:29:41;079] STORY ALL DAY LONG.
[000:29:42;113] GOOD EVENING, I'M DAN ASHLEY.
[000:29:43;948] >> THE STATE MEDICAL EXAMINER
[000:29:45;583] SAYS THE DEATH TOLL HAS NOW
[000:29:47;786] RISEN TO 51.
[000:29:48;987] THE NUMBER IS EXPECTED TO
[000:29:49;954] CLIMB.
[000:29:50;255] WE HAVE SOME IMAGES TO SHOW
[000:29:56;227] YOU.
[000:29:57;061] EMERGENCY RESPONDERS ARE IN
[000:29:58;463] SEARCH AND RESCUE MODE
[000:29:59;464] SEARCHING FOR ANY TRAPPED
[000:30:01;299] SURVIVORS.
[000:30:01;733] AMONG THE DEAD AT LEAST SEVEN
[000:30:03;535] CHILDREN FROM AN ELEMENTARY
[000:30:06;437] SCHOOL HIT HARD BY THE STORM.
[000:30:08;139] 100 PEOPLE, IN FACT 65 OF THEM,
[000:30:10;308] CHILDREN, BEING TREATSED AT
[000:30:11;843] SEVERAL HOSPITALS IN THE
[000:30:12;944] OKLAHOMA CITY AREA.
[000:30:13;745] MANY OF THEM SUFFERED MAJOR
[000:30:19;250] INJURIES.
[000:30:19;617] FIVE OF THE CHILDREN BROUGHT
[000:30:22;220] FROM A LOCAL ELEMENTARY
[000:30:24;789] SCHOOL.
[000:30:25;123] THE HEAVIEST DAMAGE IS IN THE
[000:30:27;091] COMMUNITY OF MOORE ON THE
[000:30:29;027] SOUTHEASTERN EDGE OF OKLAHOMA
[000:30:30;094] CITY, NOT FAR FROM DOWNTOWN.
[000:30:35;834] WE HAVE REMARKABLE VIDEO JUST
[000:30:42;473] MOMENTS BEFORE IT TOUCHED DOWN.
[000:30:47;879] AUTHORITIES SAY THE IMPACT
[000:30:48;780] FROM THE TORNADO APPEARS TO BE
[000:30:50;849] MORE SEVERE THAN THE ONE IN
[000:30:52;750] 1999 WHAT DEVASTATED THE
[000:30:54;619] UNIVERSITY, KILLING 36 PEOPLE.
[000:30:57;555] THE PRESIDENT...
