[000:00:00;400] BACKPACK.
[000:18:43;589] OF THE 75 ORIGINAL DOOLITTLE
[000:18:44;890] RAIDERS FROM WORLD WAR II ONLY
[000:18:46;592] FOUR MEN SURVIVE TODAY.
[000:18:47;192] NOW THREE OF THEM HAVE GATHERED
[000:18:47;926] FOR WHAT WILL BE THEIR LAST
[000:18:48;594] REUNION.
[000:18:50;129] IT INCLUDED A FLIGHT IN A
[000:18:50;762] BEAUTIFULLY RESTORED B-25.
[000:18:52;431] DURING THE ORIGINAL OUTLANDISH
[000:18:56;702] RAIDS 71 YEARS AGO TODAY 16
[000:19:00;506] AIRCRAFT, ALL LOADED WITH
[000:19:03;108] ONE-TON BOMBS TOOK OFF FROM THE
[000:19:04;243] DECK OF A CARRIER FOUR MONTHS
[000:19:05;077] AFTER PEARL HARBOR WITH ONLY
[000:19:05;777] ENOUGH FUEL ON BOARD TO DROP
[000:19:07;212] BOMBS ON TOKYO AND THEN LAND IN
[000:19:09;915] CHINA WHERE THEY COULD ONLY HOPE
[000:19:10;649] FOR SAFETY.
[000:19:11;917] >>> REMARKABLE VIDEO OUT OF THE
[000:19:12;651] UK.
[000:19:17;856] IT IS ROUGH BUT THEN AGAIN IT
[000:19:21;126] WAS A ROUGH DAY FOR LANDINGS AT
[000:19:21;860] LEEDS BRADFORD AIRPORT.
[000:19:26;265] IN THE MIDST OF A 70 MILES PER
[000:19:27;399] HOUR GALE, BUT LAND THEY DID.
[000:19:28;267] CRABBING INTO THE WIND ON FINAL
[000:19:29;001] APPROACH.
[000:19:32;671] NOT EVEN CLOSE TO LINING UP WITH
[000:19:34;239] THE CENTER LINE OF THE RUNWAY,
[000:19:36;508] BUT ALL OF THEM MANAGED TO
[000:19:37;176] STRAIGHTEN OUT IN TIME.
[000:19:37;776] SADLY IN-FLIGHT DRINK SERVICE
[000:19:40;779] DIDN'T INCLUDE COMPLIMENTARY
[000:19:41;480] COCKTAILS UPON ARRIVAL.
[000:19:43;482] >>> ON THE SUBJECT OF AIR
[000:19:47;186] TRAVEL, SOONER OR LATER THE
[000:19:51;023] SO-CALLED SEQUESTER IN
[000:19:54;159] WASHINGTON IS GOING TO AFFECT
[000:19:56;295] ALL AMERICANS.
[000:19:56;728] LIKE STARTING THIS SUNDAY WHEN
[000:20:01;099] THE AIR TRAFFIC CONTROLLER
[000:20:01;767] FURLOUGHS START.
[000:20:02;234] OFFICIALS WARNED TODAY AT
[000:20:02;868] AIRPORTS LIKE ATLANTA, CHICAGO,
[000:20:03;602] O'HARE, NEWARK, JFK, LAGUARDIA,
[000:20:04;336] DELAYS WILL START TO BE FELT.
[000:20:05;037] UPWARDS OF 50 MINUTES ON SOME
[000:20:05;737] FLIGHTS AT O'HARE.
[000:20:06;271] >>> SOME UNSETTLING NEWS ABOUT
[000:20:07;005] AN AMERICAN FAVORITE.
[000:20:07;573] DICK VAN DYKE HAS BEEN FORCED TO
[000:20:10;209] CANCEL AN APPEARANCE IN NEW YORK
[000:20:11;910] BECAUSE OF AN UNDIAGNOSED
[000:20:14;613] NEUROLOGICAL DISORDER.
[000:20:15;180] HE'S ASKING FOR HELP WITH A
[000:20:17;616] DIAGNOSIS.
[000:20:21;019] ON HIS TWITTER ACCOUNT, DICK VAN
[000:20:21;753] DYKE SOLICITED ASSISTANCE IN
[000:20:22;454] FIGURING OUT WHAT HE'S GOT.
[000:20:27;025] A THROBBING CONDITION IN HIS
[000:20:28;860] HEAD WHEN HE TRIES TO LIE DOWN.
[000:20:31;129] IT'S LED TO LACK OF SLEEP AND
[000:20:32;130] FATIGUE.
[000:20:32;531] IT HAS ELUDED TESTS AND SCANS SO
[000:20:33;265] FAR.
[000:20:34;833] DICK VAN DYKE IS 87 YEARS OLD.
[000:20:35;968] >>> AND SOME GOOD NEWS TO REPORT
[000:20:37;903] FROM THE WORLD OF PUBLIC HEALTH.
[000:20:38;637] THE NATION'S INFANT MORTALITY
[000:20:40;772] RATE FELL BY A FULL 12% IN THE
[000:20:43;909] YEARS '05 TO 2011, HAVING BEEN
[000:20:48;347] STATIC FOR YEARS.
[000:20:50;182] THE BIGGEST CHANGE FOR THE
[000:20:53;318] BETTER WAS IN THE SOUTH.
[000:20:53;919] BUT THE U.S. STILL RANKS AN
[000:20:54;586] EMBARRASSING 27th IN INFANT
[000:20:55;254] MORTALITY AMONG THE WORLD'S 30
[000:20:55;988] LEADING DEVELOPED NATIONS.
[000:20:56;622] >>> ANOTHER PROBLEM FOR CARNIVAL
[000:20:57;723] CRUISE LINE.
[000:21:00;125] THIS TIME ON BOARD THE
[000:21:04;396] "ECSTASY."
[000:21:05;831] IT LOST POWER AT SEA WHILE
[000:21:08;100] SAILING OFF THE COAST OF FLORIDA
[000:21:10;369] WITH 2,000 PASSENGERS ON BOARD.
[000:21:12;671] THE CRUISE LINE SAYS THERE WAS
[000:21:13;405] NO FIRE, NO EMERGENCY.
[000:21:13;972] POWER WAS EVENTUALLY RESTORED.
[000:21:14;673] >>> WHEN WE COME BACK HERE
[000:21:15;340] TONIGHT, THE AMAZING MOMENT FROM
[000:21:16;074] LAST NIGHT IN BOSTON.
[000:24:10;982] >>> FINALLY HERE TONIGHT IN THE
[000:24:11;850] WAKE OF THE MARATHON BOMBINGS,
[000:24:15;253] BOSTON STRONG HAS EMERGED AS THE
[000:24:17;956] PHRASE AND THE ICONOGRAPHY THAT
[000:24:22;227] THE ENTIRE REGION HAS TAKEN ON.
[000:24:23;094] IT WAS A TIGHT TOWN BEFORE THIS.
[000:24:23;829] IT'S EVEN MORE SO NOW.
[000:24:24;930] OUR OWN BAY STATE NATIVE ANNE
[000:24:25;764] THOMPSON HAS OUR REPORT FROM
[000:24:35;040] THERE TONIGHT.
[000:24:37;709] ♪ O SAY CAN YOU SEE
[000:24:39;144] >> Reporter: THE FULL-THROATED
[000:24:40;412] RENDITION OF THE NATIONAL ANTHEM
[000:24:43;548] AT THE BRUINS GAME CAME AS NO
[000:24:45;550] SURPRISE.
[000:24:47;252] ♪ OVER THE RAMPARTS
[000:24:47;919] >> Reporter: BOSTONIANS HAVE
[000:24:48;620] ALWAYS WORN THEIR PATRIOTISM ON
[000:24:51;790] THEIR SLEEVE OR ON THEIR CHEST.
[000:24:53;792] PETER RINIG PRINTS T-SHIRTS FOR
[000:24:55;794] A LIVING.
[000:24:56;628] WHAT'S THE IMPORTANCE OF THE
[000:24:57;362] T-SHIRT?
[000:25:01;233] >> TO SAY WHO YOU ARE.
[000:25:02;033] >> Reporter: THIS SHIRT BEARS A
[000:25:03;034] SIMPLE MESSAGE IN A CITY WHERE
[000:25:03;768] TODAY THERE ARE NO DEGREES OF
[000:25:04;469] SEPARATION.
[000:25:04;870] >> EVERYBODY IN THE CITY KNOWS
[000:25:05;604] EACH OTHER.
[000:25:06;171] I THINK THAT'S WHAT MAKES BOSTON
[000:25:06;905] BOSTON, YOU KNOW?
[000:25:07;873] >> Reporter: HE KNEW CRYSTAL
[000:25:09;007] CAMPBELL, ONE OF THE THREE
[000:25:10;308] PEOPLE KILLED IN THE ATTACKS.
[000:25:11;443] SOME OF THE MONEY FROM THE
[000:25:12;110] T-SHIRTS WILL GO TO HER FAMILY
[000:25:16;982] WHO TODAY MET WITH PRESIDENT
[000:25:19;117] OBAMA.
[000:25:19;417] >> YOUR DAUGHTER CRYSTAL WAS
[000:25:20;519] ALWAYS SMILING.
[000:25:21;520] ♪
[000:25:24;089] >> Reporter: AT THE INTERFAITH
[000:25:24;823] SERVICE, MAYOR THOMAS MENINO,
[000:25:28;627] RECOVERING FROM A BROKEN LEG,
[000:25:30;195] PERSONIFIED HIS CITY AS HE STOOD
[000:25:35;333] TO SPEAK -- WOUNDED BUT
[000:25:38;737] DETERMINED.
[000:25:39;170] >> BECAUSE THIS IS BOSTON.
[000:25:41;006] A CITY WITH COURAGE, COMPASSION,
[000:25:41;740] STRENGTH THAT KNOWS NO BOUNDS.
[000:25:45;143] >> Reporter: YOU COULD SEE ITS
[000:25:45;877] STRENGTH IN THE ARMS THAT
[000:25:46;511] REACHED OUT TO RESCUE AND
[000:25:47;145] COMFORT.
[000:25:48;280] ONE MAN LITERALLY GIVING THE
[000:25:49;814] SHIRT OFF HIS BACK DURING THOSE
[000:25:50;815] FIRST CHAOTIC MOMENTS.
[000:25:52;851] IN THE HANDS THAT GAVE OUT FOOD
[000:25:53;585] AND WROTE CHECKS.
[000:25:54;953] WHEN THOSE ARMS GREW WEARY --
[000:26:02;193] ♪ O, SAY DOES THAT STAR
[000:26:03;061] SPANGLED ♪
[000:26:04;763] >> Reporter: VOICES WERE RAISED
[000:26:05;497] IN THE CITY WHERE THE AMERICAN
[000:26:06;965] REVOLUTION BEGAN.
[000:26:09;301] ♪ THE LAND OF THE FREE
[000:26:13;038] >> Reporter: THE HUB OF AMERICA
[000:26:15;574] TODAY IS ITS HEART.
[000:26:17;309] ANNE THOMPSON, NBC NEWS, BOSTON.
[000:26:18;143] ♪ AND THE HOME OF THE BRAVE
[000:26:24;816] >> ON THAT STRONG NOTE, THAT IS
[000:26:25;550] OUR BROADCAST ON A THURSDAY
[000:26:26;217] NIGHT.
[000:26:26;518] THANK YOU FOR BEING HERE WITH
[000:26:27;552] US.
[000:26:29;087] I'M BRIAN WILLIAMS.
[000:26:30;055] WE, OF COURSE, HOPE TO SEE YOU
[000:26:30;789] RIGHT BACK HERE TOMORROW
[000:26:31;423] EVENING.
[000:26:31;756] >>> GOOD EVENING EVERYONE, I'M
[000:26:53;378] IN FOR RAJ MATHAI.
[000:26:55;947] >> WE'LL HAVE MORE ON THE FIRST
[000:26:58;283] LADY'S VISIT WITH THE LOCAL
[000:26:59;584] VICTIM ON THE ATTACK.
[000:27:00;485] >>> AND WE BEGIN WITH THE
[000:27:02;621] INVESTIGATION, FREE TIME OFF FOR
[000:27:03;955] THE SELECTIVE EMPLOYEES IN THE
[000:27:05;457] DISTRICT ATTORNEY'S OFFICE.
[000:27:06;925] OUR INVESTIGATIVE UNIT FIRST
[000:27:08;627] BROKE THE STORY THIS MONTH.
[000:27:11;896] SANTA CLARA DISTRICT ATTORNEY
[000:27:12;530] JEFF ROSEN GIVING TIME OFF TO
[000:27:14;199] THE STAFF, TO MAKE UP FOR THE 5%
[000:27:17;736] BONUS CUT.
[000:27:18;436] >> WE HAVE JUST LEARNED COUNTY
[000:27:20;438] COUNCIL HAS ISSUED ITS OPINION
[000:27:22;273] ON THE LEGALITY OF THE DISTRICT
[000:27:24;442] ATTORNEY GIVING FREE TIME OFF.
[000:27:26;011] IT IS A CONFIDENTIAL DOCUMENT
[000:27:28;546] DELIVERED TO THE BOARD OF
[000:27:30;382] SUPERVISORS.
[000:27:30;682] THE SOURCES CLOSE TO THE
[000:27:32;917] COUNTY'S INVESTIGATION SAYS IT
[000:27:35;820] DOES NOT LOOK GOOD FOR THE DA.
[000:27:38;223] ONE PROBLEM IS HOW IT COULD OPEN
[000:27:40;025] UP FOR OTHERS IN A BIG WAY.
[000:27:43;094] OTHERS CALL IT THE ME-TOO
[000:27:46;464] CLAUSE.
[000:27:46;731] >> Reporter: LETTER AFTER
[000:27:47;298] LETTER.
[000:27:47;532] >> THERE IS A LOT OF ANIMOSITY
[000:27:50;568] TOWARDS MR. ROSEN RIGHT NOW.
[000:27:52;404] >> Reporter: DIFFERENT UNIONS,
[000:27:53;638] SAME CONCERNS.
[000:27:54;372] >> WE HAD AN UNDERSTANDING, A
[000:27:56;541] TRUST, AN AGREEMENT.
[000:28:00;045] A CONTRACT.
[000:28:01;246] AND WE DID NOT EXPEC TO BE
[000:28:03;081] SITTING HERE TODAY.
[000:28:03;748] >> Reporter: IT COMES AFTER OUR
[000:28:07;485] INVESTIGATION EXPOSES THE
[000:28:08;753] DISTRICT ATTORNEY, JEFF ROSEN,
[000:28:12;190] SUGGEST THAT TIME SHEETS BE
[000:28:13;324] ALTER
[000:28:13;825] ALTERED, ALLOWING EMPLOYEES TO
[000:28:15;560] BANK VACATION AND SICK TIME
[000:28:19;097] WHICH THEY CAN LATER USE.
[000:28:20;165] HE MADE UP FOR A 5% BONUS CUT IN
[000:28:23;334] THE MIDDLE OF THE BUDGET CRISIS.
[000:28:24;703] >> SO YES, I BROUGHT IN
[000:28:26;304] ADMINISTRATIVE LEAVE TO TRY TO
[000:28:28;373] COMPENSATE THEM IN SOME WAY FOR
[000:28:30;041] THAT.
[000:28:30;275] >> Reporter: THAT ANSWER WOULD
[000:28:30;909] BE A COSTLY ONE FOR THE COUNTY.
[000:28:32;444] >> IT IS A PUBLIC GIFT THAT THE
[000:28:34;946] PUBLIC DIDN'T KNOW THEY WERE
[000:28:36;014] GIVING AWAY.
[000:28:36;981] >> Reporter: THE SANTA CLARA
[000:28:38;349] COUNTY PEACE OFFICER'S
[000:28:39;184] ASSOCIATION HAD TO MAKE DRASTIC
[000:28:41;186] CUTS TO HELP THE COUNTY.
[000:28:42;353] >> FOR US IT IS A HUGE SLAP IN
[000:28:44;923] THE CASE.
[000:28:45;323] >> Reporter: UNIONS ARE NOW
[000:28:47;192] POINTING TO THE ME-TOO CLAUSE IN
[000:28:49;260] THEIR COUNTY CONTRACTS.
[000:28:50;762] IT MEANS IF ONE COUNTY DIDN'T
[000:28:52;497] TAKE THE CUTS PROMISED, OTHERS
[000:28:54;299] DON'T HAVE TO EITHER.
[000:28:55;333] >> ALL WE'RE ASKING FOR MYSELF
[000:28:56;935] AND THE ASSOCIATION IS TO BE
[000:28:58;303] TREATED FAIRLY.
[000:28:58;870] THAT MEANS THAT THE COUNTY HAS
[000:29:00;538] TO COME DOWN A LITTLE BIT ON
[000:29:06;277] JEFF ROSEN AND WHAT HE IS DOING,
[000:29:06;911] IS TO GET THINGS CORRECTED AND
[000:29:07;545] THAT IT WHAT SHOULD HAPPEN.
[000:29:08;546] >> BUT IF THE COUNTY IS NOT
[000:29:09;948] GOING TO DO THAT BECAUSE HE IS
[000:29:11;516] AN ELECTED OFFICIAL THEN THEY
[000:29:13;017] HAVE NO OTHER MEANS OTHER THAN
[000:29:14;686] TO MAKE EVERYBODY WHOLE.
[000:29:16;488] WHICH MEANS FAIR SHARE FOR
[000:29:20;592] EVERYBODY ELSE.
[000:29:20;959] >> Reporter: SERGEANT DENNIS
[000:29:21;993] MOSER IS THE PRESIDENT OF THE
[000:29:23;995] ASSOCIATION.
[000:29:24;329] >> BECAUSE YOU'RE AN ELECTED
[000:29:25;430] OFFICIAL DOESN'T PUT YOU ABOVE
[000:29:26;731] THE LAW.
[000:29:26;998] >> Reporter: OTHER UNIONS ARE
[000:29:28;666] ALSO DEMANDING ANSWERS.
[000:29:30;602] THE REGISTERED NURSE'S UNION
[000:29:33;238] SAYS THEY INTENTIONALLY VIOLATED
[000:29:35;373] THE AGREEMENTS.
[000:29:36;574] THE BUILDING AND CONSTRUCTION
[000:29:37;976] TRADE WRITES IT IS WRONG
[000:29:43;481] REGARDING THE ASSOCIATION.
[000:29:44;616] OTHERS TALK ABOUT HOW IT COULD
[000:29:46;117] IMPACT THE BUDGET.
[000:29:46;818] >> IT IS VERY IMPORTANT HOW WE
[000:29:48;720] GET THE CONTRACTS BUTTONED UP
[000:29:50;722] AND THAT NOBODY DID SOMETHING
[000:29:51;823] LIKE THAT.
[000:29:52;323] >> Reporter: ROSEN STILL STANDS
[000:29:53;591] BY HIS DECISION, CALLING THE 5%
[000:29:56;261] BONUS CUT UNFAIR.
[000:29:57;395] >> THAT IS NOT FAIR TO P
