[000:00:01;334] JOINING US.
[000:17:10;662] Check insulin label
[000:17:10;662] each time you inject.
[000:17:12;965] Taking TZDs with
[000:17:12;965] insulins, like Toujeo®,
[000:17:15;467] may cause heart failure
[000:17:16;435] that can lead to death.
[000:17:18;404] Find your rhythm and
[000:17:18;404] keep on grooving.
[000:17:20;873] ♪ Let's groove tonight.
[000:17:23;042] Ask your doctor about Toujeo®.
[000:17:24;743] ♪ Share the spice of life.
[000:17:38;457] LAURA: PRESIDENT TRUMP
[000:17:39;391] REPORTEDLY CALLING FOR AN
[000:17:40;826] EMERGENCY MEETING FOLLOWING A
[000:17:45;831] MASSIVE RANSOM WARE ATTACK THAT
[000:17:46;565] AFFECTED DOZENS OF COUNTRY
[000:17:47;199] WORLDWIDE.
[000:17:48;133] IT'S A BELIEVED TO BE THE
[000:17:50;035] BIGGEST ONLINE EXTORTION ATTACK
[000:17:50;936] EVER RECORDED.
[000:17:54;006] THE NSA AND FB FBI ARE WORKING O
[000:18:03;148] FIND THE ATTACKER.
[000:18:03;715] >> MANY OF THOSE WILL BE
[000:18:04;316] BUSINESSES.
[000:18:04;716] IT'S NOT A UK ONLY PROBLEM.
[000:18:05;751] IT'S AN INTERNATIONAL PROBLEM.
[000:18:06;452] LAURA: ALLISON BARBER HAS MORE
[000:18:08;387] FROM OUR D.C. BUREAU.
[000:18:10;823] >> THIS IS BELIEVED TO BE THE
[000:18:12;191] LARGEST CYBER EXTORTION ATTACK
[000:18:20;032] IN HISTORY IN A MY NOT BE OVER.
[000:18:20;766] EXPERTS SAY THE ATTACK COULD
[000:18:21;433] GROW WHEN PEOPLE HAD TO WORK
[000:18:22;101] TOMORROW AND START LOGGING ONTO
[000:18:22;835] THEIR COMPUTER.
[000:18:24;036] >> THAT IS THE CONCERN, THAT
[000:18:25;170] MONDAY WHEN EVERYONE RETURNS TO
[000:18:27;106] THE OFFICE, THIS RANSOM WARE
[000:18:33;812] ATTACK WILL BE EVEN LARGER.
[000:18:38;617] >> THIS ALL BEGAN FRIDAY,
[000:18:39;251] HITTING HOSPITALS IN ENGLAND,
[000:18:40;052] REAL COMPANIES IN GERMANY AND
[000:18:40;752] FEDEX.
[000:18:41;086] HACKERS REPORTEDLY EXPLOITED
[000:18:43;222] LOOPHOLES IN VERSION OF
[000:18:46;792] MICROSOFT WINDOWS.
[000:18:47;693] THEY CREATED A VIRUS CALLED WANT
[000:18:48;427] TO CRY.
[000:18:49;595] THEY LOCKED SYSTEMS AND
[000:18:56;368] ENCRYPTED FILES AND DEMANDED
[000:18:57;035] HUNDREDS OF DOLLARS IN EXCHANGE.
[000:18:58;470] IT IMPACTED 150 COUNTRIES AND AT
[000:19:01;273] LEAST 100,000 ORGANIZATIONS.
[000:19:03;475] THE DIRECTOR SAID THE ATTACK IS
[000:19:05;511] UNPRECEDENTED.
[000:19:13;018] >> WE ARE RUNNING AROUND 200
[000:19:13;685] GLOBAL OPERATIONS AGAINST
[000:19:14;319] CYBERCRIME EACH YEAR.
[000:19:14;887] THOUGH WE'VE NEVER SEEN ANYTHING
[000:19:15;621] LIKE THIS.
[000:19:15;988] WE'VE SEEN THE RISE OF RANSOM
[000:19:17;089] WARE BECOMING THE PRINCIPAL
[000:19:19;691] THREAT, BUT THIS IS SOMETHING WE
[000:19:20;425] HAVEN'T SEEN BEFORE.
[000:19:20;959] THE GLOBAL REACH IS
[000:19:23;028] UNPRECEDENTED.
[000:19:32;704] >> EXPERTS ARE URGING EVERYONE
[000:19:33;405] TO INSTALL THE LATEST WINDOWS
[000:19:34;106] UPDATE BECAUSE THERE IS A
[000:19:34;740] SECURITY PATCH IN IT TO EXPOSED
[000:19:35;474] THE LOOPHOLE.
[000:19:35;974] MICROSOFT SAYS THEY ARE WORKING
[000:19:37;376] WITH CUSTOMERS AND RELEASING
[000:19:45;951] UPDATES FOR COMPUTERS RUNNING ON
[000:19:46;685] OLDER SYSTEMS.
[000:19:47;119] SECURITY EXPERTS TOLD THE
[000:19:47;753] ASSOCIATED PRESS THE ATTACK
[000:19:48;420] HAPPENED BECAUSE OF A PERFECT
[000:19:49;121] STORM OF CONDITIONS INCLUDING
[000:19:49;821] THE FACT THESE HACKERS USED A
[000:19:50;789] WEAPON ICED EXPLOIT CREATED BY
[000:19:52;224] THE NSA YEARS AGO IN LEAKED
[000:19:53;358] ONLINE LAST MONTH.
[000:19:56;195] THE WHITE HOUSE IS PLANNING FOR
[000:19:56;929] AN EMERGENCY MEETING.
[000:19:58;530] SOURCES ARE TELLING REUTERS THAT
[000:20:02;234] TRUMP ORDERED HOMELAND SECURITY
[000:20:02;968] ADVISOR TO HOLD THIS MEETING
[000:20:04;336] FRIDAY NIGHT AND EVALUATE THE
[000:20:06;271] ATTACK.
[000:20:14;746] LAURA: THANK YOU SO MUCH.
[000:20:15;414] FAMILY AND FRIENDS OF DRUG
[000:20:16;048] OVERDOSE VICTIMS ARE TRYING TO
[000:20:16;815] SOUND THE ALARM AND ERASE THE
[000:20:17;616] SHAME OF DRUG ADDICTION AMID THE
[000:20:18;350] OPIOID ADDICTION.
[000:20:19;952] HOW MORE FAMILIES ARE SPEAKING
[000:20:22;254] OPENLY AND HONESTLY ABOUT THE
[000:20:27;492] HORRORS OF THIS DISEASE, HOPING
[000:20:28;260] THAT IT WILL SAVE LIVES AND
[000:20:30;229] PREVENT PAINFUL LOSSES
[000:20:30;596] try doctor recommended Gaviscon.
[000:20:32;664] It quickly neutralizes stomach
[000:20:32;664] acid
[000:20:34;466] and helps keep acid down for
[000:20:34;466] hours.
[000:20:36;802] Relieve heartburn with fast-
[000:20:36;802] acting, long-lasting Gaviscon.
[000:20:42;841] and helps keep acid down for
[000:20:42;841] hours.
[000:20:42;841] [FBI Agent] You're a brave man,
[000:20:42;841] Your testimony will save lives.
[000:20:45;677] Mr. Stevens?
[000:20:47;179] This is your new name.
[000:20:49;181] This is your new house.
[000:20:50;515] And a perfectly inconspicuous
[000:20:50;515] SUV.
[000:20:53;352] You must become invisible.
[000:20:58;857] [Hero] I'll take my
[000:20:58;857] chances.
[000:21:12;371] [Customer] Have you ever walkedp
[000:21:12;371] into the paint store
[000:21:13;505] feeling like you should really
[000:21:13;505] know more than you know?
[000:21:15;374] Satin versus semi-gloss, and...I
[000:21:15;374] don't know!
[000:21:18;210] [Team Member] Yes...I know the
[000:21:18;210] feeling.
[000:21:19;878] [Customer] That's how I feel
[000:21:19;878] right now about all the
[000:21:21;546] financing options for this
[000:21:21;546] project I'm doing.
[000:21:24;216] I feel like I should know more
[000:21:24;216] than I know.
[000:21:25;884] [Team Member] Don't sweat it.
[000:21:26;885] We have this new tool--My Credit
[000:21:26;885] Options Guide--
[000:21:29;554] that gives you a customized
[000:21:29;554] comparison like this,
[000:21:31;723] which helps you discover which
[000:21:31;723] credit options
[000:21:33;225] might be right for you.
[000:21:34;493] [Customer] Oh, this is better.
[000:21:34;493] They should make one for paint.
[000:21:37;729] [Team Member] Want to get
[000:21:37;729] started?
[000:21:38;897] [Customer] Sure.
[000:21:41;233] Z286OZ ZWTZ
[000:21:54;913] Y286OY YWTY
[000:21:59;618] AtMore than one flavor, oruch
[000:21:59;618] texture, or color.ing.
[000:22:02;754] A good clean salad is so much
[000:22:02;754] more than green.
[000:22:05;590] And with Panera catering, more
[000:22:05;590] for your event.
[000:22:08;160] Panera. Food as it should be.
[000:22:12;564] could be preventedrrent
[000:22:12;564] with the right steps.
[000:22:14;866] And take it from me,
[000:22:14;866] every step counts.
[000:22:17;669] A Bayer aspirin regimen
[000:22:17;669] is one of those steps
[000:22:19;971] in helping prevent
[000:22:19;971] another stroke.
[000:22:21;973] Be sure to talk
[000:22:21;973] to your doctor
[000:22:23;809] before you begin
[000:22:23;809] an aspirin regimen.
[000:23:47;592] LAURA: WHILE THE OPIOID EPIDEMIC
[000:23:49;928] IS SPREADING IN AMERICA, A NEW
[000:23:51;229] TREND IS RISING CALLED HONEST
[000:23:51;930] OBITUARIES.
[000:23:54;332] MORE AND MORE WHO HAVE LOST
[000:23:58;170] LOVED ONES TO DRUG ADDICTION
[000:24:00;705] HAVE WRITTEN HONEST OBITUARIES
[000:24:02;607] TO EXPOSE HOW DAMAGING IT IS.
[000:24:07;913] >> USING HEROIN ONCE IS ALL IT
[000:24:09;247] TAKES TO GET HOOKED.
[000:24:10;549] FROM THEN ON YOU ARE PLAYING
[000:24:11;650] RUSSIAN ROULETTE.
[000:24:14;786] THIS IS WHAT HAPPENED TO ANDREW.
[000:24:16;288] LAURA: HERE IS A CLOSE LOOK AT
[000:24:17;155] THE STORY.
[000:24:18;590] HI BRIAN.
[000:24:22;994] >> MOTHER'S DAY IS NOT AN EASY
[000:24:23;695] DAY FOR EVERYONE.
[000:24:24;196] FOR STEPHANIE OSWALD, THIS IS
[000:24:26;031] HER FIRST WITHOUT HER SON
[000:24:27;232] ANDREW.
[000:24:27;799] DESPITE REHAB, HE DIED ALONE IN
[000:24:29;568] HIS APARTMENT FROM A HEROINE
[000:24:30;235] OVERDOSE.
[000:24:31;470] IT'S NOT THE KIND OF THINGS
[000:24:34;473] PARENTS WOULD USUALLY INCLUDE IN
[000:24:35;974] THEIR CHILDHOO OBITUARY BUT STEE
[000:24:38;410] DID.
[000:24:40;679] >> ON JANUARY 27, 2017, OUR
[000:24:42;848] BEAUTIFUL SON ANDREW DIED FROM A
[000:24:45;150] HEROIN OVERDOSE.
[000:24:46;284] HE WAS 23 YEARS OLD.
[000:24:47;652] NO PARENT SHOULD EVER HAVE TO
[000:24:52;691] BURY THEIR CHILD.
[000:25:05;337] >> MORE PARENTS ARE USING STARK
[000:25:06;071] CANDOR IN THEIR CHILD'S OBITUARY
[000:25:06;805] ABOUT HEROIN ADDICTION TO REACH
[000:25:07;539] OUT TO FAMILIES STRUGGLING IN
[000:25:08;240] SILENCE, FEELING SHAME AND
[000:25:08;874] EMBARRASSMENT.
[000:25:09;374] >> PEOPLE HAVE TO STOP SEEING IT
[000:25:12;410] AS A DIRTY LITTLE SECRET.
[000:25:15;347] IT'S EVERYWHERE.
[000:25:17;415] THE MORE PEOPLE WHO ARE HONEST
[000:25:19;918] ABOUT WHAT'S GOING ON OUT THERE,
[000:25:22;187] THE MORE ATTENTION IT CAN GET.
[000:25:26;458] >> ANDREWS ADDICTION BEGAN AFTER
[000:25:28;293] BEING PRESCRIBED OXYCODONE AFTER
[000:25:37;068] A CAR ACCIDENT.
[000:25:37;669] STEPHANIE SAID SHE WAS HESITANT
[000:25:38;470] AT FIRST ABOUT BEING SO PUBLIC.
[000:25:39;271] >> SINCE HE HAD KEPT IT SUCH A
[000:25:40;705] SECRET TO ALL OF HIS FRIENDS
[000:25:42;507] HERE, I FEEL LIKE I OUTED HIM IN
[000:25:44;009] A WAY.
[000:25:48;914] IT WAS MOMENTARY, BUT I STILL
[000:25:50;482] FELT THAT.
[000:25:53;018] >> THE OBITUARY HAD AN IMPACT
[000:25:54;986] IMMEDIATELY.
[000:25:56;354] STRANGERS, OTHER PARENTS WHO
[000:25:57;889] LOST KIDS TO ADDICTION CAME TO
[000:25:59;257] HIS FUNERAL TO SUPPORT AND THANK
[000:26:01;493] THE OSWALD FOR THEIR COURAGE.
[000:26:04;596] >> I WON'T STOP TALKING.
[000:26:06;031] IF I HAVE TO YELL I WILL.
[000:26:07;933] WHATEVER IT TAKES, I'M GOING TO
[000:26:11;770] KEEP MOVING THIS THING FORWARD.
[000:26:17;709] >> INCREDIBLE COURAGE FROM
[000:26:18;343] STEPHANIE.
[000:26:18;710] HIS OBITUARY ALSO INCLUDED A
[000:26:19;411] REMINDER THAT ADDICTION DOES NOT
[000:26:20;679] DISCRIMINATE.
[000:26:23;148] SHE REMEMBERS HER SON'S BIG
[000:26:23;815] HEART AND LOVE OF MUSIC.
[000:26:26;451] A TOUGH DAY FOR STEPHANIE, NO
[000:26:27;619] DOUBT.
[000:26:28;453] LAURA: THANK YOU FOR SHARING
[000:26:30;488] THAT VERY IMPORTANT STORY.
[000:26:35;260] THE TRUMP ADMINISTRATION IS
[000:26:36;094] VOWING TO TIGHTEN THE SCREWS ON
[000:26:37;195] NORTH KOREA AFTER THE LATEST
[000:26:38;697] MISSILE TEST.
[000:26:41;232] OUR SANCTIONS THE RIGHT PATH TO
[000:26:41;967] TAKE?
[000:26:43;535] PLUS, THE FIRING OF JAMES COMEY
[000:26:45;503] REIGNITING DEMOCRATIC CALLS FOR
[000:26:47;205] AN INDEPENDENT PROSECUTOR.
[000:26:50;408] MOST REPUBLICANS ARE REFUSING TO
[000:26:52;277] BUDGE.
[000:26:53;211] WHAT ABOUT POLITICAL STANDOFF
[000:26:55;513] AND WHAT THAT MEANS FOR BOTH
[000:26:58;149] PARTIES.
[000:27:01;620] >> THE PRESIDENT CONTINUES TO
[000:27:03;989] INDICATE THEY ARE AFRAID OF
[000:27:05;357] WHERE THE INVESTIGATION MAY
[000:27:08;026] LEAD.
[000:27:08;660] >> THE PRESIDENT HAS SAID HE
[000:27:10;829] WANTS THE INVESTIGATION TO GO
[000:27:12;931] FORWARD
[000:27:41;559] I love how USAA gives me
[000:27:41;559] the peace of mind
[000:27:43;962] and the security
[000:27:44;663] just like the Marines did.
[000:27:46;031] At one point, I did change
[000:27:47;332] to a different company
[000:27:48;133] with car insurance,
[000:27:49;167] and I was not happy with the
[000:27:49;167] customer service.
[000:27:51;603] We have switched back over
[000:27:52;937] and we feel like
[000:27:52;937] we're back home now.
[000:27:54;839] The process through USAA
[000:27:54;839] is so effortless,
[000:27:58;109] that you feel like
[000:27:58;109] you're a part of the family.
[000:28:00;045] I love that I can pass the
[000:28:00;045] membership to my children,
[000:28:02;514] and that they can be protected.
[000:28:04;249] We're the Williams family,
[000:28:05;450] and we're USAA
[000:28:05;450] members for life.
[000:28:07;686] Call USAA today
[000:28:09;287] to talk about
[000:28:09;287] your insurance needs.
[000:28:15;527] What's going on? Oh hey!
[000:28:17;095] ♪
[000:28:18;296] That's it?
[000:28:19;297] Yeah.
[000:28:20;598] ♪
[000:28:21;332] Everybody two seconds!
[000:28:22;367] ♪
[000:28:24;035] "Dear Sebastian,
[000:28:25;136] after careful consideration of
[000:28:25;136] your application, it is
[000:28:27;706] with great pleasure that we
[000:28:27;706] offer our congratulations
[000:28:30;375] on your acceptance..."
[000:28:32;043] Through the Tuition Assistance
[000:28:32;043] Program,
[000:28:33;712] every day McDonald's helps more
[000:28:33;712] people go to college.
[000:28:36;881] It's part of our commitment to
[000:28:36;881] being America's Best First Job.
[000:28:40;218] ♪
[000:29:17;622] What makesHeart healthysalad the
[000:29:17;622] beCalifornia Walnuts.r?
[000:29:20;625] The best simple
[000:29:20;625] veggie dish ever?
[000:29:22;927] Heart healthy
[000:29:22;927] California Walnuts.
[000:29:25;830] The best simple dinner ever?
[000:29:28;266] Heart healthy
[000:29:28;266] California Walnuts.
[000:29:31;436] Great tasting, heart healthy
[000:29:31;436] California Walnuts.
[000:29:35;140] So simple.
[000:29:36;541] Get the recipes at walnuts.org.
[000:30:16;381] Whether it's connecting one of
[000:30:16;381] Or bringing WiFi to 65,000 fans.
[000:30:16;381] campuses.
[000:30:19;551] Businesses count on
[000:30:19;551] communication, and communication
[000:30:19;551] counts on CenturyLink.
[000:30:28;426] I count on my Dell Small
[000:30:28;426] for tech advice.
[000:30:29;694] With one phone call, I get
[000:30:29;694] products that suit my needs and
[000:30:32;096] I get back to business.
[000:30:33;431] ♪
[000:30:37;435] ♪
[000:30:51;850] LAURA: I AM LAURA INGLE IN FOR
[000:30:54;052] HARRIS PARTNER AND THIS IS THE
[000:30:59;424] FOX REPORT.
[000:30:59;991] IT'S THE BOTTOM OF THE HOUR AND
[000:31:00;725] TIME FOR THE TOP OF THE NEWS.
[000:31:01;426] THE WHITE HOUSE CONDEMNING NORTH
[000:31:02;994] KOREA'S LATEST MISSILE TESTS.
[000:31:03;695] THEY REVEALED IT WAS THE FIRST
[000:31:05;296] SUCCESSFUL TEST OF WHAT'S KNOWN
[000:31:06;831] AS A KM 17 MISSILE.
[000:31:10;068] THEY CALL IT MORE CONCERNING
[000:31:11;569] THAN PREVIOUS LAUNCHES AND SAY
[000:31:16;975] IT COULD BE USED TO TARGET
[000:31:17;609] SHIPS.
[000:31:17;909] PRESIDENT TRUMP WEIGHING MORE
[000:31:19;878] THAN A DOZEN CANDIDATES TO
[000:31:24;749] REPLACE JAMES COMMANDS THE NEXT
[000:31:25;483] DIRECTOR OF THE FBI.
[000:31:26;017] THE ADMINISTRATION INTERVIEWED
[000:31:26;718] AT LEAST EIGHT PEOPLE THIS
[000:31:27;352] WEEKEND.
[000:31:27;986] THE PRESIDENT SAID A DECISION
[000:31:33;491] COULD COME BY FRIDAY.
[000:31:34;058] THAT IS THE SAME DAY THE
[000:31:35;593] PRESIDENT WILL HEAD TO SAUDI
[000:31:36;294] ARABIA KICKING OFF HIS FIRST
[000:31:38;196] FOREIGN TRIP AS
[000:31:39;430] COMMANDER-IN-CHIEF.
[000:31:41;232] HE WILL ALSO GO TO ISRAEL AND
[000:31:42;567] ROME VISITING THE CENTERS OF
[000:31:44;469] ISLAM AND CHRISTIANITY.
[000:31:46;571] THE TRIP IS SEEN AS A MAJOR
[000:31:47;305] FOREIGN-POLICY TEST FOR
[000:31:50;241] PRESIDENT TRUMP.
[000:31:54;913] MR. GATES OFFERED THIS ADVICE.
[000:31:56;214] >> I THINK OF WHEN IT COMES TO
[000:31:58;950] THE ISSUES, I WOULD ADVISE HIM
[000:32:00;952] TO STICK TO THE SCRIPT.
[000:32:03;554] HE IS GOING TO HAVE SOME VERY
[000:32:04;255] TOUGH CONVERSATIONS AND HE WILL
[000:32:06;190] TALK ABOUT SOME VERY TOUGH AND
[000:32:09;093] COMPLICATED ISSUES IN ALL OF THE
[000:32:11;996] PLACES HE VISITS.
[000:32:14;532] I THINK ANY TIME A PRESIDENT
[000:32:18;836] DOES THINGS THAT ARE HUMANIZING,
[000:32:19;570] I THINK IT'S GOOD.
[000:32:21;906] LAURA: LET'S BRING IN EVAN SIG
[000:32:26;811] FREED, AUTHOR OF GOP, GPS AND
[000:32:28;713] DOUG, FORMER ADVISOR TO
[000:32:30;048] PRESIDENT BILL WINTON AND A FOX
[000:32:32;283] NEWS CONTRIBUTOR.
[000:32:32;784] WELCOME.
[000:32:34;052] WE WANT TO TALK ABOUT THIS
[000:32:42;527] STAYING ON MESSAGE THING.
[000:32:43;294] WE HEAR THIS ADVICE FROM GATES
[000:32:44;062] BUT AS WE'VE SEEN FROM TIME TO
[000:32:44;762] TIME, THE PRESIDENT HAS A
[000:32:46;831] TENDENCY TO GO OFF SCRIPT.
[000:32:48;132] LET'S ASSUME HE DOES STICK TO
[000:32:48;833] THE TALKING POINTS.
[000:32:51;235] DOUG, WHAT DOES HE NEED TO PROVE
[000:32:51;970] AND HOW DOES HE DO THAT.
[000:32:53;838] >> HE NEEDS TO PROVE HE IS AN
[000:32:56;641] AUTHENTIC AND SERIOUS
[000:32:58;876] REPRESENTATIVE OF THE UNITED
[000:33:01;212] STATES AND OUR POSITIONS, THAT
[000:33:05;350] HE CAN ARTICULATE OUR POSITION
[000:33:06;050] IN THE MIDDLE EAST WITH THE
[000:33:06;718] SAUDI'S AND THE ISRAELIS WHO ARE
[000:33:07;452] WORKING TOGETHER, HE CAN
[000:33:08;953] ARTICULATE IN EUROPE OUR
[000:33:11;789] POSITION WITH THE G-7 AND NATO
[000:33:15;493] AND MAKE IT CLEAR THAT HE IS
[000:33:16;894] AUTHENTIC, CREDIBLE, AND
[000:33:20;798] ASSERTIVE IN STANDING UP FOR OUR
[000:33:23;267] INTERESTS AND OUR FOREIGN POLICY
[000:33:24;335] POSITIONS.
[000:33:25;870] LAURA: EVAN, ANY CONCERNS ON
[000:33:28;973] YOUR PART OF HYMNS STICKING TO
[000:33:30;308] THE SCRIPT.
[000:33:38;649] >> HE DOES GO OFF SCRIPT
[000:33:39;450] SOMETIMES BUT WHEN YOU LOOK AT
[000:33:40;151] FOREIGN-POLICY, HE HAS DONE VERY
[000:33:40;885] WELL.
[000:33:41;185] THE ONLY TIME THAT WAS A CONCERN
[000:33:42;253] WAS RIGHT AFTER HE WAS ELECTED
[000:33:43;187] WHERE HE HAD THE CALL WITH
[000:33:43;821] TAIWAN WHICH GREATLY INFURIATED
[000:33:45;790] THE CHINESE.
[000:33:46;791] WHEN HE HAS TO AVOID IS DOING
[000:33:47;692] SOMETHING THAT CAN GIVE
[000:33:50;128] PERCEPTION TO ANOTHER COUNTRY OR
[000:33:51;896] ALLY THAT HE IS SMEARING THEM OR
[000:33:54;165] UPSETTING THEM.
[000:33:56;034] LAURA: CALL IS SO IMPORTANT WITH
[000:34:02;340] ALL THIS.
[000:34:02;974] DOUG, TAKING A LOOK AT THE LAST
[000:34:03;708] TWO PRESIDENTS ON THEIR FIRST
[000:34:04;776] FOREIGN TRIP, PRESIDENT OBAMA
[000:34:07;445] WENT TO CANADA IN 2009 AND
[000:34:08;112] GEORGE W. BUSH TOOK HIS FIRST
[000:34:10;415] FOREIGN TRIP TO MEXICO IN
[000:34:12;517] FEBRUARY 2001.
[000:34:15;653] IT TOOK A FEW EXTRA MONTHS BUT
[000:34:16;354] THE PRESIDENT IS JUMPING IN,
[000:34:17;655] GOING OVERSEAS.
[000:34:18;122] GOOD MOVE?
[000:34:19;791] BAD MOVE?
[000:34:24;462] >> I THINK IT'S TH
[000:34:27;732] THERE IS A NEW AND EMERGING
[000:34:28;399] ALLIANCE BETWEEN ISRAEL, SAUDI
[000:34:30;768] AND THE EGYPTIANS AND THAT'S
[000:34:33;638] IMPORTANT, AND FOR NATO WHICH
[000:34:36;908] THE PRESIDENT HAS CALLED
[000:34:38;376] OBSOLETE AND REVERSED HIMSELF,
[000:34:40;611] HE HAS TO REASSURE THEM TO MAKE
[000:34:42;046] IT CLEAR HE WILL STAND UP
[000:34:44;449] AGAINST RUSSIA AGGRESSION WHICH
[000:34:47;752] IS STRONG IN THE BALKANS AND
[000:34:49;887] EVER PRESENT IN COUNTRIES LIKE
[000:34:53;591] ESTONIA, LITHUANIA AND LATVIA.
[000:34:56;561] >> HE IS JUMPING RIGHT IN GOING
[000:34:57;295] OVERSEAS.
[000:34:58;729] THIS IS A BIG TRIP.
[000:35:00;665] >> HE HAS ALREADY ASSUAGED THE
[000:35:02;133] NATO ALLIES WHEN HE MET WITH THE
[000:35:04;635] SECRETARY GENERAL AT THE WHITE
[000:35:05;636] HOUSE AND SAID WE ARE HERE AND
[000:35:07;705] WE ARE A MEMBER AND WE WANT TO
[000:35:09;373] BE WITH YOU ON THIS.
[000:35:10;875] I THINK WHAT'S REALLY IMPORTANT
[000:35:12;176] IN ADDITION TO SOLVING THE
[000:35:13;611] PALESTINE CONFLICT IS THE G-7
[000:35:17;448] AND NATO MEETINGS.
[000:35:19;117] WITH NORTH KOREA'S AGGRESSION,
[000:35:19;851] WE NEED TO HAVE ALL OF OUR
[000:35:20;852] ALLIES ON THE SAME PAGE
[000:35:22;653] ENCOUNTERING NORTH KOREA AND
[000:35:27;291] STOPPING THEM FROM BAD BEHAVIOR
[000:35:28;025] WHICH IS ENDANGERING ASIA AND
[000:35:29;694] THE REST OF THE WORLD.
[000:35:30;394] LAURA: ONE OF THE THINGS WE'VE
[000:35:32;330] BEEN LOOKING AT WITH VISITING
[000:35:35;933] POPE FRANCIS IS THE PRESIDENT'S
[000:35:38;069] TRIP AND POPE FRANCIS VIEWS.
[000:35:54;218] >> I THINK THIS IS A WORK IN
[000:35:54;886] PROGRESS.
[000:35:55;253] THE PRESIDENT AND THE POPE
[000:35:55;887] COULDN'T HAVE TWO MORE DIVERGENT
[000:35:56;621] VIEWS.
[000:35:56;921] THAT BEING SAID, FOR THE
[000:35:57;522] PRESIDENT OF THE UNITED STATES
[000:35:58;222] NOT TO HAVE A HARMONIOUS
[000:35:59;590] RELATIONSHIP WITH THE POPE.
[000:36:01;626] [INAUDIBLE]
[000:36:03;761] >> WE CAN'T ENVISION THE BEING
[000:36:04;896] COMBATIVE.
[000:36:07;031] IT WILL BE A DECENT VISIT.
[000:36:10;101] >> I THINK THE PRESIDENT, ONE OF
[000:36:10;835] HIS STRENGTHS, WHEN HE IS
[000:36:12;670] ONE-ON-ONE WITH SOMEONE IN A
[000:36:13;971] ROOM, HE IS MUCH BETTER THAN HE
[000:36:17;108] IS IN A CROWD.
[000:36:19;844] I THINK POPE FRANCIS, THE TWO OF
[000:36:20;578] THEM KNOW THEY WILL DISAGREE BUT
[000:36:21;312] I THINK THEY WILL FIND COMMON
[000:36:22;013] GROUND.
[000:36:22;346] I THINK THEY CAN WORK TOGETHER
[000:36:24;382] AND HAVE A CONSTRUCTIVE DIALOGUE
[000:36:25;850] SO THEY CAN WORK TOGETHER IN THE
[000:36:26;584] FUTURE TO TACKLE THE MAJOR
[000:36:28;786] PROBLEMS OF THE WORLD AND HAVE
[000:36:30;488] AN EFFECTIVE RELATIONSHIP.
[000:36:31;989] LAURA: THIS VISIT KICKS OFF ON
[000:36:33;991] FRIDAY.
[000:36:36;827] I WANT TO TALK ABOUT THE FIRING
[000:36:37;562] OF JAMES COMEY AND THE FBI.
[000:36:38;529] THERE HAS BEEN A LOT OF
[000:36:39;130] COMPARISON TO NIXON AND
[000:36:39;730] WATERGATE.
[000:36:41;432] WE WANT TO BRING IN BOB FROM FOX
[000:36:45;169] NEWS SUNDAY TALKING ABOUT THAT.
[000:36:49;040] >> THIS IS NOT WATERGATE.
[000:36:51;108] THERE IS NO EVIDENCE THAT
[000:36:55;012] PRESIDENT TRUMP, AT THIS POINT
[000:36:55;713] WAS SOMEHOW INVOLVED IN
[000:36:56;314] COLLUSION.
[000:36:57;915] IN THE CASE OF NIXON, HE HAD HIS
[000:37:02;286] FORMER WHITE HOUSE COUNSEL, JOHN
[000:37:07;091] DEAN, TESTIFY FOR FOUR DAYS THAT
[000:37:08;492] THE PRESIDENT CORRUPTLY AND
[000:37:10;795] ILLEGALLY LED THE OBSTRUCTION OF
[000:37:11;529] JUSTICE.
[000:37:13;464] YOU HAVE NOTHING COMPARABLE.
[000:37:16;801] LAURA: DOUG, DO YOU AGREE?
[000:37:19;270] >> I THINK WITH THE EARLY STAGES
[000:37:22;607] OF THE RUSSIA, TRUMP POTENTIAL
[000:37:27;311] COLLUSION ISSUE, THERE ARE LOTS
[000:37:35;553] OF QUESTIONS ABOUT WHAT GENERAL
[000:37:36;287] FLYNN DID OR DIDN'T DO, WHO PAUL
[000:37:37;021] MANAFORT WAS WORKING WITH.
[000:37:37;655] WE JUST DON'T KNOW.
[000:37:39;390] THE REASON I THINK THE FIRING OF
[000:37:41;592] JAMES COMEY WAS SO UNFORTUNATE,
[000:37:42;860] WE WERE BEGINNING THE
[000:37:44;195] INVESTIGATION.
[000:37:49;934] MORE FUNDS WERE REQUESTED,
[000:37:50;568] SUBPOENAS HAD GONE OUT FOR
[000:37:51;202] GENERAL FLYNN'S PAPERS.
[000:37:51;802] I THINK IT IS A MUCH EARLIER
[000:37:53;170] STAGE OF THE INVESTIGATION THAN
[000:37:54;572] THE POINT WOODWARD WAS TALKING
[000:37:57;875] ABOUT WITH WATERGATE.
[000:37:59;577] TIME WILL TELL, LAURA.
[000:38:06;017] LAURA: EVAN, HOW DO YOU SEE IT?
[000:38:06;751] THIS IS A BIG POINT PEOPLE ARE
[000:38:07;652] MAKING AND GOING BACK IN TIME TO
[000:38:08;386] MAKE THIS COMPARISON.
[000:38:10;054] >> A LOT OF PEOPLE ARE MAKING
[000:38:11;889] THE COMPARISON.
[000:38:12;356] I DON'T THINK IT'S FAIR AT THIS
[000:38:13;090] POINT.
[000:38:13;891] IT'S WAY TOO EARLY IN THE GAME.
[000:38:15;393] LET'S LOOK AT WHAT HAS HAPPENED.
